Date,Price
2007-06-29,391.44
2007-07-02,391.44
2007-07-03,383.61
2007-07-04,374.21
2007-07-05,369.91
2007-07-06,360.12
2007-07-09,382.04
2007-07-10,381.85
2007-07-11,378.13
2007-07-12,373.43
2007-07-13,371.08
2007-07-16,369.32
2007-07-17,359.73
2007-07-18,365.41
2007-07-19,371.47
2007-07-20,369.91
2007-07-23,366.38
2007-07-24,361.49
2007-07-25,353.47
2007-07-26,344.46
2007-07-27,338.98
2007-07-30,333.31
2007-07-31,338.01
2007-08-01,339.38
2007-08-02,361.88
2007-08-03,366.97
2007-08-06,360.51
2007-08-07,360.9
2007-08-08,370.49
2007-08-09,372.65
2007-08-10,352.29
2007-08-13,360.12
2007-08-14,344.27
2007-08-15,340.55
2007-08-16,316.28
2007-08-17,324.89
2007-08-20,341.14
2007-08-21,347.99
2007-08-22,360.12
2007-08-23,356.99
2007-08-24,356.01
2007-08-28,360.32
2007-08-29,359.93
2007-08-30,371.86
2007-08-31,383.22
2007-09-03,376.37
2007-09-04,377.74
2007-09-05,380.87
2007-09-06,377.34
2007-09-07,371.28
2007-09-10,370.49
2007-09-11,379.3
2007-09-12,374.85
2007-09-13,383.61
2007-09-14,375.97
2007-09-17,367.95
2007-09-18,376.37
2007-09-19,369.52
2007-09-20,367.36
2007-09-21,374.02
2007-09-24,360.9
2007-09-25,363.06
2007-09-26,363.06
2007-09-27,362.67
2007-09-28,364.04
2007-10-01,361.69
2007-10-02,350.14
2007-10-03,352.29
2007-10-04,343.68
2007-10-05,330.76
2007-10-08,337.22
2007-10-09,352.88
2007-10-10,348.38
2007-10-11,352.29
2007-10-12,352.29
2007-10-15,338.98
2007-10-16,331.94
2007-10-17,352.29
2007-10-18,354.84
2007-10-19,346.42
2007-10-22,336.83
2007-10-23,338.01
2007-10-24,325.87
2007-10-25,344.46
2007-10-26,344.86
2007-10-29,345.64
2007-10-30,335.85
2007-10-31,348.97
2007-11-01,344.46
2007-11-02,342.12
2007-11-05,329.59
2007-11-06,335.07
2007-11-07,328.81
2007-11-08,317.85
2007-11-09,311.58
2007-11-12,310.6
2007-11-13,309.63
2007-11-14,325.87
2007-11-15,317.65
2007-11-16,322.54
2007-11-19,308.26
2007-11-20,307.67
2007-11-21,287.31
2007-11-22,294.56
2007-11-23,308.45
2007-11-26,307.28
2007-11-27,299.45
2007-11-28,308.84
2007-11-29,304.15
2007-11-30,303.95
2007-12-03,300.23
2007-12-04,300.62
2007-12-05,311.39
2007-12-06,327.05
2007-12-07,342.9
2007-12-10,325.48
2007-12-11,324.89
2007-12-12,314.52
2007-12-13,308.45
2007-12-14,320.98
2007-12-17,308.45
2007-12-18,313.15
2007-12-19,319.61
2007-12-20,322.15
2007-12-21,329.39
2007-12-24,332.72
2007-12-27,334.68
2007-12-28,337.61
2007-12-31,332.72
2008-01-02,330.57
2008-01-03,331.16
2008-01-04,322.15
2008-01-07,314.32
2008-01-08,320.0
2008-01-09,308.45
2008-01-10,307.28
2008-01-11,297.88
2008-01-14,303.75
2008-01-15,305.32
2008-01-16,302.38
2008-01-17,298.86
2008-01-18,300.04
2008-01-21,277.14
2008-01-22,285.94
2008-01-23,277.53
2008-01-24,291.82
2008-01-25,288.1
2008-01-28,277.92
2008-01-29,290.25
2008-01-30,289.66
2008-01-31,301.01
2008-02-01,296.51
2008-02-04,297.69
2008-02-05,286.53
2008-02-06,287.51
2008-02-07,276.16
2008-02-08,280.07
2008-02-11,273.61
2008-02-12,277.53
2008-02-13,278.9
2008-02-14,288.88
2008-02-15,281.05
2008-02-18,284.18
2008-02-19,287.71
2008-02-20,283.4
2008-02-21,286.53
2008-02-22,284.57
2008-02-25,286.14
2008-02-26,300.62
2008-02-27,312.37
2008-02-28,310.41
2008-02-29,306.1
2008-03-03,308.45
2008-03-04,316.48
2008-03-05,318.63
2008-03-06,318.63
2008-03-07,313.15
2008-03-10,304.54
2008-03-11,315.89
2008-03-12,327.63
2008-03-13,315.69
2008-03-14,308.06
2008-03-17,294.75
2008-03-18,314.13
2008-03-19,314.13
2008-03-20,316.87
2008-03-25,313.54
2008-03-26,316.67
2008-03-27,319.41
2008-03-28,320.98
2008-03-31,327.24
2008-04-01,332.33
2008-04-02,337.03
2008-04-03,332.92
2008-04-04,321.56
2008-04-07,324.89
2008-04-08,316.87
2008-04-09,327.63
2008-04-10,338.2
2008-04-11,336.24
2008-04-14,337.81
2008-04-15,340.55
2008-04-16,345.25
2008-04-17,336.44
2008-04-18,328.02
2008-04-21,332.92
2008-04-22,332.92
2008-04-23,334.48
2008-04-24,330.37
2008-04-25,332.72
2008-04-28,329.39
2008-04-29,326.46
2008-04-30,314.32
2008-05-01,315.11
2008-05-02,311.78
2008-05-06,316.67
2008-05-07,319.22
2008-05-08,321.96
2008-05-09,320.78
2008-05-12,322.74
2008-05-13,313.15
2008-05-14,310.41
2008-05-15,310.02
2008-05-16,316.08
2008-05-19,316.48
2008-05-20,302.97
2008-05-21,307.28
2008-05-22,306.69
2008-05-23,303.75
2008-05-27,303.56
2008-05-28,305.12
2008-05-29,305.71
2008-05-30,281.83
2008-06-02,276.35
2008-06-03,274.79
2008-06-04,275.38
2008-06-05,276.16
2008-06-06,276.16
2008-06-09,265.59
2008-06-10,259.52
2008-06-11,253.85
2008-06-12,255.02
2008-06-13,254.04
2008-06-16,252.48
2008-06-17,250.71
2008-06-18,250.71
2008-06-19,250.71
2008-06-20,248.37
2008-06-23,239.95
2008-06-24,231.34
2008-06-25,233.49
2008-06-26,230.16
