Date,Price
2000-10-18,8.69
2000-10-19,9.71
2000-10-20,9.35
2000-10-23,8.9
2000-10-24,8.95
2000-10-25,9.28
2000-10-26,9.48
2000-10-27,9.68
2000-10-30,9.96
2000-10-31,10.31
2000-11-01,9.6
2000-11-02,9.33
2000-11-03,9.28
2000-11-06,9.43
2000-11-07,9.4
2000-11-08,9.33
2000-11-09,9.3
2000-11-10,9.1
2000-11-13,9.12
2000-11-14,9.48
2000-11-15,9.86
2000-11-16,9.63
2000-11-17,9.76
2000-11-20,9.43
2000-11-21,9.35
2000-11-22,9.23
2000-11-24,9.48
2000-11-27,9.53
2000-11-28,9.66
2000-11-29,10.11
2000-11-30,10.14
2000-12-01,10.03
2000-12-04,10.21
2000-12-05,10.21
2000-12-06,10.24
2000-12-07,10.08
2000-12-08,10.06
2000-12-11,10.39
2000-12-12,10.16
2000-12-13,10.21
2000-12-14,10.26
2000-12-15,10.26
2000-12-18,10.36
2000-12-19,10.26
2000-12-20,10.14
2000-12-21,9.68
2000-12-22,9.58
2000-12-26,9.73
2000-12-27,10.19
2000-12-28,10.59
2000-12-29,10.94
2001-01-02,11.42
2001-01-03,12.69
2001-01-04,12.37
2001-01-05,12.04
2001-01-08,12.04
2001-01-09,11.91
2001-01-10,12.02
2001-01-11,11.86
2001-01-12,12.17
2001-01-16,12.24
2001-01-17,12.37
2001-01-18,12.5
2001-01-19,11.81
2001-01-22,11.69
2001-01-23,11.56
2001-01-24,11.74
2001-01-25,11.89
2001-01-26,12.24
2001-01-29,12.51
2001-01-30,12.58
2001-01-31,12.78
2001-02-01,12.58
2001-02-02,12.17
2001-02-05,12.17
2001-02-06,12.46
2001-02-07,12.7
2001-02-08,12.98
2001-02-09,13.53
2001-02-12,13.95
2001-02-13,14.4
2001-02-14,13.78
2001-02-15,13.68
2001-02-16,12.89
2001-02-20,11.66
2001-02-21,12.13
2001-02-22,12.16
2001-02-23,11.44
2001-02-26,12.19
2001-02-27,12.13
2001-02-28,12.98
2001-03-01,13.12
2001-03-02,13.24
2001-03-05,13.64
2001-03-06,14.0
2001-03-07,13.75
2001-03-08,13.83
2001-03-09,13.58
2001-03-12,13.38
2001-03-13,13.36
2001-03-14,13.22
2001-03-15,13.69
2001-03-16,13.66
2001-03-19,13.4
2001-03-20,13.4
2001-03-21,13.46
2001-03-22,13.39
2001-03-23,13.39
2001-03-26,13.79
2001-03-27,13.49
2001-03-28,13.42
2001-03-29,13.73
2001-03-30,14.38
2001-04-02,14.46
2001-04-03,14.2
2001-04-04,14.39
2001-04-05,14.93
2001-04-06,14.65
2001-04-09,14.64
2001-04-10,14.45
2001-04-11,14.18
2001-04-12,14.12
2001-04-16,14.06
2001-04-17,14.57
2001-04-18,14.04
2001-04-19,14.16
2001-04-20,14.28
2001-04-23,14.2
2001-04-24,13.67
2001-04-25,13.92
2001-04-26,12.99
2001-04-27,12.33
2001-04-30,12.59
2001-05-01,13.02
2001-05-02,13.24
2001-05-03,13.27
2001-05-04,13.14
2001-05-07,13.1
2001-05-08,13.02
2001-05-09,13.1
2001-05-10,13.22
2001-05-11,13.54
2001-05-14,13.59
2001-05-15,14.07
2001-05-16,14.65
2001-05-17,14.81
2001-05-18,14.86
2001-05-21,14.77
2001-05-22,14.41
2001-05-23,14.34
2001-05-24,14.43
2001-05-25,14.49
2001-05-29,14.24
2001-05-30,14.18
2001-05-31,14.44
2001-06-01,14.58
2001-06-04,15.18
2001-06-05,14.81
2001-06-06,14.53
2001-06-07,14.63
2001-06-08,14.88
2001-06-11,14.77
2001-06-12,15.2
2001-06-13,15.51
2001-06-14,15.14
2001-06-15,15.27
2001-06-18,15.27
2001-06-19,14.85
2001-06-20,14.95
2001-06-21,14.6
2001-06-22,14.36
2001-06-25,14.24
2001-06-26,14.24
2001-06-27,14.64
2001-06-28,14.67
2001-06-29,15.06
2001-07-02,15.46
2001-07-03,15.42
2001-07-05,15.14
2001-07-06,14.93
2001-07-09,14.89
2001-07-10,15.06
2001-07-11,15.07
2001-07-12,14.4
2001-07-13,13.62
2001-07-16,13.61
2001-07-17,13.89
2001-07-18,13.72
2001-07-19,13.76
2001-07-20,13.74
2001-07-23,13.72
2001-07-24,13.08
2001-07-25,13.99
2001-07-26,13.84
2001-07-27,13.81
2001-07-30,13.9
2001-07-31,14.37
2001-08-01,14.66
2001-08-02,15.04
2001-08-03,15.1
2001-08-06,14.9
2001-08-07,14.32
2001-08-08,14.49
2001-08-09,13.68
2001-08-10,14.12
2001-08-13,14.27
2001-08-14,14.28
2001-08-15,14.29
2001-08-16,14.1
2001-08-17,14.15
2001-08-20,14.2
2001-08-21,14.08
2001-08-22,14.06
2001-08-23,14.12
2001-08-24,14.21
2001-08-27,14.15
2001-08-28,13.99
2001-08-29,13.92
2001-08-30,13.88
2001-08-31,13.92
2001-09-04,13.76
2001-09-05,13.8
2001-09-06,13.98
2001-09-07,13.63
2001-09-10,13.45
2001-09-17,12.76
2001-09-18,12.97
2001-09-19,13.06
2001-09-20,13.41
2001-09-21,13.55
2001-09-24,13.23
2001-09-25,13.82
2001-09-26,13.8
2001-09-27,13.72
2001-09-28,13.77
2001-10-01,13.88
2001-10-02,13.88
2001-10-03,14.06
2001-10-04,14.19
2001-10-05,13.86
2001-10-08,13.73
2001-10-09,13.6
2001-10-10,14.32
2001-10-11,14.99
2001-10-12,15.06
2001-10-15,15.02
2001-10-16,15.15
2001-10-17,15.16
2001-10-18,14.89
2001-10-19,14.64
2001-10-22,15.07
2001-10-23,13.34
2001-10-24,13.34
2001-10-25,13.14
2001-10-26,13.38
2001-10-29,13.27
2001-10-30,12.84
2001-10-31,12.82
2001-11-01,12.64
2001-11-02,12.74
2001-11-05,12.86
2001-11-06,12.49
2001-11-07,12.45
2001-11-08,12.5
2001-11-09,12.27
2001-11-12,12.05
2001-11-13,12.65
2001-11-14,12.59
2001-11-15,12.55
2001-11-16,12.72
2001-11-19,13.0
2001-11-20,13.52
2001-11-21,13.04
2001-11-23,13.04
2001-11-26,13.03
2001-11-27,13.11
2001-11-28,13.07
2001-11-29,13.42
2001-11-30,13.81
2001-12-03,13.94
2001-12-04,14.13
2001-12-05,14.52
2001-12-06,14.34
2001-12-07,14.2
2001-12-10,14.32
2001-12-11,14.34
2001-12-12,14.24
2001-12-13,14.26
2001-12-14,14.26
2001-12-17,14.34
2001-12-18,14.66
2001-12-19,14.34
2001-12-20,14.3
2001-12-21,13.77
2001-12-24,14.0
2001-12-26,13.9
2001-12-27,13.93
2001-12-28,14.02
2001-12-31,13.85
2002-01-02,13.44
2002-01-03,12.95
2002-01-04,12.97
2002-01-07,13.02
2002-01-08,12.83
2002-01-09,13.14
2002-01-10,13.18
2002-01-11,13.58
2002-01-14,13.43
2002-01-15,13.41
2002-01-16,13.03
2002-01-17,13.2
2002-01-18,13.22
2002-01-22,13.24
2002-01-23,13.32
2002-01-24,13.47
2002-01-25,13.57
2002-01-28,13.78
2002-01-29,13.6
2002-01-30,13.65
2002-01-31,13.69
2002-02-01,13.16
2002-02-04,12.93
2002-02-05,12.66
2002-02-06,12.75
2002-02-07,12.75
2002-02-08,12.81
2002-02-11,12.88
2002-02-12,12.9
2002-02-13,12.9
2002-02-14,12.78
2002-02-15,12.68
2002-02-19,12.71
2002-02-20,12.64
2002-02-21,12.66
2002-02-22,12.67
2002-02-25,12.51
2002-02-26,12.76
2002-02-27,12.81
2002-02-28,12.73
2002-03-01,12.66
2002-03-04,12.95
2002-03-05,12.93
2002-03-06,12.96
2002-03-07,12.9
2002-03-08,12.92
2002-03-11,12.91
2002-03-12,12.94
2002-03-13,13.2
2002-03-14,12.96
2002-03-15,12.75
2002-03-18,12.78
2002-03-19,12.84
2002-03-20,13.08
2002-03-21,12.97
2002-03-22,13.02
2002-03-25,13.0
2002-03-26,12.91
2002-03-27,12.91
2002-03-28,12.99
2002-04-01,12.87
2002-04-02,12.91
2002-04-03,12.94
2002-04-04,13.47
2002-04-05,13.57
2002-04-08,13.53
2002-04-09,13.79
2002-04-10,13.92
2002-04-11,13.77
2002-04-12,13.55
2002-04-15,13.46
2002-04-16,13.57
2002-04-17,13.49
2002-04-18,13.43
2002-04-19,13.48
2002-04-22,12.96
2002-04-23,13.0
2002-04-24,13.08
2002-04-25,13.02
2002-04-26,12.89
2002-04-29,12.71
2002-04-30,12.71
2002-05-01,12.74
2002-05-02,12.89
2002-05-03,12.41
2002-05-06,12.34
2002-05-07,12.36
2002-05-08,12.37
2002-05-09,12.3
2002-05-10,12.32
2002-05-13,12.38
2002-05-14,12.49
2002-05-15,12.61
2002-05-16,12.8
2002-05-17,12.73
2002-05-20,12.73
2002-05-21,12.36
2002-05-22,12.19
2002-05-23,11.87
2002-05-24,11.87
2002-05-28,11.47
2002-05-29,10.76
2002-05-30,10.98
2002-05-31,10.98
2002-06-03,10.85
2002-06-04,10.86
2002-06-05,10.98
2002-06-06,10.65
2002-06-07,10.86
2002-06-10,11.23
2002-06-11,11.08
2002-06-12,10.55
2002-06-13,9.82
2002-06-14,10.02
2002-06-17,10.22
2002-06-18,10.18
2002-06-19,9.84
2002-06-20,9.08
2002-06-21,8.26
2002-06-24,7.57
2002-06-25,7.84
2002-06-26,7.34
2002-06-27,7.42
2002-06-28,7.35
2002-07-01,7.39
2002-07-02,7.12
2002-07-03,7.07
2002-07-05,7.3
2002-07-08,7.76
2002-07-09,7.41
2002-07-10,7.24
2002-07-11,7.24
2002-07-12,7.3
2002-07-15,7.06
2002-07-16,6.7
2002-07-17,6.25
2002-07-18,6.73
2002-07-19,6.59
2002-07-22,6.58
2002-07-23,6.02
2002-07-24,5.85
2002-07-25,5.73
2002-07-26,5.73
2002-07-29,6.11
2002-07-30,5.9
2002-07-31,6.31
2002-08-01,6.6
2002-08-02,6.67
2002-08-05,6.56
2002-08-06,6.54
2002-08-07,6.63
2002-08-08,7.2
2002-08-09,6.98
2002-08-12,6.86
2002-08-13,6.57
2002-08-14,7.07
2002-08-15,6.95
2002-08-16,6.97
2002-08-19,6.82
2002-08-20,6.73
2002-08-21,6.68
2002-08-22,6.71
2002-08-23,7.14
2002-08-26,7.44
2002-08-27,7.6
2002-08-28,7.49
2002-08-29,7.58
2002-08-30,7.63
2002-09-03,7.58
2002-09-04,7.51
2002-09-05,7.06
2002-09-06,7.13
2002-09-09,7.1
2002-09-10,7.06
2002-09-11,7.13
2002-09-12,6.92
2002-09-13,6.77
2002-09-16,6.96
2002-09-17,6.75
2002-09-18,6.65
2002-09-19,6.51
2002-09-20,6.59
2002-09-23,6.46
2002-09-24,6.23
2002-09-25,6.42
2002-09-26,6.3
2002-09-27,5.99
2002-09-30,6.35
2002-10-01,6.3
2002-10-02,6.15
2002-10-03,6.13
2002-10-04,6.02
2002-10-07,6.09
2002-10-08,6.32
2002-10-09,6.19
2002-10-10,6.51
2002-10-11,6.9
2002-10-14,7.01
2002-10-15,7.13
2002-10-16,6.91
2002-10-17,6.77
2002-10-18,6.84
2002-10-21,6.86
2002-10-22,6.62
2002-10-23,6.5
2002-10-24,6.59
2002-10-25,6.94
2002-10-28,7.02
2002-10-29,7.12
2002-10-30,7.07
2002-10-31,6.92
2002-11-01,7.06
2002-11-04,7.18
2002-11-05,7.26
2002-11-06,7.51
2002-11-07,7.28
2002-11-08,7.04
2002-11-11,6.7
2002-11-12,6.79
2002-11-13,7.05
2002-11-14,7.12
2002-11-15,6.92
2002-11-18,6.93
2002-11-19,6.85
2002-11-20,6.81
2002-11-21,6.91
2002-11-22,6.62
2002-11-25,6.7
2002-11-26,6.75
2002-11-27,7.34
2002-11-29,7.37
2002-12-02,7.42
2002-12-03,7.36
2002-12-04,7.71
2002-12-05,7.71
2002-12-06,7.82
2002-12-09,7.77
2002-12-10,7.64
2002-12-11,7.84
2002-12-12,7.97
2002-12-13,7.94
2002-12-16,8.1
2002-12-17,8.46
2002-12-18,7.97
2002-12-19,7.74
2002-12-20,7.87
2002-12-23,7.92
2002-12-24,7.92
