Date,Price
1990-01-02,13.11
1990-01-03,13.82
1990-01-04,13.53
1990-01-05,13.34
1990-01-08,13.34
1990-01-09,13.39
1990-01-10,13.11
1990-01-11,13.11
1990-01-12,12.63
1990-01-15,12.68
1990-01-16,12.63
1990-01-17,12.96
1990-01-18,12.77
1990-01-19,13.11
1990-01-22,13.06
1990-01-23,13.3
1990-01-24,13.39
1990-01-25,13.49
1990-01-26,13.01
1990-01-29,13.06
1990-01-30,12.92
1990-01-31,12.92
1990-02-01,12.73
1990-02-02,13.06
1990-02-05,13.39
1990-02-06,13.3
1990-02-07,13.63
1990-02-08,14.15
1990-02-09,14.29
1990-02-12,14.06
1990-02-13,14.29
1990-02-14,14.29
1990-02-15,14.2
1990-02-16,14.15
1990-02-20,14.06
1990-02-21,14.06
1990-02-22,14.15
1990-02-23,13.96
1990-02-26,14.06
1990-02-27,13.96
1990-02-28,13.87
1990-03-01,13.82
1990-03-02,14.1
1990-03-05,14.06
1990-03-06,14.34
1990-03-07,14.53
1990-03-08,14.53
1990-03-09,14.29
1990-03-12,14.49
1990-03-13,14.25
1990-03-14,14.3
1990-03-15,14.4
1990-03-16,14.25
1990-03-19,14.11
1990-03-20,13.87
1990-03-21,13.82
1990-03-22,13.34
1990-03-23,13.63
1990-03-26,13.77
1990-03-27,13.73
1990-03-28,13.63
1990-03-29,13.58
1990-03-30,13.3
1990-04-02,13.15
1990-04-03,13.01
1990-04-04,12.87
1990-04-05,12.87
1990-04-06,12.63
1990-04-09,12.67
1990-04-10,12.77
1990-04-11,13.01
1990-04-12,13.34
1990-04-16,13.49
1990-04-17,13.3
1990-04-18,12.96
1990-04-19,12.87
1990-04-20,12.82
1990-04-23,12.53
1990-04-24,12.34
1990-04-25,12.24
1990-04-26,12.05
1990-04-27,11.96
1990-04-30,11.91
1990-05-01,12.05
1990-05-02,12.24
1990-05-03,12.63
1990-05-04,12.58
1990-05-07,12.48
1990-05-08,12.44
1990-05-09,12.29
1990-05-10,12.05
1990-05-11,12.05
1990-05-14,12.24
1990-05-15,12.34
1990-05-16,12.34
1990-05-17,12.44
1990-05-18,12.53
1990-05-21,12.44
1990-05-22,12.53
1990-05-23,12.44
1990-05-24,12.48
1990-05-25,12.53
1990-05-29,12.72
1990-05-30,12.77
1990-05-31,12.63
1990-06-01,12.58
1990-06-04,12.72
1990-06-05,12.72
1990-06-06,12.87
1990-06-07,13.15
1990-06-08,12.96
1990-06-11,13.4
1990-06-12,13.31
1990-06-13,13.5
1990-06-14,13.55
1990-06-15,13.64
1990-06-18,13.88
1990-06-19,13.64
1990-06-20,13.4
1990-06-21,13.5
1990-06-22,13.26
1990-06-25,13.35
1990-06-26,13.35
1990-06-27,13.31
1990-06-28,13.5
1990-06-29,13.55
1990-07-02,13.21
1990-07-03,13.16
1990-07-05,13.31
1990-07-06,13.26
1990-07-09,13.55
1990-07-10,13.6
1990-07-11,14.27
1990-07-12,14.17
1990-07-13,14.37
1990-07-16,14.51
1990-07-17,14.75
1990-07-18,14.75
1990-07-19,14.75
1990-07-20,14.75
1990-07-23,14.42
1990-07-24,14.08
1990-07-25,14.13
1990-07-26,14.03
1990-07-27,13.98
1990-07-30,13.79
1990-07-31,13.69
1990-08-01,13.74
1990-08-02,13.5
1990-08-03,13.45
1990-08-06,13.21
1990-08-07,13.16
1990-08-08,13.11
1990-08-09,13.02
1990-08-10,12.87
1990-08-13,12.87
1990-08-14,12.82
1990-08-15,12.87
1990-08-16,12.82
1990-08-17,12.39
1990-08-20,12.44
1990-08-21,12.2
1990-08-22,12.05
1990-08-23,11.76
1990-08-24,11.86
1990-08-27,12.1
1990-08-28,12.2
1990-08-29,12.44
1990-08-30,12.53
1990-08-31,12.44
1990-09-04,12.82
1990-09-05,12.58
1990-09-06,12.44
1990-09-07,12.53
1990-09-10,12.54
1990-09-11,12.64
1990-09-12,12.83
1990-09-13,12.83
1990-09-14,12.88
1990-09-17,12.88
1990-09-18,12.69
1990-09-19,12.93
1990-09-20,12.93
1990-09-21,12.88
1990-09-24,12.93
1990-09-25,13.13
1990-09-26,13.13
1990-09-27,13.08
1990-09-28,13.03
1990-10-01,13.17
1990-10-02,13.42
1990-10-03,13.42
1990-10-04,13.66
1990-10-05,13.52
