Date,Price
1990-01-02,4.1
1990-01-03,4.07
1990-01-04,4.17
1990-01-05,4.11
1990-01-08,4.18
1990-01-09,4.14
1990-01-10,4.1
1990-01-11,4.11
1990-01-12,3.98
1990-01-15,3.92
1990-01-16,4.04
1990-01-17,3.98
1990-01-18,3.97
1990-01-19,3.98
1990-01-22,3.87
1990-01-23,3.84
1990-01-24,3.85
1990-01-25,3.78
1990-01-26,3.71
1990-01-29,3.74
1990-01-30,3.68
1990-01-31,3.81
1990-02-01,3.85
1990-02-02,3.9
1990-02-05,3.92
1990-02-06,3.97
1990-02-07,4.01
1990-02-08,4.02
1990-02-09,4.07
1990-02-12,4.02
1990-02-13,4.04
1990-02-14,4.04
1990-02-15,4.02
1990-02-16,4.02
1990-02-20,3.99
1990-02-21,3.95
1990-02-22,3.97
1990-02-23,4.07
1990-02-26,4.07
1990-02-27,4.11
1990-02-28,4.11
1990-03-01,4.15
1990-03-02,4.27
1990-03-05,4.25
1990-03-06,4.25
1990-03-07,4.09
1990-03-08,4.21
1990-03-09,4.15
1990-03-12,4.11
1990-03-13,4.12
1990-03-14,4.08
1990-03-15,4.09
1990-03-16,4.15
1990-03-19,4.14
1990-03-20,4.09
1990-03-21,4.09
1990-03-22,4.05
1990-03-23,4.05
1990-03-26,4.05
1990-03-27,4.05
1990-03-28,4.11
1990-03-29,4.12
1990-03-30,4.09
1990-04-02,4.09
1990-04-03,4.27
1990-04-04,4.2
1990-04-05,4.18
1990-04-06,4.12
1990-04-09,4.05
1990-04-10,3.98
1990-04-11,3.91
1990-04-12,3.92
1990-04-16,3.97
1990-04-17,3.98
1990-04-18,3.92
1990-04-19,3.89
1990-04-20,3.85
1990-04-23,3.79
1990-04-24,3.76
1990-04-25,3.91
1990-04-26,3.91
1990-04-27,3.81
1990-04-30,3.8
1990-05-01,3.85
1990-05-02,3.95
1990-05-03,3.92
1990-05-04,3.93
1990-05-07,3.89
1990-05-08,3.88
1990-05-09,3.82
1990-05-10,3.82
1990-05-11,3.86
1990-05-14,3.98
1990-05-15,3.99
1990-05-16,3.98
1990-05-17,3.91
1990-05-18,3.91
1990-05-21,3.89
1990-05-22,3.83
1990-05-23,3.92
1990-05-24,3.95
1990-05-25,3.93
1990-05-29,3.96
1990-05-30,3.95
1990-05-31,3.91
1990-06-01,3.92
1990-06-04,3.95
1990-06-05,3.95
1990-06-06,3.95
1990-06-07,3.91
1990-06-08,3.89
1990-06-11,3.89
1990-06-12,3.91
1990-06-13,3.91
1990-06-14,3.85
1990-06-15,3.89
1990-06-18,3.8
1990-06-19,3.8
1990-06-20,3.8
1990-06-21,3.73
1990-06-22,3.73
1990-06-25,3.72
1990-06-26,3.75
1990-06-27,3.8
1990-06-28,3.85
1990-06-29,3.83
1990-07-02,3.86
1990-07-03,3.91
1990-07-05,3.92
1990-07-06,3.91
1990-07-09,3.92
1990-07-10,3.89
1990-07-11,3.88
1990-07-12,3.95
1990-07-13,3.95
1990-07-16,3.95
1990-07-17,3.92
1990-07-18,3.91
1990-07-19,3.99
1990-07-20,3.98
1990-07-23,3.89
1990-07-24,3.99
1990-07-25,4.01
1990-07-26,3.99
1990-07-27,4.01
1990-07-30,3.99
1990-07-31,4.01
1990-08-01,3.96
1990-08-02,4.02
1990-08-03,4.05
1990-08-06,4.05
1990-08-07,3.97
1990-08-08,3.93
1990-08-09,3.9
1990-08-10,3.84
1990-08-13,3.84
1990-08-14,3.8
1990-08-15,3.78
1990-08-16,3.77
1990-08-17,3.81
1990-08-20,3.89
1990-08-21,3.84
1990-08-22,3.8
1990-08-23,3.7
1990-08-24,3.73
1990-08-27,3.77
1990-08-28,3.78
1990-08-29,3.77
1990-08-30,3.78
1990-08-31,3.77
1990-09-04,3.86
