Date,Price
1993-02-23,4.69
1993-02-24,4.83
1993-02-25,4.94
1993-02-26,5.01
1993-03-01,4.84
1993-03-02,4.98
1993-03-03,4.96
1993-03-04,4.94
1993-03-05,5.03
1993-03-08,5.01
1993-03-09,5.17
1993-03-10,5.37
1993-03-11,5.37
1993-03-12,5.47
1993-03-15,5.37
1993-03-16,5.26
1993-03-17,5.32
1993-03-18,5.45
1993-03-19,5.39
1993-03-22,5.37
1993-03-23,5.26
1993-03-24,5.2
1993-03-25,5.2
1993-03-26,5.54
1993-03-29,5.6
1993-03-30,5.81
1993-03-31,5.81
1993-04-01,5.6
1993-04-02,5.39
1993-04-05,5.49
1993-04-06,5.41
1993-04-07,5.49
1993-04-08,5.47
1993-04-12,5.6
1993-04-13,5.77
1993-04-14,5.92
1993-04-15,5.68
1993-04-16,5.66
1993-04-19,5.53
1993-04-20,5.36
1993-04-21,5.28
1993-04-22,5.28
1993-04-23,5.2
1993-04-26,5.09
1993-04-27,5.15
1993-04-28,5.24
1993-04-29,5.22
1993-04-30,5.87
1993-05-03,5.56
1993-05-04,5.6
1993-05-05,5.54
1993-05-06,5.51
1993-05-07,5.53
1993-05-10,5.6
1993-05-11,5.58
1993-05-12,5.58
1993-05-13,5.45
1993-05-14,5.3
1993-05-17,5.39
1993-05-18,5.34
1993-05-19,5.39
1993-05-20,5.3
1993-05-21,5.15
1993-05-24,5.24
1993-05-25,5.24
1993-05-26,5.56
1993-05-27,5.33
1993-05-28,5.22
1993-06-01,5.26
1993-06-02,5.29
1993-06-03,5.2
1993-06-04,5.14
1993-06-07,5.14
1993-06-08,5.14
1993-06-09,5.22
1993-06-10,5.16
1993-06-11,5.2
1993-06-14,5.22
1993-06-15,5.16
1993-06-16,5.31
1993-06-17,5.33
1993-06-18,5.18
1993-06-21,5.14
1993-06-22,5.14
1993-06-23,5.14
1993-06-24,5.33
1993-06-25,5.5
1993-06-28,5.88
1993-06-29,5.66
1993-06-30,5.69
1993-07-01,5.62
1993-07-02,5.66
1993-07-06,5.6
1993-07-07,5.6
1993-07-08,5.58
1993-07-09,5.58
1993-07-12,5.88
1993-07-13,5.6
1993-07-14,5.41
1993-07-15,5.45
1993-07-16,5.43
1993-07-19,5.52
1993-07-20,5.77
1993-07-21,5.86
1993-07-22,5.73
1993-07-23,5.67
1993-07-26,5.85
1993-07-27,5.75
1993-07-28,5.73
1993-07-29,5.66
1993-07-30,5.66
1993-08-02,5.62
1993-08-03,5.56
1993-08-04,5.6
1993-08-05,5.56
1993-08-06,5.75
1993-08-09,5.85
1993-08-10,5.81
1993-08-11,5.66
1993-08-12,5.66
1993-08-13,5.6
1993-08-16,5.58
1993-08-17,5.54
1993-08-18,5.6
1993-08-19,5.56
1993-08-20,5.62
1993-08-23,5.69
1993-08-24,5.98
1993-08-25,5.94
1993-08-26,5.94
1993-08-27,5.82
1993-08-30,6.01
1993-08-31,5.92
1993-09-01,5.99
1993-09-02,6.07
1993-09-03,5.99
1993-09-07,5.94
1993-09-08,5.82
1993-09-09,5.86
1993-09-10,5.94
1993-09-13,6.01
1993-09-14,5.9
1993-09-15,5.94
1993-09-16,6.16
1993-09-17,6.28
1993-09-20,6.51
1993-09-21,6.51
1993-09-22,6.79
1993-09-23,6.81
1993-09-24,6.72
1993-09-27,6.64
1993-09-28,6.68
1993-09-29,6.64
1993-09-30,6.7
1993-10-01,6.81
1993-10-04,6.85
1993-10-05,7.04
1993-10-06,6.96
1993-10-07,6.85
1993-10-08,6.74
1993-10-11,6.72
1993-10-12,6.81
1993-10-13,6.83
1993-10-14,6.75
1993-10-15,6.66
1993-10-18,6.39
1993-10-19,6.15
1993-10-20,6.03
1993-10-21,6.24
1993-10-22,6.3
1993-10-25,6.11
1993-10-26,6.07
1993-10-27,6.11
1993-10-28,6.18
1993-10-29,6.26
1993-11-01,6.15
1993-11-02,6.09
1993-11-03,5.9
1993-11-04,5.82
1993-11-05,5.78
1993-11-08,5.88
1993-11-09,5.99
1993-11-10,5.88
1993-11-11,5.9
1993-11-12,5.94
1993-11-15,5.82
1993-11-16,5.78
1993-11-17,5.82
1993-11-18,5.78
1993-11-19,5.54
1993-11-22,5.37
1993-11-23,5.71
1993-11-24,5.7
1993-11-26,5.69
1993-11-29,5.78
1993-11-30,5.8
1993-12-01,5.93
1993-12-02,5.86
1993-12-03,5.93
1993-12-06,5.95
1993-12-07,5.88
1993-12-08,5.82
1993-12-09,5.93
1993-12-10,5.91
1993-12-13,5.97
1993-12-14,5.91
1993-12-15,5.82
1993-12-16,5.76
1993-12-17,5.8
1993-12-20,5.8
1993-12-21,5.76
1993-12-22,5.82
1993-12-23,5.76
1993-12-27,5.65
1993-12-28,5.51
1993-12-29,5.4
1993-12-30,5.36
1993-12-31,5.28
1994-01-03,5.34
1994-01-04,5.36
1994-01-05,5.32
1994-01-06,5.32
1994-01-07,5.49
1994-01-10,5.53
1994-01-11,5.67
1994-01-12,5.82
1994-01-13,5.91
1994-01-14,6.03
1994-01-17,5.93
1994-01-18,5.95
1994-01-19,5.88
1994-01-20,5.95
1994-01-21,5.86
1994-01-24,5.86
1994-01-25,5.76
1994-01-26,5.82
1994-01-27,5.9
1994-01-28,5.9
1994-01-31,5.86
1994-02-01,5.88
1994-02-02,5.88
1994-02-03,5.86
1994-02-04,5.67
1994-02-07,5.51
1994-02-08,5.46
1994-02-09,5.53
1994-02-10,5.46
1994-02-11,5.48
1994-02-14,5.44
1994-02-15,5.3
1994-02-16,5.3
1994-02-17,5.36
1994-02-18,5.36
1994-02-22,5.3
1994-02-23,5.3
1994-02-24,5.3
1994-02-25,5.42
1994-02-28,5.51
1994-03-01,5.46
1994-03-02,5.4
1994-03-03,5.44
1994-03-04,5.25
1994-03-07,5.17
1994-03-08,5.21
1994-03-09,5.25
1994-03-10,5.23
1994-03-11,5.4
1994-03-14,5.51
1994-03-15,5.57
1994-03-16,5.51
1994-03-17,5.57
1994-03-18,5.48
1994-03-21,5.5
1994-03-22,5.5
1994-03-23,5.61
1994-03-24,5.51
1994-03-25,5.42
1994-03-28,5.21
1994-03-29,5.17
1994-03-30,4.96
1994-03-31,5.0
1994-04-04,4.94
1994-04-05,5.21
1994-04-06,5.27
1994-04-07,5.32
1994-04-08,5.34
1994-04-11,5.32
1994-04-12,5.27
1994-04-13,5.15
1994-04-14,5.15
1994-04-15,5.11
1994-04-18,5.23
1994-04-19,5.17
1994-04-20,5.48
1994-04-21,5.5
1994-04-22,5.72
1994-04-25,5.84
1994-04-26,5.71
1994-04-28,5.74
1994-04-29,5.76
1994-05-02,5.84
1994-05-03,5.99
1994-05-04,5.9
1994-05-05,5.9
1994-05-06,5.82
1994-05-09,5.74
1994-05-10,5.84
1994-05-11,5.71
1994-05-12,5.86
1994-05-13,6.01
1994-05-16,5.95
1994-05-17,5.94
1994-05-18,6.05
1994-05-19,6.07
1994-05-20,5.97
1994-05-23,6.05
1994-05-24,6.22
1994-05-25,6.17
1994-05-26,6.13
1994-05-27,6.15
1994-05-31,5.99
1994-06-01,6.03
1994-06-02,6.03
1994-06-03,6.03
1994-06-06,5.93
1994-06-07,5.92
1994-06-08,6.09
1994-06-09,6.07
1994-06-10,6.17
1994-06-13,6.11
1994-06-14,6.2
1994-06-15,6.26
1994-06-16,6.17
1994-06-17,6.09
1994-06-20,5.93
1994-06-21,5.76
1994-06-22,5.86
1994-06-23,5.68
1994-06-24,5.47
1994-06-27,5.74
1994-06-28,5.63
1994-06-29,5.76
1994-06-30,5.76
1994-07-01,5.88
1994-07-05,5.76
1994-07-06,5.68
1994-07-07,5.59
1994-07-08,5.72
1994-07-11,5.74
1994-07-12,5.68
1994-07-13,5.76
1994-07-14,5.9
1994-07-15,5.92
1994-07-18,5.99
1994-07-19,5.99
1994-07-20,5.9
1994-07-21,6.05
1994-07-22,6.13
1994-07-25,6.24
1994-07-26,6.18
1994-07-27,6.09
1994-07-28,6.07
1994-07-29,6.17
1994-08-01,6.24
