Date,Price
1990-01-02,14.19
1990-01-03,14.54
1990-01-04,14.59
1990-01-05,14.33
1990-01-08,14.39
1990-01-09,14.51
1990-01-10,14.25
1990-01-11,14.36
1990-01-12,13.98
1990-01-15,13.98
1990-01-16,14.19
1990-01-17,13.93
1990-01-18,13.78
1990-01-19,13.34
1990-01-22,12.76
1990-01-23,12.79
1990-01-24,12.97
1990-01-25,12.97
1990-01-26,12.91
1990-01-29,13.17
1990-01-30,12.68
1990-01-31,12.7
1990-02-01,13.0
1990-02-02,12.97
1990-02-05,13.23
1990-02-06,13.32
1990-02-07,13.64
1990-02-08,13.69
1990-02-09,13.66
1990-02-12,13.49
1990-02-13,13.61
1990-02-14,13.75
1990-02-15,13.72
1990-02-16,13.61
1990-02-20,13.4
1990-02-21,13.46
1990-02-22,13.46
1990-02-23,13.26
1990-02-26,13.52
1990-02-27,13.93
1990-02-28,14.36
1990-03-01,14.1
1990-03-02,14.65
1990-03-05,14.27
1990-03-06,14.33
1990-03-07,14.48
1990-03-08,14.97
1990-03-09,14.86
1990-03-12,14.99
1990-03-13,15.05
1990-03-14,15.22
1990-03-15,15.45
1990-03-16,15.92
1990-03-19,16.3
1990-03-20,16.15
1990-03-21,15.89
1990-03-22,15.43
1990-03-23,15.43
1990-03-26,15.54
1990-03-27,15.8
1990-03-28,15.66
1990-03-29,15.75
1990-03-30,15.16
1990-04-02,15.4
1990-04-03,15.48
1990-04-04,15.54
1990-04-05,15.37
1990-04-06,15.19
1990-04-09,14.99
1990-04-10,15.98
1990-04-11,16.1
1990-04-12,16.13
1990-04-16,15.8
1990-04-17,16.01
1990-04-18,15.83
1990-04-19,15.95
1990-04-20,15.92
1990-04-23,15.54
1990-04-24,15.57
1990-04-25,15.75
1990-04-26,15.75
1990-04-27,15.45
1990-04-30,15.69
1990-05-01,16.04
1990-05-02,16.68
1990-05-03,16.48
1990-05-04,16.48
1990-05-07,16.91
1990-05-08,16.85
1990-05-09,16.94
1990-05-10,17.41
1990-05-11,17.79
1990-05-14,17.5
1990-05-15,17.44
1990-05-16,17.29
1990-05-17,17.7
1990-05-18,17.87
1990-05-21,18.22
1990-05-22,18.6
1990-05-23,18.66
1990-05-24,19.54
1990-05-25,18.84
1990-05-29,19.19
1990-05-30,19.13
1990-05-31,19.33
1990-06-01,19.13
1990-06-04,19.8
1990-06-05,19.3
1990-06-06,19.42
1990-06-07,20.03
1990-06-08,19.48
1990-06-11,19.52
1990-06-12,19.96
1990-06-13,20.25
1990-06-14,20.22
1990-06-15,20.25
1990-06-18,20.08
1990-06-19,19.87
1990-06-20,20.11
1990-06-21,20.6
1990-06-22,20.11
1990-06-25,19.67
1990-06-26,18.94
1990-06-27,19.44
1990-06-28,19.46
1990-06-29,19.55
1990-07-02,19.84
1990-07-03,19.99
1990-07-05,19.76
1990-07-06,19.9
1990-07-09,19.99
1990-07-10,19.99
1990-07-11,20.2
1990-07-12,20.2
1990-07-13,20.28
1990-07-16,20.4
1990-07-17,20.6
1990-07-18,20.08
1990-07-19,19.82
1990-07-20,19.06
1990-07-23,18.62
1990-07-24,18.15
1990-07-25,18.65
1990-07-26,18.88
1990-07-27,18.76
1990-07-30,18.65
1990-07-31,19.03
1990-08-01,18.79
1990-08-02,18.27
1990-08-03,17.86
1990-08-06,16.98
1990-08-07,17.01
1990-08-08,17.77
1990-08-09,17.68
1990-08-10,17.51
1990-08-13,17.83
1990-08-14,17.62
1990-08-15,17.48
1990-08-16,17.07
1990-08-17,16.81
1990-08-20,16.28
1990-08-21,15.72
1990-08-22,15.78
1990-08-23,15.17
1990-08-24,15.99
1990-08-27,16.6
1990-08-28,16.86
1990-08-29,16.69
1990-08-30,16.4
1990-08-31,16.81
1990-09-04,16.63
1990-09-05,16.16
1990-09-06,14.38
1990-09-07,14.32
1990-09-10,14.37
1990-09-11,14.04
1990-09-12,14.28
1990-09-13,14.39
1990-09-14,14.78
1990-09-17,14.83
1990-09-18,14.48
1990-09-19,14.31
1990-09-20,14.1
1990-09-21,14.07
1990-09-24,13.87
1990-09-25,14.39
1990-09-26,14.22
1990-09-27,14.1
1990-09-28,14.78
1990-10-01,15.51
1990-10-02,15.6
1990-10-03,15.01
1990-10-04,14.19
1990-10-05,14.19
1990-10-08,14.01
1990-10-09,12.37
1990-10-10,12.43
1990-10-11,12.52
1990-10-12,12.84
1990-10-15,12.75
1990-10-16,12.75
1990-10-17,12.67
1990-10-18,13.1
1990-10-19,12.05
1990-10-22,12.49
1990-10-23,12.75
1990-10-24,12.75
1990-10-25,12.64
1990-10-26,12.55
1990-10-29,12.37
1990-10-30,12.58
1990-10-31,12.64
1990-11-01,13.05
1990-11-02,13.54
1990-11-05,13.6
1990-11-06,13.63
1990-11-07,12.9
1990-11-08,12.72
1990-11-09,13.05
1990-11-12,13.52
1990-11-13,13.49
1990-11-14,13.13
1990-11-15,12.25
1990-11-16,12.11
1990-11-19,12.05
1990-11-20,12.05
1990-11-21,12.31
1990-11-23,12.43
1990-11-26,12.43
1990-11-27,12.78
1990-11-28,12.67
1990-11-29,12.64
1990-11-30,11.84
1990-12-03,12.2
1990-12-04,12.72
1990-12-05,12.9
1990-12-06,12.67
1990-12-07,12.31
1990-12-10,12.39
1990-12-11,12.18
1990-12-12,12.36
1990-12-13,11.89
1990-12-14,11.74
1990-12-17,11.89
1990-12-18,11.98
1990-12-19,11.89
1990-12-20,12.06
1990-12-21,12.39
1990-12-24,12.36
1990-12-26,12.53
1990-12-27,12.3
1990-12-28,12.33
1990-12-31,12.33
1991-01-02,12.24
1991-01-03,12.09
1991-01-04,12.03
1991-01-07,12.03
1991-01-08,11.86
1991-01-09,11.53
1991-01-10,11.89
1991-01-11,11.24
1991-01-14,11.39
1991-01-15,11.36
1991-01-16,11.68
1991-01-17,10.8
1991-01-18,11.18
1991-01-21,11.21
1991-01-22,11.3
1991-01-23,11.62
1991-01-24,11.98
1991-01-25,11.71
1991-01-28,11.83
1991-01-29,12.0
1991-01-30,12.48
1991-01-31,12.89
1991-02-01,12.83
1991-02-04,13.36
1991-02-05,13.59
1991-02-06,13.36
1991-02-07,13.21
1991-02-08,13.06
1991-02-11,13.95
1991-02-12,13.48
1991-02-13,14.36
1991-02-14,13.86
