Date,Price
1991-10-04,5.96
1991-10-07,5.93
1991-10-08,5.87
1991-10-09,5.93
1991-10-10,5.92
1991-10-11,5.95
1991-10-14,5.96
1991-10-15,5.93
1991-10-16,5.93
1991-10-17,5.93
1991-10-18,5.93
1991-10-21,5.95
1991-10-22,5.92
1991-10-23,5.81
1991-10-24,5.73
1991-10-25,5.73
1991-10-28,5.77
1991-10-29,5.81
1991-10-30,5.79
1991-10-31,5.81
1991-11-01,5.82
1991-11-04,5.82
1991-11-05,5.74
1991-11-06,5.74
1991-11-07,5.71
1991-11-08,5.68
1991-11-11,5.65
1991-11-12,5.63
1991-11-13,5.66
1991-11-14,5.65
1991-11-15,5.59
1991-11-18,5.48
1991-11-19,5.4
1991-11-20,5.4
1991-11-21,5.43
1991-11-22,5.4
1991-11-25,5.45
1991-11-26,5.52
1991-11-27,5.45
1991-11-29,5.48
1991-12-02,5.48
1991-12-03,5.46
1991-12-04,5.47
1991-12-05,5.48
1991-12-06,5.46
1991-12-09,5.48
1991-12-10,5.52
1991-12-11,5.63
1991-12-12,5.63
1991-12-13,5.63
1991-12-16,5.57
1991-12-17,5.55
1991-12-18,5.54
1991-12-19,5.53
1991-12-20,5.57
1991-12-23,5.72
1991-12-24,5.75
1991-12-26,5.86
1991-12-27,6.1
1991-12-30,6.21
1991-12-31,6.25
1992-01-02,6.27
1992-01-03,6.28
1992-01-06,6.39
1992-01-07,6.46
1992-01-08,6.52
1992-01-09,6.68
1992-01-10,6.63
1992-01-13,6.52
1992-01-14,6.56
1992-01-15,6.63
1992-01-16,6.61
1992-01-17,6.63
1992-01-20,6.61
1992-01-21,6.59
1992-01-22,6.57
1992-01-23,6.46
1992-01-24,6.46
1992-01-27,6.5
1992-01-28,6.52
1992-01-29,6.58
1992-01-30,6.58
1992-01-31,6.61
1992-02-03,6.64
1992-02-04,6.64
1992-02-05,6.75
1992-02-06,6.82
1992-02-07,6.82
1992-02-10,6.93
1992-02-11,6.97
1992-02-12,7.04
1992-02-13,6.96
1992-02-14,6.89
1992-02-18,6.88
1992-02-19,6.86
1992-02-20,6.89
1992-02-21,7.02
1992-02-24,7.46
1992-02-25,7.46
1992-02-26,7.48
1992-02-27,7.7
1992-02-28,8.08
1992-03-02,7.89
1992-03-03,7.94
1992-03-04,7.89
1992-03-05,7.83
1992-03-06,7.95
1992-03-09,7.86
1992-03-10,7.77
1992-03-11,7.74
1992-03-12,7.61
1992-03-13,7.63
1992-03-16,7.61
1992-03-17,7.61
1992-03-18,7.61
1992-03-19,7.66
1992-03-20,7.7
1992-03-23,7.8
1992-03-24,7.74
1992-03-25,7.8
1992-03-26,7.7
1992-03-27,7.7
1992-03-30,7.67
