Date,Price
2000-01-03,147.86
2000-01-04,148.17
2000-01-05,159.04
2000-01-06,165.25
2000-01-07,172.71
2000-01-10,173.95
2000-01-11,174.57
2000-01-12,175.19
2000-01-13,176.44
2000-01-14,191.66
2000-01-17,194.45
2000-01-18,185.69
2000-01-19,186.38
2000-01-20,178.67
2000-01-21,176.75
2000-01-24,171.78
2000-01-25,165.07
2000-01-26,174.2
2000-01-27,169.48
2000-01-28,174.58
2000-01-31,165.35
2000-02-01,170.22
2000-02-02,171.78
2000-02-03,170.22
2000-02-04,175.81
2000-02-07,170.29
2000-02-08,169.1
2000-02-09,172.7
2000-02-10,179.54
2000-02-11,183.27
2000-02-14,187.62
2000-02-15,186.69
2000-02-16,186.38
2000-02-17,181.41
2000-02-18,177.99
2000-02-21,180.16
2000-02-22,183.27
2000-02-23,186.38
2000-02-24,180.67
2000-02-25,180.16
2000-02-28,182.65
2000-02-29,176.5
2000-03-01,176.12
2000-03-02,175.19
2000-03-03,176.12
2000-03-06,173.95
2000-03-07,178.67
2000-03-08,185.13
2000-03-09,195.69
2000-03-10,198.8
2000-03-13,190.72
2000-03-14,183.3
2000-03-15,178.3
2000-03-16,186.69
2000-03-17,186.38
2000-03-20,185.15
2000-03-21,189.36
2000-03-22,201.94
2000-03-23,203.77
2000-03-24,207.81
2000-03-27,207.31
2000-03-28,201.6
2000-03-29,209.98
2000-03-30,207.19
2000-03-31,201.91
2000-04-03,206.88
2000-04-04,218.56
2000-04-05,201.91
2000-04-06,200.68
2000-04-07,209.98
2000-04-10,217.81
2000-04-11,214.52
2000-04-12,222.04
2000-04-13,221.23
2000-04-14,221.23
2000-04-17,202.53
2000-04-18,196.94
2000-04-19,191.97
2000-04-20,186.38
2000-04-21,186.38
2000-04-24,186.38
2000-04-25,197.25
2000-04-26,200.04
2000-04-27,194.14
2000-04-28,200.35
2000-05-01,200.35
2000-05-02,203.15
2000-05-03,196.94
2000-05-04,197.43
2000-05-05,197.25
2000-05-08,194.11
2000-05-09,194.11
2000-05-10,188.24
2000-05-11,193.49
2000-05-12,193.52
2000-05-15,192.28
2000-05-16,196.32
2000-05-17,192.28
2000-05-18,191.97
2000-05-19,187.0
2000-05-22,185.32
2000-05-23,177.06
2000-05-24,173.33
2000-05-25,183.89
2000-05-26,185.6
2000-05-29,187.99
2000-05-30,192.71
2000-05-31,193.28
2000-06-01,196.94
2000-06-02,203.28
2000-06-05,201.91
2000-06-06,200.45
2000-06-07,202.52
2000-06-08,196.32
2000-06-09,195.07
2000-06-12,199.79
2000-06-13,205.95
2000-06-14,205.68
2000-06-15,209.04
2000-06-16,205.02
2000-06-19,206.88
2000-06-20,203.78
2000-06-21,201.29
2000-06-22,196.32
2000-06-23,186.88
2000-06-26,196.87
2000-06-27,201.47
2000-06-28,205.45
2000-06-29,207.19
2000-06-30,202.16
2000-07-03,209.98
2000-07-04,198.3
2000-07-05,201.84
2000-07-06,198.18
2000-07-07,198.18
2000-07-10,191.4
2000-07-11,191.05
2000-07-12,190.1
2000-07-13,190.1
2000-07-14,207.75
2000-07-17,205.57
2000-07-18,203.77
2000-07-19,205.01
2000-07-20,210.54
2000-07-21,203.92
2000-07-24,209.32
2000-07-25,217.07
2000-07-26,219.5
2000-07-27,218.94
2000-07-28,219.31
2000-07-31,222.43
2000-08-01,210.46
2000-08-02,202.86
2000-08-03,204.36
2000-08-04,204.11
2000-08-07,201.49
2000-08-08,207.41
2000-08-09,205.67
2000-08-10,211.03
2000-08-11,214.95
2000-08-14,208.78
2000-08-15,206.85
2000-08-16,209.64
2000-08-17,205.2
2000-08-18,202.18
2000-08-21,201.24
2000-08-22,204.09
2000-08-23,201.87
2000-08-24,198.5
2000-08-25,198.13
2000-08-28,201.87
2000-08-29,198.78
2000-08-30,195.64
2000-08-31,191.27
2000-09-01,195.08
2000-09-04,195.51
2000-09-05,193.77
2000-09-06,201.77
2000-09-07,205.11
2000-09-08,202.49
2000-09-11,199.19
2000-09-12,193.77
2000-09-13,193.77
2000-09-14,194.39
2000-09-15,190.71
2000-09-18,192.77
2000-09-19,201.37
2000-09-20,195.32
2000-09-21,195.32
2000-09-22,205.29
2000-09-25,201.99
2000-09-26,206.23
2000-09-27,204.17
2000-09-28,204.36
2000-09-29,210.59
2000-10-02,213.39
2000-10-03,213.39
2000-10-04,211.98
2000-10-05,214.33
2000-10-06,212.46
2000-10-09,210.59
2000-10-10,213.69
2000-10-11,212.67
2000-10-12,206.23
2000-10-13,206.23
2000-10-16,206.23
2000-10-17,206.23
2000-10-18,206.23
2000-10-19,206.23
2000-10-20,206.23
2000-10-23,211.03
2000-10-24,211.03
2000-10-25,216.7
2000-10-26,216.19
2000-10-27,223.36
2000-10-30,225.73
2000-10-31,225.73
2000-11-01,228.66
2000-11-02,234.95
2000-11-03,237.38
2000-11-06,233.33
2000-11-07,232.89
2000-11-08,232.4
2000-11-09,242.83
2000-11-10,240.09
2000-11-13,237.38
2000-11-14,237.38
2000-11-15,242.86
2000-11-16,241.12
2000-11-17,240.79
2000-11-20,237.38
2000-11-21,235.51
2000-11-22,226.63
2000-11-23,225.29
2000-11-24,224.67
2000-11-27,227.04
2000-11-28,234.7
2000-11-29,238.08
2000-11-30,235.17
2000-12-01,229.28
2000-12-04,228.21
2000-12-05,230.22
2000-12-06,216.98
2000-12-07,214.95
2000-12-08,215.57
