Date,Price
1990-01-02,8.59
1990-01-03,8.76
1990-01-04,8.8
1990-01-05,8.76
1990-01-08,8.73
1990-01-09,8.59
1990-01-10,8.45
1990-01-11,8.35
1990-01-12,8.17
1990-01-15,8.1
1990-01-16,8.1
1990-01-17,8.21
1990-01-18,8.1
1990-01-19,7.79
1990-01-22,7.54
1990-01-23,7.61
1990-01-24,7.58
1990-01-25,7.54
1990-01-26,7.58
1990-01-29,7.61
1990-01-30,7.58
1990-01-31,7.65
1990-02-01,7.61
1990-02-02,7.65
1990-02-05,7.65
1990-02-06,7.54
1990-02-07,7.58
1990-02-08,7.51
1990-02-09,7.58
1990-02-12,7.54
1990-02-13,7.61
1990-02-14,7.72
1990-02-15,8.03
1990-02-16,7.93
1990-02-20,7.79
1990-02-21,7.82
1990-02-22,7.68
1990-02-23,7.61
1990-02-26,7.75
1990-02-27,7.82
1990-02-28,7.86
1990-03-01,7.96
1990-03-02,7.96
1990-03-05,7.89
1990-03-06,8.0
1990-03-07,7.96
1990-03-08,8.07
1990-03-09,7.89
1990-03-12,7.89
1990-03-13,7.82
1990-03-14,7.78
1990-03-15,7.86
1990-03-16,7.93
1990-03-19,7.86
1990-03-20,7.86
1990-03-21,7.86
1990-03-22,7.64
1990-03-23,7.54
1990-03-26,7.4
1990-03-27,7.5
1990-03-28,7.5
1990-03-29,7.54
1990-03-30,7.57
1990-04-02,7.57
1990-04-03,7.57
1990-04-04,7.54
1990-04-05,7.5
1990-04-06,7.54
1990-04-09,7.5
1990-04-10,7.5
1990-04-11,7.36
1990-04-12,7.43
1990-04-16,7.47
1990-04-17,7.29
1990-04-18,7.33
1990-04-19,7.08
1990-04-20,6.87
1990-04-23,6.94
1990-04-24,6.94
1990-04-25,7.01
1990-04-26,7.01
1990-04-27,6.73
1990-04-30,6.9
1990-05-01,6.97
1990-05-02,6.97
1990-05-03,6.87
1990-05-04,7.04
1990-05-07,7.15
1990-05-08,7.15
1990-05-09,7.15
1990-05-10,7.15
1990-05-11,7.57
1990-05-14,7.4
1990-05-15,7.33
1990-05-16,7.22
1990-05-17,7.33
1990-05-18,7.43
1990-05-21,7.5
1990-05-22,7.36
1990-05-23,7.43
1990-05-24,7.43
1990-05-25,7.4
1990-05-29,7.5
1990-05-30,7.57
1990-05-31,7.5
1990-06-01,7.47
1990-06-04,7.61
1990-06-05,7.68
1990-06-06,7.64
1990-06-07,7.61
1990-06-08,7.64
1990-06-11,7.75
1990-06-12,7.82
1990-06-13,7.75
1990-06-14,7.61
1990-06-15,7.82
1990-06-18,7.57
1990-06-19,7.57
1990-06-20,7.61
1990-06-21,7.68
1990-06-22,7.4
1990-06-25,7.32
1990-06-26,7.32
1990-06-27,7.22
1990-06-28,7.22
1990-06-29,7.29
1990-07-02,7.29
1990-07-03,7.4
1990-07-05,7.08
1990-07-06,7.29
1990-07-09,7.29
1990-07-10,7.18
1990-07-11,7.22
1990-07-12,7.36
1990-07-13,7.4
1990-07-16,7.4
1990-07-17,7.36
1990-07-18,7.32
1990-07-19,7.29
1990-07-20,7.22
1990-07-23,7.15
1990-07-24,7.15
1990-07-25,7.11
1990-07-26,7.15
1990-07-27,7.15
1990-07-30,7.47
1990-07-31,7.4
1990-08-01,7.15
1990-08-02,7.0
1990-08-03,6.9
1990-08-06,6.76
1990-08-07,6.97
1990-08-08,7.11
1990-08-09,7.18
1990-08-10,6.97
1990-08-13,7.08
1990-08-14,7.04
1990-08-15,6.68
1990-08-16,6.72
1990-08-17,6.79
1990-08-20,6.79
1990-08-21,6.68
1990-08-22,6.79
1990-08-23,6.58
1990-08-24,6.83
1990-08-27,6.97
1990-08-28,7.11
1990-08-29,7.29
1990-08-30,7.32
1990-08-31,7.36
1990-09-04,7.32
1990-09-05,7.4
1990-09-06,7.29
1990-09-07,7.36
1990-09-10,7.22
1990-09-11,7.26
1990-09-12,7.18
1990-09-13,7.04
1990-09-14,7.04
1990-09-17,6.97
1990-09-18,6.9
1990-09-19,7.04
1990-09-20,6.97
1990-09-21,6.9
1990-09-24,6.54
1990-09-25,6.5
1990-09-26,6.43
1990-09-27,6.39
1990-09-28,6.5
1990-10-01,7.04
1990-10-02,7.15
1990-10-03,7.22
1990-10-04,7.36
1990-10-05,7.4
1990-10-08,7.33
1990-10-09,7.4
1990-10-10,7.33
1990-10-11,6.9
1990-10-12,7.04
1990-10-15,6.86
1990-10-16,6.79
1990-10-17,6.75
1990-10-18,6.68
1990-10-19,6.9
1990-10-22,6.97
1990-10-23,6.9
1990-10-24,6.79
1990-10-25,6.9
1990-10-26,6.72
1990-10-29,6.93
1990-10-30,7.18
1990-10-31,7.04
1990-11-01,7.26
1990-11-02,7.29
1990-11-05,7.22
1990-11-06,7.04
1990-11-07,6.9
1990-11-08,6.9
1990-11-09,6.9
1990-11-12,7.15
1990-11-13,7.22
1990-11-14,7.36
1990-11-15,7.43
1990-11-16,7.61
1990-11-19,7.76
1990-11-20,7.76
1990-11-21,7.76
1990-11-23,7.83
1990-11-26,7.76
1990-11-27,7.72
1990-11-28,7.72
1990-11-29,7.69
1990-11-30,7.76
1990-12-03,7.79
1990-12-04,7.76
1990-12-05,7.94
1990-12-06,8.02
1990-12-07,7.73
1990-12-10,7.54
1990-12-11,7.73
1990-12-12,7.73
1990-12-13,8.05
1990-12-14,8.05
1990-12-17,7.94
1990-12-18,8.05
1990-12-19,7.76
1990-12-20,7.58
1990-12-21,7.91
1990-12-24,7.91
1990-12-26,7.87
1990-12-27,7.54
1990-12-28,7.65
1990-12-31,7.73
1991-01-02,7.73
1991-01-03,7.54
1991-01-04,7.73
1991-01-07,7.58
1991-01-08,7.69
1991-01-09,7.54
1991-01-10,7.65
1991-01-11,7.58
1991-01-14,7.58
1991-01-15,7.54
1991-01-16,7.58
1991-01-17,7.87
1991-01-18,7.98
1991-01-21,7.91
1991-01-22,7.8
1991-01-23,7.94
1991-01-24,8.12
1991-01-25,8.12
1991-01-28,8.02
1991-01-29,7.91
1991-01-30,8.12
1991-01-31,8.12
1991-02-01,8.09
1991-02-04,8.41
1991-02-05,8.45
1991-02-06,8.56
1991-02-07,8.6
1991-02-08,8.81
1991-02-11,9.03
1991-02-12,8.99
1991-02-13,8.92
1991-02-14,8.6
1991-02-15,8.85
1991-02-19,8.85
1991-02-20,8.7
1991-02-21,8.67
1991-02-22,8.6
1991-02-25,8.38
1991-02-26,8.31
1991-02-27,8.56
1991-02-28,8.38
1991-03-01,8.38
1991-03-04,8.38
1991-03-05,8.41
1991-03-06,8.49
1991-03-07,8.34
1991-03-08,8.38
1991-03-11,8.38
1991-03-12,8.42
1991-03-13,8.42
1991-03-14,8.38
1991-03-15,8.49
1991-03-18,8.34
1991-03-19,8.23
1991-03-20,8.34
1991-03-21,8.27
1991-03-22,8.42
1991-03-25,8.45
1991-03-26,8.42
1991-03-27,8.49
1991-03-28,8.67
1991-04-01,8.64
1991-04-02,8.86
1991-04-03,8.82
1991-04-04,8.93
1991-04-05,8.78
1991-04-08,8.82
1991-04-09,8.78
1991-04-10,8.64
1991-04-11,8.56
1991-04-12,8.71
1991-04-15,8.67
1991-04-16,8.93
1991-04-17,8.89
1991-04-18,9.22
1991-04-19,8.97
1991-04-22,8.93
1991-04-23,9.08
1991-04-24,9.0
1991-04-25,8.78
1991-04-26,8.78
1991-04-29,8.82
1991-04-30,8.82
1991-05-01,8.89
1991-05-02,8.89
1991-05-03,8.93
1991-05-06,8.86
1991-05-07,8.93
1991-05-08,8.86
1991-05-09,9.04
1991-05-10,8.89
1991-05-13,8.93
1991-05-14,8.93
1991-05-15,8.89
1991-05-16,9.26
1991-05-17,9.3
1991-05-20,9.26
1991-05-21,9.37
1991-05-22,9.22
1991-05-23,9.26
1991-05-24,9.44
1991-05-28,9.99
1991-05-29,9.88
1991-05-30,9.96
1991-05-31,10.1
1991-06-03,10.43
1991-06-04,10.17
1991-06-05,10.07
1991-06-06,9.92
1991-06-07,10.03
1991-06-10,9.92
1991-06-11,10.14
1991-06-12,9.81
1991-06-13,9.85
1991-06-14,9.99
1991-06-17,10.58
1991-06-18,10.03
1991-06-19,10.03
1991-06-20,10.03
1991-06-21,10.4
1991-06-24,10.03
1991-06-25,9.88
1991-06-26,10.29
1991-06-27,10.1
1991-06-28,9.81
1991-07-01,10.33
1991-07-02,10.14
1991-07-03,9.99
1991-07-05,10.1
1991-07-08,10.22
1991-07-09,10.14
1991-07-10,10.33
1991-07-11,10.07
1991-07-12,10.29
1991-07-15,10.47
1991-07-16,10.4
1991-07-17,10.1
1991-07-18,10.18
1991-07-19,10.22
1991-07-22,10.14
1991-07-23,10.33
1991-07-24,9.99
1991-07-25,10.18
1991-07-26,10.07
1991-07-29,10.4
1991-07-30,10.4
1991-07-31,10.47
1991-08-01,10.36
1991-08-02,10.18
1991-08-05,10.18
1991-08-06,10.29
1991-08-07,10.22
1991-08-08,10.29
1991-08-09,10.33
1991-08-12,10.33
1991-08-13,10.36
1991-08-14,10.18
1991-08-15,10.07
1991-08-16,9.85
1991-08-19,9.51
1991-08-20,9.63
1991-08-21,9.81
1991-08-22,9.92
1991-08-23,10.07
1991-08-26,10.14
1991-08-27,10.4
1991-08-28,10.62
1991-08-29,10.81
1991-08-30,10.84
1991-09-03,10.58
1991-09-04,10.69
1991-09-05,10.78
1991-09-06,10.74
1991-09-09,10.74
1991-09-10,10.59
1991-09-11,10.63
1991-09-12,10.7
1991-09-13,10.85
1991-09-16,11.07
1991-09-17,10.89
1991-09-18,10.85
1991-09-19,10.89
1991-09-20,11.04
1991-09-23,11.11
1991-09-24,11.07
1991-09-25,11.04
1991-09-26,11.04
1991-09-27,10.93
1991-09-30,11.0
1991-10-01,10.81
1991-10-02,10.66
1991-10-03,10.59
1991-10-04,10.59
1991-10-07,10.59
1991-10-08,10.55
1991-10-09,10.44
1991-10-10,10.4
1991-10-11,10.29
1991-10-14,10.4
1991-10-15,10.66
1991-10-16,11.0
1991-10-17,11.3
1991-10-18,11.59
1991-10-21,11.19
1991-10-22,11.59
1991-10-23,11.63
1991-10-24,11.3
1991-10-25,11.26
1991-10-28,11.3
1991-10-29,11.3
1991-10-30,11.48
1991-10-31,11.74
1991-11-01,11.48
1991-11-04,11.41
1991-11-05,11.3
1991-11-06,11.19
1991-11-07,11.52
1991-11-08,11.52
1991-11-11,11.45
1991-11-12,11.71
1991-11-13,11.52
1991-11-14,11.63
1991-11-15,11.48
1991-11-18,11.07
1991-11-19,10.63
1991-11-20,10.52
1991-11-21,10.63
1991-11-22,10.81
1991-11-25,10.4
1991-11-26,10.81
1991-11-27,10.74
1991-11-29,10.63
1991-12-02,10.89
1991-12-03,10.96
1991-12-04,10.63
1991-12-05,10.64
1991-12-06,10.71
