Date,Price
2014-04-17,16.57
2014-04-21,16.4
2014-04-22,16.38
2014-04-23,16.36
2014-04-24,16.21
2014-04-25,16.47
2014-04-28,16.25
2014-04-29,16.26
2014-04-30,16.14
2014-05-01,16.57
2014-05-02,16.53
2014-05-05,16.39
2014-05-06,15.93
2014-05-07,16.18
2014-05-08,16.04
2014-05-09,15.87
2014-05-12,15.55
2014-05-13,15.45
2014-05-14,15.35
2014-05-15,15.35
2014-05-16,15.46
2014-05-19,15.62
2014-05-20,15.54
2014-05-21,15.53
2014-05-22,15.57
2014-05-23,15.67
2014-05-27,15.58
2014-05-28,15.29
2014-05-29,15.29
2014-05-30,15.4
2014-06-02,15.41
2014-06-03,15.43
2014-06-04,15.64
2014-06-05,16.41
2014-06-06,16.41
2014-06-09,16.55
2014-06-10,16.54
2014-06-11,16.62
2014-06-12,16.48
2014-06-13,16.41
2014-06-16,16.52
2014-06-17,16.58
2014-06-18,16.79
2014-06-19,16.92
2014-06-20,17.19
2014-06-23,17.4
2014-06-24,17.38
2014-06-25,17.33
2014-06-26,17.39
2014-06-27,17.56
2014-06-30,17.43
2014-07-01,17.49
2014-07-02,17.49
2014-07-03,17.42
2014-07-07,17.37
2014-07-08,17.32
2014-07-09,17.44
2014-07-10,17.5
2014-07-11,17.61
2014-07-14,17.72
2014-07-15,17.42
2014-07-16,17.54
2014-07-17,17.42
2014-07-18,17.41
2014-07-21,17.58
2014-07-22,17.69
2014-07-23,17.7
2014-07-24,17.69
2014-07-25,17.59
2014-07-28,17.71
2014-07-29,17.42
2014-07-30,17.3
2014-07-31,16.93
2014-08-01,17.07
2014-08-04,16.9
2014-08-05,16.68
2014-08-06,16.72
2014-08-07,16.6
2014-08-08,17.01
2014-08-11,16.83
2014-08-12,16.83
2014-08-13,16.9
2014-08-14,16.88
2014-08-15,16.75
2014-08-18,17.11
2014-08-19,17.05
2014-08-20,17.23
2014-08-21,17.19
2014-08-22,17.18
2014-08-25,17.35
2014-08-26,17.33
2014-08-27,17.43
2014-08-28,17.44
2014-08-29,17.66
2014-09-02,17.7
2014-09-03,17.7
2014-09-04,17.68
2014-09-05,17.51
2014-09-08,17.41
2014-09-09,17.21
2014-09-10,17.23
2014-09-11,17.34
2014-09-12,17.49
2014-09-15,17.24
2014-09-16,17.37
2014-09-17,17.69
2014-09-18,17.72
2014-09-19,17.73
2014-09-22,17.69
2014-09-23,17.47
2014-09-24,17.78
2014-09-25,17.6
2014-09-26,17.55
2014-09-29,17.52
2014-09-30,17.58
2014-10-01,17.32
2014-10-02,17.28
2014-10-03,17.31
2014-10-06,17.44
2014-10-07,17.18
2014-10-08,17.22
2014-10-09,17.14
2014-10-10,17.0
2014-10-13,17.18
2014-10-14,17.35
2014-10-15,17.3
2014-10-16,17.51
2014-10-17,18.48
2014-10-20,18.51
2014-10-21,18.66
2014-10-22,18.4
2014-10-23,18.58
2014-10-24,18.76
2014-10-27,18.71
2014-10-28,18.9
2014-10-29,19.12
2014-10-30,19.36
2014-10-31,19.64
2014-11-03,19.86
2014-11-04,19.32
2014-11-05,19.48
2014-11-06,19.96
2014-11-07,20.07
2014-11-10,20.06
2014-11-11,20.15
2014-11-12,19.99
2014-11-13,20.63
2014-11-14,20.26
2014-11-17,20.66
2014-11-18,20.72
2014-11-19,20.56
2014-11-20,20.55
2014-11-21,21.03
2014-11-24,20.79
2014-11-25,20.8
2014-11-26,20.76
2014-11-28,20.81
2014-12-01,20.76
2014-12-02,20.82
2014-12-03,20.9
2014-12-04,20.82
2014-12-05,21.0
2014-12-08,21.29
2014-12-09,21.49
2014-12-10,21.28
2014-12-11,21.49
2014-12-12,20.83
2014-12-15,21.07
2014-12-16,20.88
2014-12-17,21.26
2014-12-18,21.5
2014-12-19,22.35
2014-12-22,22.57
2014-12-23,22.35
2014-12-24,22.17
2014-12-26,21.96
2014-12-29,21.84
2014-12-30,21.99
2014-12-31,21.61
