Date,Price
1990-03-26,3.17
1990-03-27,3.17
1990-03-28,3.21
1990-03-29,3.26
1990-03-30,3.21
1990-04-02,3.45
1990-04-03,3.77
1990-04-04,3.87
1990-04-05,3.77
1990-04-06,3.77
1990-04-09,3.77
1990-04-10,3.68
1990-04-11,3.68
1990-04-12,3.77
1990-04-16,3.82
1990-04-17,3.82
1990-04-18,3.87
1990-04-19,4.01
1990-04-20,3.87
1990-04-23,3.82
1990-04-24,3.87
1990-04-25,3.96
1990-04-26,4.05
1990-04-27,4.01
1990-04-30,3.91
1990-05-01,3.91
1990-05-02,3.96
1990-05-03,3.96
1990-05-04,3.91
1990-05-07,3.91
1990-05-08,3.96
1990-05-09,4.01
1990-05-10,4.05
1990-05-11,4.1
1990-05-14,4.1
1990-05-15,4.15
1990-05-16,4.19
1990-05-17,4.28
1990-05-18,4.28
1990-05-21,4.24
1990-05-22,4.28
1990-05-23,4.24
1990-05-24,4.24
1990-05-25,4.15
1990-05-29,4.24
1990-05-30,4.15
1990-05-31,4.24
1990-06-01,4.19
1990-06-04,4.24
1990-06-05,4.19
1990-06-06,4.15
1990-06-07,4.15
1990-06-08,4.1
1990-06-11,4.1
1990-06-12,4.05
1990-06-13,4.15
1990-06-14,4.1
1990-06-15,4.05
1990-06-18,4.01
1990-06-19,3.91
1990-06-20,3.73
1990-06-21,3.73
1990-06-22,3.59
1990-06-25,3.49
1990-06-26,3.59
1990-06-27,3.54
1990-06-28,3.59
1990-06-29,3.59
1990-07-02,3.59
1990-07-03,3.59
1990-07-05,3.59
1990-07-06,3.54
1990-07-09,3.49
1990-07-10,3.4
1990-07-11,3.49
1990-07-12,3.49
1990-07-13,3.45
1990-07-16,3.63
1990-07-17,3.54
1990-07-18,3.63
1990-07-19,3.59
1990-07-20,3.77
1990-07-23,3.73
1990-07-24,3.91
1990-07-25,4.1
1990-07-26,4.01
1990-07-27,3.96
1990-07-30,3.82
1990-07-31,3.91
1990-08-01,3.87
1990-08-02,4.19
1990-08-03,4.15
1990-08-06,4.01
1990-08-07,4.01
1990-08-08,3.91
1990-08-09,3.63
1990-08-10,3.63
1990-08-13,3.59
1990-08-14,3.63
1990-08-15,3.68
1990-08-16,3.73
1990-08-17,3.91
1990-08-20,3.96
1990-08-21,3.77
1990-08-22,3.59
1990-08-23,3.31
1990-08-24,3.21
1990-08-27,3.35
1990-08-28,3.35
1990-08-29,3.26
1990-08-30,3.31
1990-08-31,3.31
1990-09-04,3.31
1990-09-05,3.4
1990-09-06,3.45
1990-09-07,3.59
1990-09-10,3.68
1990-09-11,3.68
1990-09-12,3.73
1990-09-13,3.73
1990-09-14,3.73
1990-09-17,3.68
1990-09-18,3.68
1990-09-19,3.63
1990-09-20,3.68
1990-09-21,3.68
1990-09-24,3.73
1990-09-25,3.68
1990-09-26,3.54
1990-09-27,3.45
1990-09-28,3.45
1990-10-01,3.31
1990-10-02,3.35
1990-10-03,3.31
1990-10-04,3.31
1990-10-05,3.35
1990-10-08,3.45
1990-10-09,3.26
1990-10-10,3.26
1990-10-11,3.03
1990-10-12,3.12
1990-10-15,3.17
1990-10-16,3.17
1990-10-17,3.12
1990-10-18,3.21
1990-10-19,3.21
1990-10-22,3.12
1990-10-23,3.12
1990-10-24,3.12
1990-10-25,3.17
1990-10-26,3.12
1990-10-29,3.03
1990-10-30,2.75
1990-10-31,2.61
1990-11-01,2.7
1990-11-02,2.65
1990-11-05,2.79
1990-11-06,3.03
1990-11-07,3.12
1990-11-08,3.17
1990-11-09,3.17
1990-11-12,3.21
1990-11-13,3.03
1990-11-14,2.98
1990-11-15,2.93
1990-11-16,2.84
1990-11-19,2.7
1990-11-20,2.65
1990-11-21,2.56
1990-11-23,2.56
1990-11-26,2.51
1990-11-27,2.56
1990-11-28,2.61
1990-11-29,2.51
1990-11-30,2.56
1990-12-03,2.51
1990-12-04,2.51
1990-12-05,2.47
1990-12-06,2.42
1990-12-07,2.51
1990-12-10,2.42
1990-12-11,2.38
1990-12-12,2.28
1990-12-13,2.24
1990-12-14,2.42
1990-12-17,2.28
1990-12-18,2.33
1990-12-19,2.19
1990-12-20,2.24
1990-12-21,2.28
1990-12-24,2.24
1990-12-26,2.33
1990-12-27,2.42
1990-12-28,2.47
1990-12-31,2.7
1991-01-02,2.65
1991-01-03,2.65
1991-01-04,2.61
1991-01-07,2.47
1991-01-08,2.28
1991-01-09,2.28
1991-01-10,2.33
1991-01-11,2.33
1991-01-14,1.96
1991-01-15,1.96
1991-01-16,2.05
1991-01-17,2.24
1991-01-18,2.19
1991-01-21,2.14
1991-01-22,2.28
1991-01-23,2.38
1991-01-24,2.42
1991-01-25,2.56
1991-01-28,2.51
1991-01-29,2.56
1991-01-30,2.51
1991-01-31,2.47
1991-02-01,2.38
1991-02-04,2.33
1991-02-05,2.33
1991-02-06,2.51
1991-02-07,2.7
1991-02-08,2.79
1991-02-11,2.89
1991-02-12,2.89
1991-02-13,2.89
1991-02-14,2.7
1991-02-15,2.7
1991-02-19,2.65
1991-02-20,2.51
1991-02-21,2.51
1991-02-22,2.56
1991-02-25,2.61
1991-02-26,2.75
1991-02-27,2.84
1991-02-28,2.75
1991-03-01,2.61
1991-03-04,2.65
1991-03-05,2.75
1991-03-06,2.75
1991-03-07,2.75
1991-03-08,2.7
1991-03-11,2.65
1991-03-12,2.65
1991-03-13,2.65
1991-03-14,2.65
1991-03-15,2.51
1991-03-18,2.56
1991-03-19,2.51
1991-03-20,2.51
1991-03-21,2.42
1991-03-22,2.42
1991-03-25,2.47
1991-03-26,2.42
1991-03-27,2.33
1991-03-28,2.33
1991-04-01,2.42
1991-04-02,2.38
1991-04-03,2.33
1991-04-04,2.38
1991-04-05,2.19
1991-04-08,2.33
1991-04-09,2.24
1991-04-10,2.33
1991-04-11,2.28
1991-04-12,2.19
1991-04-15,2.14
1991-04-16,2.14
1991-04-17,2.14
1991-04-18,2.19
1991-04-19,2.24
1991-04-22,2.19
1991-04-23,2.28
1991-04-24,2.28
1991-04-25,2.28
1991-04-26,2.24
1991-04-29,2.24
1991-04-30,2.24
1991-05-01,2.19
1991-05-02,2.19
1991-05-03,2.1
1991-05-06,2.1
1991-05-07,2.24
1991-05-08,2.24
1991-05-09,2.28
1991-05-10,2.28
1991-05-13,2.24
1991-05-14,2.19
1991-05-15,2.14
1991-05-16,2.19
1991-05-17,2.19
1991-05-20,2.1
1991-05-21,2.1
1991-05-22,2.1
1991-05-23,2.05
1991-05-24,1.96
1991-05-28,2.0
1991-05-29,2.05
1991-05-30,2.0
1991-05-31,2.0
1991-06-03,1.96
1991-06-04,2.05
1991-06-05,2.24
1991-06-06,2.19
1991-06-07,2.28
1991-06-10,2.19
1991-06-11,2.24
1991-06-12,2.19
1991-06-13,2.24
1991-06-14,2.24
1991-06-17,2.24
1991-06-18,2.19
1991-06-19,2.24
1991-06-20,2.1
1991-06-21,2.05
1991-06-24,2.05
1991-06-25,2.1
1991-06-26,2.05
1991-06-27,2.05
1991-06-28,1.96
1991-07-01,2.0
1991-07-02,1.96
1991-07-03,1.86
1991-07-05,1.86
1991-07-08,1.86
1991-07-09,1.77
1991-07-10,1.86
1991-07-11,1.82
1991-07-12,1.82
1991-07-15,1.72
1991-07-16,1.86
1991-07-17,2.1
1991-07-18,2.1
1991-07-19,2.1
1991-07-22,2.1
1991-07-23,2.05
1991-07-24,1.96
1991-07-25,2.14
1991-07-26,2.05
1991-07-29,2.1
1991-07-30,2.14
1991-07-31,2.05
1991-08-01,2.19
1991-08-02,2.19
1991-08-05,2.1
1991-08-06,2.1
1991-08-07,2.14
1991-08-08,2.05
1991-08-09,2.14
1991-08-12,2.05
1991-08-13,2.05
1991-08-14,2.14
1991-08-15,2.05
1991-08-16,2.05
1991-08-19,2.0
1991-08-20,1.96
1991-08-21,2.0
1991-08-22,2.05
1991-08-23,2.05
1991-08-26,1.96
1991-08-27,2.05
1991-08-28,2.0
1991-08-29,2.1
1991-08-30,2.05
1991-09-03,2.05
1991-09-04,2.1
1991-09-05,2.05
1991-09-06,2.1
1991-09-09,2.05
1991-09-10,2.05
1991-09-11,2.05
1991-09-12,2.05
1991-09-13,2.05
1991-09-16,1.96
1991-09-17,1.91
1991-09-18,1.96
1991-09-19,1.86
1991-09-20,1.91
1991-09-23,1.82
1991-09-24,1.86
1991-09-25,1.82
1991-09-26,1.91
1991-09-27,1.86
1991-09-30,1.82
1991-10-01,1.86
1991-10-02,1.82
1991-10-03,1.82
1991-10-04,1.68
1991-10-07,1.68
1991-10-08,1.68
1991-10-09,1.58
1991-10-10,1.58
1991-10-11,1.54
1991-10-14,1.54
1991-10-15,1.72
1991-10-16,1.72
1991-10-17,1.63
