Date,Price
1990-01-02,28.83
1990-01-03,28.6
1990-01-04,28.75
1990-01-05,29.51
1990-01-08,28.83
1990-01-09,28.83
1990-01-10,30.49
1990-01-11,31.47
1990-01-12,30.49
1990-01-15,31.25
1990-01-16,30.94
1990-01-17,31.02
1990-01-18,30.72
1990-01-19,30.34
1990-01-22,30.57
1990-01-23,31.17
1990-01-24,31.4
1990-01-25,31.02
1990-01-26,32.0
1990-01-29,32.61
1990-01-30,32.53
1990-01-31,31.32
1990-02-01,31.78
1990-02-02,31.7
1990-02-05,32.83
1990-02-06,31.93
1990-02-07,32.08
1990-02-08,32.0
1990-02-09,31.55
1990-02-12,31.7
1990-02-13,32.17
1990-02-14,32.17
1990-02-15,31.41
1990-02-16,32.32
1990-02-20,32.55
1990-02-21,32.85
1990-02-22,32.55
1990-02-23,32.47
1990-02-26,31.49
1990-02-27,32.17
1990-02-28,31.56
1990-03-01,32.09
1990-03-02,32.02
1990-03-05,31.64
1990-03-06,32.02
1990-03-07,30.96
1990-03-08,31.49
1990-03-09,30.88
1990-03-12,30.73
1990-03-13,29.82
1990-03-14,29.97
1990-03-15,30.8
1990-03-16,31.34
1990-03-19,31.56
1990-03-20,30.35
1990-03-21,30.2
1990-03-22,30.05
1990-03-23,29.51
1990-03-26,27.85
1990-03-27,27.39
1990-03-28,27.54
1990-03-29,29.06
1990-03-30,28.83
1990-04-02,27.92
1990-04-03,28.38
1990-04-04,28.22
1990-04-05,28.22
1990-04-06,28.6
1990-04-09,27.92
1990-04-10,27.54
1990-04-11,26.18
1990-04-12,26.48
1990-04-16,25.8
1990-04-17,25.65
1990-04-18,26.63
1990-04-19,26.56
1990-04-20,25.87
1990-04-23,26.02
1990-04-24,25.8
1990-04-25,25.65
1990-04-26,25.8
1990-04-27,25.49
1990-04-30,25.49
1990-05-01,25.95
1990-05-02,25.87
1990-05-03,26.1
1990-05-04,26.4
1990-05-07,26.48
1990-05-08,26.25
1990-05-09,27.31
1990-05-10,27.54
1990-05-11,27.92
1990-05-14,27.69
1990-05-15,27.16
1990-05-16,27.09
1990-05-17,26.8
1990-05-18,27.56
1990-05-21,28.4
1990-05-22,28.93
1990-05-23,28.17
1990-05-24,28.24
1990-05-25,27.86
1990-05-29,28.09
1990-05-30,27.86
1990-05-31,27.86
1990-06-01,27.56
1990-06-04,27.18
1990-06-05,27.18
1990-06-06,26.87
1990-06-07,25.96
1990-06-08,25.43
1990-06-11,26.04
1990-06-12,26.34
1990-06-13,25.58
1990-06-14,24.82
1990-06-15,25.43
1990-06-18,25.5
1990-06-19,25.58
1990-06-20,26.26
1990-06-21,26.26
1990-06-22,25.66
1990-06-25,25.81
1990-06-26,25.58
1990-06-27,25.96
1990-06-28,25.96
1990-06-29,26.57
1990-07-02,26.65
1990-07-03,27.56
1990-07-05,26.8
1990-07-06,27.18
1990-07-09,26.65
1990-07-10,26.34
1990-07-11,26.34
1990-07-12,27.1
1990-07-13,28.02
1990-07-16,28.09
1990-07-17,28.47
1990-07-18,27.33
1990-07-19,27.94
1990-07-20,27.79
1990-07-23,28.62
1990-07-24,28.4
1990-07-25,29.16
1990-07-26,29.08
1990-07-27,29.39
1990-07-30,29.69
1990-07-31,30.15
1990-08-01,30.38
1990-08-02,31.44
1990-08-03,31.21
1990-08-06,31.21
1990-08-07,31.37
1990-08-08,31.37
1990-08-09,31.21
1990-08-10,31.97
1990-08-13,32.81
1990-08-14,32.36
1990-08-15,32.68
1990-08-16,33.13
1990-08-17,32.9
1990-08-20,32.52
1990-08-21,32.29
1990-08-22,32.22
1990-08-23,32.22
1990-08-24,30.92
1990-08-27,28.71
1990-08-28,29.09
1990-08-29,29.24
1990-08-30,27.18
1990-08-31,26.8
1990-09-04,26.95
1990-09-05,27.48
1990-09-06,27.18
1990-09-07,27.03
1990-09-10,26.11
1990-09-11,26.19
1990-09-12,25.96
1990-09-13,25.96
1990-09-14,26.26
1990-09-17,26.8
1990-09-18,26.26
1990-09-19,25.58
1990-09-20,25.5
1990-09-21,25.65
1990-09-24,26.95
1990-09-25,27.18
1990-09-26,26.34
1990-09-27,25.35
1990-09-28,25.19
1990-10-01,24.35
1990-10-02,24.51
1990-10-03,24.51
1990-10-04,24.35
1990-10-05,24.51
1990-10-08,24.43
1990-10-09,23.13
1990-10-10,22.9
1990-10-11,21.68
1990-10-12,22.67
1990-10-15,21.38
1990-10-16,21.22
1990-10-17,21.3
1990-10-18,21.53
1990-10-19,21.68
1990-10-22,22.14
1990-10-23,22.14
1990-10-24,22.29
1990-10-25,22.67
1990-10-26,21.91
1990-10-29,21.99
1990-10-30,22.45
1990-10-31,22.45
1990-11-01,22.52
1990-11-02,22.45
1990-11-05,22.83
1990-11-06,22.83
1990-11-07,22.67
1990-11-08,22.9
1990-11-09,23.21
1990-11-12,23.13
1990-11-13,23.21
1990-11-14,22.6
1990-11-15,22.52
1990-11-16,21.99
1990-11-19,21.91
1990-11-20,21.39
1990-11-21,21.39
1990-11-23,21.7
1990-11-26,21.85
1990-11-27,21.77
1990-11-28,21.85
1990-11-29,21.77
1990-11-30,21.7
1990-12-03,21.16
1990-12-04,21.24
1990-12-05,20.32
1990-12-06,20.01
1990-12-07,20.32
1990-12-10,20.78
1990-12-11,20.32
1990-12-12,20.78
1990-12-13,21.01
1990-12-14,21.08
1990-12-17,21.16
1990-12-18,20.93
1990-12-19,22.31
1990-12-20,22.69
1990-12-21,22.62
1990-12-24,22.85
1990-12-26,23.08
1990-12-27,22.62
1990-12-28,24.15
1990-12-31,25.07
1991-01-02,24.53
1991-01-03,23.84
1991-01-04,23.46
1991-01-07,25.61
1991-01-08,25.22
1991-01-09,24.99
1991-01-10,24.61
1991-01-11,24.76
1991-01-14,25.22
1991-01-15,24.84
1991-01-16,24.3
1991-01-17,22.08
1991-01-18,22.69
1991-01-21,23.08
1991-01-22,23.15
1991-01-23,22.69
1991-01-24,22.46
1991-01-25,22.46
1991-01-28,22.0
1991-01-29,22.08
1991-01-30,21.7
1991-01-31,22.0
1991-02-01,22.08
1991-02-04,21.47
1991-02-05,21.47
1991-02-06,22.08
1991-02-07,22.85
1991-02-08,22.85
1991-02-11,22.46
1991-02-12,23.0
1991-02-13,23.02
1991-02-14,23.17
1991-02-15,22.55
1991-02-19,21.86
1991-02-20,22.09
1991-02-21,22.01
1991-02-22,21.24
1991-02-25,21.63
1991-02-26,21.63
1991-02-27,21.78
1991-02-28,22.4
1991-03-01,22.71
1991-03-04,23.78
1991-03-05,23.55
1991-03-06,23.86
1991-03-07,23.71
1991-03-08,24.17
1991-03-11,23.55
1991-03-12,23.71
1991-03-13,24.32
1991-03-14,23.94
1991-03-15,23.32
1991-03-18,22.94
1991-03-19,22.78
1991-03-20,22.48
1991-03-21,22.25
1991-03-22,22.17
1991-03-25,22.01
1991-03-26,21.86
1991-03-27,21.71
1991-03-28,21.78
1991-04-01,22.09
1991-04-02,22.25
1991-04-03,22.55
1991-04-04,22.48
1991-04-05,22.09
1991-04-08,22.32
1991-04-09,22.71
1991-04-10,22.63
1991-04-11,21.94
