Date,Price
2011-01-27,24.37
2011-01-28,23.99
2011-01-31,25.02
2011-02-01,24.71
2011-02-02,24.9
2011-02-03,24.9
2011-02-04,25.03
2011-02-07,24.75
2011-02-08,24.98
2011-02-09,24.55
2011-02-10,24.37
2011-02-11,24.2
2011-02-14,24.35
2011-02-15,24.36
2011-02-16,24.95
2011-02-17,25.92
2011-02-18,26.57
2011-02-22,25.35
2011-02-23,25.58
2011-02-24,24.9
2011-02-25,24.94
2011-02-28,25.52
2011-03-01,26.04
2011-03-02,25.83
2011-03-03,25.66
2011-03-04,25.48
2011-03-07,25.91
2011-03-08,26.01
2011-03-09,25.88
2011-03-10,24.97
2011-03-11,24.95
2011-03-14,25.39
2011-03-15,25.28
2011-03-16,24.98
2011-03-17,25.04
2011-03-18,25.56
2011-03-21,25.91
2011-03-22,26.05
2011-03-23,25.7
2011-03-24,25.97
2011-03-25,26.51
2011-03-28,26.38
2011-03-29,26.81
2011-03-30,26.7
2011-03-31,26.21
2011-04-01,26.19
2011-04-04,26.63
2011-04-05,26.3
2011-04-06,26.39
2011-04-07,26.37
2011-04-08,25.94
2011-04-11,26.53
2011-04-12,26.95
2011-04-13,26.94
2011-04-14,26.54
2011-04-15,26.89
2011-04-18,26.2
2011-04-19,26.49
2011-04-20,26.18
2011-04-21,27.59
2011-04-25,27.45
2011-04-26,27.32
2011-04-27,27.56
2011-04-28,28.14
2011-04-29,28.68
2011-05-02,28.63
2011-05-03,28.17
2011-05-04,27.69
2011-05-05,28.57
2011-05-06,28.63
2011-05-09,29.07
2011-05-10,29.0
2011-05-11,28.97
2011-05-12,29.05
2011-05-13,29.37
2011-05-16,29.65
2011-05-17,30.77
2011-05-18,30.74
2011-05-19,30.42
2011-05-20,30.65
2011-05-23,30.18
2011-05-24,29.37
2011-05-25,29.5
2011-05-26,29.77
2011-05-27,30.09
2011-05-31,30.22
2011-06-01,29.59
2011-06-02,30.71
2011-06-03,30.34
2011-06-06,29.89
2011-06-07,30.49
2011-06-08,30.17
2011-06-09,30.22
2011-06-10,29.33
2011-06-13,29.4
2011-06-14,29.37
2011-06-15,28.54
2011-06-16,27.95
2011-06-17,29.06
2011-06-20,28.35
2011-06-21,29.32
2011-06-22,28.8
2011-06-23,29.51
2011-06-24,28.76
2011-06-27,28.21
2011-06-28,28.72
2011-06-29,29.27
2011-06-30,29.9
2011-07-01,29.6
2011-07-05,29.65
2011-07-06,29.45
2011-07-07,30.09
2011-07-08,29.38
2011-07-11,28.87
2011-07-12,28.84
2011-07-13,28.89
2011-07-14,29.08
2011-07-15,29.79
2011-07-18,29.3
2011-07-19,29.6
2011-07-20,29.0
2011-07-21,29.28
2011-07-22,29.69
2011-07-25,29.15
2011-07-26,29.07
2011-07-27,29.16
2011-07-28,29.16
2011-07-29,28.75
2011-08-01,28.68
2011-08-02,27.83
2011-08-03,27.94
2011-08-04,26.99
2011-08-05,26.53
2011-08-08,25.07
2011-08-09,25.96
2011-08-10,25.4
2011-08-11,26.32
2011-08-12,25.96
2011-08-15,26.75
2011-08-16,26.75
2011-08-17,27.36
2011-08-18,26.3
2011-08-19,25.49
2011-08-22,26.56
2011-08-23,26.33
2011-08-24,26.63
2011-08-25,26.41
2011-08-26,27.15
2011-08-29,28.36
2011-08-30,28.24
2011-08-31,28.46
2011-09-01,28.2
2011-09-02,28.32
2011-09-06,27.67
2011-09-07,27.9
2011-09-08,27.95
2011-09-09,27.19
2011-09-12,26.68
2011-09-13,26.5
2011-09-14,25.97
2011-09-15,26.6
2011-09-16,27.14
2011-09-19,27.12
2011-09-20,26.55
2011-09-21,27.44
