Date,Price
1990-01-01,46.48
1990-01-02,46.48
1990-01-03,50.81
1990-01-04,50.81
1990-01-05,50.81
1990-01-08,51.89
1990-01-09,52.97
1990-01-10,51.89
1990-01-11,54.32
1990-01-12,53.51
1990-01-15,52.97
1990-01-16,52.97
1990-01-17,53.51
1990-01-18,52.97
1990-01-19,52.97
1990-01-22,51.35
1990-01-23,50.81
1990-01-24,50.27
1990-01-25,48.1
1990-01-26,47.56
1990-01-29,48.64
1990-01-30,49.18
1990-01-31,49.72
1990-02-01,50.27
1990-02-02,52.97
1990-02-05,53.51
1990-02-06,51.89
1990-02-07,52.97
1990-02-08,52.97
1990-02-09,51.89
1990-02-12,51.89
1990-02-13,51.35
1990-02-14,54.05
1990-02-15,55.67
1990-02-16,56.21
1990-02-19,55.67
1990-02-20,56.75
1990-02-21,55.67
1990-02-22,57.83
1990-02-23,57.83
1990-02-26,57.29
1990-02-27,57.83
1990-02-28,57.83
1990-03-01,56.75
1990-03-02,56.75
1990-03-05,56.21
1990-03-06,55.13
1990-03-07,55.67
1990-03-08,56.21
1990-03-09,54.05
1990-03-12,52.97
1990-03-13,52.43
1990-03-14,52.97
1990-03-15,53.51
1990-03-16,54.05
1990-03-19,54.05
1990-03-20,53.51
1990-03-21,51.89
1990-03-22,50.81
1990-03-23,50.81
1990-03-26,49.72
1990-03-27,49.72
1990-03-28,50.27
1990-03-29,50.81
1990-03-30,50.81
1990-04-02,48.64
1990-04-03,48.64
1990-04-04,48.64
1990-04-05,48.64
1990-04-06,44.86
1990-04-09,42.7
1990-04-10,39.46
1990-04-11,40.0
1990-04-12,38.92
1990-04-13,38.92
1990-04-16,38.92
1990-04-17,38.92
1990-04-18,39.73
1990-04-19,38.92
1990-04-20,38.37
1990-04-23,38.1
1990-04-24,38.92
1990-04-25,37.83
1990-04-26,35.67
1990-04-27,34.05
1990-04-30,34.05
1990-05-01,34.05
1990-05-02,33.51
1990-05-03,33.51
1990-05-04,34.59
1990-05-07,34.59
1990-05-08,35.13
1990-05-09,35.13
1990-05-10,35.13
1990-05-11,34.59
1990-05-14,34.05
1990-05-15,34.05
1990-05-16,34.59
1990-05-17,36.75
1990-05-18,35.13
1990-05-21,36.21
1990-05-22,38.92
1990-05-23,37.83
1990-05-24,38.37
1990-05-25,37.29
1990-05-28,37.29
1990-05-29,36.21
1990-05-30,37.83
1990-05-31,37.29
1990-06-01,36.21
1990-06-04,36.21
1990-06-05,35.67
1990-06-06,34.59
1990-06-07,34.59
1990-06-08,34.05
1990-06-11,34.05
1990-06-12,35.13
1990-06-13,36.21
1990-06-14,36.21
1990-06-15,32.97
1990-06-18,32.43
1990-06-19,31.89
1990-06-20,31.89
1990-06-21,30.81
1990-06-22,30.27
1990-06-25,26.48
1990-06-26,28.92
1990-06-27,27.56
1990-06-28,26.21
1990-06-29,25.4
1990-07-02,25.94
1990-07-03,23.78
1990-07-04,25.4
1990-07-05,24.86
1990-07-06,26.48
1990-07-09,24.86
1990-07-10,25.4
1990-07-11,26.48
1990-07-12,26.48
1990-07-13,25.94
1990-07-16,25.94
1990-07-17,26.48
1990-07-18,26.48
1990-07-19,25.94
1990-07-20,25.4
1990-07-23,25.13
1990-07-24,25.94
1990-07-25,25.67
1990-07-26,25.94
1990-07-27,25.94
1990-07-30,25.94
1990-07-31,25.94
1990-08-01,27.56
1990-08-02,26.48
1990-08-03,26.75
1990-08-06,24.32
1990-08-07,24.86
1990-08-08,24.59
1990-08-09,24.32
1990-08-10,24.32
1990-08-13,21.08
1990-08-14,21.62
1990-08-15,23.24
1990-08-16,23.78
1990-08-17,22.7
1990-08-20,22.97
1990-08-21,22.16
1990-08-22,22.16
1990-08-23,21.08
1990-08-24,20.0
1990-08-27,20.0
1990-08-28,20.0
