Date,Price
1991-12-11,10.5
1991-12-12,10.5
1991-12-13,10.75
1991-12-16,10.12
1991-12-17,10.0
1991-12-18,10.25
1991-12-19,10.12
1991-12-20,10.12
1991-12-23,10.5
1991-12-24,11.12
1991-12-26,11.75
1991-12-27,11.5
1991-12-30,11.75
1991-12-31,12.0
1992-01-02,11.62
1992-01-03,12.0
1992-01-06,12.38
1992-01-07,12.75
1992-01-08,12.75
1992-01-09,13.0
1992-01-10,12.88
1992-01-13,12.75
1992-01-14,12.88
1992-01-15,13.38
1992-01-16,13.88
1992-01-17,13.88
1992-01-20,13.62
1992-01-21,13.12
1992-01-22,12.88
1992-01-23,13.0
1992-01-24,12.62
1992-01-27,12.75
1992-01-28,12.88
1992-01-29,12.38
1992-01-30,13.0
1992-01-31,12.75
1992-02-03,12.75
1992-02-04,13.12
1992-02-05,13.38
1992-02-06,13.62
1992-02-07,13.38
1992-02-10,13.25
1992-02-11,13.5
1992-02-12,13.0
1992-02-13,13.12
1992-02-14,12.88
1992-02-18,13.12
1992-02-19,13.12
1992-02-20,13.5
1992-02-21,13.25
1992-02-24,12.88
1992-02-25,13.0
1992-02-26,12.88
1992-02-27,12.88
1992-02-28,13.12
1992-03-02,13.12
1992-03-03,13.25
1992-03-04,12.88
1992-03-05,12.88
1992-03-06,12.38
1992-03-09,12.62
1992-03-10,12.62
1992-03-11,12.0
1992-03-12,11.88
1992-03-13,12.38
1992-03-16,12.0
1992-03-17,12.5
1992-03-18,12.62
1992-03-19,12.75
1992-03-20,13.12
1992-03-23,13.25
1992-03-24,13.25
1992-03-25,13.5
1992-03-26,13.25
1992-03-27,12.62
1992-03-30,12.62
1992-03-31,12.5
1992-04-01,12.38
1992-04-02,12.25
1992-04-03,12.62
1992-04-06,13.25
1992-04-07,12.75
1992-04-08,12.38
1992-04-09,12.75
1992-04-10,12.75
1992-04-13,12.75
1992-04-14,13.5
1992-04-15,13.5
1992-04-16,13.12
1992-04-20,12.75
1992-04-21,13.0
1992-04-22,13.0
1992-04-23,13.0
1992-04-24,13.12
1992-04-27,13.25
1992-04-28,13.12
1992-04-29,13.12
1992-04-30,12.88
1992-05-01,13.12
1992-05-04,12.88
1992-05-05,12.62
1992-05-06,12.5
1992-05-07,12.75
1992-05-08,12.62
1992-05-11,12.62
1992-05-12,12.75
1992-05-13,12.62
1992-05-14,12.25
1992-05-15,12.38
1992-05-18,12.5
1992-05-19,12.25
1992-05-20,12.12
1992-05-21,12.25
1992-05-22,12.0
1992-05-26,11.62
1992-05-27,12.38
1992-05-28,12.0
1992-05-29,12.0
1992-06-01,12.12
1992-06-02,11.88
1992-06-03,12.0
1992-06-04,11.5
1992-06-05,11.5
1992-06-08,11.62
1992-06-09,11.75
1992-06-10,11.88
1992-06-11,12.12
1992-06-12,11.88
1992-06-15,11.88
1992-06-16,11.75
1992-06-17,11.75
1992-06-18,12.0
1992-06-19,11.75
1992-06-22,11.62
1992-06-23,11.62
1992-06-24,11.5
1992-06-25,11.62
1992-06-26,11.5
1992-06-29,12.0
1992-06-30,11.88
1992-07-01,11.88
1992-07-02,11.75
1992-07-06,11.75
1992-07-07,11.75
1992-07-08,11.5
1992-07-09,11.62
1992-07-10,11.88
1992-07-13,11.5
1992-07-14,11.12
1992-07-15,11.0
1992-07-16,10.12
1992-07-17,10.12
1992-07-20,10.0
1992-07-21,10.75
1992-07-22,11.12
1992-07-23,10.62
1992-07-24,10.75
