Date,Price
1990-01-02,7.8
1990-01-03,7.8
1990-01-04,7.71
1990-01-05,7.53
1990-01-08,7.57
1990-01-09,7.39
1990-01-10,7.53
1990-01-11,7.57
1990-01-12,7.35
1990-01-15,7.3
1990-01-16,7.48
1990-01-17,7.44
1990-01-18,7.66
1990-01-19,7.71
1990-01-22,7.48
1990-01-23,7.62
1990-01-24,7.62
1990-01-25,7.53
1990-01-26,7.71
1990-01-29,7.62
1990-01-30,7.62
1990-01-31,7.8
1990-02-01,7.75
1990-02-02,7.75
1990-02-05,7.71
1990-02-06,7.71
1990-02-07,7.66
1990-02-08,7.66
1990-02-09,7.84
1990-02-12,7.8
1990-02-13,7.89
1990-02-14,7.89
1990-02-15,7.97
1990-02-16,8.02
1990-02-20,7.89
1990-02-21,7.93
1990-02-22,7.89
1990-02-23,7.89
1990-02-26,8.02
1990-02-27,8.06
1990-02-28,8.11
1990-03-01,8.06
1990-03-02,8.2
1990-03-05,7.97
1990-03-06,8.06
1990-03-07,7.97
1990-03-08,8.02
1990-03-09,7.93
1990-03-12,7.93
1990-03-13,7.79
1990-03-14,7.84
1990-03-15,7.84
1990-03-16,7.84
1990-03-19,7.79
1990-03-20,7.79
1990-03-21,7.75
1990-03-22,7.66
1990-03-23,7.75
1990-03-26,7.75
1990-03-27,7.88
1990-03-28,7.93
1990-03-29,7.93
1990-03-30,7.98
1990-04-02,7.93
1990-04-03,8.02
1990-04-04,8.02
1990-04-05,7.98
1990-04-06,8.02
1990-04-09,7.93
1990-04-10,7.93
1990-04-11,7.98
1990-04-12,7.98
1990-04-16,7.98
1990-04-17,7.98
1990-04-18,7.88
1990-04-19,7.98
1990-04-20,7.88
1990-04-23,7.84
1990-04-24,7.79
1990-04-25,7.88
1990-04-26,7.79
1990-04-27,7.75
1990-04-30,7.75
1990-05-01,7.84
1990-05-02,7.88
1990-05-03,7.93
1990-05-04,7.98
1990-05-07,7.98
1990-05-08,8.02
1990-05-09,7.98
1990-05-10,8.02
1990-05-11,8.29
1990-05-14,8.34
1990-05-15,8.34
1990-05-16,8.43
1990-05-17,8.29
1990-05-18,8.29
1990-05-21,8.39
1990-05-22,8.39
1990-05-23,8.39
1990-05-24,8.29
1990-05-25,8.29
1990-05-29,8.34
1990-05-30,8.29
1990-05-31,8.34
1990-06-01,8.34
1990-06-04,8.52
1990-06-05,8.48
1990-06-06,8.57
1990-06-07,8.48
1990-06-08,8.48
1990-06-11,8.48
1990-06-12,8.48
1990-06-13,8.48
1990-06-14,8.43
1990-06-15,8.48
1990-06-18,8.43
1990-06-19,8.48
1990-06-20,8.39
1990-06-21,8.48
1990-06-22,8.48
1990-06-25,8.43
1990-06-26,8.43
1990-06-27,8.53
1990-06-28,8.48
1990-06-29,8.62
