Date,Price
2000-08-01,36.79
2000-08-02,35.48
2000-08-03,32.85
2000-08-04,33.68
2000-08-07,33.73
2000-08-08,33.92
2000-08-09,33.92
2000-08-10,35.88
2000-08-11,34.94
2000-08-14,35.92
2000-08-15,36.47
2000-08-16,37.16
2000-08-17,37.85
2000-08-18,39.13
2000-08-21,39.16
2000-08-22,39.16
2000-08-23,37.89
2000-08-24,38.58
2000-08-25,39.23
2000-08-28,40.04
2000-08-29,39.6
2000-08-30,38.76
2000-08-31,39.93
2000-09-01,41.17
2000-09-04,41.71
2000-09-05,41.57
2000-09-06,39.23
2000-09-07,39.23
2000-09-08,38.76
2000-09-11,38.29
2000-09-12,38.18
2000-09-13,38.03
2000-09-14,39.02
2000-09-15,40.04
2000-09-18,38.51
2000-09-19,38.4
2000-09-20,38.43
2000-09-21,37.52
2000-09-22,34.96
2000-09-25,36.17
2000-09-26,35.41
2000-09-27,35.99
2000-09-28,35.26
2000-09-29,35.53
2000-10-02,35.52
2000-10-03,35.29
2000-10-04,34.02
2000-10-05,34.28
2000-10-06,32.4
2000-10-09,31.13
2000-10-10,30.75
2000-10-11,29.14
2000-10-12,30.22
2000-10-13,32.17
2000-10-16,33.15
2000-10-17,31.26
2000-10-18,30.24
2000-10-19,32.42
2000-10-20,33.37
2000-10-23,34.03
2000-10-24,35.37
2000-10-25,33.34
2000-10-26,33.21
2000-10-27,33.53
2000-10-30,32.72
2000-10-31,32.72
2000-11-01,34.35
2000-11-02,34.39
2000-11-03,34.24
2000-11-06,34.6
2000-11-07,33.22
2000-11-08,32.99
2000-11-09,31.41
2000-11-10,29.79
2000-11-13,28.68
2000-11-14,31.42
2000-11-15,32.2
2000-11-16,30.76
2000-11-17,30.64
2000-11-20,28.2
2000-11-21,28.71
2000-11-22,26.94
2000-11-23,28.12
2000-11-24,30.38
2000-11-27,31.25
2000-11-28,29.84
2000-11-29,30.24
2000-11-30,27.69
2000-12-01,29.87
2000-12-04,29.11
2000-12-05,31.51
2000-12-06,32.78
2000-12-07,31.59
2000-12-08,32.28
2000-12-11,34.1
2000-12-12,33.15
2000-12-13,31.44
2000-12-14,30.43
2000-12-15,29.11
2000-12-18,29.14
2000-12-19,29.03
2000-12-20,26.3
2000-12-21,25.49
2000-12-22,26.86
2000-12-27,27.32
2000-12-28,27.5
2000-12-29,28.43
2001-01-02,27.43
2001-01-03,25.1
2001-01-04,28.6
2001-01-05,29.54
2001-01-08,29.87
2001-01-09,30.37
2001-01-10,30.02
2001-01-11,30.71
2001-01-12,31.72
2001-01-15,31.73
2001-01-16,30.72
2001-01-17,32.0
2001-01-18,32.07
2001-01-19,32.2
2001-01-22,31.51
2001-01-23,31.33
2001-01-25,30.97
2001-01-29,29.42
2001-01-30,29.29
2001-01-31,30.13
