Date,Price
2008-03-17,37.14
2008-03-18,37.3
2008-03-19,37.67
2008-03-20,36.96
2008-03-24,38.35
2008-03-25,38.91
2008-03-26,37.82
2008-03-27,38.11
2008-03-28,38.39
2008-03-31,38.03
2008-04-01,38.03
2008-04-02,38.51
2008-04-03,38.39
2008-04-04,38.63
2008-04-07,38.1
2008-04-08,38.05
2008-04-09,37.13
2008-04-10,36.59
2008-04-11,36.34
2008-04-14,36.09
2008-04-15,36.24
2008-04-16,37.19
2008-04-17,37.48
2008-04-18,37.57
2008-04-21,38.07
2008-04-22,37.65
2008-04-23,39.1
2008-04-24,39.1
2008-04-25,38.57
2008-04-28,38.4
2008-04-29,39.11
2008-04-30,38.37
2008-05-01,38.16
2008-05-02,38.36
2008-05-05,38.2
2008-05-06,39.01
2008-05-07,38.87
2008-05-08,39.25
2008-05-09,38.97
2008-05-12,39.45
2008-05-13,39.45
2008-05-14,39.6
2008-05-15,40.04
2008-05-16,40.14
2008-05-19,40.33
2008-05-20,39.78
2008-05-21,39.08
2008-05-22,39.31
2008-05-23,38.95
2008-05-27,38.82
2008-05-28,38.47
2008-05-29,39.11
2008-05-30,39.6
2008-06-02,39.18
2008-06-03,38.85
2008-06-04,39.06
2008-06-05,38.96
2008-06-06,37.97
2008-06-09,37.21
2008-06-10,37.21
2008-06-11,37.49
2008-06-12,38.57
2008-06-13,38.81
2008-06-16,38.14
2008-06-17,38.07
2008-06-18,37.52
2008-06-19,37.9
2008-06-20,37.76
2008-06-23,38.08
2008-06-24,38.48
2008-06-25,38.93
2008-06-26,38.05
2008-06-27,37.8
2008-06-30,37.47
2008-07-01,38.23
2008-07-02,38.39
2008-07-03,39.05
2008-07-07,39.34
2008-07-08,40.79
2008-07-09,40.97
2008-07-10,40.54
2008-07-11,40.49
2008-07-14,40.63
2008-07-15,40.44
2008-07-16,40.15
2008-07-17,38.66
2008-07-18,38.48
2008-07-21,38.3
2008-07-22,39.49
2008-07-23,39.05
2008-07-24,39.8
2008-07-25,40.25
2008-07-28,39.92
2008-07-29,40.47
2008-07-30,40.49
2008-07-31,39.18
2008-08-01,39.51
2008-08-04,40.76
2008-08-05,41.88
2008-08-06,42.13
2008-08-07,41.45
2008-08-08,41.89
2008-08-11,42.3
2008-08-12,42.45
2008-08-13,42.14
2008-08-14,42.08
2008-08-15,42.16
2008-08-18,41.73
2008-08-19,41.35
2008-08-20,41.43
2008-08-21,41.59
2008-08-22,42.13
2008-08-25,41.63
2008-08-26,41.45
2008-08-27,41.04
2008-08-28,40.91
2008-08-29,40.74
2008-09-02,41.58
2008-09-03,41.02
2008-09-04,40.49
2008-09-05,40.97
2008-09-08,41.71
2008-09-09,41.56
2008-09-10,41.44
2008-09-11,42.0
2008-09-12,41.13
2008-09-15,40.47
2008-09-16,41.2
2008-09-17,37.53
2008-09-18,38.31
2008-09-19,39.4
2008-09-22,38.33
2008-09-23,37.74
2008-09-24,38.15
2008-09-25,39.55
2008-09-26,39.0
2008-09-29,35.86
2008-09-30,36.86
2008-10-01,38.91
2008-10-02,37.61
2008-10-03,38.06
2008-10-06,35.34
2008-10-07,33.99
2008-10-08,32.99
2008-10-09,29.88
2008-10-10,30.45
2008-10-13,34.47
2008-10-14,33.74
2008-10-15,31.28
2008-10-16,32.96
2008-10-17,33.18
2008-10-20,33.25
2008-10-21,32.3
2008-10-22,31.29
2008-10-23,32.92
2008-10-24,31.03
2008-10-27,29.93
2008-10-28,32.63
2008-10-29,31.84
2008-10-30,32.79
2008-10-31,33.31
2008-11-03,32.65
2008-11-04,34.29
2008-11-05,33.73
2008-11-06,31.32
2008-11-07,32.34
2008-11-10,32.27
2008-11-11,31.66
2008-11-12,29.96
2008-11-13,30.53
2008-11-14,29.43
2008-11-17,29.39
2008-11-18,29.54
2008-11-19,28.07
2008-11-20,28.07
2008-11-21,29.32
2008-11-24,32.05
2008-11-25,31.57
2008-11-26,32.56
2008-11-28,32.3
2008-12-01,30.4
2008-12-02,30.67
2008-12-03,31.88
2008-12-04,31.31
2008-12-05,32.46
2008-12-08,32.69
2008-12-09,32.16
2008-12-10,32.41
2008-12-11,32.14
2008-12-12,31.69
2008-12-15,31.83
2008-12-16,31.43
2008-12-17,32.2
2008-12-18,32.15
2008-12-19,32.07
2008-12-22,32.31
2008-12-23,32.39
2008-12-24,32.93
2008-12-26,32.96
2008-12-29,33.5
2008-12-30,34.08
2008-12-31,33.77
2009-01-02,34.24
2009-01-05,34.52
2009-01-06,33.56
2009-01-07,33.14
2009-01-08,33.14
2009-01-09,32.85
2009-01-12,32.47
2009-01-13,32.75
2009-01-14,32.26
2009-01-15,32.2
2009-01-16,32.69
2009-01-20,32.2
2009-01-21,32.14
2009-01-22,31.79
2009-01-23,31.99
2009-01-26,31.92
2009-01-27,31.16
2009-01-28,31.04
2009-01-29,30.08
2009-01-30,28.83
2009-02-02,29.04
2009-02-03,29.74
2009-02-04,28.55
2009-02-05,28.92
2009-02-06,28.59
2009-02-09,28.5
2009-02-10,27.97
2009-02-11,28.23
2009-02-12,28.06
2009-02-13,27.93
2009-02-17,26.96
2009-02-18,27.48
2009-02-19,27.87
2009-02-20,27.66
2009-02-23,27.25
2009-02-24,27.09
2009-02-25,27.01
2009-02-26,26.55
2009-02-27,25.98
2009-03-02,25.42
2009-03-03,25.1
2009-03-04,25.99
2009-03-05,25.57
2009-03-06,25.88
2009-03-09,26.44
2009-03-10,26.43
2009-03-11,26.12
2009-03-12,26.89
2009-03-13,27.95
2009-03-16,28.84
2009-03-17,29.96
2009-03-18,29.71
2009-03-19,28.88
2009-03-20,29.77
2009-03-23,30.01
2009-03-24,30.55
2009-03-25,30.37
2009-03-26,30.15
2009-03-27,29.59
2009-03-30,28.92
2009-03-31,28.01
2009-04-01,28.51
2009-04-02,28.41
2009-04-03,28.5
2009-04-06,29.39
2009-04-07,29.11
2009-04-08,30.11
2009-04-09,29.69
