Date,Price
1990-01-02,8.56
1990-01-03,8.76
1990-01-04,8.91
1990-01-05,8.83
1990-01-08,8.81
1990-01-09,8.73
1990-01-10,8.76
1990-01-11,8.68
1990-01-12,8.45
1990-01-15,8.35
1990-01-16,8.45
1990-01-17,8.28
1990-01-18,8.2
1990-01-19,8.07
1990-01-22,7.9
1990-01-23,7.82
1990-01-24,8.1
1990-01-25,7.92
1990-01-26,7.92
1990-01-29,7.8
1990-01-30,7.85
1990-01-31,7.92
1990-02-01,7.9
1990-02-02,7.95
1990-02-05,7.97
1990-02-06,7.92
1990-02-07,8.1
1990-02-08,8.07
1990-02-09,8.13
1990-02-12,8.0
1990-02-13,8.2
1990-02-14,8.15
1990-02-15,8.07
1990-02-16,8.07
1990-02-20,8.07
1990-02-21,8.1
1990-02-22,8.1
1990-02-23,8.05
1990-02-26,8.26
1990-02-27,8.21
1990-02-28,8.18
1990-03-01,8.21
1990-03-02,8.21
1990-03-05,8.13
1990-03-06,8.26
1990-03-07,8.29
1990-03-08,8.36
1990-03-09,8.31
1990-03-12,8.23
1990-03-13,8.29
1990-03-14,8.31
1990-03-15,8.26
1990-03-16,8.26
1990-03-19,8.34
1990-03-20,8.26
1990-03-21,8.26
1990-03-22,8.18
1990-03-23,8.18
1990-03-26,8.18
1990-03-27,8.23
1990-03-28,8.26
1990-03-29,8.26
1990-03-30,8.13
1990-04-02,8.16
1990-04-03,8.23
1990-04-04,8.23
1990-04-05,7.77
1990-04-06,6.98
1990-04-09,7.13
1990-04-10,7.23
1990-04-11,7.34
1990-04-12,7.36
1990-04-16,7.31
1990-04-17,7.29
1990-04-18,7.31
1990-04-19,7.05
1990-04-20,6.88
1990-04-23,6.88
1990-04-24,6.88
1990-04-25,6.88
1990-04-26,7.0
1990-04-27,7.08
1990-04-30,7.16
1990-05-01,7.23
1990-05-02,7.41
1990-05-03,7.57
1990-05-04,7.75
1990-05-07,7.82
1990-05-08,7.82
1990-05-09,7.57
1990-05-10,7.39
1990-05-11,7.41
1990-05-14,7.41
1990-05-15,7.31
1990-05-16,7.31
1990-05-17,7.31
1990-05-18,7.39
1990-05-21,7.54
1990-05-22,7.72
1990-05-23,7.82
1990-05-24,7.77
1990-05-25,7.47
1990-05-29,7.52
1990-05-30,7.42
1990-05-31,7.39
1990-06-01,7.42
1990-06-04,7.6
1990-06-05,7.81
1990-06-06,7.75
1990-06-07,7.65
1990-06-08,7.55
1990-06-11,7.44
1990-06-12,7.42
1990-06-13,7.13
1990-06-14,6.92
1990-06-15,6.84
1990-06-18,6.69
1990-06-19,6.84
1990-06-20,6.87
1990-06-21,6.69
1990-06-22,6.35
1990-06-25,6.14
1990-06-26,6.19
1990-06-27,6.27
1990-06-28,6.22
1990-06-29,6.24
1990-07-02,6.27
1990-07-03,6.27
1990-07-05,6.24
1990-07-06,6.24
1990-07-09,6.3
1990-07-10,6.22
1990-07-11,6.35
1990-07-12,6.35
1990-07-13,6.37
1990-07-16,6.3
1990-07-17,6.27
1990-07-18,6.27
1990-07-19,6.35
1990-07-20,6.32
1990-07-23,6.3
1990-07-24,6.27
1990-07-25,6.27
1990-07-26,6.09
1990-07-27,5.85
1990-07-30,5.85
1990-07-31,5.52
1990-08-01,5.36
1990-08-02,5.36
1990-08-03,5.36
1990-08-06,5.31
1990-08-07,5.31
1990-08-08,5.31
1990-08-09,5.26
1990-08-10,5.18
1990-08-13,5.26
1990-08-14,5.13
1990-08-15,5.23
1990-08-16,5.1
1990-08-17,5.1
1990-08-20,5.15
1990-08-21,5.02
1990-08-22,4.92
1990-08-23,4.68
1990-08-24,4.84
1990-08-27,5.07
1990-08-28,5.2
1990-08-29,5.23
1990-08-30,5.1
1990-08-31,5.16
1990-09-04,5.08
1990-09-05,5.03
1990-09-06,4.81
1990-09-07,4.92
1990-09-10,4.92
1990-09-11,4.95
1990-09-12,5.03
1990-09-13,5.03
1990-09-14,5.0
1990-09-17,5.16
1990-09-18,5.19
1990-09-19,5.24
1990-09-20,4.87
1990-09-21,4.84
1990-09-24,4.63
1990-09-25,4.63
1990-09-26,4.63
1990-09-27,4.28
1990-09-28,4.73
1990-10-01,5.0
1990-10-02,4.87
1990-10-03,4.68
1990-10-04,4.63
1990-10-05,4.41
1990-10-08,4.33
1990-10-09,4.28
1990-10-10,3.99
1990-10-11,3.8
1990-10-12,3.86
1990-10-15,3.75
1990-10-16,3.62
1990-10-17,3.62
1990-10-18,3.59
1990-10-19,3.59
1990-10-22,3.67
1990-10-23,3.62
1990-10-24,3.7
1990-10-25,3.67
1990-10-26,3.43
1990-10-29,3.4
1990-10-30,3.48
1990-10-31,3.46
1990-11-01,3.56
1990-11-02,3.72
1990-11-05,3.8
1990-11-06,3.8
1990-11-07,3.88
1990-11-08,4.18
1990-11-09,4.25
1990-11-12,4.47
1990-11-13,4.52
1990-11-14,4.89
1990-11-15,4.76
1990-11-16,4.47
1990-11-19,4.47
1990-11-20,4.36
1990-11-21,4.36
1990-11-23,4.39
1990-11-26,4.41
1990-11-27,4.44
1990-11-28,4.47
1990-11-29,4.63
1990-11-30,4.79
1990-12-03,4.82
1990-12-04,4.85
1990-12-05,5.39
1990-12-06,5.28
1990-12-07,5.01
1990-12-10,5.07
1990-12-11,5.04
1990-12-12,4.98
1990-12-13,5.09
1990-12-14,4.98
1990-12-17,4.82
1990-12-18,4.96
1990-12-19,4.96
1990-12-20,4.96
1990-12-21,5.04
1990-12-24,5.01
1990-12-26,5.07
1990-12-27,5.04
1990-12-28,4.79
1990-12-31,4.71
1991-01-02,4.71
1991-01-03,4.79
1991-01-04,4.93
1991-01-07,4.88
1991-01-08,4.85
1991-01-09,4.74
1991-01-10,4.58
1991-01-11,4.38
1991-01-14,4.22
1991-01-15,4.28
1991-01-16,4.17
1991-01-17,4.36
1991-01-18,4.47
1991-01-21,4.63
1991-01-22,4.63
1991-01-23,4.63
1991-01-24,4.9
1991-01-25,5.07
1991-01-28,5.04
1991-01-29,5.17
1991-01-30,5.34
1991-01-31,5.2
1991-02-01,5.26
1991-02-04,5.56
1991-02-05,5.8
1991-02-06,5.83
1991-02-07,5.88
1991-02-08,6.02
1991-02-11,6.1
1991-02-12,6.16
1991-02-13,6.56
1991-02-14,6.43
1991-02-15,6.48
1991-02-19,6.21
1991-02-20,6.16
1991-02-21,6.05
1991-02-22,6.18
1991-02-25,6.21
1991-02-26,5.99
1991-02-27,5.86
1991-02-28,5.86
1991-03-01,6.05
1991-03-04,6.27
1991-03-05,6.44
1991-03-06,6.72
1991-03-07,6.8
1991-03-08,6.66
1991-03-11,6.66
1991-03-12,6.44
1991-03-13,6.66
1991-03-14,6.75
1991-03-15,6.83
1991-03-18,6.64
1991-03-19,6.47
1991-03-20,6.44
1991-03-21,6.33
1991-03-22,6.58
1991-03-25,6.69
1991-03-26,7.05
1991-03-27,7.16
1991-03-28,7.36
1991-04-01,7.39
1991-04-02,7.44
1991-04-03,7.14
1991-04-04,7.05
1991-04-05,6.8
1991-04-08,7.05
1991-04-09,6.66
1991-04-10,6.69
1991-04-11,6.91
1991-04-12,6.8
1991-04-15,6.83
1991-04-16,7.25
1991-04-17,8.05
1991-04-18,7.91
1991-04-19,7.64
1991-04-22,7.5
1991-04-23,7.58
1991-04-24,7.86
1991-04-25,7.86
1991-04-26,7.86
1991-04-29,7.94
1991-04-30,7.83
1991-05-01,7.94
1991-05-02,8.19
1991-05-03,7.94
1991-05-06,7.89
1991-05-07,7.55
1991-05-08,7.69
1991-05-09,7.83
1991-05-10,7.55
1991-05-13,7.55
1991-05-14,7.41
1991-05-15,7.33
1991-05-16,7.47
1991-05-17,7.47
1991-05-20,7.36
1991-05-21,7.47
1991-05-22,7.55
1991-05-23,7.66
1991-05-24,7.77
1991-05-28,7.86
1991-05-29,7.75
1991-05-30,7.97
1991-05-31,8.16
1991-06-03,8.11
1991-06-04,8.36
1991-06-05,8.19
1991-06-06,8.33
