Date,Price
1990-01-02,2.93
1990-01-03,2.93
1990-01-04,2.93
1990-01-05,2.93
1990-01-08,2.91
1990-01-09,2.91
1990-01-10,2.93
1990-01-11,2.93
1990-01-12,2.96
1990-01-15,2.94
1990-01-16,2.98
1990-01-17,2.96
1990-01-18,3.09
1990-01-19,3.3
1990-01-22,3.19
1990-01-23,3.27
1990-01-24,3.23
1990-01-25,3.24
1990-01-26,3.23
1990-01-29,3.21
1990-01-30,3.21
1990-01-31,3.21
1990-02-01,3.21
1990-02-02,3.29
1990-02-05,3.36
1990-02-06,3.29
1990-02-07,3.14
1990-02-08,3.09
1990-02-09,3.01
1990-02-12,3.09
1990-02-13,3.14
1990-02-14,3.14
1990-02-15,3.14
1990-02-16,3.19
1990-02-20,3.14
1990-02-21,3.21
1990-02-22,3.16
1990-02-23,3.11
1990-02-26,3.06
1990-02-27,3.14
1990-02-28,3.14
1990-03-01,3.06
1990-03-02,3.14
1990-03-05,3.14
1990-03-06,3.11
1990-03-07,3.14
1990-03-08,3.14
1990-03-09,3.14
1990-03-12,3.14
1990-03-13,3.14
1990-03-14,3.19
1990-03-15,3.19
1990-03-16,3.24
1990-03-19,3.24
1990-03-20,3.12
1990-03-21,3.09
1990-03-22,3.05
1990-03-23,3.09
1990-03-26,3.06
1990-03-27,3.03
1990-03-28,3.03
1990-03-29,3.06
1990-03-30,3.06
1990-04-02,3.09
1990-04-03,3.12
1990-04-04,3.11
1990-04-05,3.11
1990-04-06,3.09
1990-04-09,3.03
1990-04-10,3.03
1990-04-11,3.06
1990-04-12,3.09
1990-04-16,3.06
1990-04-17,3.01
1990-04-18,3.09
1990-04-19,3.11
1990-04-20,3.14
1990-04-23,3.09
1990-04-24,3.09
1990-04-25,3.14
1990-04-26,3.12
1990-04-27,3.11
1990-04-30,3.09
1990-05-01,3.09
1990-05-02,3.09
1990-05-03,3.09
1990-05-04,3.09
1990-05-07,3.16
1990-05-08,3.12
1990-05-09,3.06
1990-05-10,3.06
1990-05-11,3.09
1990-05-14,3.09
1990-05-15,3.09
1990-05-16,3.06
1990-05-17,3.06
1990-05-18,3.06
1990-05-21,3.09
1990-05-22,3.06
1990-05-23,3.06
1990-05-24,3.06
1990-05-25,3.07
1990-05-29,3.09
1990-05-30,3.07
1990-05-31,3.06
1990-06-01,3.03
1990-06-04,3.05
1990-06-05,3.03
1990-06-06,3.06
1990-06-07,3.01
1990-06-08,3.01
1990-06-11,3.01
1990-06-12,3.01
1990-06-13,2.98
1990-06-14,2.93
1990-06-15,2.88
1990-06-18,2.85
1990-06-19,2.91
1990-06-20,2.88
1990-06-21,2.85
1990-06-22,2.85
1990-06-25,2.85
1990-06-26,2.85
1990-06-27,2.88
1990-06-28,2.83
1990-06-29,2.85
1990-07-02,2.88
1990-07-03,2.83
1990-07-05,2.73
1990-07-06,2.62
1990-07-09,2.6
1990-07-10,2.6
1990-07-11,2.62
1990-07-12,2.62
1990-07-13,2.6
1990-07-16,2.6
1990-07-17,2.57
1990-07-18,2.6
1990-07-19,2.57
1990-07-20,2.49
1990-07-23,2.48
1990-07-24,2.46
1990-07-25,2.52
1990-07-26,2.5
1990-07-27,2.49
1990-07-30,2.59
1990-07-31,2.54
1990-08-01,2.59
1990-08-02,2.59
1990-08-03,2.57
1990-08-06,2.59
1990-08-07,2.57
1990-08-08,2.62
1990-08-09,2.57
1990-08-10,2.57
1990-08-13,2.59
1990-08-14,2.59
1990-08-15,2.59
1990-08-16,2.49
1990-08-17,2.39
1990-08-20,2.46
1990-08-21,2.45
1990-08-22,2.44
1990-08-23,2.41
1990-08-24,2.43
1990-08-27,2.44
1990-08-28,2.41
1990-08-29,2.34
1990-08-30,2.23
1990-08-31,2.23
1990-09-04,2.26
1990-09-05,2.26
1990-09-06,2.39
1990-09-07,2.39
1990-09-10,2.44
1990-09-11,2.41
1990-09-12,2.41
1990-09-13,2.45
1990-09-14,2.46
1990-09-17,2.44
1990-09-18,2.46
1990-09-19,2.44
1990-09-20,2.44
1990-09-21,2.46
1990-09-24,2.44
1990-09-25,2.49
1990-09-26,2.49
1990-09-27,2.46
1990-09-28,2.46
1990-10-01,2.49
1990-10-02,2.44
1990-10-03,2.39
1990-10-04,2.39
1990-10-05,2.45
1990-10-08,2.41
1990-10-09,2.41
1990-10-10,2.39
1990-10-11,2.36
1990-10-12,2.46
1990-10-15,2.44
1990-10-16,2.44
1990-10-17,2.44
1990-10-18,2.39
1990-10-19,2.39
1990-10-22,2.49
1990-10-23,2.41
1990-10-24,2.41
1990-10-25,2.44
1990-10-26,2.36
1990-10-29,2.37
1990-10-30,2.38
1990-10-31,2.36
1990-11-01,2.36
1990-11-02,2.36
1990-11-05,2.36
1990-11-06,2.33
1990-11-07,2.38
1990-11-08,2.31
1990-11-09,2.36
1990-11-12,2.31
1990-11-13,2.38
1990-11-14,2.38
1990-11-15,2.4
1990-11-16,2.4
1990-11-19,2.49
1990-11-20,2.51
1990-11-21,2.49
1990-11-23,2.44
1990-11-26,2.54
1990-11-27,2.54
1990-11-28,2.54
1990-11-29,2.54
1990-11-30,2.59
1990-12-03,2.59
1990-12-04,2.54
1990-12-05,2.54
1990-12-06,2.38
1990-12-07,2.38
1990-12-10,2.44
1990-12-11,2.44
1990-12-12,2.54
1990-12-13,2.65
1990-12-14,2.65
1990-12-17,2.59
1990-12-18,2.65
1990-12-19,2.59
1990-12-20,2.59
1990-12-21,2.67
1990-12-24,2.62
1990-12-26,2.62
1990-12-27,2.63
1990-12-28,2.59
1990-12-31,2.59
1991-01-02,2.62
1991-01-03,2.61
1991-01-04,2.62
1991-01-07,2.62
1991-01-08,2.57
1991-01-09,2.61
1991-01-10,2.57
1991-01-11,2.57
1991-01-14,2.57
1991-01-15,2.71
1991-01-16,2.72
1991-01-17,2.72
1991-01-18,2.7
1991-01-21,2.64
1991-01-22,2.66
1991-01-23,2.7
1991-01-24,2.67
1991-01-25,2.64
1991-01-28,2.67
1991-01-29,2.68
1991-01-30,2.78
1991-01-31,2.8
1991-02-01,2.78
1991-02-04,2.8
1991-02-05,2.99
1991-02-06,3.15
1991-02-07,3.12
1991-02-08,3.01
1991-02-11,3.17
1991-02-12,3.17
1991-02-13,3.17
1991-02-14,3.17
1991-02-15,3.12
1991-02-19,3.17
1991-02-20,3.17
1991-02-21,3.09
1991-02-22,3.17
1991-02-25,3.15
1991-02-26,3.16
1991-02-27,3.15
1991-02-28,3.17
1991-03-01,3.13
1991-03-04,3.16
1991-03-05,3.17
1991-03-06,3.17
1991-03-07,3.16
1991-03-08,3.16
1991-03-11,3.12
1991-03-12,3.25
1991-03-13,3.2
1991-03-14,3.17
1991-03-15,3.17
1991-03-18,3.17
1991-03-19,3.2
1991-03-20,3.15
1991-03-21,3.22
1991-03-22,3.17
1991-03-25,3.2
1991-03-26,3.22
1991-03-27,3.22
1991-03-28,3.28
1991-04-01,3.28
1991-04-02,3.25
1991-04-03,3.38
1991-04-04,3.38
1991-04-05,3.33
1991-04-08,3.33
1991-04-09,3.36
1991-04-10,3.44
1991-04-11,3.4
1991-04-12,3.38
1991-04-15,3.54
1991-04-16,3.65
1991-04-17,3.73
1991-04-18,3.67
1991-04-19,3.73
1991-04-22,3.67
1991-04-23,3.66
1991-04-24,3.7
1991-04-25,3.65
1991-04-26,3.7
1991-04-29,3.67
1991-04-30,3.73
1991-05-01,3.78
1991-05-02,3.78
1991-05-03,3.89
1991-05-06,3.89
1991-05-07,3.86
1991-05-08,3.73
1991-05-09,3.73
1991-05-10,3.86
1991-05-13,3.83
1991-05-14,3.81
1991-05-15,3.78
1991-05-16,3.78
1991-05-17,3.78
1991-05-20,3.78
1991-05-21,3.81
1991-05-22,3.83
1991-05-23,3.75
1991-05-24,3.78
1991-05-28,3.81
1991-05-29,3.73
1991-05-30,3.73
1991-05-31,3.74
1991-06-03,3.7
1991-06-04,3.71
1991-06-05,3.7
1991-06-06,3.78
1991-06-07,3.78
1991-06-10,3.79
1991-06-11,3.83
1991-06-12,3.81
1991-06-13,3.83
1991-06-14,3.75
1991-06-17,3.89
1991-06-18,3.91
1991-06-19,3.91
1991-06-20,3.93
1991-06-21,3.91
1991-06-24,3.91
1991-06-25,3.91
1991-06-26,4.1
1991-06-27,4.02
1991-06-28,4.07
1991-07-01,3.99
1991-07-02,4.02
1991-07-03,3.99
1991-07-05,3.99
1991-07-08,3.96
1991-07-09,3.99
1991-07-10,3.91
1991-07-11,3.94
1991-07-12,3.94
1991-07-15,4.02
1991-07-16,4.02
1991-07-17,3.99
1991-07-18,3.96
1991-07-19,3.89
1991-07-22,3.8
1991-07-23,3.8
1991-07-24,3.67
1991-07-25,3.64
1991-07-26,3.48
1991-07-29,3.39
1991-07-30,3.42
1991-07-31,3.54
1991-08-01,3.62
1991-08-02,3.56
1991-08-05,3.51
1991-08-06,3.62
1991-08-07,3.56
1991-08-08,3.51
1991-08-09,3.48
1991-08-12,3.56
1991-08-13,3.54
1991-08-14,3.46
1991-08-15,3.48
1991-08-16,3.43
1991-08-19,3.27
1991-08-20,3.4
1991-08-21,3.46
1991-08-22,3.51
1991-08-23,3.51
1991-08-26,3.59
1991-08-27,3.56
1991-08-28,3.83
1991-08-29,3.75
1991-08-30,3.7
1991-09-03,3.72
1991-09-04,3.67
1991-09-05,3.71
1991-09-06,3.72
1991-09-09,3.72
1991-09-10,3.54
1991-09-11,3.59
1991-09-12,3.62
1991-09-13,3.59
1991-09-16,3.67
1991-09-17,3.54
1991-09-18,3.46
1991-09-19,3.52
1991-09-20,3.64
1991-09-23,3.7
1991-09-24,3.72
1991-09-25,3.67
1991-09-26,3.78
1991-09-27,3.83
1991-09-30,3.78
1991-10-01,3.83
1991-10-02,3.83
1991-10-03,3.78
1991-10-04,3.88
1991-10-07,3.86
1991-10-08,3.83
1991-10-09,3.86
1991-10-10,3.91
1991-10-11,3.83
1991-10-14,4.06
1991-10-15,4.1
1991-10-16,4.12
1991-10-17,4.12
1991-10-18,4.18
1991-10-21,4.2
1991-10-22,4.23
1991-10-23,4.23
1991-10-24,4.24
1991-10-25,4.23
1991-10-28,4.21
1991-10-29,4.25
1991-10-30,4.23
1991-10-31,4.25
1991-11-01,4.28
1991-11-04,4.33
1991-11-05,4.28
1991-11-06,4.31
1991-11-07,4.36
1991-11-08,4.33
1991-11-11,4.33
1991-11-12,4.36
1991-11-13,4.55
1991-11-14,4.56
1991-11-15,4.52
1991-11-18,4.49
1991-11-19,4.2
1991-11-20,4.15
1991-11-21,4.07
1991-11-22,3.91
1991-11-25,3.88
1991-11-26,3.91
1991-11-27,3.91
1991-11-29,3.91
1991-12-02,4.04
1991-12-03,4.16
1991-12-04,4.15
1991-12-05,4.2
1991-12-06,4.19
1991-12-09,4.15
1991-12-10,4.12
1991-12-11,4.09
1991-12-12,4.09
1991-12-13,4.09
1991-12-16,4.03
1991-12-17,3.88
1991-12-18,3.87
1991-12-19,3.88
1991-12-20,3.83
1991-12-23,3.85
1991-12-24,3.96
1991-12-26,3.89
1991-12-27,3.96
1991-12-30,4.01
1991-12-31,4.31
1992-01-02,4.48
1992-01-03,4.49
1992-01-06,4.74
1992-01-07,4.66
1992-01-08,4.49
1992-01-09,4.55
1992-01-10,4.59
1992-01-13,4.64
1992-01-14,4.72
1992-01-15,4.74
1992-01-16,4.66
1992-01-17,4.65
1992-01-20,4.63
1992-01-21,4.6
1992-01-22,4.59
1992-01-23,4.6
1992-01-24,4.55
1992-01-27,4.48
1992-01-28,4.45
1992-01-29,4.55
1992-01-30,4.63
1992-01-31,4.84
1992-02-03,4.84
1992-02-04,4.9
1992-02-05,4.9
1992-02-06,4.95
1992-02-07,4.87
1992-02-10,4.95
1992-02-11,5.11
1992-02-12,5.14
1992-02-13,5.17
1992-02-14,5.17
1992-02-18,5.14
1992-02-19,5.0
1992-02-20,5.03
1992-02-21,5.0
1992-02-24,5.0
1992-02-25,5.03
1992-02-26,5.07
1992-02-27,5.09
1992-02-28,5.06
1992-03-02,5.03
1992-03-03,4.95
1992-03-04,4.84
1992-03-05,4.84
1992-03-06,4.83
1992-03-09,4.82
1992-03-10,4.79
1992-03-11,4.84
1992-03-12,4.82
1992-03-13,4.79
1992-03-16,4.83
1992-03-17,4.84
1992-03-18,4.79
1992-03-19,4.64
1992-03-20,4.57
1992-03-23,4.55
1992-03-24,4.41
1992-03-25,4.36
1992-03-26,4.43
1992-03-27,4.3
1992-03-30,4.33
1992-03-31,4.37
1992-04-01,4.41
1992-04-02,4.28
1992-04-03,4.28
1992-04-06,4.28
1992-04-07,4.3
1992-04-08,4.39
1992-04-09,4.63
1992-04-10,4.41
1992-04-13,4.57
1992-04-14,4.49
1992-04-15,4.65
1992-04-16,4.68
1992-04-20,4.71
1992-04-21,4.74
1992-04-22,4.65
1992-04-23,4.74
1992-04-24,4.74
1992-04-27,4.63
1992-04-28,4.67
1992-04-29,4.68
1992-04-30,4.6
1992-05-01,4.68
1992-05-04,4.61
1992-05-05,4.59
1992-05-06,4.68
1992-05-07,4.76
1992-05-08,4.76
1992-05-11,4.76
1992-05-12,4.92
1992-05-13,4.95
1992-05-14,4.88
1992-05-15,4.92
1992-05-18,4.88
1992-05-19,4.82
1992-05-20,4.71
1992-05-21,4.6
1992-05-22,4.49
1992-05-26,4.55
1992-05-27,4.52
1992-05-28,4.55
1992-05-29,4.71
1992-06-01,4.78
1992-06-02,4.59
1992-06-03,4.46
1992-06-04,4.44
1992-06-05,4.3
1992-06-08,4.25
