Date,Price
1991-12-17,10.77
1991-12-18,10.65
1991-12-19,10.42
1991-12-20,10.65
1991-12-23,11.0
1991-12-24,11.11
1991-12-26,12.5
1991-12-27,12.5
1991-12-30,13.2
1991-12-31,13.78
1992-01-02,13.2
1992-01-03,14.01
1992-01-06,14.35
1992-01-07,13.89
1992-01-08,13.89
1992-01-09,13.43
1992-01-10,13.78
1992-01-13,14.12
1992-01-14,14.01
1992-01-15,13.89
1992-01-16,13.66
1992-01-17,13.31
1992-01-20,12.62
1992-01-21,12.5
1992-01-22,12.73
1992-01-23,13.66
1992-01-24,14.35
1992-01-27,14.35
1992-01-28,14.47
1992-01-29,14.7
1992-01-30,14.76
1992-01-31,14.82
1992-02-03,15.05
1992-02-04,15.16
1992-02-05,15.05
1992-02-06,15.28
1992-02-07,15.4
1992-02-10,15.63
1992-02-11,15.4
1992-02-12,15.4
1992-02-13,15.28
1992-02-14,15.05
1992-02-18,15.16
1992-02-19,14.82
1992-02-20,15.16
1992-02-21,16.44
1992-02-24,15.4
1992-02-25,14.93
1992-02-26,15.05
1992-02-27,14.59
1992-02-28,14.59
1992-03-02,14.12
1992-03-03,13.78
1992-03-04,13.6
1992-03-05,14.01
1992-03-06,13.66
1992-03-09,14.01
1992-03-10,14.59
1992-03-11,14.24
1992-03-12,14.35
1992-03-13,14.12
1992-03-16,14.24
1992-03-17,14.12
1992-03-18,13.78
1992-03-19,13.66
1992-03-20,14.18
1992-03-23,14.35
1992-03-24,14.59
1992-03-25,14.53
1992-03-26,15.16
1992-03-27,15.16
1992-03-30,15.16
1992-03-31,15.16
1992-04-01,15.28
1992-04-02,14.7
1992-04-03,14.35
1992-04-06,14.35
1992-04-07,14.12
1992-04-08,13.66
1992-04-09,13.89
1992-04-10,14.47
1992-04-13,15.16
1992-04-14,15.4
1992-04-15,16.21
1992-04-16,15.05
1992-04-20,14.59
1992-04-21,14.53
1992-04-22,14.47
1992-04-23,14.24
1992-04-24,13.89
1992-04-27,12.96
1992-04-28,12.73
1992-04-29,13.43
1992-04-30,14.47
1992-05-01,14.12
1992-05-04,14.12
1992-05-05,14.35
1992-05-06,14.12
1992-05-07,14.12
1992-05-08,14.01
1992-05-11,14.24
1992-05-12,14.01
1992-05-13,14.01
1992-05-14,14.24
1992-05-15,13.78
1992-05-18,13.49
1992-05-19,13.66
1992-05-20,13.31
1992-05-21,13.02
1992-05-22,13.14
1992-05-26,12.96
1992-05-27,12.96
1992-05-28,13.08
1992-05-29,12.96
1992-06-01,12.62
1992-06-02,12.68
1992-06-03,12.68
1992-06-04,13.08
1992-06-05,12.73
1992-06-08,13.2
1992-06-09,12.85
1992-06-10,12.44
1992-06-11,11.92
1992-06-12,12.04
1992-06-15,11.81
1992-06-16,11.69
1992-06-17,11.34
1992-06-18,11.05
1992-06-19,12.04
1992-06-22,11.92
1992-06-23,12.5
1992-06-24,12.96
1992-06-25,12.73
1992-06-26,12.96
1992-06-29,13.66
1992-06-30,14.82
1992-07-01,14.93
1992-07-02,14.01
1992-07-06,13.66
1992-07-07,13.43
1992-07-08,13.66
1992-07-09,14.47
1992-07-10,14.59
1992-07-13,14.82
1992-07-14,14.93
1992-07-15,14.82
1992-07-16,14.82
1992-07-17,14.35
1992-07-20,14.35
1992-07-21,15.22
1992-07-22,15.11
1992-07-23,15.28
1992-07-24,15.4
1992-07-27,15.28
1992-07-28,15.22
1992-07-29,15.16
1992-07-30,14.35
1992-07-31,14.7
1992-08-03,14.47
1992-08-04,14.53
1992-08-05,14.7
1992-08-06,14.35
1992-08-07,14.53
1992-08-10,14.59
1992-08-11,14.01
1992-08-12,13.89
1992-08-13,14.12
1992-08-14,14.12
1992-08-17,14.06
1992-08-18,14.59
1992-08-19,14.99
1992-08-20,14.93
1992-08-21,15.28
1992-08-24,15.69
1992-08-25,15.97
1992-08-26,15.74
1992-08-27,15.4
1992-08-28,15.4
1992-08-31,14.7
1992-09-01,14.47
1992-09-02,14.93
1992-09-03,15.28
1992-09-04,15.8
1992-09-08,16.09
1992-09-09,16.09
1992-09-10,15.74
1992-09-11,16.67
1992-09-14,17.02
1992-09-15,17.36
1992-09-16,17.25
1992-09-17,16.55
1992-09-18,16.61
1992-09-21,16.21
1992-09-22,15.74
1992-09-23,15.74
1992-09-24,15.51
1992-09-25,15.28
1992-09-28,15.34
1992-09-29,14.93
1992-09-30,14.82
1992-10-01,14.82
1992-10-02,14.93
1992-10-05,14.47
1992-10-06,14.7
1992-10-07,14.93
1992-10-08,15.05
1992-10-09,15.4
1992-10-12,16.09
1992-10-13,16.5
1992-10-14,16.67
1992-10-15,16.84
1992-10-16,16.9
1992-10-19,16.9
1992-10-20,17.13
1992-10-21,17.13
1992-10-22,17.13
1992-10-23,17.02
1992-10-26,17.71
1992-10-27,18.06
1992-10-28,17.94
1992-10-29,18.06
1992-10-30,17.94
1992-11-02,18.29
1992-11-03,18.17
1992-11-04,18.12
1992-11-05,18.52
1992-11-06,18.52
1992-11-09,19.22
1992-11-10,19.68
1992-11-11,20.26
1992-11-12,19.33
1992-11-13,19.33
1992-11-16,18.87
1992-11-17,18.75
1992-11-18,18.52
1992-11-19,19.1
1992-11-20,19.91
1992-11-23,19.85
1992-11-24,19.79
1992-11-25,19.1
1992-11-27,19.1
1992-11-30,19.33
1992-12-01,19.56
1992-12-02,20.03
1992-12-03,20.37
1992-12-04,20.14
1992-12-07,20.32
1992-12-08,20.37
1992-12-09,20.84
1992-12-10,20.72
1992-12-11,20.84
1992-12-14,19.91
1992-12-15,19.68
1992-12-16,19.79
1992-12-17,19.68
1992-12-18,19.45
1992-12-21,19.91
1992-12-22,20.37
1992-12-23,20.72
1992-12-24,20.37
1992-12-28,20.78
1992-12-29,20.78
1992-12-30,20.84
1992-12-31,20.84
1993-01-04,20.49
1993-01-05,20.6
1993-01-06,20.26
1993-01-07,19.79
1993-01-08,19.68
1993-01-11,19.68
1993-01-12,19.68
1993-01-13,19.45
1993-01-14,19.45
1993-01-15,19.91
1993-01-18,20.26
1993-01-19,19.91
1993-01-20,20.14
1993-01-21,20.26
1993-01-22,20.14
1993-01-25,20.26
1993-01-26,21.3
1993-01-27,21.53
1993-01-28,21.41
1993-01-29,20.84
1993-02-01,21.53
1993-02-02,22.23
1993-02-03,23.27
1993-02-04,22.34
1993-02-05,22.17
1993-02-08,21.82
1993-02-09,20.95
1993-02-10,20.26
1993-02-11,20.26
1993-02-12,19.91
1993-02-16,19.45
1993-02-17,19.33
1993-02-18,19.68
1993-02-19,19.68
1993-02-22,18.29
1993-02-23,17.94
1993-02-24,18.29
1993-02-25,18.87
1993-02-26,18.98
1993-03-01,19.33
1993-03-02,20.37
1993-03-03,20.6
1993-03-04,20.03
1993-03-05,20.26
1993-03-08,20.6
1993-03-09,20.37
1993-03-10,20.14
1993-03-11,20.6
1993-03-12,21.41
1993-03-15,21.76
1993-03-16,21.88
1993-03-17,22.11
1993-03-18,22.05
1993-03-19,22.11
1993-03-22,22.23
1993-03-23,22.34
1993-03-24,22.11
1993-03-25,21.88
1993-03-26,21.76
1993-03-29,21.3
1993-03-30,20.72
1993-03-31,20.72
1993-04-01,20.6
1993-04-02,20.08
1993-04-05,20.26
1993-04-06,20.72
1993-04-07,22.57
1993-04-08,22.92
1993-04-12,22.92
1993-04-13,23.38
1993-04-14,23.73
1993-04-15,23.61
1993-04-16,21.53
1993-04-19,21.47
1993-04-20,21.3
1993-04-21,20.49
1993-04-22,20.49
1993-04-23,20.26
1993-04-26,19.56
1993-04-27,19.33
1993-04-28,19.45
1993-04-29,20.26
1993-04-30,20.49
1993-05-03,20.2
1993-05-04,20.84
1993-05-05,20.37
1993-05-06,20.14
1993-05-07,19.91
1993-05-10,20.49
1993-05-11,19.1
1993-05-12,18.87
1993-05-13,18.87
1993-05-14,19.1
1993-05-17,19.79
1993-05-18,19.91
1993-05-19,20.72
1993-05-20,21.18
1993-05-21,20.14
1993-05-24,20.37
1993-05-25,20.6
1993-05-26,20.49
1993-05-27,20.66
1993-05-28,20.72
1993-06-01,20.37
1993-06-02,20.49
1993-06-03,20.26
1993-06-04,20.55
1993-06-07,20.37
1993-06-08,19.45
1993-06-09,19.27
1993-06-10,19.16
1993-06-11,18.87
1993-06-14,18.64
1993-06-15,18.98
1993-06-16,19.33
1993-06-17,19.56
1993-06-18,19.68
1993-06-21,19.27
1993-06-22,19.56
1993-06-23,19.39
1993-06-24,19.68
1993-06-25,19.91
1993-06-28,20.08
1993-06-29,20.14
1993-06-30,20.2
1993-07-01,20.08
1993-07-02,20.14
1993-07-06,20.6
1993-07-07,20.37
1993-07-08,20.14
1993-07-09,20.14
1993-07-12,20.03
1993-07-13,19.45
1993-07-14,19.45
1993-07-15,20.89
1993-07-16,20.95
1993-07-19,20.6
1993-07-20,20.37
1993-07-21,20.6
1993-07-22,20.6
1993-07-23,20.55
1993-07-26,20.72
1993-07-27,20.72
1993-07-28,20.84
1993-07-29,20.95
1993-07-30,21.41
1993-08-02,21.99
1993-08-03,22.51
1993-08-04,23.21
1993-08-05,23.15
1993-08-06,23.27
1993-08-09,23.04
1993-08-10,23.15
1993-08-11,23.15
1993-08-12,22.8
1993-08-13,22.34
1993-08-16,21.65
1993-08-17,23.15
1993-08-18,24.08
1993-08-19,24.54
1993-08-20,24.42
1993-08-23,25.12
1993-08-24,24.54
1993-08-25,24.77
1993-08-26,26.16
1993-08-27,26.16
1993-08-30,26.16
1993-08-31,26.86
1993-09-01,27.09
1993-09-02,28.48
1993-09-03,27.78
1993-09-07,27.32
1993-09-08,27.43
1993-09-09,27.32
1993-09-10,27.09
1993-09-13,27.55
1993-09-14,26.62
1993-09-15,26.62
1993-09-16,27.09
1993-09-17,27.78
1993-09-20,28.71
1993-09-21,29.29
1993-09-22,30.79
1993-09-23,31.25
1993-09-24,27.09
1993-09-27,27.09
1993-09-28,27.67
1993-09-29,28.71
1993-09-30,28.71
1993-10-01,28.13
1993-10-04,27.55
1993-10-05,28.24
1993-10-06,28.36
1993-10-07,28.94
1993-10-08,28.94
1993-10-11,29.05
1993-10-12,28.94
1993-10-13,28.71
1993-10-14,29.87
1993-10-15,30.1
1993-10-18,30.1
1993-10-19,28.94
1993-10-20,29.63
1993-10-21,28.82
1993-10-22,28.71
1993-10-25,28.71
1993-10-26,28.71
1993-10-27,28.71
1993-10-28,28.94
1993-10-29,29.17
1993-11-01,29.4
1993-11-02,28.94
1993-11-03,28.71
1993-11-04,28.71
1993-11-05,28.82
1993-11-08,28.94
1993-11-09,29.17
1993-11-10,28.71
1993-11-11,29.17
1993-11-12,30.33
1993-11-15,29.63
1993-11-16,28.94
1993-11-17,28.94
1993-11-18,30.1
1993-11-19,29.87
1993-11-22,27.32
1993-11-23,27.09
1993-11-24,27.32
1993-11-26,27.78
1993-11-29,27.67
1993-11-30,27.55
1993-12-01,28.24
1993-12-02,28.01
1993-12-03,28.13
1993-12-06,28.48
1993-12-07,29.17
1993-12-08,29.63
1993-12-09,29.87
1993-12-10,29.17
1993-12-13,29.87
1993-12-14,29.87
1993-12-15,29.87
1993-12-16,30.1
1993-12-17,30.1
1993-12-20,30.33
1993-12-21,30.1
1993-12-22,30.79
1993-12-23,31.25
1993-12-27,31.49
1993-12-28,31.25
1993-12-29,31.49
1993-12-30,31.25
1993-12-31,31.72
1994-01-03,31.72
1994-01-04,31.02
1994-01-05,31.37
1994-01-06,31.02
1994-01-07,31.25
1994-01-10,31.02
1994-01-11,30.1
1994-01-12,29.4
1994-01-13,28.48
1994-01-14,29.4
1994-01-17,29.75
1994-01-18,30.1
1994-01-19,29.17
1994-01-20,29.29
1994-01-21,28.24
1994-01-24,28.48
1994-01-25,28.24
1994-01-26,28.24
1994-01-27,28.94
1994-01-28,29.63
1994-01-31,28.24
1994-02-01,28.24
1994-02-02,28.01
1994-02-03,29.4
1994-02-04,28.01
1994-02-07,27.32
1994-02-08,27.78
1994-02-09,27.43
1994-02-10,27.55
1994-02-11,27.09
1994-02-14,27.09
1994-02-15,26.86
1994-02-16,27.78
1994-02-17,28.24
1994-02-18,28.48
1994-02-22,28.71
1994-02-23,28.24
1994-02-24,27.43
1994-02-25,27.55
1994-02-28,26.86
1994-03-01,26.39
1994-03-02,25.93
1994-03-03,26.39
1994-03-04,26.39
1994-03-07,25.93
1994-03-08,26.05
1994-03-09,25.81
1994-03-10,25.7
1994-03-11,25.93
1994-03-14,25.35
1994-03-15,20.72
1994-03-16,21.99
1994-03-17,22.69
1994-03-18,22.57
1994-03-21,22.46
1994-03-22,22.11
1994-03-23,21.76
1994-03-24,21.99
1994-03-25,21.53
1994-03-28,21.53
1994-03-29,20.14
1994-03-30,19.33
1994-03-31,20.84
1994-04-04,20.14
1994-04-05,20.14
1994-04-06,19.91
1994-04-07,19.22
1994-04-08,19.45
1994-04-11,19.68
1994-04-12,19.45
1994-04-13,18.75
1994-04-14,19.22
1994-04-15,18.75
1994-04-18,18.52
1994-04-19,17.6
1994-04-20,17.83
1994-04-21,18.06
1994-04-22,18.06
1994-04-25,18.06
1994-04-26,17.94
1994-04-28,18.29
1994-04-29,17.65
1994-05-02,18.17
1994-05-03,18.29
1994-05-04,18.06
1994-05-05,18.29
1994-05-06,18.06
1994-05-09,17.48
1994-05-10,12.15
1994-05-11,12.39
1994-05-12,13.2
1994-05-13,12.73
1994-05-16,12.44
1994-05-17,13.08
1994-05-18,13.54
1994-05-19,13.89
1994-05-20,13.89
1994-05-23,14.12
1994-05-24,13.89
1994-05-25,13.72
1994-05-26,14.35
1994-05-27,14.12
1994-05-31,14.35
1994-06-01,13.89
1994-06-02,14.12
1994-06-03,14.35
1994-06-06,14.59
1994-06-07,14.82
1994-06-08,14.59
1994-06-09,15.05
1994-06-10,15.05
1994-06-13,14.35
1994-06-14,14.59
1994-06-15,13.89
1994-06-16,13.66
1994-06-17,13.6
1994-06-20,13.2
1994-06-21,12.96
1994-06-22,12.85
1994-06-23,11.92
1994-06-24,12.5
1994-06-27,13.2
1994-06-28,12.96
1994-06-29,12.5
1994-06-30,12.73
1994-07-01,12.96
1994-07-05,12.96
1994-07-06,12.5
1994-07-07,12.5
1994-07-08,12.5
1994-07-11,12.73
1994-07-12,12.73
1994-07-13,12.73
1994-07-14,12.62
1994-07-15,12.5
1994-07-18,12.5
1994-07-19,12.04
1994-07-20,12.04
1994-07-21,12.73
1994-07-22,12.91
1994-07-25,12.96
1994-07-26,12.73
1994-07-27,12.85
1994-07-28,12.96
1994-07-29,12.96
1994-08-01,12.73
1994-08-02,12.04
1994-08-03,12.27
1994-08-04,11.92
1994-08-05,11.34
1994-08-08,11.58
1994-08-09,11.46
1994-08-10,11.81
1994-08-11,11.34
1994-08-12,12.04
1994-08-15,12.1
1994-08-16,12.39
1994-08-17,12.68
1994-08-18,12.62
1994-08-19,12.96
1994-08-22,12.96
1994-08-23,13.66
1994-08-24,13.78
1994-08-25,13.66
1994-08-26,13.89
1994-08-29,13.66
1994-08-30,13.89
1994-08-31,14.12
1994-09-01,13.66
1994-09-02,14.12
1994-09-06,13.89
1994-09-07,13.66
1994-09-08,14.12
1994-09-09,13.89
1994-09-12,13.66
1994-09-13,14.12
1994-09-14,13.43
1994-09-15,14.12
1994-09-16,14.12
1994-09-19,13.66
1994-09-20,13.66
1994-09-21,13.43
1994-09-22,13.2
1994-09-23,13.2
1994-09-26,13.08
1994-09-27,12.62
1994-09-28,12.96
1994-09-29,12.96
1994-09-30,12.5
1994-10-03,12.73
1994-10-04,12.85
1994-10-05,12.85
1994-10-06,12.96
1994-10-07,12.96
1994-10-10,13.43
1994-10-11,13.66
1994-10-12,13.43
1994-10-13,13.2
1994-10-14,13.43
1994-10-17,13.43
1994-10-18,14.12
1994-10-19,14.82
1994-10-20,14.59
1994-10-21,14.12
1994-10-24,14.47
1994-10-25,14.47
1994-10-26,14.59
1994-10-27,14.35
1994-10-28,12.44
1994-10-31,12.5
1994-11-01,12.5
1994-11-02,12.39
1994-11-03,12.27
1994-11-04,11.81
1994-11-07,12.15
1994-11-08,12.5
1994-11-09,12.5
1994-11-10,12.33
1994-11-11,12.04
1994-11-14,12.27
1994-11-15,12.04
1994-11-16,11.92
1994-11-17,11.81
1994-11-18,12.04
1994-11-21,11.69
1994-11-22,11.11
1994-11-23,11.23
1994-11-25,11.46
1994-11-28,11.23
1994-11-29,11.23
1994-11-30,11.11
1994-12-01,10.88
1994-12-02,11.23
1994-12-05,11.0
1994-12-06,11.11
1994-12-07,10.53
1994-12-08,10.77
1994-12-09,10.65
1994-12-12,10.42
1994-12-13,10.3
1994-12-14,10.19
1994-12-15,10.65
