Date,Price
1990-01-01,57.85
1990-01-02,60.7
1990-01-03,63.15
1990-01-04,66.41
1990-01-05,65.18
1990-01-08,65.18
1990-01-09,65.18
1990-01-10,63.96
1990-01-11,64.37
1990-01-12,63.55
1990-01-15,63.15
1990-01-16,63.15
1990-01-17,63.15
1990-01-18,63.15
1990-01-19,63.15
1990-01-22,62.74
1990-01-23,62.33
1990-01-24,62.33
1990-01-25,62.74
1990-01-26,62.33
1990-01-29,62.33
1990-01-30,62.33
1990-01-31,62.33
1990-02-01,62.33
1990-02-02,63.55
1990-02-05,65.59
1990-02-06,65.59
1990-02-07,66.0
1990-02-08,66.41
1990-02-09,66.0
1990-02-12,66.0
1990-02-13,66.0
1990-02-14,65.59
1990-02-15,63.15
1990-02-16,61.92
1990-02-19,61.52
1990-02-20,62.33
1990-02-21,61.92
1990-02-22,62.74
1990-02-23,61.92
1990-02-26,61.92
1990-02-27,61.92
1990-02-28,62.33
1990-03-01,62.33
1990-03-02,62.33
1990-03-05,62.74
1990-03-06,63.15
1990-03-07,63.55
1990-03-08,64.37
1990-03-09,64.37
1990-03-12,63.15
1990-03-13,63.15
1990-03-14,63.55
1990-03-15,63.55
1990-03-16,63.55
1990-03-19,63.55
1990-03-20,64.37
1990-03-21,64.78
1990-03-22,64.37
1990-03-23,63.96
1990-03-26,64.37
1990-03-27,64.37
1990-03-28,66.41
1990-03-29,66.41
1990-03-30,66.41
1990-04-02,66.41
1990-04-03,66.81
1990-04-04,66.81
1990-04-05,66.41
1990-04-06,66.0
1990-04-09,64.37
1990-04-10,63.15
1990-04-11,60.29
1990-04-12,59.07
1990-04-13,59.07
1990-04-16,59.07
1990-04-17,58.66
1990-04-18,58.66
1990-04-19,58.66
1990-04-20,58.26
1990-04-23,58.26
1990-04-24,58.26
1990-04-25,57.04
1990-04-26,56.22
1990-04-27,55.41
1990-04-30,54.18
1990-05-01,54.18
1990-05-02,54.59
1990-05-03,54.59
1990-05-04,55.0
1990-05-07,55.0
1990-05-08,55.81
1990-05-09,55.81
1990-05-10,56.22
1990-05-11,56.22
1990-05-14,57.44
1990-05-15,57.04
1990-05-16,59.07
1990-05-17,62.74
1990-05-18,61.52
1990-05-21,61.52
1990-05-22,62.33
1990-05-23,62.74
1990-05-24,62.33
1990-05-25,62.33
1990-05-28,62.33
1990-05-29,63.15
1990-05-30,63.55
1990-05-31,63.96
1990-06-01,63.96
1990-06-04,68.44
1990-06-05,66.0
1990-06-06,66.0
1990-06-07,66.81
1990-06-08,66.41
1990-06-11,66.41
1990-06-12,68.44
1990-06-13,68.85
1990-06-14,68.44
1990-06-15,68.04
1990-06-18,68.04
1990-06-19,67.22
1990-06-20,67.22
1990-06-21,66.81
1990-06-22,69.67
1990-06-25,70.89
1990-06-26,71.7
1990-06-27,71.29
1990-06-28,72.11
1990-06-29,72.11
1990-07-02,72.92
1990-07-03,73.74
1990-07-04,73.74
1990-07-05,72.11
1990-07-06,72.11
1990-07-09,71.29
1990-07-10,70.89
1990-07-11,70.89
1990-07-12,70.89
1990-07-13,70.89
1990-07-16,72.11
1990-07-17,74.15
1990-07-18,74.96
1990-07-19,75.78
1990-07-20,76.59
1990-07-23,76.18
1990-07-24,77.41
1990-07-25,77.41
1990-07-26,77.41
1990-07-27,75.78
1990-07-30,73.33
1990-07-31,73.74
1990-08-01,72.92
1990-08-02,71.7
1990-08-03,71.7
1990-08-06,69.67
1990-08-07,70.07
1990-08-08,70.48
1990-08-09,70.07
1990-08-10,70.07
1990-08-13,69.26
1990-08-14,69.67
1990-08-15,70.07
1990-08-16,70.07
1990-08-17,68.85
1990-08-20,68.04
1990-08-21,63.55
1990-08-22,62.33
1990-08-23,60.7
1990-08-24,60.7
1990-08-27,60.7
1990-08-28,62.74
1990-08-29,62.74
1990-08-30,62.74
1990-08-31,62.74
1990-09-03,66.41
1990-09-04,66.81
1990-09-05,66.81
1990-09-06,66.41
1990-09-07,66.41
1990-09-10,66.41
1990-09-11,66.81
1990-09-12,66.81
1990-09-13,66.0
1990-09-14,66.0
1990-09-17,64.37
1990-09-18,63.15
1990-09-19,63.15
1990-09-20,62.33
1990-09-21,62.74
1990-09-24,61.92
1990-09-25,61.92
1990-09-26,64.37
1990-09-27,65.59
1990-09-28,65.59
1990-10-01,66.0
1990-10-02,66.81
1990-10-03,66.81
1990-10-04,66.81
1990-10-05,68.44
1990-10-08,78.63
1990-10-09,77.81
1990-10-10,79.03
1990-10-11,80.26
1990-10-12,80.66
1990-10-15,81.07
1990-10-16,80.66
1990-10-17,80.26
1990-10-18,80.26
1990-10-19,80.26
1990-10-22,80.66
1990-10-23,80.66
1990-10-24,80.66
1990-10-25,81.07
1990-10-26,81.07
1990-10-29,80.66
1990-10-30,80.26
1990-10-31,80.26
1990-11-01,79.44
1990-11-02,78.63
1990-11-05,78.22
1990-11-06,77.41
1990-11-07,76.59
1990-11-08,76.59
1990-11-09,76.59
1990-11-12,76.59
1990-11-13,75.78
1990-11-14,75.37
1990-11-15,75.37
1990-11-16,75.37
1990-11-19,75.78
1990-11-20,75.37
1990-11-21,75.37
1990-11-22,74.96
1990-11-23,77.41
1990-11-26,78.22
1990-11-27,78.63
1990-11-28,77.81
1990-11-29,78.22
1990-11-30,78.63
1990-12-03,79.44
1990-12-04,79.03
1990-12-05,79.03
1990-12-06,79.44
1990-12-07,81.07
1990-12-10,82.7
1990-12-11,83.52
1990-12-12,83.52
1990-12-13,83.52
1990-12-14,83.52
1990-12-17,83.52
1990-12-18,80.66
1990-12-19,81.07
1990-12-20,81.07
1990-12-21,81.07
1990-12-24,81.07
1990-12-25,81.07
1990-12-26,81.07
1990-12-27,81.48
1990-12-28,81.89
1990-12-31,81.89
1991-01-01,81.89
1991-01-02,81.48
1991-01-03,81.07
1991-01-04,81.07
1991-01-07,81.07
1991-01-08,81.07
1991-01-09,80.66
1991-01-10,80.66
1991-01-11,79.44
1991-01-14,79.44
1991-01-15,78.22
1991-01-16,78.22
1991-01-17,79.44
1991-01-18,78.63
1991-01-21,79.03
1991-01-22,79.44
1991-01-23,79.44
1991-01-24,80.26
1991-01-25,80.66
1991-01-28,80.66
1991-01-29,80.66
1991-01-30,81.07
1991-01-31,81.48
1991-02-01,82.29
1991-02-04,82.7
1991-02-05,83.92
1991-02-06,84.33
1991-02-07,85.15
1991-02-08,85.55
1991-02-11,87.59
1991-02-12,87.59
1991-02-13,87.59
1991-02-14,87.59
1991-02-15,87.18
1991-02-18,89.22
1991-02-19,90.85
1991-02-20,90.85
1991-02-21,92.07
1991-02-22,92.48
1991-02-25,92.89
1991-02-26,92.48
1991-02-27,93.29
1991-02-28,93.29
1991-03-01,92.89
1991-03-04,100.63
1991-03-05,107.96
1991-03-06,111.22
1991-03-07,114.48
1991-03-08,114.48
1991-03-11,114.07
1991-03-12,114.07
1991-03-13,114.48
1991-03-14,116.92
1991-03-15,117.74
1991-03-18,117.74
1991-03-19,117.74
1991-03-20,116.92
1991-03-21,117.33
1991-03-22,116.11
1991-03-25,115.7
1991-03-26,114.89
1991-03-27,112.85
1991-03-28,114.5
1991-03-29,114.5
1991-04-01,114.5
1991-04-02,114.5
1991-04-03,116.62
1991-04-04,117.48
1991-04-05,117.48
1991-04-08,117.9
1991-04-09,118.75
1991-04-10,118.75
1991-04-11,118.75
1991-04-12,117.9
1991-04-15,116.2
1991-04-16,115.35
1991-04-17,115.77
1991-04-18,114.92
1991-04-19,114.07
1991-04-22,114.07
1991-04-23,113.64
1991-04-24,112.79
1991-04-25,111.09
1991-04-26,110.24
1991-04-29,109.39
1991-04-30,109.39
1991-05-01,108.54
1991-05-02,108.54
1991-05-03,108.54
1991-05-06,108.54
1991-05-07,108.96
1991-05-08,108.96
1991-05-09,109.39
1991-05-10,109.39
1991-05-13,108.11
1991-05-14,108.11
1991-05-15,107.69
1991-05-16,107.26
1991-05-17,107.26
1991-05-20,107.26
1991-05-21,106.41
1991-05-22,106.41
1991-05-23,106.83
1991-05-24,106.41
1991-05-27,106.41
1991-05-28,105.98
1991-05-29,106.41
1991-05-30,106.41
1991-05-31,106.41
1991-06-03,106.83
1991-06-04,106.83
1991-06-05,107.47
1991-06-06,107.26
1991-06-07,108.11
1991-06-10,109.81
1991-06-11,112.37
1991-06-12,112.79
1991-06-13,112.79
1991-06-14,112.79
1991-06-17,114.92
1991-06-18,114.92
1991-06-19,113.64
1991-06-20,113.64
1991-06-21,113.64
1991-06-24,113.64
1991-06-25,113.64
1991-06-26,114.07
1991-06-27,114.5
1991-06-28,114.5
1991-07-01,114.5
1991-07-02,114.5
1991-07-03,114.5
1991-07-04,114.5
1991-07-05,112.79
1991-07-08,112.37
1991-07-09,111.52
1991-07-10,111.52
1991-07-11,112.79
1991-07-12,112.79
1991-07-15,112.79
1991-07-16,113.22
1991-07-17,113.22
1991-07-18,114.07
1991-07-19,114.92
1991-07-22,114.92
1991-07-23,117.48
1991-07-24,117.9
1991-07-25,120.03
1991-07-26,121.73
1991-07-29,120.46
1991-07-30,121.31
1991-07-31,121.73
1991-08-01,122.16
1991-08-02,122.58
1991-08-05,120.88
1991-08-06,120.88
1991-08-07,120.88
1991-08-08,120.03
1991-08-09,120.03
1991-08-12,119.6
1991-08-13,119.18
1991-08-14,119.6
1991-08-15,120.03
1991-08-16,119.18
1991-08-19,114.5
1991-08-20,115.35
1991-08-21,115.35
1991-08-22,116.62
1991-08-23,118.33
1991-08-26,118.33
1991-08-27,118.75
1991-08-28,118.75
1991-08-29,119.18
1991-08-30,118.33
1991-09-02,120.88
1991-09-03,123.01
1991-09-04,123.86
1991-09-05,124.29
1991-09-06,125.14
1991-09-09,123.86
1991-09-10,123.43
1991-09-11,123.86
1991-09-12,124.71
1991-09-13,129.39
1991-09-16,127.69
1991-09-17,127.69
1991-09-18,127.69
1991-09-19,127.69
1991-09-20,127.69
1991-09-23,127.69
1991-09-24,127.69
1991-09-25,128.97
1991-09-26,128.54
1991-09-27,128.54
1991-09-30,128.54
1991-10-01,128.54
1991-10-02,126.84
1991-10-03,126.84
1991-10-04,126.84
1991-10-07,126.84
1991-10-08,126.84
1991-10-09,126.41
1991-10-10,125.56
1991-10-11,125.14
1991-10-14,123.86
1991-10-15,122.58
1991-10-16,120.88
1991-10-17,119.6
1991-10-18,119.18
1991-10-21,119.18
1991-10-22,115.35
1991-10-23,112.79
1991-10-24,111.52
1991-10-25,111.09
1991-10-28,111.09
1991-10-29,111.52
1991-10-30,112.79
1991-10-31,113.22
1991-11-01,114.5
1991-11-04,114.92
1991-11-05,115.35
1991-11-06,116.2
1991-11-07,116.62
1991-11-08,116.62
1991-11-11,116.62
1991-11-12,117.05
1991-11-13,117.26
1991-11-14,117.26
1991-11-15,117.26
1991-11-18,115.35
1991-11-19,113.64
1991-11-20,113.64
1991-11-21,113.64
1991-11-22,113.64
1991-11-25,113.64
1991-11-26,113.64
1991-11-27,113.64
1991-11-28,114.07
1991-11-29,110.24
1991-12-02,108.11
1991-12-03,108.11
1991-12-04,108.11
1991-12-05,107.26
1991-12-06,106.41
1991-12-09,106.41
1991-12-10,106.41
1991-12-11,105.13
1991-12-12,105.98
1991-12-13,107.69
1991-12-16,106.83
1991-12-17,106.41
1991-12-18,105.98
1991-12-19,104.28
1991-12-20,102.15
1991-12-23,100.02
1991-12-24,100.02
1991-12-25,100.02
1991-12-26,100.02
1991-12-27,100.02
1991-12-30,100.02
1991-12-31,98.75
1992-01-01,98.75
1992-01-02,98.75
1992-01-03,98.75
1992-01-06,97.47
1992-01-07,94.49
1992-01-08,95.77
1992-01-09,96.19
1992-01-10,97.04
1992-01-13,97.04
1992-01-14,98.32
1992-01-15,100.88
1992-01-16,104.28
1992-01-17,108.11
1992-01-20,108.11
1992-01-21,107.69
1992-01-22,107.69
1992-01-23,107.69
1992-01-24,108.11
1992-01-27,109.39
1992-01-28,109.81
1992-01-29,111.52
1992-01-30,115.77
1992-01-31,117.48
1992-02-03,117.48
1992-02-04,117.9
1992-02-05,120.88
1992-02-06,120.03
1992-02-07,119.6
1992-02-10,120.03
1992-02-11,120.46
1992-02-12,120.88
1992-02-13,120.88
1992-02-14,120.88
1992-02-17,122.16
1992-02-18,121.31
1992-02-19,121.31
1992-02-20,121.31
1992-02-21,121.31
1992-02-24,121.31
1992-02-25,121.31
1992-02-26,121.31
1992-02-27,122.16
1992-02-28,122.16
1992-03-02,122.16
1992-03-03,122.16
1992-03-04,122.58
1992-03-05,122.58
1992-03-06,122.16
1992-03-09,125.14
1992-03-10,124.71
1992-03-11,122.16
1992-03-12,121.31
1992-03-13,120.46
1992-03-16,119.18
1992-03-17,119.18
1992-03-18,119.18
1992-03-19,119.18
1992-03-20,117.9
1992-03-23,115.77
1992-03-24,115.77
1992-03-25,113.64
1992-03-26,113.64
1992-03-27,112.79
1992-03-30,111.94
1992-03-31,109.81
1992-04-01,107.26
1992-04-02,107.69
1992-04-03,105.98
1992-04-06,103.86
1992-04-07,102.58
1992-04-08,102.58
1992-04-09,104.28
1992-04-10,120.88
1992-04-13,122.16
1992-04-14,124.29
1992-04-15,125.99
1992-04-16,127.69
1992-04-17,127.69
1992-04-20,127.69
