Date,Price
2000-09-19,36.66
2000-09-20,36.22
2000-09-21,35.1
2000-09-22,34.49
2000-09-25,35.03
2000-09-26,34.1
2000-09-27,32.45
2000-09-28,30.2
2000-09-29,29.84
2000-10-02,29.67
2000-10-03,30.19
2000-10-04,30.06
2000-10-05,29.88
2000-10-06,27.6
2000-10-09,26.69
2000-10-10,28.25
2000-10-11,25.44
2000-10-12,26.74
2000-10-13,26.78
2000-10-16,27.6
2000-10-17,28.16
2000-10-18,26.74
2000-10-19,29.41
2000-10-20,30.62
2000-10-23,30.62
2000-10-24,31.91
2000-10-25,32.34
2000-10-26,32.0
2000-10-27,33.21
2000-10-30,33.42
2000-10-31,33.42
2000-11-01,33.46
2000-11-02,33.25
2000-11-03,34.76
2000-11-06,35.79
2000-11-07,35.1
2000-11-08,34.06
2000-11-09,32.99
2000-11-10,30.96
2000-11-13,29.43
2000-11-14,31.74
2000-11-15,32.63
2000-11-16,32.77
2000-11-17,31.91
2000-11-20,31.83
2000-11-21,30.54
2000-11-22,30.53
2000-11-23,31.05
2000-11-24,31.39
2000-11-27,32.2
2000-11-28,31.91
2000-11-29,30.28
2000-11-30,29.54
2000-12-01,30.19
2000-12-04,29.37
2000-12-05,30.19
2000-12-06,31.65
2000-12-07,32.77
2000-12-08,32.15
2000-12-11,34.48
2000-12-12,33.08
2000-12-13,32.34
2000-12-14,33.77
2000-12-15,32.34
2000-12-18,32.08
2000-12-19,31.91
2000-12-20,31.09
2000-12-21,30.28
2000-12-22,30.02
2000-12-27,30.45
2000-12-28,30.27
2000-12-29,31.04
2001-01-01,31.04
2001-01-02,30.53
2001-01-03,28.76
2001-01-04,31.05
2001-01-05,30.64
2001-01-08,29.84
2001-01-09,30.19
2001-01-10,31.14
2001-01-11,30.92
2001-01-12,31.57
2001-01-15,31.7
2001-01-16,31.26
2001-01-17,32.34
2001-01-18,32.9
2001-01-19,33.21
2001-01-22,32.53
2001-01-23,32.69
2001-01-25,30.96
2001-01-29,31.05
2001-01-30,30.62
2001-01-31,30.88
2001-02-01,31.65
2001-02-02,31.05
2001-02-05,30.96
2001-02-06,31.03
2001-02-07,30.23
2001-02-08,31.48
2001-02-09,31.48
2001-02-12,31.31
2001-02-13,30.32
2001-02-14,29.24
2001-02-15,30.19
2001-02-16,29.67
2001-02-19,30.29
2001-02-20,30.16
2001-02-21,29.76
2001-02-22,29.65
2001-02-23,30.18
2001-02-26,30.48
2001-02-27,30.94
2001-02-28,31.14
2001-03-01,29.37
2001-03-02,30.01
2001-03-05,30.2
2001-03-06,31.44
2001-03-07,32.0
2001-03-08,32.21
2001-03-09,32.04
2001-03-12,30.45
2001-03-13,30.19
2001-03-15,30.62
2001-03-16,30.83
2001-03-19,30.98
2001-03-20,31.05
2001-03-21,29.76
2001-03-22,27.17
2001-03-23,27.94
2001-03-26,29.32
2001-03-27,28.72
2001-03-28,29.54
2001-03-29,29.3
2001-03-30,29.76
2001-04-02,29.32
2001-04-03,28.46
2001-04-04,28.03
2001-04-05,28.46
2001-04-06,27.93
2001-04-09,27.69
2001-04-10,27.86
2001-04-11,28.12
2001-04-12,27.52
2001-04-13,27.52
2001-04-16,27.52
2001-04-17,26.91
2001-04-18,28.68
2001-04-19,30.73
2001-04-20,30.96
2001-04-23,30.96
2001-04-24,30.47
2001-04-25,30.83
2001-04-26,30.89
2001-04-27,32.91
2001-04-30,32.77
2001-05-01,32.77
2001-05-02,32.92
2001-05-03,32.2
2001-05-04,31.65
2001-05-07,31.65
2001-05-08,31.83
2001-05-09,31.65
2001-05-10,32.26
2001-05-11,32.26
2001-05-14,31.83
2001-05-15,31.22
2001-05-16,31.07
2001-05-17,31.7
2001-05-18,31.7
2001-05-21,31.48
2001-05-22,32.24
2001-05-23,32.79
2001-05-24,32.43
2001-05-25,33.44
2001-05-28,33.33
2001-05-29,33.16
2001-05-30,31.93
2001-05-31,32.0
2001-06-01,31.91
2001-06-04,31.91
2001-06-05,32.64
2001-06-06,31.91
2001-06-07,32.64
2001-06-08,31.91
2001-06-11,31.27
2001-06-12,29.76
2001-06-13,29.41
2001-06-14,27.31
2001-06-15,26.51
2001-06-18,25.79
2001-06-19,26.17
2001-06-20,25.01
2001-06-21,25.34
2001-06-22,25.44
2001-06-25,25.18
2001-06-26,25.01
2001-06-27,25.22
2001-06-28,24.3
2001-06-29,24.67
2001-07-02,25.62
2001-07-03,25.18
2001-07-04,25.31
2001-07-05,23.8
2001-07-06,22.72
2001-07-09,22.41
2001-07-10,21.82
2001-07-11,21.98
2001-07-12,22.67
2001-07-13,22.67
2001-07-16,22.71
2001-07-17,22.36
2001-07-18,21.65
2001-07-19,22.76
2001-07-20,22.08
2001-07-23,22.06
2001-07-24,22.55
2001-07-25,21.78
2001-07-26,22.29
2001-07-27,23.89
2001-07-30,23.63
2001-07-31,23.72
2001-08-01,25.62
2001-08-02,25.87
2001-08-03,25.87
2001-08-06,25.14
2001-08-07,25.18
2001-08-08,25.44
2001-08-09,24.43
2001-08-10,23.18
2001-08-13,22.87
2001-08-14,24.5
2001-08-15,24.15
2001-08-16,24.32
2001-08-17,23.29
2001-08-20,22.6
2001-08-21,24.15
2001-08-22,22.9
2001-08-23,23.58
2001-08-24,24.8
2001-08-27,24.06
2001-08-28,23.03
2001-08-29,22.53
2001-08-30,22.42
2001-08-31,22.51
2001-09-03,22.16
2001-09-04,21.81
2001-09-05,21.9
2001-09-06,21.56
2001-09-07,20.7
2001-09-10,20.52
2001-09-11,18.11
2001-09-12,17.34
2001-09-13,16.57
2001-09-14,14.76
2001-09-17,15.72
2001-09-18,16.0
2001-09-19,15.83
2001-09-20,15.43
2001-09-21,16.26
2001-09-24,16.6
2001-09-25,16.56
2001-09-26,16.69
2001-09-27,16.82
2001-09-28,16.82
2001-10-01,15.01
2001-10-02,14.88
2001-10-03,13.94
2001-10-04,14.19
2001-10-05,14.61
2001-10-08,15.08
2001-10-09,15.65
2001-10-10,16.82
2001-10-11,17.68
2001-10-12,18.03
2001-10-15,17.85
2001-10-16,17.85
2001-10-17,18.59
2001-10-18,18.15
2001-10-19,18.38
