Date,Price
1990-01-02,6.43
1990-01-03,6.43
1990-01-04,6.59
1990-01-05,6.54
1990-01-08,6.59
1990-01-09,6.64
1990-01-10,6.64
1990-01-11,6.59
1990-01-12,6.48
1990-01-15,6.38
1990-01-16,6.28
1990-01-17,6.38
1990-01-18,6.38
1990-01-19,6.43
1990-01-22,6.33
1990-01-23,6.23
1990-01-24,6.03
1990-01-25,5.98
1990-01-26,5.88
1990-01-29,5.67
1990-01-30,5.57
1990-01-31,5.57
1990-02-01,5.78
1990-02-02,5.93
1990-02-05,6.18
1990-02-06,6.08
1990-02-07,5.98
1990-02-08,6.18
1990-02-09,6.23
1990-02-12,6.23
1990-02-13,6.13
1990-02-14,6.13
1990-02-15,6.21
1990-02-16,6.21
1990-02-20,6.21
1990-02-21,6.21
1990-02-22,6.31
1990-02-23,6.41
1990-02-26,6.36
1990-02-27,6.41
1990-02-28,6.51
1990-03-01,6.62
1990-03-02,6.67
1990-03-05,6.72
1990-03-06,7.07
1990-03-07,7.13
1990-03-08,7.13
1990-03-09,7.02
1990-03-12,7.07
1990-03-13,7.02
1990-03-14,7.02
1990-03-15,7.02
1990-03-16,7.18
1990-03-19,7.18
1990-03-20,7.07
1990-03-21,7.13
1990-03-22,7.23
1990-03-23,7.28
1990-03-26,7.18
1990-03-27,7.28
1990-03-28,7.23
1990-03-29,7.13
1990-03-30,7.23
1990-04-02,7.38
1990-04-03,7.63
1990-04-04,7.58
1990-04-05,7.58
1990-04-06,7.63
1990-04-09,7.94
1990-04-10,7.79
1990-04-11,7.94
1990-04-12,7.94
1990-04-16,7.84
1990-04-17,7.74
1990-04-18,7.63
1990-04-19,7.63
1990-04-20,7.63
1990-04-23,7.48
1990-04-24,7.63
1990-04-25,7.48
1990-04-26,7.23
1990-04-27,7.02
1990-04-30,7.02
1990-05-01,7.28
1990-05-02,7.33
1990-05-03,7.33
1990-05-04,7.48
1990-05-07,7.58
1990-05-08,7.53
1990-05-09,7.56
1990-05-10,7.46
1990-05-11,7.51
1990-05-14,7.36
1990-05-15,7.56
1990-05-16,7.66
1990-05-17,7.92
1990-05-18,7.82
1990-05-21,7.87
1990-05-22,7.77
1990-05-23,7.71
1990-05-24,7.46
1990-05-25,7.36
1990-05-29,7.87
1990-05-30,8.02
1990-05-31,8.74
1990-06-01,8.84
1990-06-04,8.84
1990-06-05,9.09
1990-06-06,9.3
1990-06-07,9.2
1990-06-08,9.15
1990-06-11,9.2
1990-06-12,9.25
1990-06-13,8.99
1990-06-14,8.79
1990-06-15,8.69
1990-06-18,8.43
1990-06-19,8.38
1990-06-20,8.38
1990-06-21,8.38
1990-06-22,8.43
1990-06-25,8.43
1990-06-26,8.38
1990-06-27,8.43
1990-06-28,8.48
1990-06-29,8.89
1990-07-02,8.99
1990-07-03,8.99
1990-07-05,8.99
1990-07-06,8.99
1990-07-09,8.99
1990-07-10,8.89
1990-07-11,8.89
1990-07-12,8.89
1990-07-13,8.74
1990-07-16,9.15
1990-07-17,9.09
1990-07-18,9.04
1990-07-19,9.09
1990-07-20,9.35
1990-07-23,9.3
1990-07-24,9.4
1990-07-25,9.3
1990-07-26,9.2
1990-07-27,9.04
1990-07-30,8.99
1990-07-31,8.99
1990-08-01,9.09
1990-08-02,8.79
1990-08-03,7.92
1990-08-06,6.95
1990-08-07,7.26
1990-08-08,7.51
1990-08-09,7.77
1990-08-10,8.02
1990-08-13,8.0
1990-08-14,8.41
1990-08-15,8.41
1990-08-16,8.0
1990-08-17,7.43
1990-08-20,7.18
1990-08-21,6.97
1990-08-22,7.08
1990-08-23,6.56
1990-08-24,6.61
1990-08-27,6.87
1990-08-28,7.38
1990-08-29,7.38
1990-08-30,7.18
1990-08-31,7.33
1990-09-04,7.18
1990-09-05,7.28
1990-09-06,6.97
1990-09-07,6.97
1990-09-10,6.87
1990-09-11,6.72
1990-09-12,6.61
1990-09-13,6.61
1990-09-14,6.56
1990-09-17,6.51
1990-09-18,6.56
1990-09-19,6.67
1990-09-20,6.26
1990-09-21,6.2
1990-09-24,5.9
1990-09-25,5.9
1990-09-26,5.64
1990-09-27,5.33
1990-09-28,5.33
1990-10-01,5.54
1990-10-02,5.59
1990-10-03,5.64
1990-10-04,5.54
1990-10-05,5.28
1990-10-08,5.28
1990-10-09,5.28
1990-10-10,4.92
1990-10-11,4.26
1990-10-12,4.46
1990-10-15,4.61
1990-10-16,4.56
1990-10-17,4.51
1990-10-18,4.56
1990-10-19,4.82
1990-10-22,5.23
1990-10-23,5.23
1990-10-24,5.28
1990-10-25,5.33
1990-10-26,5.28
1990-10-29,4.77
1990-10-30,4.77
1990-10-31,4.77
1990-11-01,4.82
1990-11-02,4.92
1990-11-05,4.87
1990-11-06,4.97
1990-11-07,4.92
1990-11-08,5.02
1990-11-09,4.92
1990-11-12,5.13
1990-11-13,5.13
1990-11-14,5.59
1990-11-15,5.44
1990-11-16,5.44
1990-11-19,5.33
1990-11-20,5.23
1990-11-21,5.23
1990-11-23,5.23
1990-11-26,5.28
1990-11-27,5.74
1990-11-28,5.95
1990-11-29,6.0
1990-11-30,6.03
1990-12-03,6.08
1990-12-04,5.77
1990-12-05,6.03
1990-12-06,6.39
1990-12-07,6.59
1990-12-10,6.59
1990-12-11,6.49
1990-12-12,6.54
1990-12-13,6.49
1990-12-14,6.8
1990-12-17,7.01
1990-12-18,6.85
1990-12-19,6.96
1990-12-20,6.9
1990-12-21,6.65
1990-12-24,6.49
1990-12-26,6.18
1990-12-27,6.18
1990-12-28,5.87
1990-12-31,6.03
1991-01-02,6.08
1991-01-03,6.13
1991-01-04,6.18
1991-01-07,5.87
1991-01-08,5.98
1991-01-09,5.87
1991-01-10,5.98
1991-01-11,6.08
1991-01-14,6.03
1991-01-15,6.08
1991-01-16,6.08
1991-01-17,6.29
1991-01-18,6.18
1991-01-21,6.18
1991-01-22,6.23
1991-01-23,6.39
1991-01-24,7.01
1991-01-25,7.21
1991-01-28,7.26
1991-01-29,7.21
1991-01-30,7.57
1991-01-31,7.63
1991-02-01,7.73
1991-02-04,7.93
1991-02-05,7.83
1991-02-06,8.04
1991-02-07,7.78
1991-02-08,7.42
1991-02-11,7.52
1991-02-12,7.47
1991-02-13,7.57
1991-02-14,7.81
1991-02-15,7.96
1991-02-19,7.91
1991-02-20,7.81
1991-02-21,7.96
1991-02-22,7.86
1991-02-25,7.81
1991-02-26,7.71
1991-02-27,7.86
1991-02-28,8.07
1991-03-01,8.02
1991-03-04,7.96
1991-03-05,8.27
1991-03-06,8.27
1991-03-07,8.17
1991-03-08,7.91
1991-03-11,8.02
1991-03-12,7.96
1991-03-13,8.17
1991-03-14,8.33
1991-03-15,8.33
1991-03-18,8.43
1991-03-19,8.43
1991-03-20,8.33
1991-03-21,8.38
1991-03-22,8.53
1991-03-25,8.64
1991-03-26,8.95
1991-03-27,9.0
1991-03-28,8.84
1991-04-01,8.38
1991-04-02,8.43
1991-04-03,8.48
1991-04-04,8.38
1991-04-05,8.53
1991-04-08,8.53
1991-04-09,8.59
1991-04-10,8.74
1991-04-11,9.21
1991-04-12,9.46
1991-04-15,9.62
1991-04-16,9.52
1991-04-17,9.46
1991-04-18,9.52
1991-04-19,9.41
1991-04-22,9.52
1991-04-23,9.41
1991-04-24,9.36
1991-04-25,9.21
1991-04-26,9.0
1991-04-29,9.1
1991-04-30,9.21
1991-05-01,9.31
1991-05-02,9.52
1991-05-03,9.46
1991-05-06,9.36
1991-05-07,9.21
1991-05-08,9.08
1991-05-09,9.23
1991-05-10,9.23
1991-05-13,9.23
1991-05-14,9.13
1991-05-15,9.23
1991-05-16,9.6
1991-05-17,9.7
1991-05-20,9.7
1991-05-21,10.01
1991-05-22,10.22
1991-05-23,10.22
1991-05-24,10.17
1991-05-28,10.58
1991-05-29,11.0
1991-05-30,11.21
1991-05-31,11.15
1991-06-03,11.21
1991-06-04,10.79
1991-06-05,10.64
1991-06-06,10.74
1991-06-07,10.69
1991-06-10,10.69
1991-06-11,11.36
1991-06-12,11.52
1991-06-13,11.41
1991-06-14,11.26
1991-06-17,11.31
1991-06-18,11.15
1991-06-19,11.21
1991-06-20,11.21
1991-06-21,11.31
1991-06-24,11.36
1991-06-25,11.62
1991-06-26,11.57
1991-06-27,11.78
1991-06-28,11.83
1991-07-01,11.88
1991-07-02,11.52
1991-07-03,11.57
1991-07-05,11.57
1991-07-08,11.52
1991-07-09,11.52
1991-07-10,11.93
1991-07-11,12.04
1991-07-12,11.88
1991-07-15,11.98
1991-07-16,12.04
1991-07-17,11.78
1991-07-18,11.88
1991-07-19,12.04
1991-07-22,12.19
1991-07-23,12.09
1991-07-24,12.14
1991-07-25,12.09
1991-07-26,12.09
1991-07-29,12.24
1991-07-30,12.5
1991-07-31,12.61
1991-08-01,12.61
1991-08-02,12.71
1991-08-05,12.81
1991-08-06,12.81
1991-08-07,12.92
1991-08-08,13.07
1991-08-09,13.1
1991-08-12,12.84
1991-08-13,12.58
1991-08-14,13.0
1991-08-15,13.21
1991-08-16,13.52
1991-08-19,13.16
1991-08-20,13.1
1991-08-21,13.83
1991-08-22,14.72
1991-08-23,14.82
1991-08-26,14.82
1991-08-27,14.87
1991-08-28,14.14
1991-08-29,14.46
1991-08-30,14.14
1991-09-03,14.2
1991-09-04,14.14
1991-09-05,13.83
1991-09-06,13.94
1991-09-09,14.14
1991-09-10,14.09
1991-09-11,14.09
1991-09-12,14.51
1991-09-13,14.51
1991-09-16,14.61
1991-09-17,14.66
1991-09-18,14.56
1991-09-19,15.24
1991-09-20,15.39
1991-09-23,15.7
1991-09-24,15.39
1991-09-25,15.5
1991-09-26,15.6
1991-09-27,15.76
1991-09-30,15.76
1991-10-01,15.76
1991-10-02,15.76
1991-10-03,15.6
1991-10-04,14.98
1991-10-07,14.14
1991-10-08,14.25
1991-10-09,14.3
1991-10-10,14.35
1991-10-11,14.66
1991-10-14,15.39
1991-10-15,15.6
1991-10-16,15.6
1991-10-17,15.6
1991-10-18,15.91
1991-10-21,15.6
1991-10-22,14.87
1991-10-23,15.39
1991-10-24,15.18
1991-10-25,14.77
1991-10-28,14.77
1991-10-29,14.46
1991-10-30,14.46
1991-10-31,14.46
1991-11-01,14.56
1991-11-04,14.66
1991-11-05,14.77
1991-11-06,14.77
1991-11-07,14.77
1991-11-08,14.98
1991-11-11,14.87
1991-11-12,15.08
1991-11-13,15.18
1991-11-14,16.22
1991-11-15,16.85
1991-11-18,16.64
1991-11-19,15.6
1991-11-20,15.6
1991-11-21,15.39
1991-11-22,15.39
1991-11-25,15.29
1991-11-26,13.73
1991-11-27,12.48
1991-11-29,13.1
1991-12-02,13.73
1991-12-03,13.62
1991-12-04,13.31
1991-12-05,12.72
1991-12-06,13.24
1991-12-09,12.93
1991-12-10,12.93
1991-12-11,13.13
1991-12-12,12.72
1991-12-13,13.55
1991-12-16,14.18
1991-12-17,13.76
1991-12-18,12.82
1991-12-19,12.93
1991-12-20,12.4
1991-12-23,12.3
1991-12-24,12.2
1991-12-26,12.2
1991-12-27,12.82
1991-12-30,13.55
1991-12-31,13.97
1992-01-02,14.59
1992-01-03,15.01
1992-01-06,14.39
1992-01-07,15.01
1992-01-08,15.84
1992-01-09,16.47
1992-01-10,16.16
1992-01-13,16.05
1992-01-14,16.26
1992-01-15,16.57
1992-01-16,16.68
1992-01-17,16.68
1992-01-20,16.78
1992-01-21,16.47
1992-01-22,16.57
1992-01-23,16.99
1992-01-24,16.26
1992-01-27,16.57
1992-01-28,16.68
1992-01-29,17.83
1992-01-30,17.62
1992-01-31,17.41
1992-02-03,17.62
1992-02-04,18.35
1992-02-05,19.81
1992-02-06,20.01
1992-02-07,19.6
1992-02-10,19.6
1992-02-11,19.39
1992-02-12,19.81
1992-02-13,20.15
1992-02-14,20.67
1992-02-18,20.25
1992-02-19,20.15
1992-02-20,19.84
1992-02-21,19.42
1992-02-24,19.0
1992-02-25,18.69
1992-02-26,19.0
1992-02-27,18.9
1992-02-28,19.0
1992-03-02,19.31
1992-03-03,20.67
1992-03-04,20.46
1992-03-05,19.73
1992-03-06,19.52
1992-03-09,19.11
1992-03-10,19.21
1992-03-11,19.31
1992-03-12,19.31
1992-03-13,19.52
1992-03-16,19.42
1992-03-17,19.84
1992-03-18,20.15
1992-03-19,20.46
1992-03-20,20.36
1992-03-23,20.46
1992-03-24,20.67
1992-03-25,20.46
1992-03-26,20.46
1992-03-27,20.05
1992-03-30,19.94
1992-03-31,20.05
1992-04-01,20.46
1992-04-02,20.15
1992-04-03,20.05
1992-04-06,19.94
1992-04-07,19.84
1992-04-08,18.9
1992-04-09,19.31
1992-04-10,19.21
1992-04-13,19.21
1992-04-14,19.42
1992-04-15,19.52
1992-04-16,20.25
1992-04-20,19.84
1992-04-21,19.21
1992-04-22,19.0
1992-04-23,18.58
1992-04-24,18.79
1992-04-27,18.58
1992-04-28,18.17
1992-04-29,18.38
1992-04-30,19.21
1992-05-01,18.79
1992-05-04,19.21
1992-05-05,19.0
1992-05-06,18.9
1992-05-07,18.58
1992-05-08,18.58
1992-05-11,18.61
1992-05-12,18.51
1992-05-13,18.09
1992-05-14,17.78
1992-05-15,17.15
1992-05-18,17.36
1992-05-19,17.36
1992-05-20,17.36
1992-05-21,17.67
1992-05-22,17.57
1992-05-26,17.15
1992-05-27,17.05
1992-05-28,17.05
1992-05-29,18.09
1992-06-01,18.72
1992-06-02,19.45
1992-06-03,19.35
1992-06-04,19.56
1992-06-05,19.56
1992-06-08,19.35
1992-06-09,19.14
1992-06-10,19.24
1992-06-11,18.82
1992-06-12,19.24
1992-06-15,19.45
1992-06-16,19.45
1992-06-17,18.72
1992-06-18,17.46
1992-06-19,17.99
1992-06-22,18.2
1992-06-23,18.51
1992-06-24,18.61
1992-06-25,18.61
1992-06-26,18.61
1992-06-29,18.61
1992-06-30,18.72
1992-07-01,19.14
1992-07-02,18.93
1992-07-06,18.82
1992-07-07,18.41
1992-07-08,18.3
1992-07-09,18.82
1992-07-10,18.61
1992-07-13,18.41
1992-07-14,18.41
1992-07-15,18.2
1992-07-16,18.2
1992-07-17,18.2
1992-07-20,18.09
1992-07-21,17.88
1992-07-22,17.67
1992-07-23,17.67
1992-07-24,17.67
1992-07-27,17.78
1992-07-28,18.3
1992-07-29,18.51
1992-07-30,18.2
1992-07-31,18.51
1992-08-03,18.72
1992-08-04,19.03
1992-08-05,19.24
1992-08-06,19.35
1992-08-07,19.45
1992-08-10,19.69
1992-08-11,19.69
1992-08-12,20.01
1992-08-13,19.9
1992-08-14,20.53
1992-08-17,20.74
1992-08-18,20.53
1992-08-19,20.32
1992-08-20,20.11
1992-08-21,19.69
1992-08-24,19.27
1992-08-25,18.85
1992-08-26,19.48
1992-08-27,19.27
1992-08-28,20.32
1992-08-31,20.43
1992-09-01,20.11
1992-09-02,19.9
1992-09-03,19.8
1992-09-04,20.11
1992-09-08,20.32
1992-09-09,20.63
1992-09-10,21.47
1992-09-11,21.16
1992-09-14,21.16
1992-09-15,20.53
1992-09-16,20.84
1992-09-17,20.95
1992-09-18,20.95
1992-09-21,20.74
1992-09-22,21.47
1992-09-23,21.37
1992-09-24,21.26
1992-09-25,20.95
1992-09-28,20.43
1992-09-29,20.43
1992-09-30,20.43
1992-10-01,20.84
1992-10-02,20.84
1992-10-05,20.22
1992-10-06,20.84
1992-10-07,20.43
1992-10-08,20.43
1992-10-09,20.53
