Date,Price
1992-06-17,5.54
1992-06-18,5.45
1992-06-19,5.49
1992-06-22,5.32
1992-06-23,5.36
1992-06-24,5.28
1992-06-25,5.36
1992-06-26,5.41
1992-06-29,5.45
1992-06-30,5.62
1992-07-01,5.49
1992-07-02,5.62
1992-07-06,5.41
1992-07-07,5.1
1992-07-08,4.84
1992-07-09,5.1
1992-07-10,4.97
1992-07-13,5.01
1992-07-14,5.06
1992-07-15,5.1
1992-07-16,5.01
1992-07-17,5.1
1992-07-20,4.97
1992-07-21,4.97
1992-07-22,5.14
1992-07-23,5.1
1992-07-24,5.19
1992-07-27,5.23
1992-07-28,5.23
1992-07-29,5.14
1992-07-30,5.23
1992-07-31,5.28
1992-08-03,5.36
1992-08-04,5.41
1992-08-05,5.41
1992-08-06,5.32
1992-08-07,5.23
1992-08-10,5.19
1992-08-11,5.06
1992-08-12,5.06
1992-08-13,5.23
1992-08-14,5.49
1992-08-17,5.54
1992-08-18,5.58
1992-08-19,5.54
1992-08-20,5.62
1992-08-21,5.76
1992-08-24,5.62
1992-08-25,5.67
1992-08-26,5.71
1992-08-27,5.67
1992-08-28,5.62
1992-08-31,5.62
1992-09-01,5.6
1992-09-02,5.51
1992-09-03,5.47
1992-09-04,5.38
1992-09-08,5.38
1992-09-09,5.56
1992-09-10,5.56
1992-09-11,5.56
1992-09-14,5.78
1992-09-15,5.65
1992-09-16,5.69
1992-09-17,5.69
1992-09-18,5.73
1992-09-21,5.69
1992-09-22,5.65
1992-09-23,5.56
1992-09-24,5.69
1992-09-25,5.69
1992-09-28,5.73
1992-09-29,5.65
1992-09-30,5.6
1992-10-01,5.51
1992-10-02,5.51
1992-10-05,5.47
1992-10-06,5.43
1992-10-07,5.56
1992-10-08,5.6
1992-10-09,5.34
1992-10-12,5.3
1992-10-13,5.38
1992-10-14,5.38
1992-10-15,5.3
1992-10-16,5.34
1992-10-19,5.51
1992-10-20,5.51
1992-10-21,5.51
1992-10-22,5.43
1992-10-23,5.43
1992-10-26,5.47
1992-10-27,5.56
1992-10-28,5.6
1992-10-29,5.47
1992-10-30,5.51
1992-11-02,5.56
1992-11-03,5.56
1992-11-04,5.56
1992-11-05,5.65
1992-11-06,5.69
1992-11-09,5.78
1992-11-10,5.86
1992-11-11,5.95
1992-11-12,5.82
1992-11-13,5.86
1992-11-16,5.69
1992-11-17,5.65
