Date,Price
1990-01-02,10.52
1990-01-03,10.52
1990-01-04,10.52
1990-01-05,10.33
1990-01-08,10.39
1990-01-09,10.15
1990-01-10,10.21
1990-01-11,10.21
1990-01-12,10.03
1990-01-15,9.78
1990-01-16,10.03
1990-01-17,9.84
1990-01-18,9.84
1990-01-19,9.78
1990-01-22,9.6
1990-01-23,9.48
1990-01-24,9.42
1990-01-25,9.35
1990-01-26,9.23
1990-01-29,9.17
1990-01-30,8.99
1990-01-31,9.11
1990-02-01,8.99
1990-02-02,8.99
1990-02-05,8.99
1990-02-06,9.05
1990-02-07,8.93
1990-02-08,8.8
1990-02-09,8.8
1990-02-12,8.8
1990-02-13,8.74
1990-02-14,8.68
1990-02-15,8.87
1990-02-16,8.8
1990-02-20,8.74
1990-02-21,8.74
1990-02-22,8.68
1990-02-23,8.74
1990-02-26,9.05
1990-02-27,9.05
1990-02-28,9.11
1990-03-01,9.49
1990-03-02,9.8
1990-03-05,9.68
1990-03-06,9.74
1990-03-07,9.68
1990-03-08,9.92
1990-03-09,9.86
1990-03-12,9.8
1990-03-13,9.62
1990-03-14,9.55
1990-03-15,9.62
1990-03-16,9.68
1990-03-19,9.74
1990-03-20,9.74
1990-03-21,9.68
1990-03-22,9.55
1990-03-23,9.62
1990-03-26,9.68
1990-03-27,9.62
1990-03-28,9.55
1990-03-29,9.43
1990-03-30,9.43
1990-04-02,9.49
1990-04-03,9.43
1990-04-04,9.37
1990-04-05,9.37
1990-04-06,9.37
1990-04-09,9.49
1990-04-10,9.43
1990-04-11,9.55
1990-04-12,9.68
1990-04-16,9.74
1990-04-17,9.99
1990-04-18,9.8
1990-04-19,9.8
1990-04-20,9.8
1990-04-23,9.49
1990-04-24,9.31
1990-04-25,9.31
1990-04-26,9.31
1990-04-27,9.31
1990-04-30,9.43
1990-05-01,9.49
1990-05-02,9.55
1990-05-03,9.74
1990-05-04,9.74
1990-05-07,9.99
1990-05-08,10.23
1990-05-09,10.17
1990-05-10,10.17
1990-05-11,10.48
1990-05-14,10.48
1990-05-15,10.42
1990-05-16,10.11
1990-05-17,10.29
1990-05-18,10.48
1990-05-21,10.74
1990-05-22,10.55
1990-05-23,10.55
1990-05-24,10.43
1990-05-25,10.31
1990-05-29,10.43
1990-05-30,10.74
1990-05-31,11.05
1990-06-01,11.36
1990-06-04,11.36
1990-06-05,11.48
1990-06-06,11.42
1990-06-07,11.36
1990-06-08,11.11
1990-06-11,11.24
1990-06-12,11.42
1990-06-13,11.42
1990-06-14,11.36
1990-06-15,11.3
1990-06-18,10.93
1990-06-19,11.11
1990-06-20,11.17
1990-06-21,10.93
1990-06-22,10.68
1990-06-25,10.49
1990-06-26,10.55
1990-06-27,10.62
1990-06-28,10.62
1990-06-29,10.8
1990-07-02,10.93
1990-07-03,11.05
1990-07-05,10.74
1990-07-06,10.86
1990-07-09,10.74
1990-07-10,10.62
1990-07-11,10.68
1990-07-12,10.8
1990-07-13,11.05
1990-07-16,11.11
1990-07-17,10.99
1990-07-18,10.86
1990-07-19,10.8
1990-07-20,10.74
1990-07-23,10.62
1990-07-24,11.17
1990-07-25,10.86
1990-07-26,10.8
1990-07-27,10.55
1990-07-30,10.68
1990-07-31,10.37
1990-08-01,10.62
1990-08-02,10.06
1990-08-03,9.5
1990-08-06,9.0
1990-08-07,9.37
1990-08-08,9.75
1990-08-09,9.99
1990-08-10,9.81
1990-08-13,9.87
1990-08-14,9.81
1990-08-15,9.87
1990-08-16,9.62
1990-08-17,9.37
