Date,Price
2005-07-15,1171.17
2005-07-18,1167.66
2005-07-19,1164.47
2005-07-20,1152.98
2005-07-21,1147.87
2005-07-22,1145.64
2005-07-25,1147.55
2005-07-26,1145.0
2005-07-27,1142.45
2005-07-28,1090.11
2005-07-29,1152.66
2005-08-01,1171.17
2005-08-02,1182.66
2005-08-03,1158.77
2005-08-04,1152.33
2005-08-05,1194.17
2005-08-08,1202.54
2005-08-09,1228.94
2005-08-10,1246.32
2005-08-11,1252.11
2005-08-12,1237.95
2005-08-15,1236.02
2005-08-16,1173.57
2005-08-17,1212.2
2005-08-18,1184.52
2005-08-19,1201.25
2005-08-22,1196.75
2005-08-23,1141.38
2005-08-24,1178.72
2005-08-25,1175.5
2005-08-26,1135.59
2005-08-29,1174.22
2005-08-30,1185.8
2005-08-31,1210.91
2005-09-01,1221.21
2005-09-02,1163.27
2005-09-05,1209.62
2005-09-06,1203.83
2005-09-07,1143.32
2005-09-08,1170.35
2005-09-09,1180.65
2005-09-12,1178.72
2005-09-13,1169.07
2005-09-14,1171.64
2005-09-15,1160.7
2005-09-16,1170.35
2005-09-19,1233.44
2005-09-20,1232.8
2005-09-21,1232.15
2005-09-22,1244.39
2005-09-23,1232.15
2005-09-26,1178.08
2005-09-27,1232.8
2005-09-28,1196.75
2005-09-29,1205.12
2005-09-30,1260.48
2005-10-03,1207.05
2005-10-04,1235.37
2005-10-05,1216.7
2005-10-06,1147.18
2005-10-07,1152.33
2005-10-10,1200.61
2005-10-11,1198.68
2005-10-12,1184.52
2005-10-13,1167.78
2005-10-14,1161.34
2005-10-17,1118.21
2005-10-18,1159.41
2005-10-19,1133.02
2005-10-20,1126.58
2005-10-21,1111.77
2005-10-24,1131.73
2005-10-25,1124.0
2005-10-26,1088.6
2005-10-27,1094.39
2005-10-28,1164.56
2005-10-31,1186.45
2005-11-01,1183.23
2005-11-02,1181.05
2005-11-03,1198.58
2005-11-04,1200.53
2005-11-07,1195.98
2005-11-08,1199.23
2005-11-09,1196.63
2005-11-10,1120.01
2005-11-11,1171.31
2005-11-14,1183.0
2005-11-15,1197.93
2005-11-16,1147.93
2005-11-17,1218.71
2005-11-18,1177.8
2005-11-21,1249.22
2005-11-22,1261.56
2005-11-23,1258.96
2005-11-24,1187.54
2005-11-25,1251.17
2005-11-28,1235.59
2005-11-29,1239.48
2005-11-30,1210.91
2005-12-01,1225.2
2005-12-02,1236.24
2005-12-05,1238.83
2005-12-06,1185.59
2005-12-07,1225.2
2005-12-08,1243.38
2005-12-09,1224.55
2005-12-12,1212.86
2005-12-13,1220.0
2005-12-14,1216.11
2005-12-15,1196.63
2005-12-16,1194.68
2005-12-19,1191.44
2005-12-20,1187.54
2005-12-21,1201.17
2005-12-22,1214.81
2005-12-23,1206.37
2005-12-26,1206.37
2005-12-27,1206.37
2005-12-28,1210.26
2005-12-29,1208.32
2005-12-30,1206.37
2006-01-02,1206.37
2006-01-03,1244.68
2006-01-04,1247.27
2006-01-05,1242.08
2006-01-06,1256.36
2006-01-09,1255.07
2006-01-10,1251.82
