Date,Price
2000-05-15,1437.72
2000-05-16,1435.08
2000-05-17,1403.16
2000-05-18,1450.63
2000-05-19,1463.9
2000-05-22,1465.16
2000-05-23,1446.2
2000-05-24,1401.35
2000-05-25,1358.39
2000-05-26,1352.7
2000-05-29,1352.7
2000-05-30,1362.18
2000-05-31,1398.19
2000-06-01,1420.3
2000-06-02,1416.51
2000-06-05,1403.87
2000-06-06,1431.68
2000-06-07,1430.41
2000-06-08,1453.15
2000-06-09,1460.73
2000-06-12,1473.37
2000-06-13,1482.22
2000-06-14,1458.21
2000-06-15,1425.98
2000-06-16,1446.2
2000-06-19,1446.2
2000-06-20,1389.98
2000-06-21,1422.83
2000-06-22,1415.24
2000-06-23,1424.09
2000-06-26,1440.52
2000-06-27,1439.26
2000-06-28,1411.45
2000-06-29,1406.4
2000-06-30,1393.77
2000-07-03,1441.78
2000-07-04,1402.61
2000-07-05,1391.24
2000-07-06,1400.08
2000-07-07,1400.08
2000-07-10,1434.2
2000-07-11,1450.63
2000-07-12,1451.89
2000-07-13,1426.62
2000-07-14,1381.13
2000-07-17,1369.76
2000-07-18,1362.18
2000-07-19,1364.7
2000-07-20,1334.38
2000-07-21,1329.32
2000-07-24,1329.32
2000-07-25,1324.27
2000-07-26,1326.79
2000-07-27,1326.79
2000-07-28,1354.6
2000-07-31,1354.6
2000-08-01,1353.33
2000-08-02,1384.92
2000-08-03,1402.61
2000-08-04,1387.45
2000-08-07,1400.08
2000-08-08,1382.39
2000-08-09,1402.61
2000-08-10,1407.66
2000-08-11,1430.41
2000-08-14,1411.45
2000-08-15,1431.68
2000-08-16,1448.1
2000-08-17,1483.48
2000-08-18,1482.22
2000-08-21,1479.69
2000-08-22,1511.28
2000-08-23,1541.61
2000-08-24,1493.59
2000-08-25,1484.74
2000-08-28,1484.74
2000-08-29,1516.34
2000-08-30,1506.23
2000-08-31,1486.01
2000-09-01,1526.44
2000-09-04,1531.5
2000-09-05,1523.92
2000-09-06,1531.5
2000-09-07,1556.77
2000-09-08,1540.35
2000-09-11,1584.57
2000-09-12,1563.09
2000-09-13,1516.34
2000-09-14,1479.69
2000-09-15,1504.97
2000-09-18,1541.61
2000-09-19,1535.29
2000-09-20,1503.7
2000-09-21,1473.37
2000-09-22,1434.2
2000-09-25,1389.98
2000-09-26,1379.86
2000-09-27,1397.56
2000-09-28,1400.08
2000-09-29,1392.5
2000-10-02,1407.66
2000-10-03,1425.35
2000-10-04,1443.05
2000-10-05,1430.41
2000-10-06,1450.63
2000-10-09,1440.52
2000-10-10,1469.58
2000-10-11,1510.02
2000-10-12,1544.14
2000-10-13,1506.23
2000-10-16,1503.7
2000-10-17,1512.55
2000-10-18,1477.16
2000-10-19,1481.11
2000-10-20,1486.01
2000-10-23,1486.01
2000-10-24,1475.9
2000-10-25,1451.89
2000-10-26,1425.35
2000-10-27,1407.66
2000-10-30,1384.92
2000-10-31,1384.92
2000-11-01,1420.3
2000-11-02,1369.76
2000-11-03,1336.9
2000-11-06,1367.23
2000-11-07,1397.56
2000-11-08,1420.3
2000-11-09,1436.73
2000-11-10,1445.57
2000-11-13,1420.3
2000-11-14,1440.52
2000-11-15,1474.64
2000-11-16,1480.95
2000-11-17,1462.0
2000-11-20,1432.94
2000-11-21,1449.36
2000-11-22,1444.31
2000-11-23,1450.63
2000-11-24,1454.42
2000-11-27,1450.63
2000-11-28,1448.1
2000-11-29,1430.41
2000-11-30,1405.14
2000-12-01,1364.7
2000-12-04,1382.39
2000-12-05,1407.66
2000-12-06,1331.85
2000-12-07,1347.01
2000-12-08,1345.75
2000-12-11,1314.15
2000-12-12,1341.96
2000-12-13,1326.79
2000-12-14,1309.1
2000-12-15,1286.36
2000-12-18,1296.47
2000-12-19,1350.81
2000-12-20,1319.21
2000-12-21,1334.38
2000-12-22,1352.07
2000-12-27,1387.45
2000-12-28,1393.77
2000-12-29,1387.45
2001-01-01,1387.45
2001-01-02,1406.4
2001-01-03,1395.03
2001-01-04,1386.18
2001-01-05,1417.77
2001-01-08,1395.03
2001-01-09,1362.18
2001-01-10,1326.79
2001-01-11,1364.7
2001-01-12,1387.45
2001-01-15,1431.68
2001-01-16,1395.03
2001-01-17,1388.71
2001-01-18,1389.98
2001-01-19,1372.28
2001-01-22,1379.86
2001-01-23,1362.18
2001-01-25,1401.35
2001-01-29,1422.83
2001-01-30,1410.19
2001-01-31,1425.35
2001-02-01,1406.4
2001-02-02,1407.66
2001-02-05,1450.63
2001-02-06,1459.47
2001-02-07,1456.94
2001-02-08,1475.9
2001-02-09,1518.86
2001-02-12,1504.97
2001-02-13,1475.9
2001-02-14,1483.48
2001-02-15,1460.73
2001-02-16,1470.85
2001-02-19,1489.8
2001-02-20,1470.85
2001-02-21,1462.0
2001-02-22,1446.84
2001-02-23,1437.99
2001-02-26,1441.78
2001-02-27,1460.73
2001-02-28,1453.15
2001-03-01,1453.15
2001-03-02,1432.94
2001-03-05,1443.05
2001-03-06,1453.15
2001-03-07,1480.95
2001-03-08,1467.06
2001-03-09,1465.79
2001-03-12,1458.21
2001-03-13,1417.77
2001-03-15,1445.57
2001-03-16,1425.35
2001-03-19,1410.19
2001-03-20,1417.77
2001-03-21,1410.19
2001-03-22,1377.34
2001-03-23,1364.7
2001-03-26,1389.98
2001-03-27,1410.19
2001-03-28,1401.35
2001-03-29,1381.13
2001-03-30,1374.81
2001-04-02,1389.98
2001-04-03,1362.18
2001-04-04,1364.7
2001-04-05,1387.45
2001-04-06,1369.76
2001-04-09,1419.04
2001-04-10,1448.1
2001-04-11,1437.99
