Date,Price
1990-01-01,119.61
1990-01-02,120.15
1990-01-03,120.69
1990-01-04,124.46
1990-01-05,123.39
1990-01-08,122.58
1990-01-09,122.04
1990-01-10,121.77
1990-01-11,123.12
1990-01-12,121.5
1990-01-15,121.23
1990-01-16,119.34
1990-01-17,119.88
1990-01-18,116.65
1990-01-19,116.92
1990-01-22,114.76
1990-01-23,113.42
1990-01-24,112.07
1990-01-25,113.15
1990-01-26,112.34
1990-01-29,112.88
1990-01-30,112.88
1990-01-31,113.96
1990-02-01,114.23
1990-02-02,113.42
1990-02-05,112.34
1990-02-06,110.99
1990-02-07,111.8
1990-02-08,113.15
1990-02-09,112.61
1990-02-12,112.07
1990-02-13,112.34
1990-02-14,113.69
1990-02-15,114.23
1990-02-16,115.03
1990-02-19,114.23
1990-02-20,112.88
1990-02-21,111.53
1990-02-22,111.8
1990-02-23,110.19
1990-02-26,110.45
1990-02-27,110.99
1990-02-28,109.92
1990-03-01,107.22
1990-03-02,107.22
1990-03-05,105.87
1990-03-06,103.99
1990-03-07,103.72
1990-03-08,105.87
1990-03-09,105.34
1990-03-12,104.8
1990-03-13,105.07
1990-03-14,105.34
1990-03-15,105.6
1990-03-16,105.6
1990-03-19,105.07
1990-03-20,105.6
1990-03-21,104.8
1990-03-22,106.41
1990-03-23,108.3
1990-03-26,109.11
1990-03-27,108.3
1990-03-28,108.57
1990-03-29,109.65
1990-03-30,112.07
1990-04-02,110.19
1990-04-03,109.11
1990-04-04,109.11
1990-04-05,108.3
1990-04-06,107.76
1990-04-09,107.76
1990-04-10,105.07
1990-04-11,105.07
1990-04-12,105.07
1990-04-13,105.07
1990-04-16,105.07
1990-04-17,104.8
1990-04-18,104.8
1990-04-19,103.72
1990-04-20,104.53
1990-04-23,104.26
1990-04-24,104.53
1990-04-25,104.53
1990-04-26,105.34
1990-04-27,103.99
1990-04-30,102.1
1990-05-01,102.64
1990-05-02,103.18
1990-05-03,102.24
1990-05-04,102.91
1990-05-07,102.91
1990-05-08,105.87
1990-05-09,105.6
1990-05-10,105.87
1990-05-11,108.03
1990-05-14,110.19
1990-05-15,109.65
