Date,Price
1999-08-11,27.25
1999-08-12,36.31
1999-08-13,42.62
1999-08-16,37.25
1999-08-17,33.62
1999-08-18,35.75
1999-08-19,35.66
1999-08-20,34.06
1999-08-23,31.94
1999-08-24,34.5
1999-08-25,36.75
1999-08-26,39.47
1999-08-27,39.91
1999-08-30,37.78
1999-08-31,41.16
1999-09-01,39.81
1999-09-02,40.0
1999-09-03,42.47
1999-09-07,54.0
1999-09-08,58.38
1999-09-09,61.62
1999-09-10,59.88
1999-09-13,54.19
1999-09-14,50.48
1999-09-15,48.42
1999-09-16,56.72
1999-09-17,53.69
1999-09-20,55.23
1999-09-21,56.19
1999-09-22,54.12
1999-09-23,50.5
1999-09-24,51.03
1999-09-27,51.12
1999-09-28,49.81
1999-09-29,49.09
1999-09-30,48.0
1999-10-01,43.72
1999-10-04,44.34
1999-10-05,45.44
1999-10-06,45.44
1999-10-07,43.19
1999-10-08,43.25
1999-10-11,47.62
1999-10-12,45.56
1999-10-13,44.72
1999-10-14,43.7
1999-10-15,40.62
1999-10-18,41.94
1999-10-19,38.75
1999-10-20,39.66
1999-10-21,38.5
1999-10-22,37.59
1999-10-25,38.44
1999-10-26,45.31
1999-10-27,42.94
1999-10-28,42.0
1999-10-29,44.31
1999-11-01,44.69
1999-11-02,43.91
1999-11-03,44.0
1999-11-04,42.62
1999-11-05,42.97
1999-11-08,52.0
1999-11-09,48.75
1999-11-10,47.62
1999-11-11,51.75
1999-11-12,50.91
1999-11-15,52.69
1999-11-16,59.81
1999-11-17,61.75
1999-11-18,62.62
1999-11-19,61.03
1999-11-22,62.25
1999-11-23,71.88
1999-11-24,84.47
1999-11-26,106.75
1999-11-29,118.31
1999-11-30,105.0
1999-12-01,107.47
1999-12-02,105.16
1999-12-03,100.5
1999-12-06,116.06
1999-12-07,142.06
1999-12-08,135.62
1999-12-09,143.12
1999-12-10,136.53
1999-12-13,123.25
1999-12-14,108.5
1999-12-15,121.5
1999-12-16,122.88
1999-12-17,126.44
1999-12-20,133.97
1999-12-21,128.53
1999-12-22,118.44
1999-12-23,114.0
1999-12-27,117.19
1999-12-28,116.0
1999-12-29,112.0
1999-12-30,111.5
1999-12-31,105.62
2000-01-03,115.75
2000-01-04,107.5
2000-01-05,128.0
2000-01-06,114.12
2000-01-07,132.25
2000-01-10,141.25
2000-01-11,129.5
2000-01-12,131.31
2000-01-13,131.31
2000-01-14,132.25
2000-01-18,116.38
2000-01-19,117.38
2000-01-20,114.81
2000-01-21,114.06
2000-01-24,112.0
2000-01-25,114.22
2000-01-26,113.38
2000-01-27,113.88
2000-01-28,107.0
2000-01-31,95.12
2000-02-01,92.5
2000-02-02,108.0
2000-02-03,98.62
2000-02-04,92.69
2000-02-07,88.94
2000-02-08,90.38
2000-02-09,89.5
2000-02-10,87.06
2000-02-11,83.38
2000-02-14,78.19
2000-02-15,74.75
2000-02-16,70.0
2000-02-17,75.19
2000-02-18,71.5
2000-02-22,71.62
2000-02-23,72.0
2000-02-24,70.5
2000-02-25,68.38
2000-02-28,63.56
2000-02-29,60.69
2000-03-01,55.75
2000-03-02,63.78
2000-03-03,70.62
2000-03-06,65.69
2000-03-07,61.0
2000-03-08,60.5
2000-03-09,68.0
2000-03-10,71.12
2000-03-13,75.81
2000-03-14,69.12
2000-03-15,65.97
2000-03-16,65.0
2000-03-17,62.88
2000-03-20,59.25
2000-03-21,57.19
2000-03-22,58.0
2000-03-23,57.5
2000-03-24,60.5
2000-03-27,56.62
2000-03-28,50.12
2000-03-29,44.12
2000-03-30,40.25
2000-03-31,42.38
2000-04-03,42.12
2000-04-04,41.44
2000-04-05,40.94
2000-04-06,40.44
2000-04-07,38.12
2000-04-10,34.38
2000-04-11,31.88
2000-04-12,27.12
2000-04-13,28.0
2000-04-14,24.12
2000-04-17,24.25
2000-04-18,29.5
2000-04-19,28.0
2000-04-20,26.25
2000-04-24,26.75
2000-04-25,28.06
2000-04-26,27.38
2000-04-27,25.88
2000-04-28,25.06
2000-05-01,27.88
2000-05-02,27.38
2000-05-03,26.0
2000-05-04,25.19
2000-05-05,24.75
2000-05-08,24.06
2000-05-09,21.56
2000-05-10,20.0
2000-05-11,21.31
2000-05-12,21.81
2000-05-15,21.56
2000-05-16,22.0
2000-05-17,21.25
2000-05-18,20.25
2000-05-19,19.19
2000-05-22,18.19
2000-05-23,16.75
2000-05-24,15.75
2000-05-25,16.75
2000-05-26,16.31
2000-05-30,15.88
2000-05-31,16.06
2000-06-01,17.94
2000-06-02,19.19
2000-06-05,24.0
2000-06-06,21.06
2000-06-07,24.75
2000-06-08,23.25
2000-06-09,23.0
2000-06-12,22.5
2000-06-13,21.81
2000-06-14,22.5
2000-06-15,23.38
2000-06-16,25.0
2000-06-19,25.38
2000-06-20,30.19
2000-06-21,31.88
2000-06-22,34.19
2000-06-23,31.38
2000-06-26,29.81
2000-06-27,27.62
2000-06-28,27.94
2000-06-29,27.31
2000-06-30,27.06
2000-07-03,25.94
2000-07-05,24.06
2000-07-06,25.06
2000-07-07,24.62
2000-07-10,23.69
2000-07-11,22.19
2000-07-12,23.06
2000-07-13,24.56
2000-07-14,25.0
2000-07-17,28.62
2000-07-18,26.94
2000-07-19,25.38
2000-07-20,25.5
2000-07-21,25.31
2000-07-24,23.75
2000-07-25,20.88
2000-07-26,20.06
2000-07-27,18.94
2000-07-28,18.19
2000-07-31,18.75
2000-08-01,19.25
2000-08-02,19.44
2000-08-03,18.5
2000-08-04,19.38
2000-08-07,20.56
2000-08-08,19.69
2000-08-09,20.06
2000-08-10,19.38
2000-08-11,20.06
2000-08-14,21.81
2000-08-15,24.0
2000-08-16,24.94
2000-08-17,22.94
2000-08-18,23.44
2000-08-21,22.81
2000-08-22,22.81
2000-08-23,22.81
2000-08-24,24.75
2000-08-25,24.19
2000-08-28,24.25
2000-08-29,24.12
2000-08-30,25.44
2000-08-31,25.12
2000-09-01,26.69
2000-09-05,27.19
2000-09-06,25.69
2000-09-07,24.44
2000-09-08,24.12
2000-09-11,22.94
2000-09-12,23.31
2000-09-13,24.12
2000-09-14,25.25
2000-09-15,21.19
2000-09-18,19.12
2000-09-19,21.0
2000-09-20,20.12
2000-09-21,19.38
2000-09-22,19.5
2000-09-25,19.69
2000-09-26,18.5
2000-09-27,17.81
2000-09-28,18.0
2000-09-29,17.06
2000-10-02,16.62
2000-10-03,15.69
2000-10-04,15.31
2000-10-05,15.69
2000-10-06,14.62
2000-10-09,14.31
2000-10-10,14.0
2000-10-11,12.69
2000-10-12,11.31
2000-10-13,14.56
2000-10-16,15.0
2000-10-17,13.5
2000-10-18,13.62
2000-10-19,14.31
2000-10-20,14.06
2000-10-23,13.62
2000-10-24,13.0
2000-10-25,12.12
2000-10-26,12.56
2000-10-27,12.5
2000-10-30,11.88
2000-10-31,12.5
2000-11-01,15.31
2000-11-02,17.88
2000-11-03,17.0
2000-11-06,15.69
2000-11-07,14.0
2000-11-08,14.88
2000-11-09,12.5
2000-11-10,11.5
2000-11-13,11.12
2000-11-14,12.19
2000-11-15,11.62
2000-11-16,10.81
2000-11-17,9.84
2000-11-20,8.03
2000-11-21,7.81
2000-11-22,6.78
2000-11-24,7.94
2000-11-27,8.22
2000-11-28,7.03
2000-11-29,6.53
2000-11-30,6.25
2000-12-01,6.56
2000-12-04,6.34
2000-12-05,6.22
2000-12-06,5.34
2000-12-07,5.12
2000-12-08,5.94
2000-12-11,7.19
2000-12-12,8.42
2000-12-13,9.25
2000-12-14,8.69
2000-12-15,8.62
2000-12-18,8.03
2000-12-19,6.97
2000-12-20,6.44
2000-12-21,5.97
2000-12-22,6.0
2000-12-26,6.19
2000-12-27,6.22
2000-12-28,6.5
2000-12-29,6.25
2001-01-02,6.0
2001-01-03,7.12
2001-01-04,6.59
2001-01-05,6.19
2001-01-08,6.59
2001-01-09,7.0
2001-01-10,7.84
2001-01-11,7.94
2001-01-12,8.69
2001-01-16,8.78
2001-01-17,8.31
2001-01-18,8.56
2001-01-19,8.94
2001-01-22,8.94
2001-01-23,8.56
2001-01-24,8.66
2001-01-25,8.38
2001-01-26,7.88
2001-01-29,8.69
2001-01-30,9.03
2001-01-31,9.34
2001-02-01,8.94
2001-02-02,7.88
2001-02-05,8.44
2001-02-06,8.5
2001-02-07,8.06
2001-02-08,8.12
2001-02-09,7.5
2001-02-12,7.28
2001-02-13,6.69
2001-02-14,6.66
2001-02-15,7.06
2001-02-16,6.78
2001-02-20,6.62
2001-02-21,6.72
2001-02-22,6.66
2001-02-23,6.5
2001-02-26,6.78
2001-02-27,6.66
2001-02-28,6.44
2001-03-01,6.25
2001-03-02,6.75
2001-03-05,6.56
2001-03-06,6.75
2001-03-07,6.78
2001-03-08,6.5
2001-03-09,6.31
2001-03-12,5.81
2001-03-13,6.09
2001-03-14,5.75
2001-03-15,5.56
2001-03-16,5.56
2001-03-19,5.75
