Date,Price
1993-05-28,10.44
1993-06-01,10.97
1993-06-02,10.85
1993-06-03,10.62
1993-06-04,10.68
1993-06-07,10.26
1993-06-08,10.38
1993-06-09,10.32
1993-06-10,10.38
1993-06-11,10.26
1993-06-14,9.85
1993-06-15,9.73
1993-06-16,9.5
1993-06-17,9.67
1993-06-18,10.03
1993-06-21,10.03
1993-06-22,10.2
1993-06-23,10.09
1993-06-24,9.79
1993-06-25,9.61
1993-06-28,9.67
1993-06-29,9.5
1993-06-30,9.61
1993-07-01,9.38
1993-07-02,9.08
1993-07-06,8.79
1993-07-07,8.97
1993-07-08,8.73
1993-07-09,8.67
1993-07-12,8.97
1993-07-13,9.02
1993-07-14,8.97
1993-07-15,8.73
1993-07-16,8.85
1993-07-19,8.73
1993-07-20,8.73
1993-07-21,8.67
1993-07-22,8.61
1993-07-23,8.79
1993-07-26,8.97
1993-07-27,9.32
1993-07-28,9.32
1993-07-29,9.56
1993-07-30,9.5
1993-08-02,9.56
1993-08-03,9.56
1993-08-04,9.38
1993-08-05,9.38
1993-08-06,9.44
1993-08-09,9.38
1993-08-10,9.32
1993-08-11,8.97
1993-08-12,9.08
1993-08-13,8.97
1993-08-16,9.02
1993-08-17,9.14
1993-08-18,9.32
1993-08-19,9.67
1993-08-20,9.73
1993-08-23,10.32
1993-08-24,10.26
1993-08-25,10.2
1993-08-26,9.97
1993-08-27,10.09
1993-08-30,10.15
1993-08-31,10.38
1993-09-01,10.32
1993-09-02,10.26
1993-09-03,10.26
1993-09-07,10.26
1993-09-08,10.09
1993-09-09,9.85
1993-09-10,9.2
1993-09-13,9.02
1993-09-14,8.85
1993-09-15,8.85
1993-09-16,9.02
1993-09-17,9.02
1993-09-20,9.14
1993-09-21,8.85
1993-09-22,9.08
1993-09-23,9.14
1993-09-24,9.14
1993-09-27,9.08
1993-09-28,9.08
1993-09-29,9.32
1993-09-30,9.97
1993-10-01,10.44
1993-10-04,10.85
1993-10-05,10.85
1993-10-06,10.97
1993-10-07,10.91
1993-10-08,10.5
1993-10-11,10.62
1993-10-12,10.5
1993-10-13,10.62
1993-10-14,10.5
1993-10-15,10.5
1993-10-18,10.5
1993-10-19,10.03
1993-10-20,9.73
1993-10-21,9.56
1993-10-22,9.61
1993-10-25,9.5
1993-10-26,9.5
1993-10-27,9.79
1993-10-28,9.67
1993-10-29,9.73
1993-11-01,9.79
1993-11-02,9.67
1993-11-03,9.61
1993-11-04,9.5
1993-11-05,9.58
1993-11-08,9.47
1993-11-09,9.35
1993-11-10,9.35
1993-11-11,9.47
1993-11-12,9.94
1993-11-15,9.94
1993-11-16,9.82
1993-11-17,9.7
1993-11-18,9.47
1993-11-19,9.17
1993-11-22,9.17
1993-11-23,9.35
