Date,Price
1990-01-01,208.35
1990-01-02,209.78
1990-01-03,213.73
1990-01-04,215.16
1990-01-05,212.65
1990-01-08,210.86
1990-01-09,209.07
1990-01-10,209.07
1990-01-11,212.65
1990-01-12,210.86
1990-01-15,208.71
1990-01-16,203.69
1990-01-17,204.76
1990-01-18,196.51
1990-01-19,195.08
1990-01-22,187.19
1990-01-23,186.12
1990-01-24,185.76
1990-01-25,189.7
1990-01-26,188.63
1990-01-29,188.27
1990-01-30,182.53
1990-01-31,183.25
1990-02-01,182.17
1990-02-02,183.61
1990-02-05,184.68
1990-02-06,182.17
1990-02-07,181.45
1990-02-08,182.17
1990-02-09,181.45
1990-02-12,179.66
1990-02-13,181.81
1990-02-14,184.68
1990-02-15,186.47
1990-02-16,188.63
1990-02-19,189.34
1990-02-20,187.91
1990-02-21,186.83
1990-02-22,187.55
1990-02-23,185.76
1990-02-26,186.47
1990-02-27,185.76
1990-02-28,183.61
1990-03-01,181.45
1990-03-02,183.96
1990-03-05,183.25
1990-03-06,185.76
1990-03-07,189.7
1990-03-08,191.14
1990-03-09,191.85
1990-03-12,192.21
1990-03-13,192.57
1990-03-14,192.93
1990-03-15,194.36
1990-03-16,197.23
1990-03-19,193.65
1990-03-20,195.44
1990-03-21,193.65
1990-03-22,192.93
1990-03-23,195.44
1990-03-26,190.78
1990-03-27,190.06
1990-03-28,190.78
1990-03-29,191.14
1990-03-30,190.78
1990-04-02,190.42
1990-04-03,191.85
1990-04-04,191.85
1990-04-05,193.29
1990-04-06,194.0
1990-04-09,196.87
1990-04-10,198.67
1990-04-11,194.72
1990-04-12,194.0
1990-04-13,194.0
1990-04-16,194.0
1990-04-17,193.65
1990-04-18,193.29
1990-04-19,191.85
1990-04-20,191.85
1990-04-23,190.06
1990-04-24,185.04
1990-04-25,186.83
1990-04-26,186.83
1990-04-27,185.4
1990-04-30,186.47
1990-05-01,186.83
1990-05-02,187.55
1990-05-03,187.19
1990-05-04,190.06
1990-05-07,190.06
1990-05-08,193.29
1990-05-09,191.85
1990-05-10,192.21
1990-05-11,193.65
1990-05-14,193.65
1990-05-15,192.93
1990-05-16,193.29
1990-05-17,196.51
1990-05-18,197.23
1990-05-21,196.51
1990-05-22,200.46
1990-05-23,199.03
1990-05-24,196.51
1990-05-25,196.16
1990-05-28,196.16
1990-05-29,197.23
1990-05-30,204.4
1990-05-31,203.69
1990-06-01,206.56
1990-06-04,206.2
1990-06-05,207.99
1990-06-06,208.71
1990-06-07,209.07
1990-06-08,209.07
1990-06-11,208.35
1990-06-12,208.71
1990-06-13,210.14
1990-06-14,207.99
1990-06-15,206.2
1990-06-18,202.61
1990-06-19,200.82
1990-06-20,201.89
1990-06-21,201.89
1990-06-22,202.61
1990-06-25,204.05
1990-06-26,206.2
1990-06-27,204.76
1990-06-28,204.05
1990-06-29,205.12
1990-07-02,202.97
1990-07-03,202.25
1990-07-04,194.0
1990-07-05,191.49
1990-07-06,194.0
1990-07-09,195.44
1990-07-10,194.72
1990-07-11,196.16
1990-07-12,199.38
1990-07-13,201.89
1990-07-16,204.05
1990-07-17,204.4
1990-07-18,204.4
1990-07-19,202.61
1990-07-20,202.97
1990-07-23,199.03
1990-07-24,201.18
1990-07-25,202.97
1990-07-26,202.61
1990-07-27,199.38
1990-07-30,196.87
1990-07-31,200.46
1990-08-01,199.74
1990-08-02,199.03
1990-08-03,198.31
1990-08-06,186.47
1990-08-07,186.83
1990-08-08,185.04
1990-08-09,188.27
1990-08-10,189.34
1990-08-13,189.34
1990-08-14,190.78
1990-08-15,190.06
1990-08-16,189.34
1990-08-17,182.17
1990-08-20,178.58
1990-08-21,172.85
1990-08-22,168.19
1990-08-23,162.45
1990-08-24,164.96
1990-08-27,164.96
1990-08-28,170.34
1990-08-29,167.11
1990-08-30,169.26
1990-08-31,168.54
1990-09-03,169.62
1990-09-04,164.6
1990-09-05,167.83
1990-09-06,161.73
1990-09-07,160.65
1990-09-10,163.16
1990-09-11,161.01
1990-09-12,160.65
1990-09-13,157.79
1990-09-14,154.56
1990-09-17,152.41
1990-09-18,150.61
1990-09-19,150.61
1990-09-20,146.67
1990-09-21,145.95
1990-09-24,141.65
1990-09-25,144.16
1990-09-26,146.67
1990-09-27,147.03
1990-09-28,144.52
1990-10-01,144.88
1990-10-02,147.39
1990-10-03,153.48
1990-10-04,152.05
1990-10-05,158.5
1990-10-08,153.12
1990-10-09,143.8
1990-10-10,144.52
1990-10-11,143.8
1990-10-12,149.9
1990-10-15,150.97
1990-10-16,150.61
1990-10-17,148.1
1990-10-18,148.82
1990-10-19,148.82
1990-10-22,152.05
1990-10-23,155.28
1990-10-24,152.05
1990-10-25,150.26
1990-10-26,150.26
1990-10-29,149.9
1990-10-30,147.39
1990-10-31,147.74
1990-11-01,145.59
1990-11-02,144.16
1990-11-05,146.31
1990-11-06,147.74
1990-11-07,147.03
1990-11-08,145.59
1990-11-09,148.82
1990-11-12,151.69
1990-11-13,150.61
1990-11-14,150.26
1990-11-15,150.61
1990-11-16,148.46
1990-11-19,153.84
1990-11-20,156.71
1990-11-21,159.58
1990-11-22,159.22
1990-11-23,163.52
1990-11-26,160.65
1990-11-27,163.52
1990-11-28,158.5
1990-11-29,154.2
1990-11-30,155.99
1990-12-03,158.5
1990-12-04,156.35
1990-12-05,156.71
1990-12-06,162.09
1990-12-07,162.81
1990-12-10,161.01
1990-12-11,159.58
1990-12-12,158.86
1990-12-13,159.94
1990-12-14,161.37
1990-12-17,161.73
1990-12-18,162.45
1990-12-19,163.88
1990-12-20,162.45
1990-12-21,161.73
1990-12-24,160.65
1990-12-25,160.65
1990-12-26,160.65
1990-12-27,162.09
1990-12-28,161.73
1990-12-31,161.73
1991-01-01,161.73
1991-01-02,160.65
1991-01-03,154.2
1991-01-04,151.69
1991-01-07,151.33
1991-01-08,150.61
1991-01-09,154.2
1991-01-10,151.33
1991-01-11,152.77
1991-01-14,149.54
1991-01-15,147.03
1991-01-16,145.59
1991-01-17,152.05
1991-01-18,153.12
1991-01-21,150.61
1991-01-22,149.18
1991-01-23,148.1
1991-01-24,152.41
1991-01-25,155.99
1991-01-28,158.5
1991-01-29,157.79
1991-01-30,160.3
1991-01-31,163.88
1991-02-01,168.54
1991-02-04,170.7
1991-02-05,168.9
1991-02-06,164.96
1991-02-07,170.34
1991-02-08,168.9
1991-02-11,172.85
1991-02-12,172.13
1991-02-13,175.72
1991-02-14,177.51
1991-02-15,177.15
1991-02-18,180.38
1991-02-19,179.66
1991-02-20,181.45
1991-02-21,182.53
1991-02-22,182.89
1991-02-25,184.32
1991-02-26,185.4
1991-02-27,186.83
1991-02-28,190.06
1991-03-01,191.49
1991-03-04,190.42
1991-03-05,192.93
1991-03-06,192.93
1991-03-07,192.93
1991-03-08,191.85
1991-03-11,192.93
1991-03-12,190.78
1991-03-13,189.7
1991-03-14,192.57
1991-03-15,195.8
1991-03-18,196.51
1991-03-19,194.0
1991-03-20,193.65
1991-03-21,196.16
1991-03-22,191.85
1991-03-25,190.78
1991-03-26,196.87
1991-03-27,197.59
1991-03-28,200.82
1991-03-29,200.82
1991-04-01,200.82
1991-04-02,200.1
1991-04-03,204.05
1991-04-04,204.76
1991-04-05,203.69
1991-04-08,200.82
1991-04-09,200.1
1991-04-10,199.74
1991-04-11,198.67
1991-04-12,197.23
1991-04-15,198.31
1991-04-16,194.72
1991-04-17,195.8
1991-04-18,195.08
1991-04-19,194.72
1991-04-22,194.72
1991-04-23,196.51
1991-04-24,196.87
1991-04-25,195.08
1991-04-26,197.23
1991-04-29,197.59
1991-04-30,195.08
1991-05-01,194.72
1991-05-02,196.87
1991-05-03,197.59
1991-05-06,197.59
1991-05-07,199.03
1991-05-08,199.38
1991-05-09,200.1
1991-05-10,198.31
1991-05-13,196.51
1991-05-14,192.57
1991-05-15,187.19
1991-05-16,188.63
1991-05-17,187.91
1991-05-20,188.98
1991-05-21,189.34
1991-05-22,188.63
1991-05-23,187.55
1991-05-24,185.04
1991-05-27,185.04
1991-05-28,186.12
1991-05-29,188.27
1991-05-30,186.47
1991-05-31,187.55
1991-06-03,190.42
1991-06-04,191.85
1991-06-05,193.65
1991-06-06,194.72
1991-06-07,199.03
1991-06-10,200.46
1991-06-11,205.12
1991-06-12,200.46
1991-06-13,197.95
1991-06-14,197.23
1991-06-17,199.03
1991-06-18,196.87
1991-06-19,196.87
1991-06-20,199.74
1991-06-21,201.89
1991-06-24,200.82
1991-06-25,201.18
1991-06-26,199.03
1991-06-27,200.1
1991-06-28,197.59
1991-07-01,198.67
1991-07-02,200.82
1991-07-03,203.33
1991-07-04,204.76
1991-07-05,206.2
1991-07-08,205.48
1991-07-09,203.69
1991-07-10,207.27
1991-07-11,209.07
1991-07-12,208.35
1991-07-15,211.93
1991-07-16,211.58
1991-07-17,205.84
1991-07-18,204.05
1991-07-19,201.54
1991-07-22,203.69
1991-07-23,207.27
1991-07-24,208.35
1991-07-25,209.78
1991-07-26,210.14
1991-07-29,210.86
1991-07-30,212.65
1991-07-31,209.42
1991-08-01,209.07
1991-08-02,210.86
1991-08-05,209.78
1991-08-06,207.99
1991-08-07,209.07
1991-08-08,210.14
1991-08-09,206.91
1991-08-12,206.56
1991-08-13,207.99
1991-08-14,210.5
1991-08-15,213.73
1991-08-16,213.73
1991-08-19,206.2
1991-08-20,209.42
1991-08-21,213.37
1991-08-22,212.65
1991-08-23,211.93
1991-08-26,211.93
1991-08-27,211.22
1991-08-28,211.22
1991-08-29,213.37
1991-08-30,213.37
1991-09-02,216.24
1991-09-03,211.58
1991-09-04,212.29
1991-09-05,212.29
1991-09-06,213.73
1991-09-09,211.58
1991-09-10,209.07
1991-09-11,205.48
1991-09-12,204.05
1991-09-13,201.54
1991-09-16,196.51
1991-09-17,193.65
1991-09-18,191.85
1991-09-19,193.29
1991-09-20,197.59
1991-09-23,192.57
1991-09-24,192.93
1991-09-25,195.8
1991-09-26,199.74
1991-09-27,202.61
1991-09-30,207.27
1991-10-01,207.63
1991-10-02,206.2
1991-10-03,204.05
1991-10-04,202.97
1991-10-07,200.46
1991-10-08,199.03
1991-10-09,200.46
1991-10-10,198.31
1991-10-11,197.95
1991-10-14,198.67
1991-10-15,199.38
1991-10-16,200.1
1991-10-17,201.89
1991-10-18,203.33
1991-10-21,200.46
1991-10-22,198.67
1991-10-23,199.74
1991-10-24,197.23
1991-10-25,196.51
1991-10-28,199.74
1991-10-29,198.67
1991-10-30,198.31
1991-10-31,197.59
1991-11-01,197.59
1991-11-04,195.08
1991-11-05,197.23
1991-11-06,196.16
1991-11-07,198.31
1991-11-08,197.23
1991-11-11,197.59
1991-11-12,197.95
1991-11-13,194.36
1991-11-14,192.93
1991-11-15,188.63
1991-11-18,188.27
1991-11-19,186.47
1991-11-20,186.83
1991-11-21,185.76
1991-11-22,185.76
1991-11-25,187.55
1991-11-26,189.34
1991-11-27,189.34
1991-11-28,186.47
1991-11-29,184.32
1991-12-02,181.45
1991-12-03,176.79
1991-12-04,167.11
1991-12-05,169.62
1991-12-06,171.41
1991-12-09,172.85
1991-12-10,170.7
1991-12-11,167.83
1991-12-12,175.0
1991-12-13,179.3
1991-12-16,176.79
1991-12-17,171.77
1991-12-18,170.34
1991-12-19,171.41
1991-12-20,166.39
1991-12-23,162.09
1991-12-24,164.6
