Date,Price
2000-01-03,34.84
2000-01-04,33.91
2000-01-05,34.06
2000-01-06,36.38
2000-01-07,37.09
2000-01-10,35.63
2000-01-11,35.56
2000-01-12,37.06
2000-01-13,37.88
2000-01-14,37.84
2000-01-17,37.98
2000-01-18,38.52
2000-01-19,37.84
2000-01-20,36.77
2000-01-21,37.13
2000-01-24,37.27
2000-01-25,36.98
2000-01-26,37.95
2000-01-27,39.23
2000-01-28,39.13
2000-01-31,38.48
2000-02-01,37.27
2000-02-02,34.09
2000-02-03,32.85
2000-02-04,33.41
2000-02-07,33.51
2000-02-08,34.2
2000-02-09,32.27
2000-02-10,31.02
2000-02-11,29.99
2000-02-14,30.55
2000-02-15,31.66
2000-02-16,31.96
2000-02-17,31.53
2000-02-18,31.56
2000-02-21,32.22
2000-02-22,32.84
2000-02-23,31.63
2000-02-24,29.28
2000-02-25,28.92
2000-02-28,28.34
2000-02-29,29.56
2000-03-01,29.27
2000-03-02,29.63
2000-03-03,30.75
2000-03-06,31.41
2000-03-07,29.69
2000-03-08,28.2
2000-03-09,27.56
2000-03-10,27.8
2000-03-13,28.68
2000-03-14,28.55
2000-03-15,28.56
2000-03-16,29.56
2000-03-17,30.84
2000-03-20,30.17
2000-03-21,29.27
2000-03-22,29.89
2000-03-23,29.74
2000-03-24,28.89
2000-03-27,29.7
2000-03-28,29.99
2000-03-29,29.33
2000-03-30,30.71
2000-03-31,32.13
2000-04-03,32.96
2000-04-04,33.88
2000-04-05,32.56
2000-04-06,31.86
2000-04-07,32.29
2000-04-10,33.13
2000-04-11,33.01
2000-04-12,32.73
2000-04-13,32.73
2000-04-14,32.13
2000-04-17,32.06
2000-04-18,32.13
2000-04-19,32.13
2000-04-20,33.0
2000-04-21,33.0
2000-04-24,33.0
2000-04-25,34.98
2000-04-26,34.91
2000-04-27,34.52
2000-04-28,35.7
2000-05-01,35.7
2000-05-02,34.48
2000-05-03,33.77
2000-05-04,34.9
2000-05-05,34.98
2000-05-08,35.08
2000-05-09,35.08
2000-05-10,35.69
2000-05-11,34.98
2000-05-12,34.96
2000-05-15,36.38
2000-05-16,36.88
2000-05-17,36.41
2000-05-18,36.45
2000-05-19,36.23
2000-05-22,36.66
2000-05-23,35.77
2000-05-24,36.41
2000-05-25,36.77
2000-05-26,36.56
2000-05-29,36.98
2000-05-30,36.31
2000-05-31,36.06
2000-06-01,35.95
2000-06-02,35.01
2000-06-05,34.55
2000-06-06,33.86
2000-06-07,34.77
2000-06-08,33.91
2000-06-09,33.21
2000-06-12,33.21
2000-06-13,33.56
2000-06-14,32.7
2000-06-15,33.44
2000-06-16,32.84
2000-06-19,32.84
2000-06-20,32.69
2000-06-21,31.43
2000-06-22,31.04
2000-06-23,30.48
2000-06-26,31.52
2000-06-27,32.27
2000-06-28,32.79
2000-06-29,33.13
2000-06-30,33.99
2000-07-03,33.55
2000-07-04,34.4
2000-07-05,34.95
2000-07-06,34.79
2000-07-07,34.79
2000-07-10,35.51
2000-07-11,34.56
2000-07-12,33.99
2000-07-13,33.63
2000-07-14,33.63
2000-07-17,32.84
2000-07-18,31.41
2000-07-19,34.13
2000-07-20,34.56
2000-07-21,33.49
2000-07-24,33.49
2000-07-25,34.63
2000-07-26,34.42
2000-07-27,34.42
2000-07-28,32.49
2000-07-31,33.09
2000-08-01,32.56
2000-08-02,33.26
2000-08-03,32.84
2000-08-04,33.77
2000-08-07,33.27
2000-08-08,33.56
2000-08-09,33.56
2000-08-10,33.77
2000-08-11,34.13
2000-08-14,34.48
2000-08-15,34.27
2000-08-16,34.91
2000-08-17,35.13
2000-08-18,34.76
2000-08-21,35.0
2000-08-22,34.14
2000-08-23,34.51
2000-08-24,34.81
2000-08-25,36.7
2000-08-28,36.27
2000-08-29,35.77
2000-08-30,35.59
2000-08-31,34.96
2000-09-01,36.38
2000-09-04,36.48
2000-09-05,37.2
2000-09-06,37.23
2000-09-07,37.56
2000-09-08,37.09
2000-09-11,37.13
2000-09-12,37.66
2000-09-13,36.06
2000-09-14,36.06
2000-09-15,35.63
2000-09-18,34.38
2000-09-19,33.41
2000-09-20,33.34
2000-09-21,32.66
2000-09-22,34.48
2000-09-25,33.84
2000-09-26,33.31
2000-09-27,33.39
2000-09-28,35.34
2000-09-29,34.7
2000-10-02,36.34
2000-10-03,36.41
2000-10-04,37.48
2000-10-05,36.91
2000-10-06,36.52
2000-10-09,36.41
2000-10-10,36.41
2000-10-11,34.98
2000-10-12,34.98
2000-10-13,35.13
2000-10-16,35.46
2000-10-17,35.14
2000-10-18,34.84
2000-10-19,34.93
2000-10-20,35.69
2000-10-23,34.96
2000-10-24,35.95
2000-10-25,36.16
2000-10-26,36.41
2000-10-27,38.48
2000-10-30,38.73
2000-10-31,38.73
2000-11-01,42.77
2000-11-02,40.34
2000-11-03,40.63
2000-11-06,39.66
2000-11-07,39.98
2000-11-08,40.13
2000-11-09,39.88
2000-11-10,39.7
2000-11-13,39.7
2000-11-14,39.88
2000-11-15,41.27
2000-11-16,40.45
2000-11-17,39.84
2000-11-20,38.8
2000-11-21,41.2
2000-11-22,40.87
2000-11-23,39.98
2000-11-24,39.38
2000-11-27,39.73
2000-11-28,40.02
2000-11-29,38.66
2000-11-30,39.2
2000-12-01,38.55
2000-12-04,37.63
2000-12-05,38.95
2000-12-06,37.95
2000-12-07,37.27
2000-12-08,39.05
2000-12-11,39.09
2000-12-12,37.95
2000-12-13,36.77
2000-12-14,36.06
2000-12-15,35.48
2000-12-18,36.13
2000-12-19,38.55
2000-12-20,37.8
2000-12-21,37.98
2000-12-22,36.91
2000-12-27,37.84
2000-12-28,39.63
2000-12-29,39.63
2001-01-01,39.63
2001-01-02,39.55
2001-01-03,38.7
2001-01-04,39.48
2001-01-05,39.63
2001-01-08,38.05
2001-01-09,37.41
2001-01-10,37.63
2001-01-11,37.91
2001-01-12,37.38
2001-01-15,37.41
2001-01-16,37.13
2001-01-17,37.09
2001-01-18,38.48
2001-01-19,40.23
2001-01-22,40.73
2001-01-23,39.91
2001-01-25,40.55
2001-01-29,39.27
2001-01-30,39.73
2001-01-31,38.77
2001-02-01,39.45
2001-02-02,38.98
2001-02-05,39.13
2001-02-06,39.52
2001-02-07,39.88
2001-02-08,40.7
2001-02-09,39.63
2001-02-12,39.77
2001-02-13,38.2
2001-02-14,40.59
2001-02-15,41.16
2001-02-16,40.48
2001-02-19,40.7
2001-02-20,40.27
2001-02-21,41.55
2001-02-22,42.91
2001-02-23,41.7
2001-02-26,41.27
2001-02-27,41.12
2001-02-28,41.7
2001-03-01,43.7
2001-03-02,42.84
2001-03-05,41.84
2001-03-06,43.34
2001-03-07,43.7
2001-03-08,45.27
2001-03-09,44.27
2001-03-12,44.3
2001-03-13,41.41
2001-03-15,37.84
2001-03-16,39.27
2001-03-19,38.23
2001-03-20,38.91
2001-03-21,39.98
2001-03-22,37.66
2001-03-23,39.3
2001-03-26,40.45
2001-03-27,40.34
2001-03-28,41.27
2001-03-29,41.27
2001-03-30,40.91
2001-04-02,41.27
2001-04-03,39.41
2001-04-04,39.95
2001-04-05,41.37
2001-04-06,40.38
2001-04-09,40.63
2001-04-10,41.2
2001-04-11,40.98
2001-04-12,41.7
2001-04-13,41.7
2001-04-16,41.7
2001-04-17,41.7
2001-04-18,42.59
2001-04-19,42.48
2001-04-20,42.8
2001-04-23,42.91
2001-04-24,42.55
2001-04-25,40.48
2001-04-26,41.3
2001-04-27,41.27
2001-04-30,41.37
2001-05-01,41.37
2001-05-02,41.55
2001-05-03,41.2
2001-05-04,41.41
2001-05-07,41.41
2001-05-08,41.87
2001-05-09,40.98
2001-05-10,41.2
2001-05-11,41.2
2001-05-14,43.55
2001-05-15,43.16
2001-05-16,43.27
2001-05-17,41.41
2001-05-18,41.91
2001-05-21,41.41
2001-05-22,41.48
2001-05-23,41.7
2001-05-24,40.77
2001-05-25,40.13
2001-05-28,40.09
2001-05-29,40.34
2001-05-30,39.8
2001-05-31,39.38
2001-06-01,38.55
2001-06-04,38.55
2001-06-05,38.55
2001-06-06,38.23
2001-06-07,37.84
2001-06-08,36.77
2001-06-11,37.48
2001-06-12,37.16
2001-06-13,36.52
2001-06-14,37.2
2001-06-15,36.31
2001-06-18,35.81
2001-06-19,36.34
2001-06-20,36.63
2001-06-21,37.02
2001-06-22,37.84
2001-06-25,37.8
2001-06-26,37.27
2001-06-27,37.38
2001-06-28,37.56
2001-06-29,38.05
2001-07-02,39.88
2001-07-03,39.45
2001-07-04,38.95
2001-07-05,39.2
2001-07-06,38.02
2001-07-09,37.7
2001-07-10,38.34
2001-07-11,37.84
2001-07-12,38.38
2001-07-13,38.38
2001-07-16,39.41
2001-07-17,39.27
2001-07-18,38.05
2001-07-19,37.7
2001-07-20,37.34
2001-07-23,36.98
2001-07-24,36.38
2001-07-25,36.41
2001-07-26,37.23
2001-07-27,37.95
2001-07-30,36.88
2001-07-31,37.02
2001-08-01,36.91
2001-08-02,37.09
2001-08-03,36.63
2001-08-06,36.88
2001-08-07,36.63
2001-08-08,36.84
2001-08-09,36.63
2001-08-10,36.06
2001-08-13,36.41
2001-08-14,37.02
2001-08-15,36.52
2001-08-16,36.13
2001-08-17,35.58
2001-08-20,35.46
2001-08-21,35.52
2001-08-22,35.31
2001-08-23,34.81
2001-08-24,35.56
2001-08-27,35.43
2001-08-28,34.63
2001-08-29,34.77
2001-08-30,33.47
2001-08-31,32.45
2001-09-03,30.77
2001-09-04,31.06
2001-09-05,30.34
2001-09-06,29.92
2001-09-07,30.06
2001-09-10,30.13
2001-09-11,26.42
2001-09-12,26.88
2001-09-13,25.74
2001-09-14,25.24
2001-09-17,24.63
2001-09-18,23.66
2001-09-19,23.2
2001-09-20,20.83
2001-09-21,21.06
2001-09-24,21.49
2001-09-25,22.63
2001-09-26,22.38
2001-09-27,22.11
2001-09-28,22.11
2001-10-01,23.1
2001-10-02,22.62
2001-10-03,22.42
2001-10-04,24.05
2001-10-05,22.99
