Date,Price
1992-02-13,1.75
1992-02-14,1.92
1992-02-18,1.76
1992-02-19,1.84
1992-02-20,1.89
1992-02-21,1.95
1992-02-24,1.97
1992-02-25,1.95
1992-02-26,2.0
1992-02-27,2.05
1992-02-28,2.16
1992-03-02,2.19
1992-03-03,2.11
1992-03-04,2.08
1992-03-05,2.0
1992-03-06,2.0
1992-03-09,2.04
1992-03-10,2.08
1992-03-11,2.09
1992-03-12,2.08
1992-03-13,2.16
1992-03-16,2.19
1992-03-17,2.11
1992-03-18,2.11
1992-03-19,2.08
1992-03-20,2.16
1992-03-23,2.12
1992-03-24,2.08
1992-03-25,2.11
1992-03-26,2.05
1992-03-27,2.13
1992-03-30,2.11
1992-03-31,2.13
1992-04-01,2.08
1992-04-02,2.11
1992-04-03,2.11
1992-04-06,2.08
1992-04-07,2.13
1992-04-08,2.13
1992-04-09,2.11
1992-04-10,2.11
1992-04-13,2.11
1992-04-14,2.11
1992-04-15,2.08
1992-04-16,2.08
1992-04-20,2.03
1992-04-21,2.03
1992-04-22,2.11
1992-04-23,2.03
1992-04-24,2.06
1992-04-27,2.01
1992-04-28,1.93
1992-04-29,1.95
1992-04-30,1.93
1992-05-01,1.98
1992-05-04,1.98
1992-05-05,1.93
1992-05-06,1.87
1992-05-07,1.82
1992-05-08,1.84
1992-05-11,1.93
1992-05-12,1.9
1992-05-13,1.91
1992-05-14,1.9
1992-05-15,1.9
1992-05-18,1.9
1992-05-19,1.9
1992-05-20,1.84
1992-05-21,1.79
1992-05-22,1.76
1992-05-26,1.64
1992-05-27,1.68
1992-05-28,1.62
1992-05-29,1.6
1992-06-01,1.6
1992-06-02,1.59
1992-06-03,1.55
1992-06-04,1.6
1992-06-05,1.6
1992-06-08,1.63
1992-06-09,1.56
1992-06-10,1.55
1992-06-11,1.6
1992-06-12,1.55
1992-06-15,1.5
1992-06-16,1.52
1992-06-17,1.48
1992-06-18,1.44
1992-06-19,1.5
1992-06-22,1.44
1992-06-23,1.47
1992-06-24,1.43
1992-06-25,1.39
1992-06-26,1.34
1992-06-29,1.37
1992-06-30,1.35
1992-07-01,1.37
1992-07-02,1.39
1992-07-06,1.39
1992-07-07,1.34
1992-07-08,1.3
1992-07-09,1.31
1992-07-10,1.41
1992-07-13,1.35
1992-07-14,1.34
1992-07-15,1.41
1992-07-16,1.35
1992-07-17,1.27
1992-07-20,1.29
1992-07-21,1.31
1992-07-22,1.23
1992-07-23,1.31
1992-07-24,1.27
1992-07-27,1.31
1992-07-28,1.26
1992-07-29,1.31
