Date,Price
1997-07-01,3174.73
1997-07-02,3174.73
1997-07-03,3165.11
1997-07-04,3068.91
1997-07-07,2838.02
1997-07-08,2838.02
1997-07-09,2838.02
1997-07-10,2838.02
1997-07-11,2874.57
1997-07-14,2886.12
1997-07-15,2838.02
1997-07-16,2838.02
1997-07-17,2838.02
1997-07-18,2851.48
1997-07-21,2866.88
1997-07-22,2866.88
1997-07-23,2866.88
1997-07-24,2838.02
1997-07-25,2789.91
1997-07-28,2789.91
1997-07-29,2741.81
1997-07-30,2741.81
1997-07-31,2741.81
1997-08-01,2741.81
1997-08-04,2741.81
1997-08-05,2712.95
1997-08-06,2712.95
1997-08-07,2712.95
1997-08-08,2645.61
1997-08-11,2622.52
1997-08-12,2622.52
1997-08-13,2622.52
1997-08-14,2622.52
1997-08-15,2622.52
1997-08-18,2622.52
1997-08-19,2622.52
1997-08-20,2622.52
1997-08-21,2622.52
1997-08-22,2622.52
1997-08-25,2622.52
1997-08-26,2622.52
1997-08-27,2622.52
1997-08-28,2622.52
1997-08-29,2622.52
1997-09-01,2622.52
1997-09-02,2622.52
1997-09-03,2622.52
1997-09-04,2622.52
1997-09-05,2622.52
1997-09-08,2597.51
1997-09-09,2597.51
1997-09-10,2574.42
1997-09-11,2549.4
1997-09-12,2382.01
1997-09-15,2382.01
1997-09-16,2382.01
1997-09-17,2382.01
1997-09-18,2382.01
1997-09-19,2382.01
1997-09-22,2382.01
1997-09-23,2260.79
1997-09-24,2260.79
1997-09-25,2164.59
1997-09-26,2164.59
1997-09-29,2164.59
1997-09-30,2285.81
1997-10-01,2333.91
1997-10-02,2333.91
1997-10-03,2308.89
1997-10-06,2357.0
1997-10-07,2333.91
1997-10-08,2333.91
1997-10-09,2382.01
1997-10-10,2357.0
1997-10-13,2357.0
1997-10-14,2357.0
1997-10-15,2308.89
1997-10-16,2308.89
1997-10-17,2357.0
1997-10-20,2357.0
1997-10-21,2357.0
1997-10-22,2357.0
1997-10-23,2405.1
1997-10-24,2357.0
1997-10-27,2260.79
1997-10-28,2212.69
1997-10-29,2164.59
1997-10-30,1997.19
1997-10-31,1875.98
1997-11-03,1875.98
1997-11-04,1875.98
1997-11-05,1827.87
1997-11-06,1827.87
1997-11-07,1827.87
1997-11-10,1827.87
1997-11-11,1827.87
1997-11-12,1779.77
1997-11-13,1587.37
1997-11-14,1468.07
1997-11-17,1452.68
1997-11-18,1427.67
1997-11-19,1379.56
1997-11-20,1379.56
1997-11-21,1356.48
1997-11-24,1356.48
1997-11-25,1356.48
1997-11-26,1298.75
1997-11-27,1346.86
1997-11-28,1346.86
1997-12-01,1298.75
1997-12-02,1275.66
1997-12-03,1202.55
1997-12-04,1202.55
1997-12-05,1202.55
1997-12-08,1154.45
1997-12-09,1154.45
1997-12-10,1154.45
1997-12-11,1154.45
1997-12-12,1106.35
1997-12-15,1106.35
1997-12-16,1106.35
1997-12-17,1035.15
1997-12-18,1058.24
1997-12-19,1058.24
1997-12-22,1058.24
1997-12-23,1058.24
1997-12-24,1010.14
1997-12-25,1010.14
1997-12-26,1010.14
1997-12-29,1058.24
1997-12-30,1058.24
1997-12-31,1010.14
1998-01-01,1010.14
1998-01-02,1010.14
1998-01-05,1058.24
1998-01-06,1058.24
1998-01-07,1058.24
1998-01-08,1058.24
1998-01-09,1035.15
1998-01-12,1035.15
1998-01-13,1035.15
1998-01-14,1035.15
1998-01-15,1035.15
1998-01-16,1035.15
1998-01-19,1035.15
1998-01-20,1035.15
1998-01-21,1035.15
1998-01-22,1035.15
1998-01-23,1010.14
1998-01-26,1010.14
1998-01-27,1010.14
1998-01-28,1010.14
1998-01-29,1010.14
1998-01-30,1067.86
1998-02-02,1154.45
1998-02-03,1154.45
1998-02-04,1202.55
1998-02-05,1202.55
1998-02-06,1202.55
1998-02-09,1202.55
1998-02-10,1202.55
1998-02-11,1202.55
1998-02-12,1227.56
1998-02-13,1202.55
1998-02-16,1179.46
1998-02-17,1179.46
1998-02-18,1179.46
1998-02-19,1131.36
1998-02-20,1131.36
1998-02-23,1131.36
1998-02-24,1131.36
1998-02-25,1131.36
1998-02-26,1131.36
1998-02-27,1154.45
1998-03-02,1154.45
