Date,Price
1998-07-01,13.01
1998-07-02,13.11
1998-07-06,13.2
1998-07-07,13.01
1998-07-08,13.11
1998-07-09,13.2
1998-07-10,13.17
1998-07-13,13.14
1998-07-14,13.04
1998-07-15,13.27
1998-07-16,13.11
1998-07-17,13.27
1998-07-20,13.97
1998-07-21,13.55
1998-07-22,13.08
1998-07-23,13.01
1998-07-24,13.27
1998-07-27,13.2
1998-07-28,12.76
1998-07-29,12.57
1998-07-30,12.76
1998-07-31,12.76
1998-08-03,12.44
1998-08-04,11.74
1998-08-05,11.19
1998-08-06,11.16
1998-08-07,11.29
1998-08-10,11.8
1998-08-11,11.23
1998-08-12,11.23
1998-08-13,11.1
1998-08-14,11.23
1998-08-17,11.23
1998-08-18,11.23
1998-08-19,11.19
1998-08-20,11.23
1998-08-21,10.46
1998-08-24,10.56
1998-08-25,10.62
1998-08-26,10.68
1998-08-27,9.63
1998-08-28,8.61
1998-08-31,8.23
1998-09-01,8.29
1998-09-02,8.1
1998-09-03,8.1
1998-09-04,8.1
1998-09-08,8.55
1998-09-09,8.23
1998-09-10,7.56
1998-09-11,7.62
1998-09-14,7.62
1998-09-15,7.02
1998-09-16,7.4
1998-09-17,7.75
1998-09-18,7.78
1998-09-21,7.81
1998-09-22,8.8
1998-09-23,10.17
1998-09-24,9.95
1998-09-25,10.05
1998-09-28,10.14
1998-09-29,9.82
1998-09-30,9.95
1998-10-01,10.14
1998-10-02,9.7
1998-10-05,9.92
1998-10-06,9.66
1998-10-07,7.78
1998-10-08,7.4
1998-10-09,8.36
1998-10-12,8.64
1998-10-13,8.42
1998-10-14,8.29
1998-10-15,8.26
1998-10-16,8.16
1998-10-19,8.55
1998-10-20,8.55
1998-10-21,8.45
1998-10-22,8.67
1998-10-23,8.71
1998-10-26,8.48
1998-10-27,8.52
1998-10-28,8.67
1998-10-29,9.63
1998-10-30,11.16
1998-11-02,11.32
1998-11-03,11.74
1998-11-04,12.25
1998-11-05,11.86
1998-11-06,11.03
1998-11-09,10.52
1998-11-10,10.01
1998-11-11,10.11
1998-11-12,10.05
1998-11-13,10.24
1998-11-16,10.27
1998-11-17,10.05
1998-11-18,9.76
1998-11-19,9.5
1998-11-20,9.57
1998-11-23,9.31
1998-11-24,9.66
1998-11-25,9.25
1998-11-27,9.57
1998-11-30,9.5
1998-12-01,9.47
1998-12-02,9.5
1998-12-03,9.38
1998-12-04,9.22
1998-12-07,9.25
1998-12-08,8.99
1998-12-09,8.74
1998-12-10,8.23
1998-12-11,8.61
1998-12-14,8.52
1998-12-15,8.83
1998-12-16,9.18
1998-12-17,8.8
1998-12-18,8.71
1998-12-21,8.45
1998-12-22,8.16
1998-12-23,8.23
1998-12-24,8.36
1998-12-28,8.32
1998-12-29,8.74
1998-12-30,9.44
1998-12-31,9.41
1999-01-04,9.79
1999-01-05,9.7
1999-01-06,9.63
1999-01-07,9.63
1999-01-08,9.66
1999-01-11,9.63
1999-01-12,9.41
1999-01-13,9.28
1999-01-14,9.31
1999-01-15,9.28
1999-01-19,9.66
1999-01-20,9.54
1999-01-21,9.54
1999-01-22,9.57
1999-01-25,9.7
1999-01-26,9.85
1999-01-27,10.59
1999-01-28,10.72
1999-01-29,10.52
1999-02-01,10.56
1999-02-02,10.65
1999-02-03,10.91
1999-02-04,10.97
1999-02-05,10.4
