Date,Price
1990-01-02,9.34
1990-01-03,9.38
1990-01-04,9.51
1990-01-05,9.38
1990-01-08,9.36
1990-01-09,9.11
1990-01-10,9.01
1990-01-11,9.01
1990-01-12,8.93
1990-01-15,8.93
1990-01-16,8.94
1990-01-17,9.04
1990-01-18,9.11
1990-01-19,9.14
1990-01-22,8.99
1990-01-23,8.93
1990-01-24,8.76
1990-01-25,8.71
1990-01-26,8.74
1990-01-29,8.72
1990-01-30,8.76
1990-01-31,8.84
1990-02-01,8.81
1990-02-02,8.59
1990-02-05,8.59
1990-02-06,8.39
1990-02-07,8.27
1990-02-08,8.14
1990-02-09,8.17
1990-02-12,8.05
1990-02-13,8.12
1990-02-14,8.17
1990-02-15,8.42
1990-02-16,8.32
1990-02-20,8.34
1990-02-21,8.22
1990-02-22,8.14
1990-02-23,8.19
1990-02-26,8.21
1990-02-27,8.24
1990-02-28,8.21
1990-03-01,8.11
1990-03-02,8.17
1990-03-05,8.26
1990-03-06,8.31
1990-03-07,8.19
1990-03-08,8.29
1990-03-09,8.31
1990-03-12,8.27
1990-03-13,8.27
1990-03-14,8.26
1990-03-15,8.29
1990-03-16,8.39
1990-03-19,8.56
1990-03-20,8.51
1990-03-21,8.56
1990-03-22,8.39
1990-03-23,8.47
1990-03-26,8.51
1990-03-27,8.59
1990-03-28,8.52
1990-03-29,8.57
1990-03-30,8.62
1990-04-02,8.57
1990-04-03,8.72
1990-04-04,8.81
1990-04-05,8.84
1990-04-06,8.84
1990-04-09,8.76
1990-04-10,8.77
1990-04-11,8.79
1990-04-12,8.86
1990-04-16,8.86
1990-04-17,8.81
1990-04-18,8.84
1990-04-19,8.81
1990-04-20,8.84
1990-04-23,8.79
1990-04-24,8.72
1990-04-25,8.65
1990-04-26,8.57
1990-04-27,8.5
1990-04-30,8.45
1990-05-01,8.43
1990-05-02,8.42
1990-05-03,8.54
1990-05-04,8.67
1990-05-07,8.67
1990-05-08,8.71
1990-05-09,8.65
1990-05-10,8.65
1990-05-11,8.74
1990-05-14,8.76
1990-05-15,8.69
1990-05-16,8.71
1990-05-17,8.76
1990-05-18,8.76
1990-05-21,8.74
1990-05-22,8.67
1990-05-23,8.64
1990-05-24,8.5
1990-05-25,8.28
1990-05-29,8.59
1990-05-30,8.62
1990-05-31,8.52
1990-06-01,8.42
1990-06-04,8.45
1990-06-05,8.42
1990-06-06,8.54
1990-06-07,8.57
1990-06-08,8.72
1990-06-11,8.69
1990-06-12,8.71
1990-06-13,8.71
1990-06-14,8.76
1990-06-15,8.79
1990-06-18,8.76
1990-06-19,8.79
1990-06-20,8.76
1990-06-21,8.72
1990-06-22,8.45
1990-06-25,8.37
1990-06-26,8.4
1990-06-27,8.4
1990-06-28,8.45
1990-06-29,8.52
1990-07-02,8.45
1990-07-03,8.41
1990-07-05,8.35
1990-07-06,8.38
1990-07-09,8.43
1990-07-10,8.33
1990-07-11,8.31
1990-07-12,8.53
1990-07-13,8.69
1990-07-16,8.74
1990-07-17,8.55
1990-07-18,8.7
1990-07-19,8.79
1990-07-20,8.67
1990-07-23,8.45
1990-07-24,8.33
1990-07-25,8.18
1990-07-26,7.99
1990-07-27,8.02
1990-07-30,8.04
1990-07-31,7.97
1990-08-01,7.92
1990-08-02,8.29
1990-08-03,8.72
1990-08-06,8.57
1990-08-07,8.47
1990-08-08,8.36
1990-08-09,8.24
1990-08-10,8.28
1990-08-13,8.47
1990-08-14,8.36
1990-08-15,8.33
1990-08-16,8.24
1990-08-17,8.19
1990-08-20,8.38
1990-08-21,8.53
1990-08-22,8.72
1990-08-23,8.52
1990-08-24,8.6
1990-08-27,8.48
1990-08-28,8.38
