Date,Price
2000-11-28,28.15
2000-11-29,28.81
2000-11-30,29.34
2000-12-01,30.67
2000-12-04,29.45
2000-12-05,29.32
2000-12-06,27.73
2000-12-07,27.97
2000-12-08,28.51
2000-12-11,27.08
2000-12-12,26.85
2000-12-13,27.21
2000-12-14,26.34
2000-12-15,25.09
2000-12-18,25.87
2000-12-19,26.91
2000-12-20,26.24
2000-12-21,26.37
2000-12-22,27.84
2000-12-27,28.36
2000-12-28,28.24
2000-12-29,28.33
2001-01-02,28.24
2001-01-03,27.95
2001-01-04,26.02
2001-01-08,24.83
2001-01-09,25.34
2001-01-10,25.31
2001-01-11,26.61
2001-01-12,26.67
2001-01-15,26.09
2001-01-16,26.09
2001-01-17,25.72
2001-01-18,25.49
2001-01-19,25.62
2001-01-22,26.14
2001-01-23,26.19
2001-01-24,25.63
2001-01-25,25.98
2001-01-26,25.63
2001-01-29,25.96
2001-01-30,25.45
2001-01-31,25.48
2001-02-01,25.54
2001-02-02,25.34
2001-02-05,25.19
2001-02-06,24.75
2001-02-07,25.04
2001-02-08,25.07
2001-02-09,24.65
2001-02-12,24.83
2001-02-13,25.57
2001-02-14,25.64
2001-02-16,26.12
2001-02-19,26.14
2001-02-20,25.63
2001-02-21,25.66
2001-02-22,25.17
2001-02-23,24.68
2001-02-26,24.65
2001-02-27,24.45
2001-02-28,24.55
2001-03-01,24.45
2001-03-02,24.42
2001-03-05,24.36
2001-03-06,24.09
2001-03-07,24.12
2001-03-08,23.63
2001-03-09,23.8
2001-03-12,23.76
2001-03-13,22.98
2001-03-15,23.22
2001-03-16,21.95
2001-03-19,22.28
2001-03-20,22.09
2001-03-21,21.54
2001-03-22,21.15
2001-03-23,22.3
2001-03-26,22.54
2001-03-27,23.27
2001-03-28,24.06
2001-03-29,24.27
2001-03-30,24.12
2001-04-02,24.79
2001-04-03,24.29
2001-04-04,24.21
2001-04-05,24.85
2001-04-06,24.72
2001-04-09,25.5
2001-04-10,25.47
2001-04-11,25.25
2001-04-12,25.31
2001-04-17,25.39
2001-04-18,25.72
2001-04-19,25.48
2001-04-20,25.39
2001-04-23,25.87
2001-04-24,25.92
2001-04-25,25.7
2001-04-26,25.72
2001-04-27,25.9
2001-04-30,26.12
2001-05-02,25.7
2001-05-03,25.23
2001-05-04,24.74
2001-05-08,25.06
2001-05-09,24.48
2001-05-11,25.31
2001-05-14,25.04
2001-05-15,24.85
2001-05-16,24.56
2001-05-17,24.18
2001-05-18,24.37
2001-05-21,24.74
2001-05-22,24.62
2001-05-23,24.45
2001-05-24,25.1
2001-05-25,25.25
2001-05-28,25.55
2001-05-29,26.25
2001-05-30,26.25
2001-05-31,26.19
2001-06-01,26.7
2001-06-04,26.64
2001-06-05,27.7
2001-06-06,27.23
2001-06-07,27.97
2001-06-08,26.95
2001-06-11,26.79
2001-06-12,26.81
2001-06-13,27.34
2001-06-14,27.17
2001-06-15,27.17
2001-06-18,26.88
2001-06-19,27.01
2001-06-20,27.17
2001-06-21,27.26
2001-06-22,27.35
2001-06-25,27.58
2001-06-26,27.52
2001-06-27,27.44
2001-06-28,27.71
2001-06-29,28.15
2001-07-02,27.71
2001-07-03,27.62
2001-07-04,27.79
2001-07-05,27.91
2001-07-06,28.27
2001-07-09,28.89
2001-07-10,28.16
2001-07-11,28.69
2001-07-12,28.8
2001-07-13,28.8
2001-07-16,29.16
2001-07-17,29.45
2001-07-18,29.2
2001-07-19,29.29
2001-07-20,28.99
2001-07-23,29.6
2001-07-24,29.25
2001-07-25,28.56
2001-07-26,28.68
2001-07-27,28.39
2001-07-30,28.59
2001-07-31,28.86
2001-08-01,28.88
2001-08-02,28.15
2001-08-03,28.11
2001-08-06,28.17
2001-08-07,28.56
2001-08-08,28.62
2001-08-09,28.18
2001-08-10,27.86
2001-08-13,28.27
2001-08-14,28.54
2001-08-15,28.14
2001-08-16,28.83
2001-08-17,28.45
2001-08-20,28.54
2001-08-21,27.94
2001-08-22,28.02
2001-08-23,27.94
2001-08-24,28.03
2001-08-27,27.91
2001-08-28,27.4
2001-08-29,27.53
2001-08-30,27.27
2001-08-31,27.44
2001-09-03,27.35
2001-09-04,27.95
2001-09-05,27.5
2001-09-06,27.22
2001-09-07,26.28
2001-09-10,25.07
2001-09-11,24.06
2001-09-12,25.22
2001-09-13,25.72
2001-09-14,24.4
2001-09-17,24.62
2001-09-18,24.55
2001-09-19,23.73
2001-09-20,23.17
2001-09-21,22.41
2001-09-24,22.41
2001-09-25,23.68
2001-09-26,24.32
2001-09-27,26.43
2001-09-28,25.83
2001-10-01,26.79
2001-10-02,26.8
2001-10-03,26.8
2001-10-04,28.24
2001-10-05,27.2
2001-10-08,27.4
2001-10-09,27.08
2001-10-10,27.62
2001-10-11,26.96
2001-10-12,26.67
2001-10-15,26.43
2001-10-16,26.43
2001-10-17,26.31
2001-10-18,26.85
2001-10-19,26.28
2001-10-22,26.85
2001-10-23,26.91
2001-10-24,27.07
2001-10-25,26.22
2001-10-26,25.82
2001-10-29,25.48
2001-10-30,25.48
2001-10-31,26.25
2001-11-01,26.67
2001-11-02,26.53
2001-11-05,26.16
2001-11-06,25.29
2001-11-07,25.19
2001-11-08,25.82
2001-11-09,25.57
2001-11-12,25.81
2001-11-13,25.66
2001-11-14,25.63
2001-11-15,25.44
2001-11-16,25.2
2001-11-19,25.48
2001-11-20,25.97
2001-11-21,26.49
2001-11-22,26.52
2001-11-23,26.43
2001-11-26,26.15
2001-11-27,25.1
2001-11-28,24.89
2001-11-29,25.1
2001-11-30,24.59
2001-12-03,24.59
2001-12-04,24.06
2001-12-05,23.71
2001-12-06,24.07
2001-12-07,23.76
2001-12-10,23.65
2001-12-11,23.48
2001-12-12,23.91
2001-12-13,24.18
2001-12-14,24.11
2001-12-17,24.41
2001-12-18,24.2
2001-12-19,24.33
2001-12-20,24.0
2001-12-21,24.33
2001-12-24,24.33
2001-12-25,24.33
2001-12-26,24.33
2001-12-27,24.83
2001-12-28,25.01
2001-12-31,25.01
2002-01-01,25.01
2002-01-02,24.59
2002-01-03,24.92
2002-01-04,24.48
2002-01-07,24.3
2002-01-08,25.13
2002-01-09,25.18
2002-01-10,24.89
2002-01-11,25.22
2002-01-14,25.19
2002-01-15,25.19
2002-01-16,25.19
2002-01-17,25.74
2002-01-18,25.84
2002-01-21,25.69
2002-01-22,25.51
2002-01-23,25.77
2002-01-24,25.91
2002-01-25,25.66
2002-01-28,25.57
2002-01-29,25.52
2002-01-30,25.28
2002-01-31,25.64
2002-02-01,25.96
2002-02-04,25.81
2002-02-05,25.69
2002-02-06,25.51
2002-02-07,25.29
2002-02-08,25.19
2002-02-11,25.09
2002-02-12,24.5
2002-02-13,24.58
2002-02-14,24.62
2002-02-15,24.42
2002-02-18,24.31
2002-02-19,24.07
2002-02-20,24.14
2002-02-21,24.48
2002-02-22,23.79
2002-02-25,24.37
2002-02-26,24.12
2002-02-27,24.23
2002-02-28,24.61
2002-03-01,24.51
2002-03-04,24.59
2002-03-05,24.53
2002-03-06,24.85
2002-03-07,24.18
2002-03-08,24.68
2002-03-11,24.65
2002-03-12,24.71
2002-03-13,24.41
2002-03-14,24.52
2002-03-15,24.88
2002-03-18,24.8
2002-03-19,24.99
2002-03-20,25.12
2002-03-21,25.44
2002-03-22,25.31
