Date,Price
1999-03-08,321.81
1999-03-09,336.9
1999-03-10,336.4
1999-03-11,368.58
1999-03-12,361.62
1999-03-15,356.31
1999-03-16,351.33
1999-03-17,359.46
1999-03-18,365.6
1999-03-19,378.21
1999-03-22,371.24
1999-03-23,370.91
1999-03-24,362.28
1999-03-25,360.29
1999-03-26,357.97
1999-03-29,352.99
1999-03-30,354.65
1999-03-31,361.29
1999-04-01,361.29
1999-04-02,361.29
1999-04-05,361.29
1999-04-06,364.27
1999-04-07,360.62
1999-04-08,357.97
1999-04-09,351.33
1999-04-12,349.67
1999-04-13,353.32
1999-04-14,351.67
1999-04-15,342.04
1999-04-16,331.1
1999-04-19,339.39
1999-04-20,331.76
1999-04-21,328.11
1999-04-22,326.45
1999-04-23,326.45
1999-04-26,329.77
1999-04-27,326.12
1999-04-28,331.43
1999-04-29,336.4
1999-04-30,344.7
1999-05-03,344.7
1999-05-04,347.35
1999-05-05,335.08
1999-05-06,333.42
1999-05-07,330.43
1999-05-10,334.08
1999-05-11,345.03
1999-05-12,336.07
1999-05-13,335.74
1999-05-14,334.08
1999-05-17,334.75
1999-05-18,333.75
1999-05-19,334.75
1999-05-20,334.75
1999-05-21,331.76
1999-05-24,334.41
1999-05-25,334.08
1999-05-26,343.04
1999-05-27,336.74
1999-05-28,332.42
1999-05-31,332.42
1999-06-01,340.39
1999-06-02,345.69
1999-06-03,370.24
1999-06-04,371.9
1999-06-07,371.24
1999-06-08,377.21
1999-06-09,372.57
1999-06-10,372.9
1999-06-11,383.85
1999-06-14,370.91
1999-06-15,376.22
1999-06-16,381.86
1999-06-17,381.86
1999-06-18,380.2
1999-06-21,389.15
1999-06-22,385.17
1999-06-23,370.91
1999-06-24,366.93
1999-06-25,368.92
1999-06-28,362.61
1999-06-29,362.95
1999-06-30,360.29
1999-07-01,366.93
1999-07-02,374.56
1999-07-05,396.45
1999-07-06,406.07
1999-07-07,405.74
1999-07-08,401.76
1999-07-09,389.82
1999-07-12,394.46
1999-07-13,387.83
1999-07-14,392.14
1999-07-15,399.44
1999-07-16,391.48
1999-07-19,395.13
1999-07-20,385.17
1999-07-21,383.18
1999-07-22,379.53
1999-07-23,370.91
1999-07-26,361.62
1999-07-27,361.95
1999-07-28,357.31
1999-07-29,340.39
1999-07-30,341.71
1999-08-02,344.03
1999-08-03,337.73
1999-08-04,345.03
1999-08-05,332.42
1999-08-06,332.42
1999-08-09,342.71
1999-08-10,333.09
1999-08-11,338.39
1999-08-12,356.31
1999-08-13,356.64
1999-08-16,345.36
1999-08-17,347.35
1999-08-18,339.06
1999-08-19,339.72
1999-08-20,353.99
1999-08-23,355.31
1999-08-24,352.0
1999-08-25,351.67
1999-08-26,352.0
1999-08-27,345.69
1999-08-30,345.69
1999-08-31,341.05
1999-09-01,347.35
1999-09-02,338.39
1999-09-03,358.63
1999-09-06,351.0
1999-09-07,345.03
1999-09-08,338.39
1999-09-09,336.74
1999-09-10,328.11
1999-09-13,317.49
1999-09-14,323.13
1999-09-15,328.44
1999-09-16,310.53
1999-09-17,311.19
1999-09-20,311.19
1999-09-21,300.91
1999-09-22,291.95
1999-09-23,291.95
1999-09-24,295.93
1999-09-27,313.51
1999-09-28,318.16
1999-09-29,330.43
1999-09-30,344.37
1999-10-01,333.75
1999-10-04,355.98
1999-10-05,358.3
1999-10-06,362.95
1999-10-07,366.59
1999-10-08,368.25
1999-10-11,362.95
1999-10-12,358.63
1999-10-13,343.04
