Date,Price
2000-01-03,7.7
2000-01-04,7.36
2000-01-05,6.81
2000-01-06,7.07
2000-01-07,7.25
2000-01-10,7.52
2000-01-11,8.03
2000-01-12,8.03
2000-01-13,8.71
2000-01-14,9.15
2000-01-17,9.48
2000-01-18,9.31
2000-01-19,9.04
2000-01-20,9.05
2000-01-21,9.02
2000-01-24,8.91
2000-01-25,8.73
2000-01-26,9.48
2000-01-27,9.47
2000-01-28,9.74
2000-01-31,9.37
2000-02-01,9.79
2000-02-02,10.04
2000-02-03,10.6
2000-02-04,10.61
2000-02-07,10.75
2000-02-08,10.74
2000-02-09,11.38
2000-02-10,11.36
2000-02-11,11.5
2000-02-14,12.16
2000-02-15,11.71
2000-02-16,11.76
2000-02-17,12.73
2000-02-18,12.66
2000-02-21,11.63
2000-02-22,11.61
2000-02-23,11.67
2000-02-24,12.53
2000-02-25,13.44
2000-02-28,12.91
2000-02-29,13.05
2000-03-01,14.14
2000-03-02,14.87
2000-03-03,14.67
2000-03-06,16.18
2000-03-07,16.29
2000-03-08,16.68
2000-03-09,16.73
2000-03-10,16.77
2000-03-13,16.77
2000-03-14,15.61
2000-03-15,14.5
2000-03-16,13.83
2000-03-17,14.45
2000-03-20,14.28
2000-03-21,13.54
2000-03-22,14.28
2000-03-23,14.5
2000-03-24,15.82
2000-03-27,16.76
2000-03-28,17.29
2000-03-29,16.74
2000-03-30,15.47
2000-03-31,15.28
2000-04-03,14.5
2000-04-04,15.62
2000-04-05,13.39
2000-04-06,14.52
2000-04-07,14.72
2000-04-10,15.12
2000-04-11,15.34
2000-04-12,14.95
2000-04-13,14.68
2000-04-14,14.04
2000-04-17,14.11
2000-04-18,14.27
2000-04-19,14.33
2000-04-20,14.46
2000-04-21,14.46
2000-04-24,14.46
2000-04-25,14.17
2000-04-26,14.5
2000-04-27,15.06
2000-04-28,15.26
2000-05-01,15.26
2000-05-02,15.26
2000-05-03,15.0
2000-05-04,14.95
2000-05-05,14.95
2000-05-08,14.95
2000-05-09,14.95
2000-05-10,14.51
2000-05-11,14.95
2000-05-12,14.98
2000-05-15,14.98
2000-05-16,15.46
2000-05-17,15.64
2000-05-18,15.62
2000-05-19,14.84
2000-05-22,12.84
2000-05-23,12.27
2000-05-24,12.27
2000-05-25,13.26
2000-05-26,12.94
2000-05-29,13.24
2000-05-30,13.74
2000-05-31,14.04
2000-06-01,14.5
2000-06-02,15.39
2000-06-05,15.82
2000-06-06,15.06
2000-06-07,14.75
2000-06-08,15.41
2000-06-09,15.86
2000-06-12,15.86
2000-06-13,15.38
2000-06-14,15.34
2000-06-15,15.2
2000-06-16,15.18
2000-06-19,15.18
2000-06-20,15.02
2000-06-21,14.61
2000-06-22,14.72
2000-06-23,14.56
2000-06-26,14.61
2000-06-27,14.0
2000-06-28,14.17
2000-06-29,12.76
2000-06-30,13.7
2000-07-03,14.27
2000-07-04,14.0
2000-07-05,13.8
2000-07-06,14.13
2000-07-07,14.13
2000-07-10,11.08
2000-07-11,11.34
2000-07-12,11.73
2000-07-13,11.78
2000-07-14,11.78
2000-07-17,11.78
2000-07-18,11.85
2000-07-19,11.85
2000-07-20,11.47
2000-07-21,11.21
2000-07-24,11.21
2000-07-25,11.41
2000-07-26,11.49
2000-07-27,11.49
2000-07-28,10.31
2000-07-31,10.04
2000-08-01,10.05
2000-08-02,9.34
