Date,Price
2000-01-03,26.31
2000-01-04,24.67
2000-01-05,23.63
2000-01-06,24.54
2000-01-07,25.85
2000-01-10,25.29
2000-01-11,25.62
2000-01-12,25.07
2000-01-13,24.9
2000-01-14,25.98
2000-01-17,25.56
2000-01-18,24.21
2000-01-19,24.28
2000-01-20,24.22
2000-01-21,24.05
2000-01-24,23.69
2000-01-25,22.81
2000-01-26,24.21
2000-01-27,24.87
2000-01-28,25.2
2000-01-31,25.2
2000-02-01,25.39
2000-02-02,26.05
2000-02-03,25.85
2000-02-04,25.52
2000-02-07,25.52
2000-02-08,25.68
2000-02-09,25.26
2000-02-10,25.85
2000-02-11,25.52
2000-02-14,25.85
2000-02-15,26.01
2000-02-16,26.83
2000-02-17,28.14
2000-02-18,28.08
2000-02-21,27.09
2000-02-22,26.77
2000-02-23,26.83
2000-02-24,26.64
2000-02-25,26.51
2000-02-28,26.28
2000-02-29,26.17
2000-03-01,26.51
2000-03-02,26.83
2000-03-03,27.42
2000-03-06,27.23
2000-03-07,27.23
2000-03-08,26.64
2000-03-09,26.18
2000-03-10,25.98
2000-03-13,25.98
2000-03-14,25.98
2000-03-15,25.85
2000-03-16,27.49
2000-03-17,26.01
2000-03-20,25.59
2000-03-21,26.44
2000-03-22,26.83
2000-03-23,26.17
2000-03-24,25.69
2000-03-27,25.65
2000-03-28,25.33
2000-03-29,25.63
2000-03-30,25.23
2000-03-31,26.08
2000-04-03,25.95
2000-04-04,26.34
2000-04-05,26.41
2000-04-06,26.18
2000-04-07,26.26
2000-04-10,27.29
2000-04-11,25.77
2000-04-12,27.49
2000-04-13,28.11
2000-04-14,27.42
2000-04-17,27.29
2000-04-18,26.52
2000-04-19,28.14
2000-04-20,29.32
2000-04-21,29.32
2000-04-24,29.32
2000-04-25,28.8
2000-04-26,26.9
2000-04-27,26.64
2000-04-28,26.87
2000-05-01,26.87
2000-05-02,27.64
2000-05-03,27.81
2000-05-04,28.15
2000-05-05,28.11
2000-05-08,28.33
2000-05-09,28.33
2000-05-10,28.73
2000-05-11,29.5
2000-05-12,28.47
2000-05-15,28.8
2000-05-16,28.99
2000-05-17,28.8
2000-05-18,29.32
2000-05-19,28.47
2000-05-22,29.61
2000-05-23,29.45
2000-05-24,30.6
2000-05-25,29.45
2000-05-26,29.68
2000-05-29,30.23
2000-05-30,30.03
2000-05-31,30.6
2000-06-01,29.93
2000-06-02,29.74
2000-06-05,29.12
2000-06-06,28.8
2000-06-07,28.14
2000-06-08,27.86
2000-06-09,28.65
2000-06-12,28.65
2000-06-13,29.25
2000-06-14,29.45
2000-06-15,28.76
2000-06-16,29.83
2000-06-19,29.83
2000-06-20,30.96
2000-06-21,30.66
2000-06-22,30.43
2000-06-23,31.6
2000-06-26,31.74
2000-06-27,32.62
2000-06-28,34.03
2000-06-29,32.4
2000-06-30,32.66
2000-07-03,33.38
2000-07-04,32.85
2000-07-05,32.76
2000-07-06,31.61
2000-07-07,31.61
2000-07-10,32.92
2000-07-11,33.05
2000-07-12,32.85
2000-07-13,31.9
2000-07-14,31.9
2000-07-17,31.84
2000-07-18,32.85
2000-07-19,32.23
2000-07-20,34.46
2000-07-21,34.06
2000-07-24,34.06
2000-07-25,35.01
2000-07-26,35.6
2000-07-27,35.6
2000-07-28,37.43
2000-07-31,37.66
2000-08-01,38.32
2000-08-02,37.14
2000-08-03,35.8
2000-08-04,36.32
2000-08-07,37.63
2000-08-08,37.96
2000-08-09,37.96
2000-08-10,37.6
2000-08-11,36.98
2000-08-14,35.99
2000-08-15,35.99
2000-08-16,36.26
2000-08-17,35.7
2000-08-18,35.18
2000-08-21,35.93
2000-08-22,37.43
2000-08-23,36.58
2000-08-24,36.49
2000-08-25,38.42
2000-08-28,37.63
2000-08-29,37.96
2000-08-30,37.4
2000-08-31,35.93
2000-09-01,37.66
2000-09-04,37.01
2000-09-05,39.33
2000-09-06,38.19
2000-09-07,38.22
2000-09-08,36.81
2000-09-11,36.16
2000-09-12,37.37
2000-09-13,36.98
2000-09-14,37.89
2000-09-15,37.04
2000-09-18,36.52
2000-09-19,37.43
2000-09-20,35.99
2000-09-21,35.83
2000-09-22,37.63
2000-09-25,37.63
2000-09-26,37.96
2000-09-27,38.94
2000-09-28,39.27
2000-09-29,39.86
2000-10-02,40.18
2000-10-03,39.63
2000-10-04,40.84
2000-10-05,39.92
2000-10-06,40.05
2000-10-09,40.44
2000-10-10,39.95
2000-10-11,40.18
2000-10-12,38.94
2000-10-13,39.76
2000-10-16,39.56
2000-10-17,40.58
2000-10-18,39.79
2000-10-19,39.27
2000-10-20,38.45
2000-10-23,39.79
2000-10-24,40.12
2000-10-25,41.1
2000-10-26,41.07
2000-10-27,40.25
2000-10-30,40.9
2000-10-31,40.9
2000-11-01,40.31
2000-11-02,40.87
2000-11-03,41.23
2000-11-06,40.74
2000-11-07,40.9
2000-11-08,41.13
2000-11-09,42.54
2000-11-10,43.39
2000-11-13,43.1
2000-11-14,43.32
2000-11-15,44.83
2000-11-16,44.83
2000-11-17,44.54
2000-11-20,43.19
2000-11-21,43.19
2000-11-22,43.06
2000-11-23,44.37
2000-11-24,43.82
2000-11-27,43.06
2000-11-28,43.95
2000-11-29,44.4
2000-11-30,45.81
2000-12-01,43.72
2000-12-04,43.19
2000-12-05,44.24
2000-12-06,41.07
2000-12-07,41.56
2000-12-08,40.15
2000-12-11,41.69
2000-12-12,41.23
2000-12-13,40.44
2000-12-14,40.58
2000-12-15,40.48
2000-12-18,39.86
2000-12-19,40.64
2000-12-20,41.23
2000-12-21,42.74
2000-12-22,43.52
2000-12-27,44.24
2000-12-28,44.7
2000-12-29,46.47
2001-01-01,46.47
2001-01-02,45.29
2001-01-03,44.67
2001-01-04,42.21
2001-01-05,40.84
2001-01-08,40.51
2001-01-09,39.14
2001-01-10,39.14
2001-01-11,38.35
2001-01-12,36.68
2001-01-15,37.43
2001-01-16,37.57
2001-01-17,38.81
2001-01-18,38.68
2001-01-19,37.47
2001-01-22,39.1
2001-01-23,38.25
2001-01-25,39.59
2001-01-29,38.94
2001-01-30,39.92
2001-01-31,40.51
2001-02-01,39.27
2001-02-02,38.58
2001-02-05,39.92
2001-02-06,40.48
2001-02-07,40.58
2001-02-08,41.36
2001-02-09,41.23
2001-02-12,41.88
2001-02-13,42.28
2001-02-14,42.15
2001-02-15,41.43
2001-02-16,41.3
2001-02-19,41.79
2001-02-20,41.13
2001-02-21,41.56
2001-02-22,41.23
2001-02-23,39.3
2001-02-26,40.35
2001-02-27,39.59
2001-02-28,38.61
2001-03-01,37.63
2001-03-02,38.94
2001-03-05,39.59
2001-03-06,38.91
2001-03-07,39.53
2001-03-08,37.34
2001-03-09,36.88
2001-03-12,36.81
2001-03-13,36.65
2001-03-15,36.98
2001-03-16,34.95
2001-03-19,37.43
2001-03-20,39.27
2001-03-21,39.79
2001-03-22,37.7
2001-03-23,39.04
2001-03-26,38.12
2001-03-27,39.04
2001-03-28,38.94
2001-03-29,39.76
2001-03-30,41.36
2001-04-02,41.36
2001-04-03,40.25
2001-04-04,41.82
2001-04-05,42.41
2001-04-06,43.06
2001-04-09,42.64
2001-04-10,43.26
2001-04-11,42.8
2001-04-12,41.56
2001-04-13,41.56
2001-04-16,41.56
2001-04-17,41.56
2001-04-18,41.39
2001-04-19,40.44
2001-04-20,40.38
2001-04-23,40.18
2001-04-24,40.02
2001-04-25,40.58
