Date,Price
1990-01-01,104.84
1990-01-02,103.66
1990-01-03,105.23
1990-01-04,104.45
1990-01-05,103.66
1990-01-08,103.66
1990-01-09,104.84
1990-01-10,104.45
1990-01-11,104.45
1990-01-12,102.49
1990-01-15,101.32
1990-01-16,100.92
1990-01-17,103.66
1990-01-18,102.49
1990-01-19,102.49
1990-01-22,100.14
1990-01-23,99.75
1990-01-24,99.36
1990-01-25,101.32
1990-01-26,101.32
1990-01-29,101.32
1990-01-30,103.27
1990-01-31,103.66
1990-02-01,104.45
1990-02-02,103.66
1990-02-05,103.66
1990-02-06,101.71
1990-02-07,100.92
1990-02-08,103.27
1990-02-09,101.32
1990-02-12,100.53
1990-02-13,100.53
1990-02-14,101.32
1990-02-15,102.88
1990-02-16,104.45
1990-02-19,102.88
1990-02-20,102.49
1990-02-21,101.71
1990-02-22,101.71
1990-02-23,100.14
1990-02-26,102.1
1990-02-27,103.27
1990-02-28,103.66
1990-03-01,102.49
1990-03-02,103.27
1990-03-05,102.1
1990-03-06,100.14
1990-03-07,100.53
1990-03-08,102.1
1990-03-09,101.71
1990-03-12,100.53
1990-03-13,100.14
1990-03-14,100.53
1990-03-15,102.29
1990-03-16,103.66
1990-03-19,102.49
1990-03-20,101.32
1990-03-21,100.14
1990-03-22,100.92
1990-03-23,100.92
1990-03-26,101.32
1990-03-27,101.32
1990-03-28,100.53
1990-03-29,99.75
1990-03-30,100.14
1990-04-02,97.01
1990-04-03,97.4
1990-04-04,96.62
1990-04-05,97.8
1990-04-06,97.4
1990-04-09,98.58
1990-04-10,98.58
1990-04-11,99.36
1990-04-12,98.77
1990-04-13,98.77
1990-04-16,98.77
1990-04-17,97.8
1990-04-18,98.19
1990-04-19,98.58
1990-04-20,99.75
1990-04-23,98.97
1990-04-24,100.53
1990-04-25,100.14
1990-04-26,99.36
1990-04-27,98.97
1990-04-30,99.36
1990-05-01,99.36
1990-05-02,100.53
1990-05-03,99.75
1990-05-04,101.32
1990-05-07,101.32
1990-05-08,102.49
1990-05-09,101.71
1990-05-10,100.53
1990-05-11,99.36
1990-05-14,100.53
1990-05-15,101.71
1990-05-16,102.49
1990-05-17,107.18
1990-05-18,106.4
1990-05-21,107.57
1990-05-22,110.31
1990-05-23,110.31
1990-05-24,110.7
1990-05-25,110.7
1990-05-28,110.7
1990-05-29,111.49
1990-05-30,114.62
1990-05-31,114.22
1990-06-01,115.01
1990-06-04,113.44
1990-06-05,112.27
1990-06-06,112.27
1990-06-07,112.46
1990-06-08,111.1
1990-06-11,109.53
1990-06-12,111.49
1990-06-13,113.44
1990-06-14,112.66
1990-06-15,111.1
1990-06-18,109.53
1990-06-19,109.14
1990-06-20,109.53
1990-06-21,111.49
1990-06-22,113.44
1990-06-25,114.22
1990-06-26,114.22
1990-06-27,114.22
1990-06-28,113.83
1990-06-29,115.01
1990-07-02,115.01
1990-07-03,115.01
1990-07-04,114.62
1990-07-05,112.66
1990-07-06,112.66
1990-07-09,112.27
1990-07-10,111.1
1990-07-11,111.49
1990-07-12,113.83
1990-07-13,115.01
1990-07-16,116.96
1990-07-17,117.35
1990-07-18,118.14
1990-07-19,118.14
1990-07-20,118.53
1990-07-23,117.35
1990-07-24,118.53
1990-07-25,119.31
1990-07-26,118.92
1990-07-27,119.31
1990-07-30,118.53
1990-07-31,118.14
1990-08-01,116.96
1990-08-02,113.44
1990-08-03,111.1
1990-08-06,107.57
1990-08-07,109.92
1990-08-08,110.31
1990-08-09,113.05
1990-08-10,113.44
1990-08-13,113.83
1990-08-14,114.62
1990-08-15,115.4
1990-08-16,115.79
1990-08-17,113.83
1990-08-20,112.66
1990-08-21,110.31
1990-08-22,109.92
1990-08-23,111.49
1990-08-24,114.22
1990-08-27,114.22
1990-08-28,116.57
1990-08-29,116.57
1990-08-30,116.18
1990-08-31,116.96
1990-09-03,117.35
1990-09-04,116.57
1990-09-05,116.57
1990-09-06,114.22
1990-09-07,114.62
1990-09-10,116.57
1990-09-11,118.14
1990-09-12,118.92
1990-09-13,118.53
1990-09-14,118.14
1990-09-17,118.92
1990-09-18,119.31
1990-09-19,118.92
1990-09-20,115.79
1990-09-21,115.01
1990-09-24,115.01
1990-09-25,113.44
1990-09-26,114.22
1990-09-27,114.22
1990-09-28,113.05
1990-10-01,115.4
1990-10-02,118.53
1990-10-03,119.31
1990-10-04,118.92
1990-10-05,124.0
1990-10-08,124.79
1990-10-09,122.05
1990-10-10,121.66
1990-10-11,120.87
1990-10-12,120.09
1990-10-15,120.09
1990-10-16,119.31
1990-10-17,119.7
1990-10-18,120.09
1990-10-19,120.48
1990-10-22,120.87
1990-10-23,123.22
1990-10-24,122.83
1990-10-25,120.48
1990-10-26,119.7
1990-10-29,118.92
1990-10-30,119.7
1990-10-31,120.09
1990-11-01,119.31
1990-11-02,119.31
1990-11-05,120.48
1990-11-06,121.27
1990-11-07,118.33
1990-11-08,116.96
1990-11-09,115.79
1990-11-12,115.79
1990-11-13,116.18
1990-11-14,115.4
1990-11-15,116.57
1990-11-16,116.57
1990-11-19,115.79
1990-11-20,116.96
1990-11-21,116.96
1990-11-22,116.18
1990-11-23,116.18
1990-11-26,115.4
1990-11-27,114.22
1990-11-28,113.05
1990-11-29,114.22
1990-11-30,115.01
1990-12-03,115.79
1990-12-04,116.57
1990-12-05,116.96
1990-12-06,118.53
1990-12-07,117.94
1990-12-10,117.74
1990-12-11,116.57
1990-12-12,116.96
1990-12-13,117.74
1990-12-14,118.53
1990-12-17,119.31
1990-12-18,119.31
1990-12-19,120.87
1990-12-20,119.7
1990-12-21,120.09
1990-12-24,119.31
1990-12-25,119.31
1990-12-26,119.31
1990-12-27,120.09
1990-12-28,120.09
1990-12-31,120.09
1991-01-01,120.09
1991-01-02,119.31
1991-01-03,119.7
1991-01-04,120.87
1991-01-07,120.87
1991-01-08,120.09
1991-01-09,120.48
1991-01-10,120.09
1991-01-11,120.87
1991-01-14,120.09
1991-01-15,120.09
1991-01-16,119.31
1991-01-17,122.44
1991-01-18,122.83
1991-01-21,123.22
1991-01-22,123.22
1991-01-23,124.4
1991-01-24,125.96
1991-01-25,126.74
1991-01-28,128.7
1991-01-29,124.0
1991-01-30,127.92
1991-01-31,125.96
1991-02-01,125.18
1991-02-04,125.96
1991-02-05,126.74
1991-02-06,126.74
1991-02-07,131.05
1991-02-08,131.05
1991-02-11,134.17
1991-02-12,133.0
1991-02-13,131.05
1991-02-14,131.83
1991-02-15,130.26
1991-02-18,130.65
1991-02-19,128.7
1991-02-20,128.31
1991-02-21,130.65
1991-02-22,130.26
1991-02-25,130.65
1991-02-26,129.09
1991-02-27,127.53
1991-02-28,127.13
1991-03-01,128.31
1991-03-04,127.92
1991-03-05,129.09
1991-03-06,131.05
1991-03-07,129.87
1991-03-08,131.44
1991-03-11,134.17
1991-03-12,136.91
1991-03-13,136.13
1991-03-14,137.5
1991-03-15,136.13
1991-03-18,136.91
1991-03-19,135.74
1991-03-20,136.52
1991-03-21,138.09
1991-03-22,136.91
1991-03-25,135.74
1991-03-26,135.35
1991-03-27,135.74
1991-03-28,134.96
1991-03-29,134.96
1991-04-01,134.96
1991-04-02,136.91
1991-04-03,142.0
1991-04-04,146.3
1991-04-05,147.08
1991-04-08,149.43
1991-04-09,150.6
1991-04-10,151.0
1991-04-11,151.78
1991-04-12,152.95
1991-04-15,152.56
1991-04-16,148.26
1991-04-17,147.08
1991-04-18,146.3
1991-04-19,144.74
1991-04-22,142.0
1991-04-23,142.39
1991-04-24,140.82
1991-04-25,141.61
1991-04-26,141.22
1991-04-29,141.22
1991-04-30,142.78
1991-05-01,149.82
1991-05-02,152.56
1991-05-03,151.39
1991-05-06,151.39
1991-05-07,150.21
1991-05-08,151.39
1991-05-09,152.56
1991-05-10,153.34
1991-05-13,152.56
1991-05-14,152.56
1991-05-15,150.21
1991-05-16,147.47
1991-05-17,147.87
1991-05-20,146.3
1991-05-21,148.65
1991-05-22,146.69
1991-05-23,147.47
1991-05-24,145.91
1991-05-27,145.91
1991-05-28,145.91
1991-05-29,145.91
1991-05-30,145.52
1991-05-31,145.13
1991-06-03,146.3
1991-06-04,146.69
1991-06-05,145.91
1991-06-06,145.52
1991-06-07,144.35
1991-06-10,145.91
1991-06-11,145.52
1991-06-12,145.52
1991-06-13,146.3
1991-06-14,146.3
1991-06-17,143.56
1991-06-18,137.7
1991-06-19,135.35
1991-06-20,134.57
1991-06-21,135.35
1991-06-24,134.96
1991-06-25,135.35
1991-06-26,134.57
1991-06-27,136.52
1991-06-28,135.35
1991-07-01,136.91
1991-07-02,137.7
1991-07-03,136.91
1991-07-04,139.26
1991-07-05,141.64
1991-07-08,140.04
1991-07-09,142.84
1991-07-10,143.84
1991-07-11,144.04
1991-07-12,142.84
1991-07-15,145.24
1991-07-16,147.64
1991-07-17,150.45
1991-07-18,148.04
1991-07-19,148.85
1991-07-22,148.44
1991-07-23,147.64
1991-07-24,144.44
1991-07-25,144.84
1991-07-26,145.64
1991-07-29,146.04
1991-07-30,148.44
1991-07-31,150.05
1991-08-01,150.05
1991-08-02,152.05
1991-08-05,149.65
1991-08-06,148.85
1991-08-07,149.65
1991-08-08,149.25
1991-08-09,145.84
1991-08-12,146.04
1991-08-13,144.44
1991-08-14,144.84
1991-08-15,145.04
1991-08-16,146.44
1991-08-19,140.84
1991-08-20,140.44
1991-08-21,144.44
1991-08-22,144.44
1991-08-23,145.64
1991-08-26,145.64
1991-08-27,143.64
1991-08-28,144.04
1991-08-29,144.44
1991-08-30,145.64
1991-09-02,146.04
1991-09-03,146.84
1991-09-04,149.25
1991-09-05,149.65
1991-09-06,149.65
1991-09-09,148.85
1991-09-10,146.04
1991-09-11,145.64
1991-09-12,145.64
1991-09-13,146.04
1991-09-16,145.64
1991-09-17,142.04
1991-09-18,140.84
1991-09-19,141.64
1991-09-20,140.44
1991-09-23,142.04
1991-09-24,140.44
1991-09-25,140.84
1991-09-26,138.44
1991-09-27,138.84
1991-09-30,141.64
1991-10-01,144.44
1991-10-02,144.84
1991-10-03,145.64
1991-10-04,142.84
1991-10-07,140.04
1991-10-08,140.04
1991-10-09,139.24
1991-10-10,139.64
1991-10-11,139.24
1991-10-14,141.64
1991-10-15,142.04
1991-10-16,142.04
1991-10-17,142.44
1991-10-18,142.84
1991-10-21,142.44
1991-10-22,142.04
1991-10-23,141.64
1991-10-24,140.44
1991-10-25,136.84
1991-10-28,137.64
1991-10-29,132.44
1991-10-30,133.64
1991-10-31,134.04
1991-11-01,138.84
1991-11-04,139.64
1991-11-05,140.84
1991-11-06,138.84
1991-11-07,138.04
1991-11-08,140.84
1991-11-11,140.44
1991-11-12,141.24
1991-11-13,138.04
1991-11-14,139.64
1991-11-15,138.84
1991-11-18,134.04
1991-11-19,132.04
1991-11-20,132.04
1991-11-21,129.64
1991-11-22,128.44
1991-11-25,130.04
1991-11-26,134.04
1991-11-27,134.04
1991-11-28,134.04
1991-11-29,138.44
1991-12-02,137.24
1991-12-03,137.24
1991-12-04,138.04
1991-12-05,140.04
1991-12-06,140.84
1991-12-09,143.24
1991-12-10,141.24
1991-12-11,140.04
1991-12-12,143.24
1991-12-13,145.64
1991-12-16,145.24
1991-12-17,144.44
1991-12-18,140.84
1991-12-19,139.64
1991-12-20,140.84
1991-12-23,141.64
1991-12-24,144.04
1991-12-25,144.04
1991-12-26,144.04
1991-12-27,145.24
1991-12-30,146.04
1991-12-31,150.85
1992-01-01,150.85
1992-01-02,149.25
1992-01-03,143.64
1992-01-06,144.04
1992-01-07,142.04
1992-01-08,140.04
1992-01-09,138.44
1992-01-10,136.04
1992-01-13,139.04
1992-01-14,142.04
1992-01-15,144.44
1992-01-16,145.64
1992-01-17,146.44
1992-01-20,146.04
1992-01-21,147.24
1992-01-22,145.64
1992-01-23,142.44
1992-01-24,142.44
1992-01-27,145.64
1992-01-28,147.64
1992-01-29,149.65
1992-01-30,150.85
1992-01-31,152.85
1992-02-03,152.45
1992-02-04,150.05
1992-02-05,149.25
1992-02-06,148.44
1992-02-07,148.44
1992-02-10,149.65
1992-02-11,150.05
1992-02-12,150.05
1992-02-13,148.85
1992-02-14,148.85
1992-02-17,147.64
1992-02-18,148.04
1992-02-19,147.64
1992-02-20,150.05
1992-02-21,152.05
1992-02-24,156.05
1992-02-25,156.65
1992-02-26,158.85
1992-02-27,157.65
1992-02-28,156.85
1992-03-02,154.85
1992-03-03,157.65
1992-03-04,157.25
1992-03-05,156.05
1992-03-06,156.05
1992-03-09,159.25
1992-03-10,158.85
1992-03-11,157.65
1992-03-12,155.65
1992-03-13,152.05
1992-03-16,150.45
1992-03-17,151.25
1992-03-18,149.65
1992-03-19,151.65
1992-03-20,152.45
1992-03-23,152.45
1992-03-24,152.45
1992-03-25,152.45
1992-03-26,154.85
1992-03-27,156.05
1992-03-30,156.45
1992-03-31,156.85
1992-04-01,155.65
1992-04-02,153.25
1992-04-03,150.05
1992-04-06,152.05
1992-04-07,154.45
1992-04-08,156.45
1992-04-09,158.85
1992-04-10,164.45
1992-04-13,165.65
1992-04-14,165.25
1992-04-15,169.45
1992-04-16,169.65
1992-04-17,169.65
1992-04-20,169.65
1992-04-21,172.45
1992-04-22,174.85
1992-04-23,176.45
1992-04-24,179.25
1992-04-27,175.65
1992-04-28,173.25
1992-04-29,173.25
1992-04-30,171.65
1992-05-01,170.85
1992-05-04,170.85
1992-05-05,170.85
1992-05-06,170.85
1992-05-07,173.05
1992-05-08,174.85
1992-05-11,178.45
1992-05-12,175.65
1992-05-13,183.66
1992-05-14,184.46
1992-05-15,185.66
1992-05-18,188.86
1992-05-19,187.06
1992-05-20,186.06
1992-05-21,183.26
1992-05-22,183.66
1992-05-25,183.66
1992-05-26,182.46
1992-05-27,183.06
1992-05-28,186.06
1992-05-29,189.66
1992-06-01,188.46
1992-06-02,190.06
1992-06-03,189.26
1992-06-04,188.46
1992-06-05,187.26
1992-06-08,188.46
1992-06-09,188.06
1992-06-10,186.46
1992-06-11,182.86
1992-06-12,183.26
1992-06-15,181.65
1992-06-16,183.66
1992-06-17,186.46
1992-06-18,184.86
1992-06-19,187.26
1992-06-22,184.86
1992-06-23,187.66
1992-06-24,183.66
1992-06-25,184.86
1992-06-26,186.06
1992-06-29,188.06
1992-06-30,189.66
1992-07-01,186.46
1992-07-02,183.66
1992-07-03,183.66
1992-07-06,182.86
1992-07-07,180.85
1992-07-08,179.65
1992-07-09,181.65
1992-07-10,178.85
1992-07-13,180.45
1992-07-14,182.46
1992-07-15,183.66
1992-07-16,182.06
1992-07-17,179.65
1992-07-20,177.65
1992-07-21,176.85
1992-07-22,174.85
1992-07-23,179.25
1992-07-24,177.65
1992-07-27,175.25
1992-07-28,176.45
1992-07-29,180.85
1992-07-30,182.26
1992-07-31,182.46
1992-08-03,183.66
1992-08-04,183.66
1992-08-05,181.65
1992-08-06,181.26
1992-08-07,178.05
1992-08-10,177.25
1992-08-11,174.45
1992-08-12,172.85
1992-08-13,174.85
1992-08-14,178.85
1992-08-17,179.25
1992-08-18,176.05
1992-08-19,175.25
1992-08-20,177.65
1992-08-21,179.65
1992-08-24,178.85
1992-08-25,179.25
1992-08-26,178.05
1992-08-27,178.85
1992-08-28,180.05
1992-08-31,180.05
1992-09-01,179.45
1992-09-02,179.65
1992-09-03,184.86
1992-09-04,183.26
1992-09-07,182.86
1992-09-08,181.65
1992-09-09,178.45
1992-09-10,172.05
1992-09-11,172.85
1992-09-14,174.45
1992-09-15,170.45
1992-09-16,166.05
1992-09-17,164.45
1992-09-18,172.25
1992-09-21,174.85
1992-09-22,182.46
1992-09-23,184.06
1992-09-24,183.26
1992-09-25,184.86
1992-09-28,185.66
1992-09-29,188.46
1992-09-30,187.66
1992-10-01,193.26
1992-10-02,192.06
1992-10-05,183.66
1992-10-06,182.86
1992-10-07,182.86
1992-10-08,185.26
1992-10-09,187.26
1992-10-12,188.06
1992-10-13,194.86
1992-10-14,194.86
1992-10-15,192.86
1992-10-16,191.26
1992-10-19,190.46
1992-10-20,195.66
1992-10-21,196.06
1992-10-22,197.66
1992-10-23,198.06
1992-10-26,195.66
1992-10-27,197.66
1992-10-28,196.46
1992-10-29,198.86
1992-10-30,200.66
1992-11-02,204.06
1992-11-03,202.06
1992-11-04,194.86
1992-11-05,196.46
1992-11-06,195.66
1992-11-09,196.06
1992-11-10,196.86
1992-11-11,191.66
1992-11-12,194.06
1992-11-13,190.86
1992-11-16,189.29
1992-11-17,192.31
1992-11-18,196.14
1992-11-19,197.75
1992-11-20,198.15
1992-11-23,199.36
1992-11-24,200.57
