Date,Price
2000-01-03,3.12
2000-01-04,3.06
2000-01-05,2.99
2000-01-06,3.02
2000-01-07,3.09
2000-01-10,3.06
2000-01-11,3.01
2000-01-12,3.07
2000-01-13,3.06
2000-01-14,3.04
2000-01-17,3.0
2000-01-18,2.92
2000-01-19,2.87
2000-01-20,2.86
2000-01-21,2.76
2000-01-24,2.88
2000-01-25,2.81
2000-01-26,2.77
2000-01-27,2.9
2000-01-28,2.88
2000-01-31,3.03
2000-02-01,3.08
2000-02-02,3.05
2000-02-03,2.96
2000-02-04,2.94
2000-02-07,2.93
2000-02-08,3.18
2000-02-09,3.14
2000-02-10,3.17
2000-02-11,3.12
2000-02-14,3.11
2000-02-15,3.0
2000-02-16,3.03
2000-02-17,3.0
2000-02-18,2.99
2000-02-21,2.92
2000-02-22,2.96
2000-02-23,3.0
2000-02-24,2.83
2000-02-25,2.82
2000-02-28,2.78
2000-02-29,2.8
2000-03-01,2.81
2000-03-02,2.74
2000-03-03,2.74
2000-03-06,2.74
2000-03-07,2.75
2000-03-08,2.7
2000-03-09,2.68
2000-03-10,2.65
2000-03-13,2.82
2000-03-14,2.87
2000-03-15,2.84
2000-03-16,2.99
2000-03-17,2.95
2000-03-20,3.05
2000-03-21,3.02
2000-03-22,3.03
2000-03-23,2.99
2000-03-24,3.02
2000-03-27,3.02
2000-03-28,3.01
2000-03-29,2.99
2000-03-30,3.01
2000-03-31,2.98
2000-04-03,3.01
2000-04-04,2.99
2000-04-05,3.01
2000-04-06,3.0
2000-04-07,2.99
2000-04-10,3.03
2000-04-11,2.96
2000-04-12,3.08
2000-04-13,2.99
2000-04-14,2.98
2000-04-17,2.89
2000-04-18,2.88
2000-04-19,3.09
2000-04-20,3.0
2000-04-21,3.0
2000-04-24,3.0
2000-04-25,3.03
2000-04-26,3.05
2000-04-27,3.03
2000-04-28,3.18
2000-05-01,3.18
2000-05-02,3.27
2000-05-03,3.35
2000-05-04,3.45
2000-05-05,3.42
2000-05-08,3.35
2000-05-09,3.35
2000-05-10,3.54
2000-05-11,3.46
2000-05-12,3.43
2000-05-15,3.43
2000-05-16,3.46
2000-05-17,3.44
2000-05-18,3.57
2000-05-19,3.47
2000-05-22,3.53
2000-05-23,3.58
2000-05-24,3.49
2000-05-25,3.53
2000-05-26,3.46
2000-05-29,3.35
2000-05-30,3.46
2000-05-31,3.44
2000-06-01,3.45
2000-06-02,3.51
2000-06-05,3.47
2000-06-06,3.31
2000-06-07,3.4
2000-06-08,3.42
2000-06-09,3.45
2000-06-12,3.46
2000-06-13,3.3
2000-06-14,3.29
2000-06-15,3.39
2000-06-16,3.29
2000-06-19,3.25
2000-06-20,3.3
2000-06-21,3.25
2000-06-22,3.25
2000-06-23,3.29
2000-06-26,3.44
2000-06-27,3.44
2000-06-28,3.46
2000-06-29,3.4
2000-06-30,3.45
2000-07-03,3.44
2000-07-04,3.49
2000-07-05,3.48
2000-07-06,3.48
2000-07-07,3.48
2000-07-10,3.52
2000-07-11,3.45
2000-07-12,3.42
2000-07-13,3.42
2000-07-14,3.44
2000-07-17,3.46
2000-07-18,3.46
2000-07-19,3.43
2000-07-20,3.4
2000-07-21,3.4
2000-07-24,3.41
2000-07-25,3.45
2000-07-26,3.46
2000-07-27,3.48
2000-07-28,3.48
2000-07-31,3.55
2000-08-01,3.51
2000-08-02,3.54
2000-08-03,3.57
2000-08-04,3.65
2000-08-07,3.74
2000-08-08,3.79
2000-08-09,3.83
2000-08-10,3.79
2000-08-11,3.8
2000-08-14,3.82
2000-08-15,3.79
2000-08-16,3.78
2000-08-17,3.78
2000-08-18,3.72
2000-08-21,3.7
2000-08-22,3.68
2000-08-23,3.74
2000-08-24,3.74
2000-08-25,3.71
2000-08-28,3.76
2000-08-29,3.72
2000-08-30,3.75
2000-08-31,3.71
2000-09-01,3.72
