Date,Price
1990-01-02,2.13
1990-01-03,2.14
1990-01-04,2.16
1990-01-05,2.14
1990-01-08,2.14
1990-01-09,2.16
1990-01-10,2.22
1990-01-11,2.22
1990-01-12,2.18
1990-01-15,2.1
1990-01-16,2.11
1990-01-17,2.13
1990-01-18,2.07
1990-01-19,2.06
1990-01-22,2.04
1990-01-23,2.02
1990-01-24,1.98
1990-01-25,2.06
1990-01-26,2.06
1990-01-29,2.01
1990-01-30,1.98
1990-01-31,2.02
1990-02-01,2.04
1990-02-02,2.06
1990-02-05,2.02
1990-02-06,2.04
1990-02-07,2.01
1990-02-08,2.0
1990-02-09,1.98
1990-02-12,2.04
1990-02-13,2.04
1990-02-14,2.07
1990-02-15,2.06
1990-02-16,2.09
1990-02-20,2.06
1990-02-21,2.04
1990-02-22,2.13
1990-02-23,2.13
1990-02-26,2.07
1990-02-27,2.11
1990-02-28,2.07
1990-03-01,2.11
1990-03-02,2.16
1990-03-05,2.14
1990-03-06,2.13
1990-03-07,2.16
1990-03-08,2.24
1990-03-09,2.19
1990-03-12,2.2
1990-03-13,2.18
1990-03-14,2.18
1990-03-15,2.14
1990-03-16,2.09
1990-03-19,2.13
1990-03-20,2.16
1990-03-21,2.15
1990-03-22,2.14
1990-03-23,2.14
1990-03-26,2.14
1990-03-27,2.14
1990-03-28,2.13
1990-03-29,2.11
1990-03-30,2.11
1990-04-02,2.06
1990-04-03,2.1
1990-04-04,2.09
1990-04-05,2.11
1990-04-06,2.1
1990-04-09,2.1
1990-04-10,2.14
1990-04-11,2.2
1990-04-12,2.18
1990-04-16,2.2
1990-04-17,2.22
1990-04-18,2.22
1990-04-19,2.22
1990-04-20,2.2
1990-04-23,2.14
1990-04-24,2.18
1990-04-25,2.19
1990-04-26,2.24
1990-04-27,2.23
1990-04-30,2.22
1990-05-01,2.23
1990-05-02,2.24
1990-05-03,2.29
1990-05-04,2.28
1990-05-07,2.29
1990-05-08,2.34
1990-05-09,2.37
1990-05-10,2.38
1990-05-11,2.42
1990-05-14,2.43
1990-05-15,2.5
1990-05-16,2.5
1990-05-17,2.47
1990-05-18,2.47
1990-05-21,2.54
1990-05-22,2.51
1990-05-23,2.51
1990-05-24,2.51
1990-05-25,2.45
1990-05-29,2.45
1990-05-30,2.51
1990-05-31,2.51
1990-06-01,2.6
1990-06-04,2.76
1990-06-05,2.77
1990-06-06,2.77
1990-06-07,2.73
1990-06-08,2.68
1990-06-11,2.69
1990-06-12,2.81
1990-06-13,2.83
1990-06-14,2.92
1990-06-15,3.04
1990-06-18,3.17
1990-06-19,3.08
1990-06-20,2.99
1990-06-21,3.04
1990-06-22,2.99
1990-06-25,3.09
1990-06-26,3.09
1990-06-27,3.03
1990-06-28,2.99
1990-06-29,2.99
1990-07-02,2.92
1990-07-03,2.86
1990-07-05,2.86
1990-07-06,2.76
1990-07-09,2.81
1990-07-10,2.79
1990-07-11,2.79
1990-07-12,2.79
1990-07-13,2.79
1990-07-16,2.89
1990-07-17,2.87
1990-07-18,2.85
1990-07-19,2.85
1990-07-20,2.86
1990-07-23,2.76
1990-07-24,2.74
1990-07-25,2.81
1990-07-26,2.85
1990-07-27,2.83
1990-07-30,2.78
1990-07-31,2.78
1990-08-01,2.83
1990-08-02,2.67
1990-08-03,2.58
1990-08-06,2.42
1990-08-07,2.47
1990-08-08,2.51
1990-08-09,2.5
1990-08-10,2.46
1990-08-13,2.5
1990-08-14,2.5
1990-08-15,2.5
1990-08-16,2.47
1990-08-17,2.36
1990-08-20,2.31
1990-08-21,2.25
1990-08-22,2.19
1990-08-23,2.01
1990-08-24,1.98
1990-08-27,2.09
1990-08-28,2.28
1990-08-29,2.29
1990-08-30,2.24
1990-08-31,2.24
1990-09-04,2.24
1990-09-05,2.27
1990-09-06,2.27
1990-09-07,2.28
1990-09-10,2.24
1990-09-11,2.24
1990-09-12,2.27
1990-09-13,2.19
1990-09-14,2.16
1990-09-17,2.14
1990-09-18,2.14
1990-09-19,2.14
1990-09-20,2.04
1990-09-21,2.01
1990-09-24,1.96
1990-09-25,1.98
1990-09-26,2.01
1990-09-27,1.98
1990-09-28,1.94
1990-10-01,2.01
1990-10-02,2.07
1990-10-03,2.05
1990-10-04,2.04
1990-10-05,2.02
1990-10-08,2.06
1990-10-09,2.07
1990-10-10,2.06
1990-10-11,2.01
1990-10-12,2.0
1990-10-15,2.04
1990-10-16,1.97
1990-10-17,2.05
1990-10-18,2.11
1990-10-19,2.36
1990-10-22,2.34
1990-10-23,2.27
1990-10-24,2.22
1990-10-25,2.19
1990-10-26,2.16
1990-10-29,2.11
1990-10-30,2.13
1990-10-31,2.16
1990-11-01,2.19
1990-11-02,2.29
1990-11-05,2.34
1990-11-06,2.4
1990-11-07,2.32
1990-11-08,2.28
1990-11-09,2.27
1990-11-12,2.28
1990-11-13,2.34
1990-11-14,2.32
1990-11-15,2.25
1990-11-16,2.27
1990-11-19,2.27
1990-11-20,2.25
1990-11-21,2.28
1990-11-23,2.29
1990-11-26,2.29
1990-11-27,2.25
1990-11-28,2.27
1990-11-29,2.25
1990-11-30,2.32
1990-12-03,2.42
1990-12-04,2.4
1990-12-05,2.6
1990-12-06,2.65
1990-12-07,2.63
1990-12-10,2.63
1990-12-11,2.55
1990-12-12,2.47
1990-12-13,2.59
1990-12-14,2.52
