Date,Price
1994-10-31,15.36
1994-11-01,15.11
1994-11-02,15.36
1994-11-03,15.28
1994-11-04,14.95
1994-11-07,15.03
1994-11-08,14.87
1994-11-09,14.95
1994-11-10,14.95
1994-11-11,14.95
1994-11-14,14.95
1994-11-15,14.87
1994-11-16,14.95
1994-11-17,15.44
1994-11-18,15.28
1994-11-21,15.36
1994-11-22,15.19
1994-11-23,15.28
1994-11-25,15.19
1994-11-28,15.19
1994-11-29,15.11
1994-11-30,15.11
1994-12-01,14.71
1994-12-02,14.71
1994-12-05,14.63
1994-12-06,14.31
1994-12-07,14.31
1994-12-08,14.39
1994-12-09,14.22
1994-12-12,14.31
1994-12-13,14.63
1994-12-14,15.44
1994-12-15,16.0
1994-12-16,15.76
1994-12-19,15.52
1994-12-20,15.76
1994-12-21,16.08
1994-12-22,16.08
1994-12-23,16.16
1994-12-27,16.0
1994-12-28,16.0
1994-12-29,15.36
1994-12-30,15.52
1995-01-03,15.36
1995-01-04,15.68
1995-01-05,15.6
1995-01-06,15.68
1995-01-09,15.6
1995-01-10,15.19
1995-01-11,15.19
1995-01-12,15.11
1995-01-13,15.19
1995-01-16,15.19
1995-01-17,15.36
1995-01-18,15.36
1995-01-19,15.19
1995-01-20,14.71
1995-01-23,15.03
1995-01-24,15.03
1995-01-25,15.28
1995-01-26,15.11
1995-01-27,14.79
1995-01-30,14.79
1995-01-31,14.95
1995-02-01,14.79
1995-02-02,14.87
1995-02-03,14.79
1995-02-06,14.95
1995-02-07,14.87
1995-02-08,14.39
1995-02-09,14.71
1995-02-10,15.11
1995-02-13,15.19
1995-02-14,15.36
1995-02-15,15.11
1995-02-16,14.87
1995-02-17,15.03
1995-02-21,14.87
1995-02-22,14.79
1995-02-23,14.71
1995-02-24,14.79
1995-02-27,15.03
1995-02-28,15.19
1995-03-01,14.79
1995-03-02,14.95
1995-03-03,14.95
1995-03-06,15.03
1995-03-07,14.71
1995-03-08,14.71
1995-03-09,14.95
1995-03-10,14.95
1995-03-13,15.03
1995-03-14,14.79
1995-03-15,14.71
1995-03-16,14.31
1995-03-17,14.06
1995-03-20,13.82
1995-03-21,13.58
1995-03-22,13.42
1995-03-23,13.42
1995-03-24,13.66
1995-03-27,13.74
1995-03-28,13.58
1995-03-29,13.98
1995-03-30,14.47
1995-03-31,14.31
1995-04-03,14.87
1995-04-04,14.31
1995-04-05,14.22
1995-04-06,14.06
1995-04-07,14.14
1995-04-10,14.39
1995-04-11,13.9
1995-04-12,14.06
1995-04-13,13.9
1995-04-17,13.98
1995-04-18,13.98
1995-04-19,13.74
1995-04-20,13.58
1995-04-21,13.82
1995-04-24,14.06
1995-04-25,13.9
1995-04-26,13.82
1995-04-27,13.9
1995-04-28,13.9
1995-05-01,13.9
1995-05-02,13.9
1995-05-03,13.82
1995-05-04,13.9
1995-05-05,14.14
1995-05-08,13.98
1995-05-09,13.98
1995-05-10,13.82
1995-05-11,13.74
1995-05-12,13.9
1995-05-15,13.9
1995-05-16,13.98
1995-05-17,14.06
1995-05-18,14.39
1995-05-19,14.22
1995-05-22,13.98
1995-05-23,14.47
1995-05-24,14.31
1995-05-25,14.31
1995-05-26,14.22
1995-05-30,14.55
1995-05-31,14.55
1995-06-01,14.63
1995-06-02,15.19
1995-06-05,15.28
1995-06-06,15.28
1995-06-07,15.19
1995-06-08,15.03
