Date,Price
2006-07-10,166.66
2006-07-11,164.95
2006-07-12,171.13
2006-07-13,165.63
2006-07-14,164.26
2006-07-17,165.12
2006-07-18,165.29
2006-07-19,167.18
2006-07-20,172.33
2006-07-21,171.13
2006-07-24,173.19
2006-07-25,171.82
2006-07-26,169.76
2006-07-27,170.44
2006-07-28,171.13
2006-07-31,171.82
2006-08-01,173.54
2006-08-02,177.32
2006-08-03,178.0
2006-08-04,177.83
2006-08-07,173.88
2006-08-08,172.51
2006-08-09,173.19
2006-08-10,172.68
2006-08-11,171.65
2006-08-14,170.44
2006-08-15,171.82
2006-08-16,170.44
2006-08-17,172.16
2006-08-18,171.13
2006-08-21,171.47
2006-08-22,175.08
2006-08-23,176.29
2006-08-24,177.66
2006-08-25,177.32
2006-08-28,177.32
2006-08-29,177.32
2006-08-30,179.03
2006-08-31,180.75
2006-09-01,183.16
2006-09-04,183.5
2006-09-05,184.53
2006-09-06,183.85
2006-09-07,182.81
2006-09-08,183.85
2006-09-11,188.14
2006-09-12,186.25
2006-09-13,186.25
2006-09-14,185.56
2006-09-15,185.56
2006-09-18,183.5
2006-09-19,182.3
2006-09-20,183.85
2006-09-21,184.19
2006-09-22,184.19
2006-09-25,184.88
2006-09-26,186.42
2006-09-27,184.19
2006-09-28,186.94
2006-09-29,186.08
2006-10-02,185.22
2006-10-03,184.19
2006-10-04,182.99
2006-10-05,183.67
2006-10-06,183.16
2006-10-09,182.81
2006-10-10,183.5
2006-10-11,185.39
2006-10-12,191.41
2006-10-13,193.47
2006-10-16,196.73
2006-10-17,194.5
2006-10-18,198.45
2006-10-19,198.97
2006-10-20,196.56
2006-10-23,195.36
2006-10-24,195.19
2006-10-25,195.01
2006-10-26,195.19
2006-10-27,194.5
2006-10-30,197.59
2006-10-31,195.53
2006-11-01,195.7
2006-11-02,196.9
2006-11-03,193.98
2006-11-06,197.76
2006-11-07,201.37
2006-11-08,200.86
2006-11-09,199.82
2006-11-10,196.9
2006-11-13,197.59
2006-11-14,199.14
2006-11-15,200.34
2006-11-16,199.48
2006-11-17,196.9
2006-11-20,197.93
2006-11-21,197.93
2006-11-22,199.65
2006-11-23,199.31
2006-11-24,197.59
2006-11-27,195.53
2006-11-28,194.5
2006-11-29,194.67
2006-11-30,195.53
2006-12-01,193.81
2006-12-04,195.87
2006-12-05,195.87
2006-12-06,194.84
2006-12-07,196.04
2006-12-08,196.56
2006-12-11,197.25
2006-12-12,197.42
2006-12-13,198.28
2006-12-14,198.97
2006-12-15,203.78
2006-12-18,208.24
2006-12-19,205.84
2006-12-20,204.46
2006-12-21,202.4
2006-12-22,199.48
2006-12-25,199.48
2006-12-26,199.48
2006-12-27,206.35
2006-12-28,206.18
2006-12-29,203.26
2007-01-01,203.26
2007-01-02,210.31
2007-01-03,208.24
2007-01-04,207.56
2007-01-05,203.09
2007-01-08,203.6
2007-01-09,204.46
2007-01-10,203.78
2007-01-11,204.64
2007-01-12,202.75
2007-01-15,203.43
2007-01-16,201.03
2007-01-17,200.17
2007-01-18,203.6
2007-01-19,203.43
2007-01-22,203.78
2007-01-23,201.54
2007-01-24,206.53
2007-01-25,207.9
2007-01-26,205.49
2007-01-29,206.18
2007-01-30,204.46
2007-01-31,202.06
2007-02-01,206.18
2007-02-02,212.37
2007-02-05,209.45
2007-02-06,209.27
