Date,Price
1990-01-01,62.14
1990-01-02,62.84
1990-01-03,63.78
1990-01-04,64.49
1990-01-05,64.49
1990-01-08,64.25
1990-01-09,64.49
1990-01-10,64.02
1990-01-11,63.08
1990-01-12,62.37
1990-01-15,61.66
1990-01-16,61.9
1990-01-17,62.14
1990-01-18,61.19
1990-01-19,60.25
1990-01-22,59.55
1990-01-23,58.84
1990-01-24,58.13
1990-01-25,58.13
1990-01-26,57.66
1990-01-29,58.13
1990-01-30,57.66
1990-01-31,56.72
1990-02-01,57.19
1990-02-02,57.43
1990-02-05,56.72
1990-02-06,56.25
1990-02-07,55.55
1990-02-08,55.78
1990-02-09,55.78
1990-02-12,54.84
1990-02-13,54.84
1990-02-14,56.25
1990-02-15,56.63
1990-02-16,56.49
1990-02-19,55.31
1990-02-20,54.37
1990-02-21,53.9
1990-02-22,54.37
1990-02-23,53.19
1990-02-26,54.6
1990-02-27,55.78
1990-02-28,55.55
1990-03-01,55.07
1990-03-02,56.02
1990-03-05,55.55
1990-03-06,55.78
1990-03-07,56.49
1990-03-08,57.19
1990-03-09,56.25
1990-03-12,55.78
1990-03-13,55.31
1990-03-14,55.31
1990-03-15,56.49
1990-03-16,57.19
1990-03-19,56.96
1990-03-20,58.13
1990-03-21,58.6
1990-03-22,58.6
1990-03-23,59.55
1990-03-26,60.02
1990-03-27,59.31
1990-03-28,59.31
1990-03-29,58.84
1990-03-30,56.96
1990-04-02,55.78
1990-04-03,57.9
1990-04-04,57.8
1990-04-05,57.66
1990-04-06,56.96
1990-04-09,57.43
1990-04-10,57.19
1990-04-11,57.43
1990-04-12,57.66
1990-04-13,57.66
1990-04-16,57.66
1990-04-17,57.8
1990-04-18,58.13
1990-04-19,57.9
1990-04-20,58.6
1990-04-23,58.13
1990-04-24,57.66
1990-04-25,56.49
1990-04-26,56.25
1990-04-27,55.07
1990-04-30,55.78
1990-05-01,56.25
1990-05-02,56.86
1990-05-03,56.96
1990-05-04,57.66
1990-05-07,57.66
1990-05-08,58.84
1990-05-09,57.43
1990-05-10,55.07
1990-05-11,52.49
1990-05-14,49.9
1990-05-15,51.07
1990-05-16,49.66
1990-05-17,51.31
1990-05-18,51.31
1990-05-21,51.78
1990-05-22,51.31
1990-05-23,51.07
1990-05-24,51.31
1990-05-25,51.54
1990-05-28,51.54
1990-05-29,53.43
1990-05-30,54.6
1990-05-31,53.43
1990-06-01,54.6
1990-06-04,54.6
1990-06-05,54.6
1990-06-06,54.37
1990-06-07,55.45
1990-06-08,54.6
1990-06-11,54.13
1990-06-12,53.43
1990-06-13,55.07
1990-06-14,55.31
1990-06-15,55.31
1990-06-18,55.07
1990-06-19,55.31
1990-06-20,54.13
1990-06-21,52.96
1990-06-22,52.96
1990-06-25,53.43
1990-06-26,54.37
1990-06-27,54.84
1990-06-28,54.6
1990-06-29,55.55
1990-07-02,54.6
1990-07-03,54.37
1990-07-04,53.19
1990-07-05,52.96
1990-07-06,52.96
1990-07-09,53.43
1990-07-10,54.37
1990-07-11,54.37
1990-07-12,54.74
1990-07-13,54.84
1990-07-16,55.07
1990-07-17,55.55
1990-07-18,56.02
1990-07-19,55.55
1990-07-20,56.02
1990-07-23,55.31
1990-07-24,55.78
1990-07-25,55.78
1990-07-26,55.55
1990-07-27,55.31
1990-07-30,55.78
1990-07-31,55.55
1990-08-01,54.84
1990-08-02,52.72
1990-08-03,51.31
1990-08-06,50.6
1990-08-07,48.95
1990-08-08,49.66
1990-08-09,48.25
1990-08-10,48.48
1990-08-13,47.78
1990-08-14,47.78
1990-08-15,47.78
1990-08-16,47.07
1990-08-17,44.95
1990-08-20,44.01
1990-08-21,43.07
1990-08-22,42.36
1990-08-23,44.25
1990-08-24,45.42
1990-08-27,45.42
1990-08-28,46.37
1990-08-29,48.48
1990-08-30,47.78
1990-08-31,47.31
1990-09-03,46.84
1990-09-04,46.37
1990-09-05,46.37
1990-09-06,46.13
1990-09-07,45.66
1990-09-10,46.84
1990-09-11,46.6
1990-09-12,46.37
1990-09-13,45.9
1990-09-14,45.66
1990-09-17,45.42
1990-09-18,44.95
1990-09-19,45.19
1990-09-20,44.48
1990-09-21,46.13
1990-09-24,45.42
1990-09-25,45.66
1990-09-26,46.13
1990-09-27,46.84
1990-09-28,46.37
1990-10-01,47.54
1990-10-02,48.25
1990-10-03,48.72
1990-10-04,48.39
1990-10-05,49.19
1990-10-08,49.19
1990-10-09,47.31
1990-10-10,47.31
1990-10-11,47.07
1990-10-12,47.07
1990-10-15,47.07
1990-10-16,46.6
1990-10-17,46.6
1990-10-18,47.78
1990-10-19,47.54
1990-10-22,48.95
1990-10-23,49.9
1990-10-24,49.9
1990-10-25,50.13
1990-10-26,49.66
1990-10-29,50.13
1990-10-30,50.13
1990-10-31,50.84
1990-11-01,50.84
1990-11-02,51.07
1990-11-05,51.54
1990-11-06,51.78
1990-11-07,51.78
1990-11-08,51.07
1990-11-09,49.66
1990-11-12,50.27
1990-11-13,49.43
1990-11-14,49.19
1990-11-15,49.19
1990-11-16,49.19
1990-11-19,49.9
1990-11-20,51.54
1990-11-21,51.54
1990-11-22,51.07
1990-11-23,50.84
1990-11-26,50.37
1990-11-27,49.8
1990-11-28,50.13
1990-11-29,49.9
1990-11-30,50.84
1990-12-03,51.07
1990-12-04,50.6
1990-12-05,49.66
1990-12-06,47.78
1990-12-07,47.07
1990-12-10,48.01
1990-12-11,48.72
1990-12-12,48.25
1990-12-13,48.95
1990-12-14,48.72
1990-12-17,47.92
1990-12-18,48.72
1990-12-19,49.43
1990-12-20,49.43
1990-12-21,49.19
1990-12-24,48.95
1990-12-25,48.95
1990-12-26,48.95
1990-12-27,49.19
1990-12-28,49.33
1990-12-31,49.19
1991-01-01,49.19
1991-01-02,48.95
1991-01-03,48.25
1991-01-04,48.48
1991-01-07,48.72
1991-01-08,48.48
1991-01-09,48.25
1991-01-10,48.25
1991-01-11,48.01
1991-01-14,47.78
1991-01-15,47.54
1991-01-16,46.84
1991-01-17,48.25
1991-01-18,48.25
1991-01-21,47.31
1991-01-22,46.6
1991-01-23,46.13
1991-01-24,46.37
1991-01-25,47.07
1991-01-28,47.21
1991-01-29,46.84
1991-01-30,47.31
1991-01-31,46.6
1991-02-01,45.19
1991-02-04,45.19
1991-02-05,45.8
1991-02-06,45.66
1991-02-07,45.66
1991-02-08,45.42
1991-02-11,46.6
1991-02-12,47.07
1991-02-13,47.54
1991-02-14,48.48
1991-02-15,48.95
1991-02-18,48.25
1991-02-19,47.54
1991-02-20,47.54
1991-02-21,47.54
1991-02-22,47.78
1991-02-25,49.19
1991-02-26,49.19
1991-02-27,49.66
1991-02-28,52.72
1991-03-01,52.16
1991-03-04,51.54
1991-03-05,53.43
1991-03-06,54.13
1991-03-07,53.19
1991-03-08,53.9
1991-03-11,54.13
1991-03-12,54.37
1991-03-13,54.84
1991-03-14,56.72
1991-03-15,56.02
1991-03-18,55.31
1991-03-19,54.74
1991-03-20,55.07
1991-03-21,57.9
1991-03-22,56.96
1991-03-25,57.43
1991-03-26,58.13
1991-03-27,60.02
1991-03-28,60.72
1991-03-29,60.72
1991-04-01,60.72
