Date,Price
2007-02-27,255.28
2007-02-28,258.92
2007-03-01,254.83
2007-03-02,250.97
2007-03-05,248.01
2007-03-06,246.88
2007-03-07,247.79
2007-03-08,250.74
2007-03-09,248.92
2007-03-12,249.38
2007-03-13,247.11
2007-03-14,241.2
2007-03-15,240.75
2007-03-16,237.57
2007-03-19,239.61
2007-03-20,236.2
2007-03-21,231.66
2007-03-22,231.21
2007-03-23,235.3
2007-03-26,245.74
2007-03-27,247.56
2007-03-28,248.47
2007-03-29,247.11
2007-03-30,252.33
2007-04-02,251.19
2007-04-03,247.11
2007-04-04,244.15
2007-04-05,244.15
2007-04-06,244.15
2007-04-09,244.15
2007-04-10,248.24
2007-04-11,249.83
2007-04-12,257.33
2007-04-13,238.25
2007-04-16,225.98
2007-04-17,222.58
2007-04-18,219.4
2007-04-19,220.76
2007-04-20,225.76
2007-04-23,226.67
2007-04-24,222.35
2007-04-25,214.63
2007-04-26,202.14
2007-04-27,216.67
2007-04-30,215.76
2007-05-01,214.4
2007-05-02,208.27
2007-05-03,205.32
2007-05-04,199.87
2007-05-07,199.87
2007-05-08,200.09
2007-05-09,201.68
2007-05-10,200.09
2007-05-11,194.41
2007-05-14,187.6
2007-05-15,197.37
2007-05-16,206.22
2007-05-17,206.45
2007-05-18,207.13
2007-05-21,196.23
2007-05-22,194.87
2007-05-23,195.32
2007-05-24,200.77
2007-05-25,197.14
2007-05-28,197.14
2007-05-29,200.09
2007-05-30,195.32
2007-05-31,186.24
2007-06-01,178.06
2007-06-04,173.29
2007-06-05,183.51
2007-06-06,179.88
2007-06-07,178.97
2007-06-08,181.47
2007-06-11,178.74
2007-06-12,175.34
2007-06-13,179.88
2007-06-14,184.88
2007-06-15,185.33
2007-06-18,187.15
2007-06-19,187.6
2007-06-20,190.33
2007-06-21,183.97
2007-06-22,184.42
2007-06-25,181.24
2007-06-26,175.34
2007-06-27,171.25
2007-06-28,167.6
2007-06-29,165.77
2007-07-02,159.84
2007-07-03,162.35
2007-07-04,162.58
2007-07-05,161.44
2007-07-06,170.8
2007-07-09,169.88
2007-07-10,168.74
2007-07-11,168.97
2007-07-12,171.25
2007-07-13,174.68
2007-07-16,175.36
2007-07-17,176.28
2007-07-18,172.62
2007-07-19,173.54
2007-07-20,171.71
2007-07-23,173.54
2007-07-24,134.26
2007-07-25,140.66
2007-07-26,131.75
2007-07-27,133.35
2007-07-30,136.55
2007-07-31,136.09
2007-08-01,134.72
2007-08-02,134.26
2007-08-03,131.07
2007-08-06,126.5
2007-08-07,129.24
2007-08-08,134.26
2007-08-09,134.72
2007-08-10,129.7
2007-08-13,133.35
2007-08-14,129.01
2007-08-15,125.13
2007-08-16,121.48
2007-08-17,121.25
