Date,Price
1993-12-14,6.97
1993-12-15,6.97
1993-12-16,6.97
1993-12-17,6.93
1993-12-20,6.97
1993-12-21,6.93
1993-12-22,6.97
1993-12-23,6.97
1993-12-27,6.93
1993-12-28,6.97
1993-12-29,6.97
1993-12-30,6.97
1993-12-31,7.01
1994-01-03,6.97
1994-01-04,7.01
1994-01-05,6.97
1994-01-06,6.97
1994-01-07,7.05
1994-01-10,7.12
1994-01-11,7.2
1994-01-12,7.2
1994-01-13,7.32
1994-01-14,7.28
1994-01-17,7.28
1994-01-18,7.32
1994-01-19,7.28
1994-01-20,7.32
1994-01-21,7.32
1994-01-24,7.24
1994-01-25,7.32
1994-01-26,7.43
1994-01-27,7.59
1994-01-28,7.63
1994-01-31,7.59
1994-02-01,7.74
1994-02-02,7.7
1994-02-03,7.7
1994-02-04,7.55
1994-02-07,7.59
1994-02-08,7.74
1994-02-09,7.66
1994-02-10,7.63
1994-02-11,7.82
1994-02-14,7.94
1994-02-15,7.86
1994-02-16,7.94
1994-02-17,8.01
1994-02-18,8.01
1994-02-22,8.05
1994-02-23,8.17
1994-02-24,8.25
1994-02-25,8.21
1994-02-28,7.97
1994-03-01,8.09
1994-03-02,8.13
1994-03-03,8.05
1994-03-04,8.05
1994-03-07,8.21
1994-03-08,8.17
1994-03-09,8.21
1994-03-10,8.21
1994-03-11,8.36
1994-03-14,8.4
1994-03-15,8.44
1994-03-16,8.52
1994-03-17,8.28
1994-03-18,8.56
1994-03-21,8.52
1994-03-22,8.67
1994-03-23,8.82
1994-03-24,8.74
1994-03-25,8.74
1994-03-28,8.39
1994-03-29,8.15
1994-03-30,8.15
1994-03-31,8.08
1994-04-04,7.88
1994-04-05,8.08
1994-04-06,8.19
1994-04-07,8.15
1994-04-08,8.15
1994-04-11,8.15
1994-04-12,8.15
1994-04-13,8.11
1994-04-14,8.27
1994-04-15,8.11
1994-04-18,8.19
1994-04-19,8.15
1994-04-20,8.11
1994-04-21,8.11
1994-04-22,8.04
1994-04-25,8.08
1994-04-26,8.08
1994-04-28,8.15
1994-04-29,8.43
1994-05-02,8.59
1994-05-03,8.43
1994-05-04,8.35
1994-05-05,8.59
1994-05-06,8.67
1994-05-09,8.67
1994-05-10,8.74
1994-05-11,8.51
1994-05-12,8.67
1994-05-13,8.59
1994-05-16,8.63
1994-05-17,8.67
1994-05-18,8.67
1994-05-19,8.71
1994-05-20,8.67
1994-05-23,8.74
1994-05-24,8.74
1994-05-25,8.78
1994-05-26,8.71
1994-05-27,8.74
1994-05-31,8.63
1994-06-01,8.59
1994-06-02,8.59
1994-06-03,8.67
1994-06-06,8.78
1994-06-07,8.82
1994-06-08,8.78
1994-06-09,8.67
1994-06-10,8.71
1994-06-13,8.82
1994-06-14,8.78
1994-06-15,8.71
1994-06-16,8.78
1994-06-17,8.82
1994-06-20,8.78
1994-06-21,8.82
1994-06-22,8.78
1994-06-23,8.67
1994-06-24,8.55
1994-06-27,8.55
1994-06-28,8.47
1994-06-29,8.46
1994-06-30,8.54
1994-07-01,8.42
1994-07-05,8.38
1994-07-06,8.26
1994-07-07,8.3
1994-07-08,8.34
1994-07-11,8.38
1994-07-12,8.42
1994-07-13,8.62
1994-07-14,8.58
1994-07-15,8.7
1994-07-18,8.9
1994-07-19,8.82
1994-07-20,8.86
1994-07-21,8.74
1994-07-22,8.54
1994-07-25,8.62
1994-07-26,8.54
1994-07-27,8.46
1994-07-28,8.5
1994-07-29,8.54
1994-08-01,8.54
1994-08-02,8.42
1994-08-03,8.42
1994-08-04,8.46
1994-08-05,8.46
1994-08-08,8.54
1994-08-09,8.5
1994-08-10,8.46
1994-08-11,8.42
1994-08-12,8.38
1994-08-15,8.3
1994-08-16,8.18
1994-08-17,8.26
1994-08-18,8.3
1994-08-19,8.3
1994-08-22,8.3
1994-08-23,8.3
1994-08-24,8.38
1994-08-25,8.34
1994-08-26,8.3
1994-08-29,8.38
1994-08-30,8.42
1994-08-31,8.46
1994-09-01,8.38
1994-09-02,8.38
1994-09-06,8.34
1994-09-07,8.34
1994-09-08,8.42
1994-09-09,8.34
1994-09-12,8.18
1994-09-13,8.26
1994-09-14,8.18
1994-09-15,8.22
1994-09-16,8.18
1994-09-19,8.14
1994-09-20,8.06
1994-09-21,8.1
1994-09-22,8.14
1994-09-23,8.26
1994-09-26,8.26
1994-09-27,8.34
1994-09-28,8.34
1994-09-29,8.37
1994-09-30,8.37
1994-10-03,8.33
1994-10-04,8.25
1994-10-05,8.21
1994-10-06,8.05
1994-10-07,8.09
1994-10-10,8.17
1994-10-11,8.17
1994-10-12,8.17
1994-10-13,8.21
1994-10-14,8.25
1994-10-17,8.25
1994-10-18,8.21
1994-10-19,8.21
1994-10-20,8.13
1994-10-21,8.09
1994-10-24,7.92
1994-10-25,8.01
1994-10-26,7.92
1994-10-27,7.76
1994-10-28,7.84
1994-10-31,7.8
1994-11-01,7.8
1994-11-02,7.72
1994-11-03,7.68
1994-11-04,7.64
1994-11-07,7.68
1994-11-08,7.6
1994-11-09,7.64
1994-11-10,7.56
1994-11-11,7.56
1994-11-14,7.52
1994-11-15,7.52
1994-11-16,7.56
1994-11-17,7.56
1994-11-18,7.6
1994-11-21,7.56
1994-11-22,7.56
1994-11-23,7.56
1994-11-25,7.72
1994-11-28,7.72
1994-11-29,7.72
1994-11-30,7.72
1994-12-01,7.72
1994-12-02,7.68
1994-12-05,7.68
1994-12-06,7.72
1994-12-07,7.64
1994-12-08,7.52
1994-12-09,7.47
1994-12-12,7.64
1994-12-13,7.72
1994-12-14,7.88
1994-12-15,7.97
1994-12-16,8.13
1994-12-19,8.21
1994-12-20,8.17
1994-12-21,8.17
1994-12-22,8.17
1994-12-23,7.92
1994-12-27,8.01
1994-12-28,8.08
1994-12-29,8.08
1994-12-30,8.08
1995-01-03,8.29
1995-01-04,8.29
1995-01-05,8.37
1995-01-06,8.21
1995-01-09,8.25
1995-01-10,8.08
1995-01-11,7.83
1995-01-12,7.96
1995-01-13,8.0
1995-01-16,8.0
1995-01-17,7.96
1995-01-18,7.96
1995-01-19,8.0
1995-01-20,7.96
1995-01-23,7.83
1995-01-24,7.91
1995-01-25,7.83
1995-01-26,7.87
1995-01-27,7.87
1995-01-30,7.79
1995-01-31,7.79
1995-02-01,7.62
1995-02-02,7.62
1995-02-03,7.62
1995-02-06,7.62
1995-02-07,7.71
1995-02-08,7.79
1995-02-09,7.83
1995-02-10,7.83
1995-02-13,7.79
1995-02-14,7.83
1995-02-15,7.79
1995-02-16,7.83
1995-02-17,7.83
1995-02-21,7.91
1995-02-22,8.0
1995-02-23,8.0
1995-02-24,8.16
1995-02-27,8.12
1995-02-28,8.12
1995-03-01,8.25
1995-03-02,8.16
1995-03-03,8.12
1995-03-06,8.21
1995-03-07,8.25
1995-03-08,8.25
1995-03-09,8.29
1995-03-10,8.16
1995-03-13,8.16
1995-03-14,8.33
