Date,Price
1996-08-23,2.31
1996-08-26,2.31
1996-08-27,2.47
1996-08-28,2.56
1996-08-29,2.5
1996-08-30,2.44
1996-09-03,2.28
1996-09-04,2.38
1996-09-05,2.28
1996-09-06,2.25
1996-09-09,2.38
1996-09-10,2.31
1996-09-11,2.34
1996-09-12,2.34
1996-09-13,2.34
1996-09-16,2.34
1996-09-17,2.31
1996-09-18,2.25
1996-09-19,2.19
1996-09-20,2.28
1996-09-23,2.22
1996-09-24,2.19
1996-09-25,2.34
1996-09-26,2.38
1996-09-27,2.34
1996-09-30,2.28
1996-10-01,2.19
1996-10-02,2.28
1996-10-03,2.28
1996-10-04,2.22
1996-10-07,2.22
1996-10-08,2.19
1996-10-09,2.09
1996-10-10,2.12
1996-10-11,2.06
1996-10-14,2.09
1996-10-15,2.12
1996-10-16,2.0
1996-10-17,1.91
1996-10-18,2.06
1996-10-21,2.03
1996-10-22,1.97
1996-10-23,2.06
1996-10-24,1.94
1996-10-25,2.0
1996-10-28,1.97
1996-10-29,1.97
1996-10-30,1.97
1996-10-31,1.84
1996-11-01,1.91
1996-11-04,1.94
1996-11-05,1.94
1996-11-06,1.94
1996-11-07,2.12
1996-11-08,2.06
1996-11-11,2.12
1996-11-12,2.12
1996-11-13,2.09
1996-11-14,2.09
1996-11-15,2.06
1996-11-18,2.12
1996-11-19,1.94
1996-11-20,2.0
1996-11-21,1.91
1996-11-22,1.92
1996-11-25,2.0
1996-11-26,2.0
1996-11-27,1.94
1996-11-29,1.97
1996-12-02,1.91
1996-12-03,1.94
1996-12-04,2.0
1996-12-05,1.94
1996-12-06,1.94
1996-12-09,1.84
1996-12-10,1.94
1996-12-11,1.77
1996-12-12,1.88
1996-12-13,1.75
1996-12-16,1.78
1996-12-17,1.88
1996-12-18,1.88
1996-12-19,1.94
1996-12-20,1.94
1996-12-23,2.31
1996-12-24,2.19
1996-12-26,2.31
1996-12-27,2.31
1996-12-30,2.28
1996-12-31,2.88
1997-01-02,2.56
1997-01-03,2.53
1997-01-06,2.5
1997-01-07,2.5
1997-01-08,2.56
1997-01-09,2.56
1997-01-10,2.5
1997-01-13,2.47
1997-01-14,2.69
1997-01-15,2.78
1997-01-16,2.72
1997-01-17,2.72
1997-01-20,2.69
1997-01-21,2.69
1997-01-22,2.69
1997-01-23,2.75
1997-01-24,2.53
1997-01-27,2.56
1997-01-28,2.56
1997-01-29,2.69
1997-01-30,2.75
1997-01-31,2.69
1997-02-03,2.62
1997-02-04,2.69
1997-02-05,2.62
1997-02-06,2.56
1997-02-07,2.59
1997-02-10,2.56
1997-02-11,2.5
1997-02-12,2.62
1997-02-13,2.5
1997-02-14,2.62
1997-02-18,2.5
1997-02-19,2.31
1997-02-20,2.25
1997-02-21,2.38
1997-02-24,2.25
1997-02-25,2.25
1997-02-26,2.28
1997-02-27,2.25
1997-02-28,2.34
1997-03-03,2.25
1997-03-04,2.22
1997-03-05,2.19
1997-03-06,2.22
1997-03-07,2.25
1997-03-10,2.19
1997-03-11,2.22
1997-03-12,2.28
1997-03-13,2.28
1997-03-14,2.28
1997-03-17,2.28
1997-03-18,2.22
1997-03-19,2.25
1997-03-20,2.19
1997-03-21,2.12
1997-03-24,2.12
1997-03-25,2.12
1997-03-26,2.06
1997-03-27,2.0
1997-03-31,2.0
1997-04-01,2.0
1997-04-02,2.0
1997-04-03,2.12
1997-04-04,2.12
1997-04-07,2.0
1997-04-08,2.0
1997-04-09,2.0
1997-04-10,2.0
1997-04-11,1.94
1997-04-14,1.88
1997-04-15,1.94
1997-04-16,1.88
1997-04-17,1.94
1997-04-18,1.94
1997-04-21,1.81
1997-04-22,1.81
1997-04-23,1.81
1997-04-24,1.88
1997-04-25,1.88
1997-04-28,1.88
1997-04-29,2.06
1997-04-30,2.12
1997-05-01,2.25
1997-05-02,2.31
1997-05-05,2.25
1997-05-06,2.25
1997-05-07,2.06
1997-05-08,2.03
1997-05-09,2.06
1997-05-12,1.94
1997-05-13,2.06
1997-05-14,2.0
1997-05-15,2.06
1997-05-16,2.06
1997-05-19,2.03
1997-05-20,2.03
1997-05-21,2.03
1997-05-22,2.03
1997-05-23,2.0
1997-05-27,2.0
1997-05-28,2.09
1997-05-29,2.0
1997-05-30,2.09
1997-06-02,2.06
1997-06-03,2.06
1997-06-04,2.12
1997-06-05,2.12
1997-06-06,2.12
1997-06-09,2.12
1997-06-10,2.06
1997-06-11,2.12
1997-06-12,2.03
1997-06-13,2.12
1997-06-16,2.12
1997-06-17,2.12
1997-06-18,2.12
1997-06-19,2.06
1997-06-20,2.03
1997-06-23,2.0
1997-06-24,1.97
1997-06-25,1.91
1997-06-26,2.03
1997-06-27,1.98
1997-06-30,2.0
1997-07-01,2.06
1997-07-02,2.03
1997-07-03,2.06
1997-07-07,2.0
1997-07-08,2.0
1997-07-09,2.03
1997-07-10,2.03
1997-07-11,2.0
1997-07-14,2.0
1997-07-15,1.97
1997-07-16,2.0
1997-07-17,1.97
1997-07-18,2.0
1997-07-21,1.94
1997-07-22,1.97
1997-07-23,1.94
1997-07-24,1.94
1997-07-25,1.94
1997-07-28,1.94
1997-07-29,1.94
1997-07-30,1.94
1997-07-31,1.91
1997-08-01,1.94
1997-08-04,1.94
1997-08-05,2.0
1997-08-06,2.22
1997-08-07,2.47
1997-08-08,2.31
1997-08-11,2.38
1997-08-12,2.31
1997-08-13,2.38
1997-08-14,2.41
1997-08-15,2.34
1997-08-18,2.38
1997-08-19,2.38
1997-08-20,2.47
1997-08-21,2.44
1997-08-22,2.47
1997-08-25,2.47
1997-08-26,2.47
1997-08-27,2.5
1997-08-28,2.5
1997-08-29,2.5
1997-09-02,2.53
1997-09-03,2.53
1997-09-04,2.55
1997-09-05,2.53
1997-09-08,2.44
1997-09-09,2.44
1997-09-10,2.5
1997-09-11,2.47
1997-09-12,2.47
1997-09-15,2.47
1997-09-16,2.47
1997-09-17,2.47
1997-09-18,2.53
1997-09-19,2.56
1997-09-22,2.56
1997-09-23,2.56
1997-09-24,2.53
1997-09-25,2.5
1997-09-26,2.44
1997-09-29,2.38
1997-09-30,2.38
1997-10-01,2.38
1997-10-02,2.38
1997-10-03,2.38
1997-10-06,2.38
1997-10-07,2.34
1997-10-08,2.31
1997-10-09,2.38
1997-10-10,2.34
1997-10-13,2.38
1997-10-14,2.3
1997-10-15,2.31
1997-10-16,2.34
1997-10-17,2.33
1997-10-20,2.31
1997-10-21,2.31
1997-10-22,2.34
1997-10-23,2.38
1997-10-24,2.34
1997-10-27,2.34
1997-10-28,2.28
1997-10-29,2.34
1997-10-30,2.38
1997-10-31,2.34
1997-11-03,2.5
1997-11-04,2.41
1997-11-05,2.44
1997-11-06,2.5
1997-11-07,2.5
1997-11-10,2.69
1997-11-11,2.84
1997-11-12,2.94
1997-11-13,2.97
1997-11-14,3.0
1997-11-17,2.88
1997-11-18,2.84
1997-11-19,2.84
1997-11-20,2.78
1997-11-21,2.78
1997-11-24,2.78
1997-11-25,2.78
1997-11-26,2.94
1997-11-28,3.31
1997-12-01,3.66
1997-12-02,3.59
1997-12-03,3.62
1997-12-04,3.62
1997-12-05,3.66
1997-12-08,3.66
1997-12-09,3.47
1997-12-10,3.59
1997-12-11,3.62
1997-12-12,3.61
1997-12-15,3.53
1997-12-16,3.56
1997-12-17,3.56
1997-12-18,3.47
1997-12-19,3.53
1997-12-22,3.5
1997-12-23,3.56
1997-12-24,3.5
1997-12-26,3.5
1997-12-29,3.66
1997-12-30,3.66
1997-12-31,3.66
1998-01-02,3.62
1998-01-05,3.5
1998-01-06,3.59
1998-01-07,3.66
1998-01-08,3.78
1998-01-09,3.59
1998-01-12,3.31
1998-01-13,3.5
1998-01-14,3.31
1998-01-15,3.41
1998-01-16,3.34
1998-01-20,3.34
1998-01-21,3.59
1998-01-22,3.66
1998-01-23,3.69
1998-01-26,3.62
1998-01-27,3.59
1998-01-28,3.53
1998-01-29,3.56
1998-01-30,3.56
1998-02-02,3.59
1998-02-03,3.5
1998-02-04,3.47
1998-02-05,3.53
1998-02-06,3.58
1998-02-09,3.34
