Date,Price
1990-01-01,931.12
1990-01-02,927.7
1990-01-03,939.68
1990-01-04,943.1
1990-01-05,955.09
1990-01-08,953.37
1990-01-09,955.09
1990-01-10,955.09
1990-01-11,949.95
1990-01-12,941.39
1990-01-15,932.84
1990-01-16,939.68
1990-01-17,963.64
1990-01-18,943.1
1990-01-19,944.82
1990-01-22,956.8
1990-01-23,996.16
1990-01-24,994.45
1990-01-25,989.32
1990-01-26,1037.24
1990-01-29,1023.55
1990-01-30,1018.41
1990-01-31,1032.11
1990-02-01,1037.24
1990-02-02,1033.82
1990-02-05,1020.13
1990-02-06,1009.86
1990-02-07,1004.72
1990-02-08,1006.43
1990-02-09,1026.97
1990-02-12,1018.41
1990-02-13,1014.99
1990-02-14,1033.82
1990-02-15,1035.53
1990-02-16,1052.65
1990-02-19,1037.24
1990-02-20,1033.82
1990-02-21,1006.43
1990-02-22,1006.43
1990-02-23,972.2
1990-02-26,984.18
1990-02-27,979.05
1990-02-28,977.34
1990-03-01,963.64
1990-03-02,982.47
1990-03-05,982.47
1990-03-06,984.18
1990-03-07,980.76
1990-03-08,980.76
1990-03-09,970.49
1990-03-12,963.64
1990-03-13,939.68
1990-03-14,932.84
1990-03-15,946.53
1990-03-16,946.53
1990-03-19,929.41
1990-03-20,932.84
1990-03-21,931.12
1990-03-22,939.68
1990-03-23,958.51
1990-03-26,920.85
1990-03-27,903.74
1990-03-28,932.84
1990-03-29,932.84
1990-03-30,934.55
1990-04-02,925.99
1990-04-03,937.97
1990-04-04,927.7
1990-04-05,929.41
1990-04-06,919.14
1990-04-09,920.85
1990-04-10,917.43
1990-04-11,914.01
1990-04-12,914.01
1990-04-13,914.01
1990-04-16,914.01
1990-04-17,902.03
1990-04-18,902.03
1990-04-19,881.48
1990-04-20,883.19
1990-04-23,860.94
1990-04-24,852.39
1990-04-25,835.27
1990-04-26,825.0
1990-04-27,825.0
1990-04-30,830.13
1990-05-01,838.69
1990-05-02,833.56
1990-05-03,816.44
1990-05-04,836.98
1990-05-07,836.98
1990-05-08,838.69
1990-05-09,831.85
1990-05-10,801.04
1990-05-11,792.48
1990-05-14,799.33
1990-05-15,792.48
1990-05-16,792.48
1990-05-17,797.62
1990-05-18,801.04
1990-05-21,801.04
1990-05-22,804.46
1990-05-23,791.63
1990-05-24,785.63
1990-05-25,783.92
1990-05-28,783.92
1990-05-29,787.35
1990-05-30,804.46
1990-05-31,819.87
1990-06-01,818.15
1990-06-04,814.73
1990-06-05,813.02
1990-06-06,806.17
1990-06-07,804.46
1990-06-08,799.33
1990-06-11,813.02
1990-06-12,807.88
1990-06-13,842.12
1990-06-14,838.69
1990-06-15,830.13
1990-06-18,830.13
1990-06-19,838.69
1990-06-20,838.69
1990-06-21,826.71
1990-06-22,809.6
1990-06-25,821.58
1990-06-26,813.02
1990-06-27,806.17
1990-06-28,802.75
1990-06-29,799.33
1990-07-02,794.19
1990-07-03,790.77
1990-07-04,785.63
1990-07-05,785.63
1990-07-06,787.35
1990-07-09,789.06
1990-07-10,777.08
1990-07-11,783.92
1990-07-12,768.52
1990-07-13,758.25
1990-07-16,756.54
1990-07-17,754.83
1990-07-18,753.11
1990-07-19,749.69
1990-07-20,751.4
1990-07-23,742.84
1990-07-24,734.29
1990-07-25,746.27
1990-07-26,741.13
1990-07-27,734.29
1990-07-30,715.46
1990-07-31,717.17
1990-08-01,724.02
1990-08-02,703.48
1990-08-03,691.5
1990-08-06,665.82
1990-08-07,664.11
1990-08-08,688.07
1990-08-09,708.61
1990-08-10,710.32
1990-08-13,710.32
1990-08-14,718.88
1990-08-15,718.88
1990-08-16,706.9
1990-08-17,679.52
1990-08-20,653.84
1990-08-21,624.74
1990-08-22,621.32
1990-08-23,612.76
1990-08-24,619.61
1990-08-27,619.61
1990-08-28,626.45
1990-08-29,621.32
1990-08-30,631.59
1990-08-31,638.43
1990-09-03,640.14
1990-09-04,640.14
1990-09-05,652.13
1990-09-06,638.43
1990-09-07,636.72
1990-09-10,640.14
1990-09-11,648.7
1990-09-12,648.7
1990-09-13,633.3
1990-09-14,607.62
1990-09-17,616.18
1990-09-18,597.35
1990-09-19,595.64
1990-09-20,549.43
1990-09-21,516.91
1990-09-24,494.66
1990-09-25,494.66
1990-09-26,443.31
1990-09-27,460.43
1990-09-28,460.43
1990-10-01,489.52
1990-10-02,487.81
1990-10-03,504.93
1990-10-04,496.37
1990-10-05,473.26
1990-10-08,510.06
1990-10-09,496.37
1990-10-10,487.81
1990-10-11,482.68
1990-10-12,467.27
1990-10-15,458.71
1990-10-16,457.0
1990-10-17,458.71
1990-10-18,451.87
1990-10-19,448.44
1990-10-22,445.02
1990-10-23,450.16
1990-10-24,446.73
1990-10-25,429.62
1990-10-26,407.37
1990-10-29,415.92
1990-10-30,427.91
1990-10-31,441.6
1990-11-01,424.48
1990-11-02,424.48
1990-11-05,431.33
1990-11-06,434.75
1990-11-07,431.33
1990-11-08,426.19
1990-11-09,429.62
1990-11-12,438.17
1990-11-13,443.31
1990-11-14,433.04
1990-11-15,433.04
1990-11-16,438.17
1990-11-19,441.6
1990-11-20,448.44
1990-11-21,445.02
1990-11-22,448.44
1990-11-23,475.83
1990-11-26,482.68
1990-11-27,482.68
1990-11-28,458.71
1990-11-29,457.0
1990-11-30,465.56
1990-12-03,472.41
1990-12-04,470.7
1990-12-05,474.12
1990-12-06,487.81
1990-12-07,491.23
1990-12-10,484.39
1990-12-11,470.7
1990-12-12,460.43
1990-12-13,453.58
1990-12-14,458.71
1990-12-17,445.02
1990-12-18,445.02
1990-12-19,450.16
1990-12-20,446.73
1990-12-21,445.02
1990-12-24,441.6
1990-12-25,441.6
1990-12-26,441.6
1990-12-27,443.31
1990-12-28,445.02
1990-12-31,443.31
1991-01-01,443.31
1991-01-02,434.75
1991-01-03,422.77
1991-01-04,426.19
1991-01-07,407.37
1991-01-08,397.1
1991-01-09,410.79
1991-01-10,386.83
1991-01-11,364.58
1991-01-14,356.02
1991-01-15,356.02
1991-01-16,356.02
1991-01-17,376.56
1991-01-18,374.84
1991-01-21,371.42
1991-01-22,366.29
1991-01-23,364.58
1991-01-24,361.15
1991-01-25,361.15
1991-01-28,361.15
1991-01-29,357.73
1991-01-30,364.58
1991-01-31,364.58
1991-02-01,383.4
1991-02-04,398.81
1991-02-05,426.19
1991-02-06,431.33
1991-02-07,460.43
1991-02-08,458.71
1991-02-11,465.56
1991-02-12,465.56
1991-02-13,470.7
1991-02-14,480.97
1991-02-15,467.27
1991-02-18,468.98
1991-02-19,450.16
1991-02-20,463.85
1991-02-21,486.1
1991-02-22,467.27
1991-02-25,474.12
1991-02-26,467.27
1991-02-27,477.54
1991-02-28,494.66
1991-03-01,513.49
1991-03-04,504.93
1991-03-05,503.22
1991-03-06,552.85
1991-03-07,539.16
1991-03-08,544.3
1991-03-11,563.12
1991-03-12,573.39
1991-03-13,616.18
1991-03-14,657.26
1991-03-15,657.26
1991-03-18,646.99
1991-03-19,646.99
1991-03-20,636.72
1991-03-21,660.68
1991-03-22,664.11
1991-03-25,662.4
1991-03-26,652.13
1991-03-27,650.41
1991-03-28,636.72
1991-03-29,636.72
1991-04-01,636.72
1991-04-02,629.87
1991-04-03,660.68
1991-04-04,664.11
1991-04-05,672.66
1991-04-08,676.09
1991-04-09,677.8
1991-04-10,667.53
1991-04-11,664.11
1991-04-12,694.92
1991-04-15,698.34
1991-04-16,688.07
1991-04-17,693.21
1991-04-18,667.53
1991-04-19,660.68
1991-04-22,652.13
1991-04-23,652.13
1991-04-24,643.57
1991-04-25,640.14
1991-04-26,640.14
1991-04-29,652.13
1991-04-30,648.7
1991-05-01,664.11
1991-05-02,669.24
1991-05-03,657.26
1991-05-06,657.26
1991-05-07,655.55
1991-05-08,648.7
1991-05-09,648.7
1991-05-10,648.7
1991-05-13,633.3
1991-05-14,612.76
1991-05-15,617.89
1991-05-16,623.03
1991-05-17,605.91
1991-05-20,604.2
1991-05-21,600.78
1991-05-22,605.91
1991-05-23,621.32
1991-05-24,635.01
1991-05-27,635.01
1991-05-28,635.01
1991-05-29,636.72
1991-05-30,621.32
1991-05-31,602.49
1991-06-03,602.49
1991-06-04,600.78
1991-06-05,600.78
1991-06-06,599.07
1991-06-07,599.07
1991-06-10,604.2
1991-06-11,607.62
1991-06-12,600.78
1991-06-13,597.35
1991-06-14,597.35
1991-06-17,595.64
1991-06-18,590.51
1991-06-19,585.37
1991-06-20,573.39
1991-06-21,580.24
1991-06-24,573.39
1991-06-25,581.95
1991-06-26,578.53
1991-06-27,578.53
1991-06-28,571.68
1991-07-01,573.39
1991-07-02,583.66
1991-07-03,576.82
1991-07-04,581.95
1991-07-05,590.51
1991-07-08,578.53
1991-07-09,583.66
1991-07-10,580.24
1991-07-11,580.24
1991-07-12,578.53
