Date,Price
1990-08-28,47.6
1990-08-29,49.67
1990-08-30,49.67
1990-08-31,49.67
1990-09-03,48.29
1990-09-04,46.22
1990-09-05,45.53
1990-09-06,44.15
1990-09-07,44.84
1990-09-10,44.84
1990-09-11,44.84
1990-09-12,44.15
1990-09-13,44.15
1990-09-14,43.46
1990-09-17,42.77
1990-09-18,42.77
1990-09-19,42.77
1990-09-20,42.77
1990-09-21,42.77
1990-09-24,42.77
1990-09-25,43.11
1990-09-26,43.46
1990-09-27,43.46
1990-09-28,43.46
1990-10-01,43.46
1990-10-02,43.46
1990-10-03,43.46
1990-10-04,44.15
1990-10-05,44.84
1990-10-08,45.53
1990-10-09,44.84
1990-10-10,44.15
1990-10-11,43.46
1990-10-12,43.46
1990-10-15,43.46
1990-10-16,43.46
1990-10-17,44.15
1990-10-18,44.15
1990-10-19,44.15
1990-10-22,44.84
1990-10-23,44.84
1990-10-24,45.53
1990-10-25,45.53
1990-10-26,45.53
1990-10-29,46.22
1990-10-30,45.53
1990-10-31,45.53
1990-11-01,45.53
1990-11-02,44.84
1990-11-05,43.46
1990-11-06,43.46
1990-11-07,44.15
1990-11-08,45.53
1990-11-09,45.53
1990-11-12,45.53
1990-11-13,44.84
1990-11-14,44.84
1990-11-15,44.84
1990-11-16,44.84
1990-11-19,45.53
1990-11-20,45.53
1990-11-21,46.22
1990-11-22,46.22
1990-11-23,47.6
1990-11-26,47.6
1990-11-27,46.91
1990-11-28,46.91
1990-11-29,46.91
1990-11-30,46.22
1990-12-03,46.22
1990-12-04,46.91
1990-12-05,46.91
1990-12-06,48.29
1990-12-07,48.98
1990-12-10,48.98
1990-12-11,48.98
1990-12-12,48.98
1990-12-13,48.98
1990-12-14,48.98
1990-12-17,48.29
1990-12-18,47.6
1990-12-19,47.6
1990-12-20,46.91
1990-12-21,46.91
1990-12-24,46.22
1990-12-25,46.22
1990-12-26,46.22
1990-12-27,46.22
1990-12-28,44.84
1990-12-31,44.84
1991-01-01,44.84
1991-01-02,44.84
1991-01-03,44.84
1991-01-04,43.46
1991-01-07,43.46
1991-01-08,42.77
1991-01-09,43.46
1991-01-10,42.77
1991-01-11,42.77
1991-01-14,41.39
1991-01-15,41.39
1991-01-16,41.39
1991-01-17,41.39
1991-01-18,40.7
1991-01-21,40.7
1991-01-22,40.7
1991-01-23,40.7
1991-01-24,40.7
1991-01-25,40.7
1991-01-28,41.39
1991-01-29,41.39
1991-01-30,41.39
1991-01-31,42.08
1991-02-01,42.08
1991-02-04,41.39
1991-02-05,41.39
1991-02-06,42.08
1991-02-07,42.77
1991-02-08,42.77
1991-02-11,43.46
1991-02-12,44.84
1991-02-13,44.15
1991-02-14,45.53
1991-02-15,45.53
1991-02-18,46.22
1991-02-19,46.22
1991-02-20,46.91
1991-02-21,46.91
1991-02-22,46.91
1991-02-25,46.91
1991-02-26,46.91
1991-02-27,47.6
1991-02-28,48.29
1991-03-01,49.67
1991-03-04,49.67
1991-03-05,50.36
1991-03-06,52.43
1991-03-07,52.43
1991-03-08,52.43
1991-03-11,56.57
1991-03-12,55.88
1991-03-13,54.5
1991-03-14,54.5
1991-03-15,54.5
1991-03-18,54.5
1991-03-19,53.81
1991-03-20,53.81
1991-03-21,53.81
1991-03-22,53.12
1991-03-25,51.74
1991-03-26,51.74
1991-03-27,52.43
1991-03-28,51.74
1991-03-29,51.74
1991-04-01,51.74
1991-04-02,52.43
1991-04-03,52.43
1991-04-04,51.74
1991-04-05,51.74
1991-04-08,51.74
1991-04-09,51.05
1991-04-10,49.67
1991-04-11,49.67
1991-04-12,48.98
1991-04-15,48.98
1991-04-16,49.67
1991-04-17,50.36
1991-04-18,51.74
1991-04-19,51.74
1991-04-22,51.74
1991-04-23,55.19
1991-04-24,55.19
1991-04-25,55.88
1991-04-26,55.19
1991-04-29,55.19
1991-04-30,55.19
1991-05-01,55.19
1991-05-02,55.19
1991-05-03,55.19
1991-05-06,55.19
1991-05-07,55.88
1991-05-08,55.88
1991-05-09,55.88
1991-05-10,55.88
1991-05-13,55.88
1991-05-14,55.88
1991-05-15,55.88
1991-05-16,55.88
1991-05-17,55.88
1991-05-20,55.19
1991-05-21,55.19
1991-05-22,55.19
1991-05-23,54.5
1991-05-24,54.5
1991-05-27,54.5
1991-05-28,54.5
1991-05-29,54.5
1991-05-30,54.5
1991-05-31,53.81
1991-06-03,53.81
1991-06-04,53.81
1991-06-05,53.81
1991-06-06,53.12
1991-06-07,51.74
1991-06-10,52.43
1991-06-11,52.43
1991-06-12,54.5
1991-06-13,54.5
1991-06-14,55.19
1991-06-17,54.5
1991-06-18,54.5
1991-06-19,54.5
1991-06-20,53.81
1991-06-21,53.12
1991-06-24,52.43
1991-06-25,51.05
1991-06-26,50.36
1991-06-27,51.05
1991-06-28,51.05
1991-07-01,51.05
1991-07-02,51.05
1991-07-03,51.05
1991-07-04,51.05
1991-07-05,51.05
1991-07-08,50.36
1991-07-09,50.36
1991-07-10,50.36
1991-07-11,50.36
1991-07-12,50.36
1991-07-15,50.36
1991-07-16,50.36
1991-07-17,50.36
1991-07-18,51.74
1991-07-19,51.74
1991-07-22,51.74
1991-07-23,52.43
1991-07-24,53.12
1991-07-25,53.12
1991-07-26,53.12
1991-07-29,53.81
1991-07-30,54.5
1991-07-31,55.19
1991-08-01,56.57
1991-08-02,56.57
1991-08-05,56.57
1991-08-06,56.57
1991-08-07,56.57
1991-08-08,56.57
1991-08-09,56.57
1991-08-12,55.88
1991-08-13,55.88
1991-08-14,55.88
1991-08-15,55.19
1991-08-16,55.19
1991-08-19,53.12
1991-08-20,53.81
1991-08-21,53.81
1991-08-22,55.19
1991-08-23,55.19
1991-08-26,55.19
1991-08-27,55.19
1991-08-28,55.19
1991-08-29,55.19
1991-08-30,55.19
1991-09-02,55.19
1991-09-03,55.19
1991-09-04,56.57
1991-09-05,56.57
1991-09-06,56.57
1991-09-09,57.94
1991-09-10,55.88
1991-09-11,55.88
1991-09-12,55.88
1991-09-13,55.88
1991-09-16,56.57
1991-09-17,56.57
1991-09-18,56.57
1991-09-19,56.57
1991-09-20,56.57
1991-09-23,56.57
1991-09-24,56.57
1991-09-25,57.26
1991-09-26,57.26
1991-09-27,57.26
1991-09-30,57.26
1991-10-01,57.26
1991-10-02,57.26
1991-10-03,57.26
1991-10-04,56.57
1991-10-07,56.57
1991-10-08,55.88
1991-10-09,55.88
1991-10-10,55.88
1991-10-11,55.88
1991-10-14,56.57
1991-10-15,57.26
1991-10-16,57.26
1991-10-17,57.26
1991-10-18,57.94
1991-10-21,57.94
1991-10-22,57.26
1991-10-23,57.26
1991-10-24,56.57
1991-10-25,56.57
1991-10-28,56.57
1991-10-29,56.57
1991-10-30,56.57
1991-10-31,56.57
1991-11-01,57.26
1991-11-04,57.26
1991-11-05,57.26
1991-11-06,57.26
1991-11-07,57.94
1991-11-08,57.94
1991-11-11,58.63
1991-11-12,58.63
1991-11-13,58.63
1991-11-14,58.63
1991-11-15,58.63
1991-11-18,57.26
1991-11-19,55.88
1991-11-20,56.57
1991-11-21,56.57
1991-11-22,55.88
1991-11-25,55.19
1991-11-26,55.19
1991-11-27,55.19
1991-11-28,55.19
1991-11-29,55.88
1991-12-02,55.88
1991-12-03,56.57
1991-12-04,57.26
1991-12-05,56.57
1991-12-06,56.57
1991-12-09,55.88
1991-12-10,55.88
1991-12-11,55.88
1991-12-12,55.88
1991-12-13,57.26
1991-12-16,57.26
1991-12-17,57.26
1991-12-18,57.26
1991-12-19,57.26
1991-12-20,57.26
1991-12-23,57.26
1991-12-24,57.26
1991-12-25,57.26
1991-12-26,57.26
1991-12-27,57.26
1991-12-30,57.94
1991-12-31,57.94
1992-01-01,57.94
1992-01-02,57.94
1992-01-03,58.63
1992-01-06,58.63
1992-01-07,58.63
1992-01-08,58.63
1992-01-09,58.63
1992-01-10,58.63
1992-01-13,57.94
1992-01-14,57.94
1992-01-15,57.94
1992-01-16,57.94
1992-01-17,57.26
1992-01-20,56.57
1992-01-21,56.57
1992-01-22,56.57
1992-01-23,56.57
1992-01-24,55.88
1992-01-27,55.88
1992-01-28,55.88
1992-01-29,55.88
1992-01-30,55.88
1992-01-31,55.88
1992-02-03,55.88
1992-02-04,55.19
1992-02-05,55.19
1992-02-06,55.19
1992-02-07,55.19
1992-02-10,55.19
1992-02-11,55.19
1992-02-12,55.19
1992-02-13,55.19
1992-02-14,55.19
1992-02-17,56.57
1992-02-18,57.26
1992-02-19,57.26
1992-02-20,57.26
1992-02-21,57.94
1992-02-24,57.94
1992-02-25,57.94
1992-02-26,58.63
1992-02-27,58.63
1992-02-28,58.63
1992-03-02,58.63
1992-03-03,58.63
1992-03-04,58.63
1992-03-05,58.63
1992-03-06,58.63
1992-03-09,58.63
1992-03-10,58.63
1992-03-11,58.63
1992-03-12,57.94
1992-03-13,57.26
1992-03-16,57.26
1992-03-17,57.26
1992-03-18,57.26
1992-03-19,57.26
1992-03-20,57.26
1992-03-23,57.26
1992-03-24,56.57
1992-03-25,56.57
1992-03-26,56.57
1992-03-27,56.57
1992-03-30,56.57
1992-03-31,56.57
1992-04-01,55.19
1992-04-02,56.57
1992-04-03,55.88
1992-04-06,55.88
1992-04-07,55.88
1992-04-08,55.19
1992-04-09,55.19
1992-04-10,57.94
1992-04-13,57.94
1992-04-14,57.94
1992-04-15,57.94
1992-04-16,58.63
1992-04-17,58.63
1992-04-20,58.63
1992-04-21,58.63
1992-04-22,58.63
1992-04-23,58.63
1992-04-24,58.63
1992-04-27,58.63
1992-04-28,59.32
1992-04-29,59.32
1992-04-30,59.32
1992-05-01,59.32
1992-05-04,59.32
1992-05-05,59.32
1992-05-06,62.08
1992-05-07,62.08
1992-05-08,63.46
1992-05-11,64.15
1992-05-12,64.15
1992-05-13,62.77
1992-05-14,62.77
1992-05-15,62.08
1992-05-18,62.08
1992-05-19,62.08
1992-05-20,62.77
1992-05-21,62.77
1992-05-22,62.77
1992-05-25,62.77
1992-05-26,62.77
1992-05-27,62.77
1992-05-28,62.77
1992-05-29,62.77
1992-06-01,62.77
1992-06-02,62.77
1992-06-03,63.46
1992-06-04,63.46
1992-06-05,63.46
1992-06-08,63.46
1992-06-09,63.46
1992-06-10,63.46
1992-06-11,62.77
1992-06-12,62.77
1992-06-15,61.39
1992-06-16,61.39
1992-06-17,61.39
1992-06-18,61.39
1992-06-19,60.7
1992-06-22,60.7
1992-06-23,60.7
1992-06-24,60.01
1992-06-25,59.32
1992-06-26,59.32
1992-06-29,59.32
1992-06-30,57.94
1992-07-01,57.26
1992-07-02,57.94
1992-07-03,57.94
1992-07-06,57.94
1992-07-07,57.94
1992-07-08,57.94
1992-07-09,59.32
1992-07-10,59.32
1992-07-13,59.32
1992-07-14,59.32
1992-07-15,59.32
1992-07-16,60.01
1992-07-17,60.7
1992-07-20,60.01
1992-07-21,60.01
1992-07-22,60.01
