Date,Price
1990-01-02,3.65
1990-01-03,3.56
1990-01-04,3.48
1990-01-05,3.45
1990-01-08,3.54
1990-01-09,3.52
1990-01-10,3.5
1990-01-11,3.54
1990-01-12,3.46
1990-01-15,3.3
1990-01-16,3.44
1990-01-17,3.36
1990-01-18,3.41
1990-01-19,3.37
1990-01-22,3.26
1990-01-23,3.3
1990-01-24,3.28
1990-01-25,3.28
1990-01-26,3.3
1990-01-29,3.09
1990-01-30,2.98
1990-01-31,2.94
1990-02-01,3.09
1990-02-02,3.02
1990-02-05,2.96
1990-02-06,3.01
1990-02-07,3.0
1990-02-08,2.98
1990-02-09,3.15
1990-02-12,3.13
1990-02-13,3.23
1990-02-14,3.24
1990-02-15,3.24
1990-02-16,3.18
1990-02-20,3.15
1990-02-21,3.26
1990-02-22,3.24
1990-02-23,3.18
1990-02-26,3.15
1990-02-27,3.18
1990-02-28,3.22
1990-03-01,3.24
1990-03-02,3.3
1990-03-05,3.28
1990-03-06,3.38
1990-03-07,3.41
1990-03-08,3.43
1990-03-09,3.34
1990-03-12,3.48
1990-03-13,3.41
1990-03-14,3.46
1990-03-15,3.46
1990-03-16,3.58
1990-03-19,3.66
1990-03-20,3.59
1990-03-21,3.6
1990-03-22,3.54
1990-03-23,3.5
1990-03-26,3.54
1990-03-27,3.54
1990-03-28,3.54
1990-03-29,3.48
1990-03-30,3.42
1990-04-02,3.43
1990-04-03,3.52
1990-04-04,3.43
1990-04-05,3.46
1990-04-06,3.54
1990-04-09,3.58
1990-04-10,3.63
1990-04-11,3.67
1990-04-12,3.78
1990-04-16,3.73
1990-04-17,3.76
1990-04-18,3.8
1990-04-19,3.86
1990-04-20,3.84
1990-04-23,3.76
1990-04-24,3.78
1990-04-25,3.88
1990-04-26,3.8
1990-04-27,3.73
1990-04-30,3.74
1990-05-01,3.89
1990-05-02,3.91
1990-05-03,3.93
1990-05-04,3.97
1990-05-07,4.12
1990-05-08,4.16
1990-05-09,4.12
1990-05-10,4.16
1990-05-11,4.27
1990-05-14,4.23
1990-05-15,4.31
1990-05-16,4.31
1990-05-17,4.46
1990-05-18,4.53
1990-05-21,4.61
1990-05-22,4.83
1990-05-23,4.77
1990-05-24,4.85
1990-05-25,4.83
1990-05-29,4.83
1990-05-30,4.68
1990-05-31,4.83
1990-06-01,4.91
1990-06-04,4.94
1990-06-05,4.83
1990-06-06,4.87
1990-06-07,4.83
1990-06-08,4.64
1990-06-11,4.91
1990-06-12,5.02
1990-06-13,4.87
1990-06-14,4.72
1990-06-15,4.94
1990-06-18,4.72
1990-06-19,4.68
1990-06-20,4.68
1990-06-21,4.66
1990-06-22,4.79
1990-06-25,4.68
1990-06-26,4.83
1990-06-27,4.91
1990-06-28,4.98
1990-06-29,5.17
1990-07-02,5.13
1990-07-03,5.17
1990-07-05,5.09
1990-07-06,5.17
1990-07-09,5.28
1990-07-10,5.06
1990-07-11,5.02
1990-07-12,5.24
1990-07-13,5.17
1990-07-16,5.24
1990-07-17,5.09
1990-07-18,5.24
1990-07-19,5.22
1990-07-20,5.17
1990-07-23,5.09
1990-07-24,4.87
1990-07-25,4.91
1990-07-26,4.91
1990-07-27,4.72
1990-07-30,4.72
1990-07-31,4.83
1990-08-01,4.72
1990-08-02,4.68
1990-08-03,4.34
1990-08-06,3.99
1990-08-07,4.34
1990-08-08,4.42
1990-08-09,4.64
1990-08-10,4.46
1990-08-13,4.64
1990-08-14,4.7
1990-08-15,4.7
1990-08-16,4.34
1990-08-17,4.53
1990-08-20,4.38
1990-08-21,4.34
1990-08-22,4.27
1990-08-23,4.23
1990-08-24,4.34
1990-08-27,4.53
1990-08-28,4.74
1990-08-29,4.53
1990-08-30,4.38
1990-08-31,4.38
1990-09-04,4.61
1990-09-05,4.64
1990-09-06,4.49
1990-09-07,4.57
1990-09-10,4.57
1990-09-11,4.53
1990-09-12,4.57
1990-09-13,4.61
1990-09-14,4.57
1990-09-17,4.57
1990-09-18,4.64
1990-09-19,4.61
1990-09-20,4.49
1990-09-21,4.32
1990-09-24,4.31
1990-09-25,4.23
1990-09-26,4.12
1990-09-27,4.01
1990-09-28,4.23
1990-10-01,4.42
1990-10-02,4.46
1990-10-03,4.31
1990-10-04,4.34
1990-10-05,4.19
1990-10-08,4.12
1990-10-09,4.01
1990-10-10,3.89
1990-10-11,3.93
1990-10-12,4.01
1990-10-15,4.01
1990-10-16,3.97
1990-10-17,4.21
1990-10-18,4.31
1990-10-19,4.29
1990-10-22,4.42
1990-10-23,4.46
1990-10-24,4.46
1990-10-25,4.34
1990-10-26,4.32
1990-10-29,4.27
1990-10-30,4.31
1990-10-31,4.19
1990-11-01,4.32
1990-11-02,4.46
1990-11-05,4.49
1990-11-06,4.31
1990-11-07,4.19
1990-11-08,4.38
1990-11-09,4.57
1990-11-12,4.72
1990-11-13,4.76
1990-11-14,4.87
1990-11-15,4.68
1990-11-16,4.66
1990-11-19,4.87
1990-11-20,4.68
1990-11-21,4.79
1990-11-23,4.72
1990-11-26,4.98
1990-11-27,4.98
1990-11-28,5.0
1990-11-29,5.09
1990-11-30,5.24
1990-12-03,5.2
1990-12-04,5.2
1990-12-05,5.24
1990-12-06,5.39
1990-12-07,5.35
1990-12-10,5.37
1990-12-11,5.28
1990-12-12,5.17
1990-12-13,5.24
1990-12-14,5.24
1990-12-17,5.09
1990-12-18,5.19
1990-12-19,5.15
1990-12-20,5.2
1990-12-21,5.3
1990-12-24,5.2
1990-12-26,5.17
1990-12-27,5.09
1990-12-28,5.17
1990-12-31,5.17
