Date,Price
2001-09-03,20.37
2001-09-04,20.78
2001-09-05,19.69
2001-09-06,17.2
2001-09-07,17.72
2001-09-10,18.0
2001-09-11,16.72
2001-09-12,16.95
2001-09-13,16.53
2001-09-14,15.06
2001-09-17,15.3
2001-09-18,14.59
2001-09-19,13.82
2001-09-20,13.15
2001-09-21,12.67
2001-09-24,13.58
2001-09-25,14.25
2001-09-26,13.51
2001-09-27,13.06
2001-10-01,14.16
2001-10-02,14.7
2001-10-03,14.59
2001-10-04,16.96
2001-10-05,15.99
2001-10-08,16.95
2001-10-09,16.83
2001-10-10,17.56
2001-10-11,18.78
2001-10-12,18.39
2001-10-15,17.58
2001-10-17,19.54
2001-10-18,18.57
2001-10-19,18.06
2001-10-22,18.9
2001-10-23,20.05
2001-10-24,20.03
2001-10-25,19.31
2001-10-29,20.11
2001-10-30,18.48
2001-10-31,19.09
2001-11-01,19.47
2001-11-02,19.89
2001-11-05,20.96
2001-11-06,20.81
2001-11-07,21.34
2001-11-08,22.09
2001-11-09,21.65
2001-11-12,20.99
2001-11-13,22.65
2001-11-14,23.52
2001-11-15,24.04
2001-11-16,24.28
2001-11-19,24.31
2001-11-20,22.98
2001-11-21,22.72
2001-11-22,23.59
2001-11-23,23.72
2001-11-26,24.31
2001-11-27,23.43
2001-11-28,22.93
2001-11-29,22.55
2001-11-30,23.04
2001-12-03,22.64
2001-12-04,23.13
2001-12-05,25.56
2001-12-06,25.41
2001-12-07,24.04
2001-12-10,22.0
2001-12-11,21.92
2001-12-12,21.71
2001-12-13,20.91
2001-12-14,21.1
2001-12-17,22.14
2001-12-18,22.09
2001-12-19,21.85
2001-12-20,20.78
2001-12-21,21.32
2001-12-24,21.44
2001-12-27,21.97
2001-12-28,21.91
2002-01-02,22.33
2002-01-03,23.58
2002-01-04,23.58
2002-01-07,23.35
2002-01-08,22.73
2002-01-09,23.49
2002-01-10,22.66
2002-01-11,22.69
2002-01-14,21.76
2002-01-15,22.37
2002-01-16,21.33
2002-01-17,21.32
2002-01-18,20.97
2002-01-21,20.31
2002-01-22,20.68
2002-01-23,20.65
2002-01-24,21.76
2002-01-25,21.64
2002-01-28,21.88
2002-01-29,21.85
2002-01-30,21.47
2002-01-31,21.85
2002-02-01,21.79
2002-02-04,21.39
2002-02-05,20.89
2002-02-06,20.67
2002-02-07,21.06
2002-02-08,20.77
2002-02-11,20.91
2002-02-12,20.96
2002-02-13,21.27
2002-02-14,21.49
2002-02-15,21.43
2002-02-18,21.12
2002-02-19,20.46
2002-02-20,20.45
2002-02-21,20.06
2002-02-22,19.16
2002-02-25,19.91
2002-02-26,20.13
2002-02-27,20.96
2002-02-28,20.94
2002-03-01,21.63
2002-03-04,23.16
2002-03-05,23.22
2002-03-06,23.25
2002-03-07,23.7
2002-03-08,23.99
2002-03-11,23.63
2002-03-12,23.07
2002-03-13,22.94
2002-03-14,23.19
2002-03-15,22.91
2002-03-18,23.62
2002-03-19,23.93
2002-03-20,23.35
2002-03-21,23.16
2002-03-22,23.16
2002-03-25,23.07
2002-03-26,23.51
2002-03-27,23.22
2002-04-02,23.22
2002-04-03,22.85
2002-04-04,22.31
2002-04-05,22.04
2002-04-08,21.4
2002-04-09,21.56
2002-04-10,21.88
2002-04-11,21.24
2002-04-12,21.08
2002-04-15,21.21
2002-04-16,22.73
2002-04-17,23.07
2002-04-18,22.04
2002-04-19,21.83
2002-04-22,21.18
2002-04-23,21.83
2002-04-24,21.68
2002-04-25,21.08
2002-04-26,21.14
2002-04-29,20.86
2002-04-30,21.11
2002-05-02,20.77
2002-05-03,19.16
2002-05-06,19.41
2002-05-07,19.1
2002-05-08,20.1
2002-05-09,19.94
2002-05-10,19.52
2002-05-13,19.76
2002-05-14,20.36
2002-05-15,20.52
2002-05-16,20.46
2002-05-17,20.39
2002-05-20,20.19
2002-05-21,19.74
2002-05-22,19.16
2002-05-23,19.15
2002-05-24,19.03
2002-05-27,19.15
2002-05-28,19.03
2002-05-29,18.4
2002-05-30,17.84
2002-05-31,18.04
2002-06-03,17.13
2002-06-04,16.27
2002-06-05,16.33
2002-06-06,15.88
2002-06-07,14.99
2002-06-10,15.34
2002-06-11,15.42
2002-06-12,14.76
2002-06-13,14.38
2002-06-14,14.4
2002-06-17,15.27
2002-06-18,15.09
2002-06-19,14.87
2002-06-20,14.42
2002-06-21,14.49
2002-06-24,14.15
2002-06-25,14.56
2002-06-26,13.7
2002-06-27,14.73
2002-06-28,15.57
2002-07-01,15.33
2002-07-02,14.57
2002-07-03,13.96
2002-07-04,14.49
2002-07-05,15.6
2002-07-08,15.71
2002-07-09,15.29
2002-07-10,14.39
2002-07-11,14.07
2002-07-12,14.46
2002-07-15,14.26
2002-07-16,14.68
2002-07-17,15.71
2002-07-18,16.05
2002-07-19,15.01
2002-07-22,14.24
2002-07-23,14.49
2002-07-24,13.81
2002-07-25,13.1
2002-07-26,13.01
2002-07-29,13.72
2002-07-30,13.46
2002-07-31,13.26
2002-08-01,12.76
2002-08-02,11.96
2002-08-05,11.22
2002-08-06,12.1
2002-08-07,11.99
2002-08-08,12.25
2002-08-09,12.58
2002-08-12,12.27
2002-08-13,12.33
2002-08-14,11.56
2002-08-15,12.51
2002-08-16,12.58
2002-08-19,13.63
2002-08-20,13.55
2002-08-21,13.96
2002-08-22,14.64
2002-08-23,13.84
2002-08-26,13.56
2002-08-27,13.65
2002-08-28,12.85
2002-08-29,12.67
2002-08-30,12.7
2002-09-02,12.42
2002-09-03,11.74
2002-09-04,11.84
2002-09-05,11.31
2002-09-06,11.85
2002-09-09,11.29
2002-09-10,11.91
2002-09-11,12.34
2002-09-12,11.56
2002-09-13,10.93
2002-09-16,10.36
2002-09-17,10.06
2002-09-18,9.62
2002-09-19,9.39
2002-09-20,9.31
2002-09-23,8.66
2002-09-24,8.58
2002-09-25,8.84
2002-09-26,9.43
2002-09-27,9.24
2002-09-30,8.39
2002-10-01,8.37
2002-10-02,8.69
2002-10-03,8.32
2002-10-04,7.9
2002-10-07,7.49
2002-10-08,7.07
2002-10-09,7.24
2002-10-10,7.92
2002-10-11,8.77
2002-10-14,8.78
2002-10-15,10.28
2002-10-16,9.65
2002-10-17,10.55
2002-10-18,10.94
2002-10-21,11.15
2002-10-22,10.48
2002-10-23,10.94
2002-10-24,11.66
2002-10-25,11.78
2002-10-28,12.24
2002-10-29,11.18
2002-10-30,12.19
2002-10-31,12.36
2002-11-01,12.48
2002-11-04,13.57
2002-11-05,13.86
2002-11-06,13.68
2002-11-07,12.84
2002-11-08,12.15
2002-11-11,11.77
2002-11-12,12.6
2002-11-13,12.51
2002-11-14,13.24
2002-11-15,13.27
2002-11-18,13.74
2002-11-19,13.72
2002-11-20,13.97
2002-11-21,15.15
2002-11-22,15.12
2002-11-25,15.4
2002-11-26,15.12
2002-11-27,15.97
2002-11-28,16.06
2002-11-29,15.86
2002-12-02,15.81
2002-12-03,14.89
2002-12-04,14.51
2002-12-05,14.03
2002-12-06,14.04
2002-12-09,13.53
2002-12-10,13.95
2002-12-11,13.78
2002-12-12,13.37
2002-12-13,13.02
2002-12-16,13.63
2002-12-17,13.16
2002-12-18,12.24
2002-12-19,11.93
2002-12-20,12.2
2002-12-23,12.08
2002-12-24,12.0
2002-12-27,11.73
2002-12-30,11.71
2002-12-31,11.52
2003-01-01,11.5
2003-01-02,12.4
2003-01-03,12.9
2003-01-06,13.1
2003-01-07,12.98
2003-01-08,12.41
2003-01-09,12.8
2003-01-10,12.79
2003-01-13,12.79
2003-01-14,12.85
2003-01-15,12.64
2003-01-16,12.27
2003-01-17,11.44
2003-01-20,11.16
2003-01-21,11.1
2003-01-22,10.9
2003-01-23,11.0
2003-01-24,10.87
2003-01-27,10.54
2003-01-28,10.37
2003-01-29,10.44
2003-01-30,10.72
2003-01-31,10.34
2003-02-03,10.42
2003-02-04,10.02
