Date,Price
2000-01-03,19.84
2000-01-04,19.13
2000-01-05,18.33
2000-01-06,19.26
2000-01-07,19.61
2000-01-10,19.28
2000-01-11,18.54
2000-01-12,18.84
2000-01-13,19.8
2000-01-14,19.71
2000-01-17,19.03
2000-01-18,18.45
2000-01-19,18.78
2000-01-20,18.82
2000-01-21,18.35
2000-01-24,17.85
2000-01-25,17.85
2000-01-26,18.83
2000-01-27,18.83
2000-01-28,18.56
2000-01-31,18.2
2000-02-01,18.13
2000-02-02,17.6
2000-02-03,18.08
2000-02-04,18.91
2000-02-07,18.58
2000-02-08,18.61
2000-02-09,18.38
2000-02-10,17.83
2000-02-11,17.48
2000-02-14,17.83
2000-02-15,17.09
2000-02-16,17.73
2000-02-17,17.58
2000-02-18,17.78
2000-02-21,16.6
2000-02-22,16.37
2000-02-23,17.1
2000-02-24,16.14
2000-02-25,15.07
2000-02-28,16.12
2000-02-29,16.82
2000-03-01,17.51
2000-03-02,17.33
2000-03-03,17.04
2000-03-06,16.87
2000-03-07,15.97
2000-03-08,15.57
2000-03-09,15.33
2000-03-10,15.4
2000-03-13,15.4
2000-03-14,15.57
2000-03-15,16.5
2000-03-16,17.45
2000-03-17,17.07
2000-03-20,17.1
2000-03-21,17.33
2000-03-22,16.45
2000-03-23,16.42
2000-03-24,16.2
2000-03-27,16.71
2000-03-28,16.43
2000-03-29,16.77
2000-03-30,16.31
2000-03-31,16.75
2000-04-03,16.77
2000-04-04,17.97
2000-04-05,17.02
2000-04-06,17.07
2000-04-07,17.12
2000-04-10,16.94
2000-04-11,16.73
2000-04-12,16.73
2000-04-13,17.21
2000-04-14,17.36
2000-04-17,17.33
2000-04-18,16.86
2000-04-19,16.95
2000-04-20,17.45
2000-04-21,17.45
2000-04-24,17.45
2000-04-25,17.63
2000-04-26,18.43
2000-04-27,18.05
2000-04-28,18.08
2000-05-01,18.08
2000-05-02,17.98
2000-05-03,18.04
2000-05-04,18.18
2000-05-05,18.38
2000-05-08,18.71
2000-05-09,18.71
2000-05-10,18.56
2000-05-11,18.69
2000-05-12,18.92
2000-05-15,18.98
2000-05-16,19.03
2000-05-17,19.26
2000-05-18,19.43
2000-05-19,18.83
2000-05-22,19.21
2000-05-23,19.28
2000-05-24,18.86
2000-05-25,18.79
2000-05-26,18.2
2000-05-29,18.58
2000-05-30,17.95
2000-05-31,17.93
2000-06-01,18.58
2000-06-02,18.97
2000-06-05,18.76
2000-06-06,18.66
2000-06-07,18.32
2000-06-08,18.23
2000-06-09,17.7
2000-06-12,17.7
2000-06-13,17.65
2000-06-14,17.83
2000-06-15,17.78
2000-06-16,17.61
2000-06-19,17.61
2000-06-20,17.7
2000-06-21,17.5
2000-06-22,17.14
2000-06-23,17.83
2000-06-26,17.83
2000-06-27,17.76
2000-06-28,18.43
2000-06-29,18.29
2000-06-30,18.33
2000-07-03,18.2
2000-07-04,17.99
2000-07-05,17.8
2000-07-06,17.79
2000-07-07,17.79
2000-07-10,16.82
2000-07-11,17.7
2000-07-12,17.98
2000-07-13,17.8
2000-07-14,17.8
2000-07-17,17.93
2000-07-18,17.9
2000-07-19,17.65
2000-07-20,17.86
2000-07-21,18.45
2000-07-24,18.45
2000-07-25,19.1
2000-07-26,18.86
2000-07-27,18.86
2000-07-28,19.02
2000-07-31,18.49
2000-08-01,18.63
2000-08-02,19.33
2000-08-03,19.46
2000-08-04,19.4
2000-08-07,19.08
2000-08-08,19.21
2000-08-09,19.21
2000-08-10,19.12
2000-08-11,19.43
2000-08-14,19.47
2000-08-15,19.53
2000-08-16,19.33
2000-08-17,19.03
2000-08-18,19.01
2000-08-21,19.08
2000-08-22,19.36
2000-08-23,20.15
2000-08-24,20.05
2000-08-25,20.36
2000-08-28,20.35
2000-08-29,20.49
2000-08-30,20.38
2000-08-31,20.84
2000-09-01,20.97
2000-09-04,21.07
2000-09-05,21.07
2000-09-06,20.74
2000-09-07,19.95
2000-09-08,20.07
2000-09-11,19.33
2000-09-12,19.52
2000-09-13,19.33
2000-09-14,20.14
2000-09-15,20.49
2000-09-18,19.89
2000-09-19,18.67
2000-09-20,17.93
2000-09-21,17.7
2000-09-22,18.38
2000-09-25,17.85
2000-09-26,18.28
2000-09-27,18.15
2000-09-28,18.1
2000-09-29,17.93
2000-10-02,18.51
2000-10-03,18.53
2000-10-04,17.8
2000-10-05,17.95
2000-10-06,18.08
2000-10-09,17.85
2000-10-10,17.7
2000-10-11,17.58
2000-10-12,17.05
2000-10-13,16.57
2000-10-16,16.08
2000-10-17,17.01
2000-10-18,16.9
2000-10-19,17.97
2000-10-20,19.08
2000-10-23,18.67
2000-10-24,18.58
2000-10-25,18.04
2000-10-26,17.16
2000-10-27,17.19
2000-10-30,17.7
2000-10-31,17.7
2000-11-01,19.35
2000-11-02,18.83
2000-11-03,18.99
2000-11-06,18.77
2000-11-07,18.77
2000-11-08,18.72
2000-11-09,18.37
2000-11-10,18.43
2000-11-13,18.2
2000-11-14,18.13
2000-11-15,17.97
2000-11-16,18.03
2000-11-17,18.32
2000-11-20,18.53
2000-11-21,17.88
2000-11-22,17.83
2000-11-23,17.69
2000-11-24,17.75
2000-11-27,18.05
2000-11-28,18.03
2000-11-29,18.08
2000-11-30,17.83
2000-12-01,18.2
2000-12-04,18.28
2000-12-05,19.07
2000-12-06,20.04
2000-12-07,20.09
2000-12-08,19.84
2000-12-11,19.03
2000-12-12,19.21
2000-12-13,19.42
2000-12-14,18.81
2000-12-15,18.83
2000-12-18,19.48
2000-12-19,19.81
2000-12-20,19.46
2000-12-21,19.18
2000-12-22,19.23
2000-12-27,19.21
2000-12-28,19.45
2000-12-29,19.51
2001-01-01,19.51
2001-01-02,19.13
2001-01-03,18.93
2001-01-04,18.83
2001-01-05,18.47
2001-01-08,19.21
2001-01-09,19.43
2001-01-10,18.81
2001-01-11,18.51
2001-01-12,19.08
2001-01-15,19.33
2001-01-16,16.82
2001-01-17,17.38
2001-01-18,17.14
2001-01-19,17.07
2001-01-22,16.82
2001-01-23,17.33
2001-01-25,18.68
2001-01-29,18.96
2001-01-30,18.71
2001-01-31,18.68
2001-02-01,18.08
2001-02-02,17.88
2001-02-05,17.83
2001-02-06,17.64
2001-02-07,17.81
2001-02-08,18.4
2001-02-09,18.03
2001-02-12,17.6
2001-02-13,17.53
2001-02-14,17.25
2001-02-15,17.14
2001-02-16,17.43
2001-02-19,17.56
2001-02-20,17.56
2001-02-21,17.58
2001-02-22,17.55
2001-02-23,17.49
2001-02-26,17.58
2001-02-27,18.33
2001-02-28,17.83
2001-03-01,17.6
2001-03-02,18.19
2001-03-05,18.58
2001-03-06,18.63
2001-03-07,19.06
2001-03-08,19.43
2001-03-09,19.3
2001-03-12,18.83
2001-03-13,18.51
2001-03-15,18.13
2001-03-16,17.4
2001-03-19,17.17
2001-03-20,16.57
2001-03-21,15.73
2001-03-22,15.07
2001-03-23,15.39
2001-03-26,16.04
2001-03-27,16.82
2001-03-28,16.01
2001-03-29,16.45
2001-03-30,16.57
2001-04-02,16.28
2001-04-03,15.67
2001-04-04,15.92
2001-04-05,16.61
2001-04-06,16.55
2001-04-09,16.48
2001-04-10,16.57
2001-04-11,16.92
2001-04-12,17.27
2001-04-13,17.27
2001-04-16,17.27
2001-04-17,17.38
2001-04-18,17.83
2001-04-19,18.23
2001-04-20,18.48
2001-04-23,17.95
2001-04-24,18.23
2001-04-25,18.58
2001-04-26,18.33
2001-04-27,18.69
2001-04-30,19.32
2001-05-01,19.32
2001-05-02,18.84
2001-05-03,18.56
2001-05-04,18.17
2001-05-07,18.17
2001-05-08,18.12
2001-05-09,18.08
2001-05-10,17.92
2001-05-11,17.92
2001-05-14,17.7
2001-05-15,17.7
2001-05-16,18.24
2001-05-17,18.39
2001-05-18,18.54
2001-05-21,18.29
2001-05-22,18.84
2001-05-23,18.74
2001-05-24,18.61
2001-05-25,18.51
2001-05-28,18.38
2001-05-29,18.17
2001-05-30,17.74
2001-05-31,17.83
2001-06-01,17.73
2001-06-04,17.73
2001-06-05,18.15
2001-06-06,17.6
2001-06-07,17.81
2001-06-08,17.27
2001-06-11,16.82
2001-06-12,16.32
2001-06-13,16.57
2001-06-14,16.42
2001-06-15,16.31
2001-06-18,15.87
2001-06-19,15.98
2001-06-20,15.66
2001-06-21,15.33
2001-06-22,16.2
2001-06-25,16.32
2001-06-26,16.04
2001-06-27,15.99
2001-06-28,16.18
2001-06-29,16.4
2001-07-02,16.32
2001-07-03,16.33
2001-07-04,16.27
2001-07-05,16.02
2001-07-06,15.67
2001-07-09,15.99
2001-07-10,15.66
2001-07-11,14.81
2001-07-12,15.13
2001-07-13,15.13
2001-07-16,15.29
2001-07-17,14.86
2001-07-18,14.86
2001-07-19,14.66
2001-07-20,14.86
2001-07-23,15.19
2001-07-24,14.86
2001-07-25,14.24
2001-07-26,14.54
2001-07-27,14.81
2001-07-30,15.63
2001-07-31,15.32
2001-08-01,15.72
2001-08-02,16.2
2001-08-03,16.14
2001-08-06,16.26
2001-08-07,16.41
2001-08-08,16.42
2001-08-09,16.01
2001-08-10,16.07
2001-08-13,16.7
2001-08-14,16.72
2001-08-15,16.63
2001-08-16,16.41
2001-08-17,15.44
2001-08-20,15.74
2001-08-21,15.84
2001-08-22,15.89
2001-08-23,16.31
2001-08-24,16.12
2001-08-27,16.09
2001-08-28,16.27
2001-08-29,15.77
2001-08-30,15.42
2001-08-31,15.3
2001-09-03,14.96
2001-09-04,15.07
2001-09-05,15.19
2001-09-06,14.19
2001-09-07,14.06
2001-09-10,13.5
2001-09-11,12.64
2001-09-12,12.1
2001-09-13,12.43
2001-09-14,11.93
2001-09-17,11.55
2001-09-18,11.29
2001-09-19,11.63
2001-09-20,10.42
2001-09-21,11.05
2001-09-24,11.79
2001-09-25,12.05
2001-09-26,12.55
2001-09-27,12.62
2001-09-28,12.62
2001-10-01,10.19
2001-10-02,10.32
2001-10-03,10.04
2001-10-04,10.76
2001-10-05,10.67
2001-10-08,10.49
2001-10-09,10.25
2001-10-10,10.17
2001-10-11,10.65
2001-10-12,10.82
2001-10-15,10.74
2001-10-16,10.74
2001-10-17,10.99
2001-10-18,11.05
2001-10-19,10.42
2001-10-22,10.29
2001-10-23,11.05
2001-10-24,11.42
2001-10-25,11.05
2001-10-26,11.05
2001-10-29,11.14
2001-10-30,10.87
2001-10-31,11.17
2001-11-01,11.23
2001-11-02,11.45
2001-11-05,11.78
2001-11-06,11.48
2001-11-07,11.4
2001-11-08,11.4
2001-11-09,11.8
