Date,Price
1990-01-02,9.81
1990-01-03,9.44
1990-01-04,9.44
1990-01-05,9.32
1990-01-08,9.38
1990-01-09,9.32
1990-01-10,9.38
1990-01-11,9.32
1990-01-12,9.35
1990-01-15,9.35
1990-01-16,9.17
1990-01-17,9.1
1990-01-18,9.07
1990-01-19,8.95
1990-01-22,8.64
1990-01-23,8.55
1990-01-24,8.46
1990-01-25,8.39
1990-01-26,8.39
1990-01-29,8.33
1990-01-30,8.27
1990-01-31,8.64
1990-02-01,8.61
1990-02-02,8.58
1990-02-05,8.64
1990-02-06,8.64
1990-02-07,8.77
1990-02-08,8.7
1990-02-09,8.77
1990-02-12,8.64
1990-02-13,8.61
1990-02-14,8.64
1990-02-15,8.64
1990-02-16,8.7
1990-02-20,8.58
1990-02-21,8.73
1990-02-22,8.64
1990-02-23,8.7
1990-02-26,8.77
1990-02-27,8.86
1990-02-28,8.83
1990-03-01,8.83
1990-03-02,8.8
1990-03-05,8.7
1990-03-06,8.86
1990-03-07,8.86
1990-03-08,8.96
1990-03-09,8.93
1990-03-12,9.05
1990-03-13,8.9
1990-03-14,8.96
1990-03-15,9.02
1990-03-16,9.05
1990-03-19,8.99
1990-03-20,8.93
1990-03-21,8.86
1990-03-22,8.83
1990-03-23,8.68
1990-03-26,8.71
1990-03-27,8.86
1990-03-28,8.96
1990-03-29,8.86
1990-03-30,8.93
1990-04-02,8.86
1990-04-03,9.11
1990-04-04,8.58
1990-04-05,8.27
1990-04-06,8.37
1990-04-09,8.52
1990-04-10,8.58
1990-04-11,8.55
1990-04-12,8.65
1990-04-16,8.58
1990-04-17,8.49
1990-04-18,8.43
1990-04-19,8.46
1990-04-20,8.27
1990-04-23,8.18
1990-04-24,8.09
1990-04-25,8.15
1990-04-26,8.18
1990-04-27,8.02
1990-04-30,8.12
1990-05-01,8.24
1990-05-02,8.15
1990-05-03,8.02
1990-05-04,8.15
1990-05-07,7.96
1990-05-08,8.02
1990-05-09,8.27
1990-05-10,8.18
1990-05-11,8.34
1990-05-14,8.62
1990-05-15,8.74
1990-05-16,8.65
1990-05-17,8.55
1990-05-18,8.55
1990-05-21,8.58
1990-05-22,8.49
1990-05-23,8.55
1990-05-24,8.4
1990-05-25,8.34
1990-05-29,8.65
1990-05-30,8.55
1990-05-31,8.52
1990-06-01,8.62
1990-06-04,8.77
1990-06-05,8.71
1990-06-06,8.68
1990-06-07,8.59
1990-06-08,8.59
1990-06-11,8.78
1990-06-12,8.74
1990-06-13,8.68
1990-06-14,8.74
1990-06-15,8.71
1990-06-18,8.65
1990-06-19,8.59
1990-06-20,8.52
1990-06-21,8.52
1990-06-22,8.49
1990-06-25,8.46
1990-06-26,8.52
1990-06-27,8.62
1990-06-28,8.68
1990-06-29,8.65
1990-07-02,8.68
1990-07-03,8.81
1990-07-05,8.52
1990-07-06,8.59
1990-07-09,8.62
1990-07-10,8.52
1990-07-11,8.56
1990-07-12,8.78
1990-07-13,8.68
1990-07-16,8.68
1990-07-17,8.74
1990-07-18,8.74
1990-07-19,8.71
1990-07-20,8.68
1990-07-23,8.74
1990-07-24,8.59
1990-07-25,8.62
1990-07-26,8.68
1990-07-27,8.52
1990-07-30,8.78
1990-07-31,8.84
1990-08-01,8.96
1990-08-02,8.9
1990-08-03,8.59
1990-08-06,8.18
1990-08-07,8.21
1990-08-08,8.15
1990-08-09,8.12
1990-08-10,7.8
1990-08-13,7.68
1990-08-14,7.87
1990-08-15,8.12
1990-08-16,8.09
1990-08-17,8.02
1990-08-20,7.93
1990-08-21,7.8
1990-08-22,7.65
1990-08-23,7.27
1990-08-24,7.27
1990-08-27,7.46
1990-08-28,7.43
1990-08-29,7.62
1990-08-30,7.4
1990-08-31,7.37
1990-09-04,7.41
1990-09-05,7.5
1990-09-06,7.54
1990-09-07,7.69
1990-09-10,7.79
1990-09-11,7.79
1990-09-12,7.76
1990-09-13,7.63
1990-09-14,7.6
1990-09-17,7.66
1990-09-18,7.79
1990-09-19,7.63
1990-09-20,7.47
1990-09-21,7.6
1990-09-24,7.41
1990-09-25,7.5
1990-09-26,7.44
1990-09-27,7.44
1990-09-28,7.73
1990-10-01,7.76
1990-10-02,7.76
1990-10-03,7.6
1990-10-04,7.6
1990-10-05,7.54
1990-10-08,7.44
1990-10-09,7.09
1990-10-10,6.97
1990-10-11,6.84
1990-10-12,6.87
1990-10-15,6.97
1990-10-16,6.9
1990-10-17,6.97
1990-10-18,7.25
1990-10-19,7.44
1990-10-22,7.44
1990-10-23,7.38
1990-10-24,7.31
1990-10-25,7.25
1990-10-26,7.22
1990-10-29,6.97
1990-10-30,7.0
1990-10-31,7.0
1990-11-01,7.12
1990-11-02,7.35
1990-11-05,7.31
1990-11-06,7.09
1990-11-07,6.74
1990-11-08,6.81
1990-11-09,7.0
1990-11-12,7.19
1990-11-13,6.9
1990-11-14,7.16
1990-11-15,7.28
1990-11-16,7.22
1990-11-19,7.25
1990-11-20,7.22
1990-11-21,7.28
1990-11-23,7.28
1990-11-26,7.35
1990-11-27,7.19
1990-11-28,7.28
1990-11-29,7.31
1990-11-30,7.35
1990-12-03,7.39
1990-12-04,7.52
1990-12-05,7.49
1990-12-06,7.58
1990-12-07,7.62
1990-12-10,7.58
1990-12-11,7.68
1990-12-12,7.62
1990-12-13,7.39
1990-12-14,7.39
1990-12-17,7.42
1990-12-18,7.84
1990-12-19,7.81
1990-12-20,7.74
1990-12-21,7.78
1990-12-24,7.68
1990-12-26,7.55
1990-12-27,7.62
1990-12-28,7.62
1990-12-31,7.42
1991-01-02,7.42
1991-01-03,7.26
1991-01-04,7.36
1991-01-07,7.2
1991-01-08,7.1
1991-01-09,6.82
1991-01-10,6.91
1991-01-11,6.91
1991-01-14,6.98
1991-01-15,6.98
1991-01-16,7.04
1991-01-17,7.3
1991-01-18,7.65
1991-01-21,7.55
1991-01-22,7.3
1991-01-23,7.65
1991-01-24,7.74
1991-01-25,7.81
1991-01-28,7.81
1991-01-29,7.84
1991-01-30,7.87
1991-01-31,8.06
1991-02-01,8.26
1991-02-04,8.29
1991-02-05,8.26
1991-02-06,8.42
1991-02-07,8.83
1991-02-08,8.77
1991-02-11,8.99
1991-02-12,8.86
1991-02-13,9.09
1991-02-14,9.09
1991-02-15,9.31
1991-02-19,9.28
1991-02-20,8.93
1991-02-21,8.83
1991-02-22,9.02
1991-02-25,9.02
1991-02-26,8.93
1991-02-27,9.09
1991-02-28,8.89
1991-03-01,9.15
1991-03-04,9.15
1991-03-05,9.16
1991-03-06,9.13
1991-03-07,9.16
1991-03-08,9.2
1991-03-11,9.29
1991-03-12,9.13
1991-03-13,9.16
1991-03-14,8.94
1991-03-15,9.0
1991-03-18,9.07
1991-03-19,9.0
1991-03-20,9.13
1991-03-21,8.84
1991-03-22,9.13
1991-03-25,9.13
1991-03-26,9.16
1991-03-27,9.26
1991-03-28,9.16
1991-04-01,8.94
1991-04-02,9.2
1991-04-03,9.03
1991-04-04,9.03
1991-04-05,8.97
1991-04-08,9.23
1991-04-09,9.16
1991-04-10,9.03
1991-04-11,9.2
1991-04-12,9.16
1991-04-15,9.0
1991-04-16,9.03
1991-04-17,9.16
1991-04-18,9.13
1991-04-19,9.36
1991-04-22,9.62
1991-04-23,9.36
1991-04-24,9.45
1991-04-25,9.39
1991-04-26,9.36
1991-04-29,9.16
1991-04-30,9.33
1991-05-01,9.52
1991-05-02,9.42
1991-05-03,9.23
1991-05-06,9.0
1991-05-07,9.1
1991-05-08,9.26
1991-05-09,9.45
1991-05-10,9.16
1991-05-13,9.26
1991-05-14,9.07
1991-05-15,9.23
1991-05-16,9.13
1991-05-17,9.2
1991-05-20,9.07
1991-05-21,9.07
1991-05-22,9.07
1991-05-23,8.81
1991-05-24,8.97
1991-05-28,8.91
1991-05-29,9.07
1991-05-30,9.55
1991-05-31,9.65
1991-06-03,9.74
1991-06-04,10.15
1991-06-05,9.76
1991-06-06,9.92
1991-06-07,10.8
1991-06-10,10.51
1991-06-11,10.15
1991-06-12,9.99
1991-06-13,9.92
1991-06-14,10.12
1991-06-17,10.28
1991-06-18,10.41
1991-06-19,10.34
1991-06-20,10.41
1991-06-21,10.34
1991-06-24,10.15
1991-06-25,9.86
1991-06-26,9.92
1991-06-27,10.08
1991-06-28,9.92
1991-07-01,10.12
1991-07-02,10.18
1991-07-03,9.95
1991-07-05,10.02
1991-07-08,10.15
1991-07-09,10.08
1991-07-10,10.15
1991-07-11,10.41
1991-07-12,10.64
1991-07-15,10.73
1991-07-16,10.57
1991-07-17,10.6
1991-07-18,10.73
1991-07-19,10.77
1991-07-22,10.7
1991-07-23,10.7
1991-07-24,10.6
1991-07-25,10.64
1991-07-26,10.8
1991-07-29,11.03
1991-07-30,11.16
1991-07-31,11.19
1991-08-01,11.35
1991-08-02,11.12
1991-08-05,10.9
1991-08-06,10.9
1991-08-07,10.86
1991-08-08,10.8
1991-08-09,10.64
1991-08-12,10.67
1991-08-13,10.6
1991-08-14,10.31
1991-08-15,10.28
1991-08-16,10.34
1991-08-19,9.95
1991-08-20,10.08
1991-08-21,10.31
1991-08-22,10.41
1991-08-23,10.51
1991-08-26,10.7
1991-08-27,10.77
1991-08-28,10.8
1991-08-29,10.67
1991-08-30,10.47
1991-09-03,10.1
1991-09-04,10.1
1991-09-05,10.23
1991-09-06,10.1
1991-09-09,9.96
1991-09-10,9.8
1991-09-11,9.77
1991-09-12,10.03
1991-09-13,10.03
1991-09-16,10.13
1991-09-17,10.03
1991-09-18,10.26
1991-09-19,10.46
1991-09-20,10.1
1991-09-23,10.0
1991-09-24,10.13
1991-09-25,10.03
1991-09-26,10.06
1991-09-27,10.1
1991-09-30,10.26
1991-10-01,10.26
1991-10-02,10.1
1991-10-03,10.1
1991-10-04,10.13
1991-10-07,10.06
1991-10-08,10.1
1991-10-09,10.03
1991-10-10,9.93
1991-10-11,9.9
1991-10-14,10.03
1991-10-15,10.29
1991-10-16,10.26
1991-10-17,10.26
1991-10-18,10.46
1991-10-21,10.55
1991-10-22,10.55
1991-10-23,10.62
1991-10-24,10.52
1991-10-25,10.52
1991-10-28,10.72
1991-10-29,10.59
1991-10-30,10.65
1991-10-31,10.62
1991-11-01,10.55
1991-11-04,10.62
1991-11-05,10.55
1991-11-06,10.49
1991-11-07,10.36
1991-11-08,10.42
1991-11-11,10.33
1991-11-12,10.06
1991-11-13,10.13
1991-11-14,10.16
1991-11-15,10.23
1991-11-18,9.96
1991-11-19,9.57
1991-11-20,9.64
1991-11-21,9.83
1991-11-22,9.8
1991-11-25,9.95
1991-11-26,10.05
1991-11-27,10.01
1991-11-29,9.75
1991-12-02,9.95
1991-12-03,9.85
1991-12-04,9.92
1991-12-05,9.88
1991-12-06,9.72
1991-12-09,9.65
1991-12-10,9.85
1991-12-11,9.72
1991-12-12,9.65
1991-12-13,9.82
1991-12-16,9.85
1991-12-17,9.55
1991-12-18,9.68
1991-12-19,9.62
1991-12-20,9.85
1991-12-23,10.35
1991-12-24,10.41
1991-12-26,10.74
1991-12-27,10.74
1991-12-30,10.97
1991-12-31,10.81
1992-01-02,10.81
1992-01-03,10.87
1992-01-06,10.74
1992-01-07,10.71
1992-01-08,10.94
1992-01-09,11.44
1992-01-10,11.27
1992-01-13,11.11
1992-01-14,11.17
1992-01-15,11.04
1992-01-16,11.67
1992-01-17,11.57
1992-01-20,11.73
1992-01-21,11.63
1992-01-22,11.77
1992-01-23,11.83
1992-01-24,11.57
1992-01-27,11.77
1992-01-28,11.7
1992-01-29,11.73
1992-01-30,11.77
1992-01-31,11.5
1992-02-03,11.34
1992-02-04,11.47
1992-02-05,11.44
1992-02-06,11.6
1992-02-07,11.47
1992-02-10,11.47
1992-02-11,11.7
1992-02-12,12.03
1992-02-13,12.23
1992-02-14,12.16
1992-02-18,12.03
1992-02-19,12.39
1992-02-20,12.63
1992-02-21,12.46
1992-02-24,12.33
1992-02-25,12.13
1992-02-26,12.36
1992-02-27,12.3
1992-02-28,12.53
1992-03-02,12.59
1992-03-03,12.43
1992-03-04,12.23
1992-03-05,12.36
1992-03-06,12.3
1992-03-09,12.43
1992-03-10,12.28
1992-03-11,12.11
1992-03-12,12.21
1992-03-13,12.18
1992-03-16,12.21
1992-03-17,12.38
1992-03-18,12.38
1992-03-19,12.41
1992-03-20,12.28
1992-03-23,12.31
1992-03-24,12.28
1992-03-25,11.84
1992-03-26,11.88
1992-03-27,11.84
1992-03-30,11.94
1992-03-31,12.08
1992-04-01,12.08
1992-04-02,11.68
1992-04-03,11.01
1992-04-06,11.08
1992-04-07,10.85
1992-04-08,10.55
1992-04-09,10.61
1992-04-10,10.88
1992-04-13,11.28
1992-04-14,11.38
1992-04-15,11.48
1992-04-16,11.45
1992-04-20,11.25
1992-04-21,11.08
1992-04-22,10.98
1992-04-23,10.95
1992-04-24,11.18
1992-04-27,11.25
1992-04-28,11.51
1992-04-29,11.58
1992-04-30,11.65
1992-05-01,11.51
1992-05-04,11.51
1992-05-05,11.38
1992-05-06,11.45
1992-05-07,11.31
1992-05-08,11.25
1992-05-11,11.38
1992-05-12,11.11
1992-05-13,11.08
1992-05-14,10.91
1992-05-15,10.78
1992-05-18,10.95
1992-05-19,11.05
1992-05-20,11.01
1992-05-21,10.68
1992-05-22,10.71
1992-05-26,10.48
1992-05-27,10.75
1992-05-28,10.95
1992-05-29,10.91
1992-06-01,10.91
1992-06-02,10.9
1992-06-03,10.9
1992-06-04,11.06
1992-06-05,10.96
1992-06-08,10.93
1992-06-09,10.8
1992-06-10,10.59
1992-06-11,10.66
1992-06-12,10.73
1992-06-15,10.73
1992-06-16,10.59
1992-06-17,10.36
1992-06-18,10.59
1992-06-19,10.63
1992-06-22,10.53
1992-06-23,10.39
1992-06-24,10.76
1992-06-25,10.63
1992-06-26,10.8
1992-06-29,10.9
1992-06-30,10.66
1992-07-01,10.83
1992-07-02,10.8
1992-07-06,10.73
1992-07-07,10.33
1992-07-08,10.43
1992-07-09,10.46
1992-07-10,10.43
1992-07-13,10.46
1992-07-14,10.53
1992-07-15,10.23
1992-07-16,10.26
1992-07-17,10.29
1992-07-20,10.36
1992-07-21,10.26
1992-07-22,10.33
1992-07-23,10.46
1992-07-24,10.46
1992-07-27,10.53
1992-07-28,10.66
1992-07-29,10.8
1992-07-30,10.73
1992-07-31,10.69
1992-08-03,10.63
1992-08-04,10.73
1992-08-05,10.69
1992-08-06,10.73
1992-08-07,10.73
1992-08-10,10.73
1992-08-11,10.69
1992-08-12,10.66
1992-08-13,10.63
1992-08-14,10.73
1992-08-17,10.69
1992-08-18,10.69
