Date,Price
1990-04-26,2.28
1990-04-27,2.24
1990-04-30,2.26
1990-05-01,2.28
1990-05-02,2.24
1990-05-03,2.22
1990-05-04,2.24
1990-05-07,2.24
1990-05-08,2.19
1990-05-09,2.17
1990-05-10,2.17
1990-05-11,2.22
1990-05-14,2.26
1990-05-15,2.24
1990-05-16,2.22
1990-05-17,2.22
1990-05-18,2.24
1990-05-21,2.24
1990-05-22,2.22
1990-05-23,2.26
1990-05-24,2.28
1990-05-25,2.33
1990-05-29,2.26
1990-05-30,2.28
1990-05-31,2.26
1990-06-01,2.31
1990-06-04,2.33
1990-06-05,2.28
1990-06-06,2.28
1990-06-07,2.26
1990-06-08,2.28
1990-06-11,2.26
1990-06-12,2.24
1990-06-13,2.28
1990-06-14,2.28
1990-06-15,2.31
1990-06-18,2.28
1990-06-19,2.28
1990-06-20,2.31
1990-06-21,2.28
1990-06-22,2.31
1990-06-25,2.33
1990-06-26,2.35
1990-06-27,2.45
1990-06-28,2.58
1990-06-29,2.65
1990-07-02,2.63
1990-07-03,2.82
1990-07-05,2.82
1990-07-06,2.82
1990-07-09,2.84
1990-07-10,2.98
1990-07-11,3.07
1990-07-12,3.02
1990-07-13,2.91
1990-07-16,2.91
1990-07-17,2.93
1990-07-18,2.86
1990-07-19,2.79
1990-07-20,2.93
1990-07-23,2.79
1990-07-24,2.75
1990-07-25,2.77
1990-07-26,2.84
1990-07-27,2.93
1990-07-30,2.88
1990-07-31,2.91
1990-08-01,2.95
1990-08-02,2.82
1990-08-03,2.82
1990-08-06,2.58
1990-08-07,2.56
1990-08-08,2.58
1990-08-09,2.58
1990-08-10,2.58
1990-08-13,2.58
1990-08-14,2.63
1990-08-15,2.68
1990-08-16,2.68
1990-08-17,2.58
1990-08-20,2.58
1990-08-21,2.49
1990-08-22,2.45
1990-08-23,2.31
1990-08-24,2.38
1990-08-27,2.58
1990-08-28,2.61
1990-08-29,2.65
1990-08-30,2.58
1990-08-31,2.61
1990-09-04,2.58
1990-09-05,2.58
1990-09-06,2.58
1990-09-07,2.56
1990-09-10,2.58
1990-09-11,2.56
1990-09-12,2.54
1990-09-13,2.49
1990-09-14,2.47
1990-09-17,2.52
1990-09-18,2.45
1990-09-19,2.45
1990-09-20,2.45
1990-09-21,2.45
1990-09-24,2.31
1990-09-25,2.35
1990-09-26,2.28
1990-09-27,2.26
1990-09-28,2.22
1990-10-01,2.22
1990-10-02,2.35
1990-10-03,2.38
1990-10-04,2.4
1990-10-05,2.4
1990-10-08,2.38
1990-10-09,2.28
1990-10-10,2.22
1990-10-11,2.19
1990-10-12,2.22
1990-10-15,2.22
1990-10-16,2.24
1990-10-17,2.19
1990-10-18,2.22
1990-10-19,2.22
1990-10-22,2.17
1990-10-23,2.12
1990-10-24,2.19
1990-10-25,2.15
1990-10-26,2.01
1990-10-29,1.98
1990-10-30,1.98
1990-10-31,2.05
1990-11-01,2.01
1990-11-02,2.01
1990-11-05,2.05
1990-11-06,2.08
1990-11-07,2.12
1990-11-08,2.12
1990-11-09,2.22
1990-11-12,2.22
1990-11-13,2.26
1990-11-14,2.33
1990-11-15,2.31
1990-11-16,2.28
1990-11-19,2.24
1990-11-20,2.17
1990-11-21,2.22
1990-11-23,2.19
1990-11-26,2.17
1990-11-27,2.26
1990-11-28,2.28
1990-11-29,2.28
1990-11-30,2.31
1990-12-03,2.35
1990-12-04,2.35
1990-12-05,2.33
1990-12-06,2.4
1990-12-07,2.33
1990-12-10,2.31
1990-12-11,2.22
1990-12-12,2.26
1990-12-13,2.22
1990-12-14,2.22
1990-12-17,2.19
1990-12-18,2.28
1990-12-19,2.28
1990-12-20,2.28
1990-12-21,2.28
1990-12-24,2.26
1990-12-26,2.24
1990-12-27,2.24
1990-12-28,2.28
1990-12-31,2.26
1991-01-02,2.26
1991-01-03,2.28
1991-01-04,2.26
1991-01-07,2.19
1991-01-08,2.22
1991-01-09,2.22
1991-01-10,2.24
1991-01-11,2.22
1991-01-14,2.22
1991-01-15,2.22
1991-01-16,2.22
1991-01-17,2.45
1991-01-18,2.42
1991-01-21,2.4
1991-01-22,2.45
1991-01-23,2.58
1991-01-24,2.58
1991-01-25,2.58
1991-01-28,2.63
1991-01-29,2.65
1991-01-30,2.68
1991-01-31,2.68
1991-02-01,2.77
