Date,Price
1990-03-26,1.18
1990-03-27,1.18
1990-03-28,1.15
1990-03-29,1.17
1990-03-30,1.19
1990-04-02,1.18
1990-04-03,1.18
1990-04-04,1.19
1990-04-05,1.19
1990-04-06,1.19
1990-04-09,1.19
1990-04-10,1.18
1990-04-11,1.18
1990-04-12,1.18
1990-04-16,1.15
1990-04-17,1.15
1990-04-18,1.13
1990-04-19,1.15
1990-04-20,1.15
1990-04-23,1.12
1990-04-24,1.13
1990-04-25,1.15
1990-04-26,1.15
1990-04-27,1.18
1990-04-30,1.21
1990-05-01,1.19
1990-05-02,1.19
1990-05-03,1.24
1990-05-04,1.25
1990-05-07,1.25
1990-05-08,1.24
1990-05-09,1.25
1990-05-10,1.25
1990-05-11,1.28
1990-05-14,1.34
1990-05-15,1.37
1990-05-16,1.37
1990-05-17,1.34
1990-05-18,1.37
1990-05-21,1.45
1990-05-22,1.43
1990-05-23,1.4
1990-05-24,1.43
1990-05-25,1.42
1990-05-29,1.45
1990-05-30,1.46
1990-05-31,1.42
1990-06-01,1.39
1990-06-04,1.4
1990-06-05,1.37
1990-06-06,1.39
1990-06-07,1.4
1990-06-08,1.4
1990-06-11,1.4
1990-06-12,1.4
1990-06-13,1.42
1990-06-14,1.43
1990-06-15,1.45
1990-06-18,1.42
1990-06-19,1.43
1990-06-20,1.43
1990-06-21,1.43
1990-06-22,1.46
1990-06-25,1.48
1990-06-26,1.49
1990-06-27,1.48
1990-06-28,1.51
1990-06-29,1.54
1990-07-02,1.58
1990-07-03,1.64
1990-07-05,1.62
1990-07-06,1.6
1990-07-09,1.57
1990-07-10,1.52
1990-07-11,1.57
1990-07-12,1.57
1990-07-13,1.57
1990-07-16,1.58
1990-07-17,1.58
1990-07-18,1.58
1990-07-19,1.57
1990-07-20,1.55
1990-07-23,1.52
1990-07-24,1.42
1990-07-25,1.45
1990-07-26,1.45
1990-07-27,1.42
1990-07-30,1.43
1990-07-31,1.46
1990-08-01,1.43
1990-08-02,1.43
1990-08-03,1.33
1990-08-06,1.15
1990-08-07,1.18
1990-08-08,1.3
1990-08-09,1.28
1990-08-10,1.21
1990-08-13,1.25
1990-08-14,1.28
1990-08-15,1.39
1990-08-16,1.36
1990-08-17,1.36
1990-08-20,1.37
1990-08-21,1.34
1990-08-22,1.31
1990-08-23,1.25
1990-08-24,1.28
1990-08-27,1.33
1990-08-28,1.33
1990-08-29,1.31
1990-08-30,1.31
1990-08-31,1.31
1990-09-04,1.45
1990-09-05,1.39
1990-09-06,1.31
1990-09-07,1.33
1990-09-10,1.34
1990-09-11,1.36
1990-09-12,1.42
1990-09-13,1.42
1990-09-14,1.46
1990-09-17,1.48
1990-09-18,1.46
1990-09-19,1.43
1990-09-20,1.37
1990-09-21,1.36
1990-09-24,1.31
1990-09-25,1.39
1990-09-26,1.36
1990-09-27,1.37
1990-09-28,1.42
1990-10-01,1.43
1990-10-02,1.43
1990-10-03,1.39
1990-10-04,1.4
1990-10-05,1.34
1990-10-08,1.34
1990-10-09,1.19
1990-10-10,1.16
1990-10-11,1.16
1990-10-12,1.16
1990-10-15,1.19
1990-10-16,1.1
1990-10-17,1.13
1990-10-18,1.27
1990-10-19,1.33
1990-10-22,1.31
1990-10-23,1.31
1990-10-24,1.28
1990-10-25,1.25
1990-10-26,1.22
1990-10-29,1.21
1990-10-30,1.19
1990-10-31,1.16
1990-11-01,1.16
1990-11-02,1.22
1990-11-05,1.25
1990-11-06,1.24
1990-11-07,1.18
1990-11-08,1.2
1990-11-09,1.25
1990-11-12,1.33
1990-11-13,1.3
1990-11-14,1.3
1990-11-15,1.31
1990-11-16,1.32
1990-11-19,1.33
1990-11-20,1.33
1990-11-21,1.34
1990-11-23,1.34
1990-11-26,1.34
1990-11-27,1.34
1990-11-28,1.34
1990-11-29,1.33
1990-11-30,1.34
1990-12-03,1.37
1990-12-04,1.46
1990-12-05,1.54
1990-12-06,1.5
1990-12-07,1.5
1990-12-10,1.48
1990-12-11,1.51
1990-12-12,1.51
1990-12-13,1.51
1990-12-14,1.54
1990-12-17,1.57
1990-12-18,1.69
1990-12-19,1.73
1990-12-20,1.76
1990-12-21,1.72
1990-12-24,1.7
1990-12-26,1.66
1990-12-27,1.57
1990-12-28,1.57
1990-12-31,1.6
1991-01-02,1.61
1991-01-03,1.6
1991-01-04,1.6
1991-01-07,1.59
1991-01-08,1.67
1991-01-09,1.66
1991-01-10,1.7
1991-01-11,1.73
1991-01-14,1.76
1991-01-15,1.75
1991-01-16,1.88
1991-01-17,1.94
1991-01-18,2.11
1991-01-21,2.02
1991-01-22,2.02
1991-01-23,1.99
1991-01-24,2.08
1991-01-25,2.18
1991-01-28,2.14
1991-01-29,2.14
1991-01-30,2.19
1991-01-31,2.19
1991-02-01,2.24
1991-02-04,2.21
1991-02-05,2.45
1991-02-06,2.43
1991-02-07,2.24
1991-02-08,2.35
1991-02-11,2.46
1991-02-12,2.61
