Date,Price
1990-01-02,6.13
1990-01-03,6.28
1990-01-04,6.31
1990-01-05,6.09
1990-01-08,6.31
1990-01-09,6.35
1990-01-10,6.31
1990-01-11,6.05
1990-01-12,6.13
1990-01-15,6.17
1990-01-16,6.02
1990-01-17,5.98
1990-01-18,5.75
1990-01-19,5.83
1990-01-22,5.68
1990-01-23,5.68
1990-01-24,5.53
1990-01-25,5.46
1990-01-26,5.34
1990-01-29,5.31
1990-01-30,5.19
1990-01-31,5.53
1990-02-01,5.53
1990-02-02,5.94
1990-02-05,5.94
1990-02-06,5.9
1990-02-07,5.94
1990-02-08,5.79
1990-02-09,5.75
1990-02-12,5.68
1990-02-13,5.72
1990-02-14,5.79
1990-02-15,5.79
1990-02-16,5.94
1990-02-20,5.79
1990-02-21,5.9
1990-02-22,5.79
1990-02-23,5.64
1990-02-26,5.64
1990-02-27,5.53
1990-02-28,5.53
1990-03-01,5.6
1990-03-02,5.53
1990-03-05,5.38
1990-03-06,5.38
1990-03-07,5.38
1990-03-08,5.42
1990-03-09,5.45
1990-03-12,5.49
1990-03-13,5.42
1990-03-14,5.49
1990-03-15,5.53
1990-03-16,5.6
1990-03-19,5.49
1990-03-20,5.38
1990-03-21,5.38
1990-03-22,5.23
1990-03-23,5.26
1990-03-26,5.26
1990-03-27,5.34
1990-03-28,5.53
1990-03-29,5.45
1990-03-30,5.45
1990-04-02,5.34
1990-04-03,5.38
1990-04-04,5.3
1990-04-05,5.42
1990-04-06,5.72
1990-04-09,5.9
1990-04-10,5.83
1990-04-11,5.75
1990-04-12,5.9
1990-04-16,5.94
1990-04-17,5.87
1990-04-18,5.79
1990-04-19,5.64
1990-04-20,6.13
1990-04-23,6.43
1990-04-24,6.81
1990-04-25,6.81
1990-04-26,6.84
1990-04-27,6.54
1990-04-30,6.96
1990-05-01,6.88
1990-05-02,6.96
1990-05-03,6.81
1990-05-04,6.88
1990-05-07,6.88
1990-05-08,6.92
1990-05-09,6.96
1990-05-10,6.84
1990-05-11,6.92
1990-05-14,7.07
1990-05-15,7.07
1990-05-16,6.99
1990-05-17,7.03
1990-05-18,7.03
1990-05-21,6.99
1990-05-22,7.26
1990-05-23,7.41
1990-05-24,7.37
1990-05-25,7.18
1990-05-29,7.37
1990-05-30,7.52
1990-05-31,7.75
1990-06-01,7.75
1990-06-04,7.52
1990-06-05,7.56
1990-06-06,7.48
1990-06-07,7.37
1990-06-08,7.37
1990-06-11,7.45
1990-06-12,7.41
1990-06-13,7.71
1990-06-14,7.45
1990-06-15,7.41
1990-06-18,7.29
1990-06-19,7.56
1990-06-20,7.63
1990-06-21,7.82
1990-06-22,7.98
1990-06-25,7.9
1990-06-26,8.05
1990-06-27,8.05
1990-06-28,8.01
1990-06-29,7.98
1990-07-02,7.75
1990-07-03,8.01
1990-07-05,7.79
1990-07-06,7.63
1990-07-09,7.75
1990-07-10,7.75
1990-07-11,7.79
1990-07-12,7.86
1990-07-13,7.82
1990-07-16,7.82
1990-07-17,7.94
1990-07-18,7.71
1990-07-19,7.63
1990-07-20,7.56
1990-07-23,7.11
1990-07-24,7.37
1990-07-25,7.67
1990-07-26,7.75
1990-07-27,7.41
1990-07-30,7.41
1990-07-31,7.41
1990-08-01,7.52
1990-08-02,7.37
1990-08-03,6.8
1990-08-06,6.09
1990-08-07,6.46
1990-08-08,7.11
1990-08-09,7.18
1990-08-10,6.84
1990-08-13,7.48
1990-08-14,7.18
1990-08-15,7.29
1990-08-16,7.26
1990-08-17,7.11
1990-08-20,7.14
1990-08-21,6.95
1990-08-22,6.61
1990-08-23,6.39
