Date,Price
1990-01-02,5.76
1990-01-03,5.76
1990-01-04,5.7
1990-01-05,5.58
1990-01-08,5.52
1990-01-09,5.49
1990-01-10,5.52
1990-01-11,5.58
1990-01-12,5.52
1990-01-15,5.46
1990-01-16,5.49
1990-01-17,5.43
1990-01-18,5.4
1990-01-19,5.37
1990-01-22,5.31
1990-01-23,5.34
1990-01-24,5.25
1990-01-25,5.23
1990-01-26,5.25
1990-01-29,5.25
1990-01-30,5.17
1990-01-31,5.23
1990-02-01,5.2
1990-02-02,5.23
1990-02-05,5.31
1990-02-06,5.23
1990-02-07,5.28
1990-02-08,5.28
1990-02-09,5.28
1990-02-12,5.28
1990-02-13,5.34
1990-02-14,5.37
1990-02-15,5.37
1990-02-16,5.34
1990-02-20,5.28
1990-02-21,5.25
1990-02-22,5.29
1990-02-23,5.26
1990-02-26,5.32
1990-02-27,5.26
1990-02-28,5.26
1990-03-01,5.26
1990-03-02,5.26
1990-03-05,5.26
1990-03-06,5.32
1990-03-07,5.29
1990-03-08,5.29
1990-03-09,5.26
1990-03-12,5.23
1990-03-13,5.17
1990-03-14,5.14
1990-03-15,5.14
1990-03-16,5.2
1990-03-19,5.17
1990-03-20,5.23
1990-03-21,5.23
1990-03-22,5.17
1990-03-23,5.23
1990-03-26,5.14
1990-03-27,5.11
1990-03-28,5.11
1990-03-29,5.11
1990-03-30,5.14
1990-04-02,5.08
1990-04-03,5.2
1990-04-04,5.23
1990-04-05,5.17
1990-04-06,5.2
1990-04-09,5.14
1990-04-10,5.11
1990-04-11,5.11
1990-04-12,5.17
1990-04-16,5.2
1990-04-17,5.2
1990-04-18,5.14
1990-04-19,5.08
1990-04-20,5.08
1990-04-23,5.02
1990-04-24,5.05
1990-04-25,5.05
1990-04-26,5.02
1990-04-27,4.99
1990-04-30,5.02
1990-05-01,5.02
1990-05-02,5.05
1990-05-03,5.14
1990-05-04,5.23
1990-05-07,5.29
1990-05-08,5.29
1990-05-09,5.26
1990-05-10,5.29
1990-05-11,5.44
1990-05-14,5.41
1990-05-15,5.44
1990-05-16,5.41
1990-05-17,5.44
1990-05-18,5.44
1990-05-21,5.38
1990-05-22,5.35
1990-05-23,5.38
1990-05-24,5.33
1990-05-25,5.24
1990-05-29,5.21
1990-05-30,5.27
1990-05-31,5.3
1990-06-01,5.33
1990-06-04,5.36
1990-06-05,5.3
1990-06-06,5.3
1990-06-07,5.3
1990-06-08,5.3
1990-06-11,5.33
1990-06-12,5.3
1990-06-13,5.33
1990-06-14,5.33
1990-06-15,5.33
1990-06-18,5.33
1990-06-19,5.33
1990-06-20,5.21
1990-06-21,5.14
1990-06-22,5.11
1990-06-25,5.11
1990-06-26,5.21
1990-06-27,5.21
1990-06-28,5.27
1990-06-29,5.27
1990-07-02,5.24
1990-07-03,5.27
1990-07-05,5.21
1990-07-06,5.17
1990-07-09,5.24
1990-07-10,5.21
1990-07-11,5.24
1990-07-12,5.14
1990-07-13,5.17
1990-07-16,5.14
1990-07-17,5.14
1990-07-18,5.14
1990-07-19,5.14
1990-07-20,5.17
1990-07-23,5.14
1990-07-24,5.11
1990-07-25,5.14
1990-07-26,5.14
1990-07-27,5.17
1990-07-30,5.21
1990-07-31,5.21
1990-08-01,5.3
1990-08-02,5.24
1990-08-03,5.21
1990-08-06,5.11
1990-08-07,5.14
1990-08-08,5.21
1990-08-09,5.21
1990-08-10,5.14
1990-08-13,5.14
1990-08-14,5.21
1990-08-15,5.21
1990-08-16,5.11
1990-08-17,5.11
1990-08-20,5.14
1990-08-21,5.11
1990-08-22,5.11
1990-08-23,5.08
1990-08-24,4.96
1990-08-27,5.06
1990-08-28,5.1
1990-08-29,5.25
1990-08-30,5.25
1990-08-31,5.35
1990-09-04,5.35
1990-09-05,5.41
1990-09-06,5.35
1990-09-07,5.41
1990-09-10,5.38
1990-09-11,5.38
1990-09-12,5.41
1990-09-13,5.38
1990-09-14,5.32
1990-09-17,5.28
1990-09-18,5.28
1990-09-19,5.28
1990-09-20,5.19
1990-09-21,5.13
1990-09-24,5.1
1990-09-25,5.13
1990-09-26,5.19
1990-09-27,5.25
1990-09-28,5.28
1990-10-01,5.28
1990-10-02,5.28
1990-10-03,5.35
1990-10-04,5.44
1990-10-05,5.5
1990-10-08,5.6
1990-10-09,5.66
1990-10-10,5.63
1990-10-11,5.63
1990-10-12,5.69
1990-10-15,5.72
1990-10-16,5.88
1990-10-17,5.79
1990-10-18,5.85
1990-10-19,5.79
1990-10-22,5.85
1990-10-23,5.82
1990-10-24,5.82
1990-10-25,5.82
1990-10-26,5.88
1990-10-29,5.85
1990-10-30,5.91
1990-10-31,5.91
1990-11-01,5.91
1990-11-02,5.85
1990-11-05,5.85
1990-11-06,5.88
1990-11-07,5.82
1990-11-08,5.94
1990-11-09,5.91
1990-11-12,5.94
1990-11-13,5.98
1990-11-14,6.01
1990-11-15,6.04
1990-11-16,6.1
1990-11-19,6.07
1990-11-20,6.1
1990-11-21,6.16
1990-11-23,6.2
1990-11-26,6.14
1990-11-27,6.08
1990-11-28,6.05
1990-11-29,5.98
1990-11-30,5.98
1990-12-03,6.11
1990-12-04,6.14
1990-12-05,6.17
1990-12-06,6.08
1990-12-07,6.08
1990-12-10,6.08
1990-12-11,6.05
1990-12-12,6.11
1990-12-13,6.08
1990-12-14,5.98
1990-12-17,5.92
1990-12-18,5.98
1990-12-19,6.08
1990-12-20,6.08
1990-12-21,5.95
1990-12-24,5.98
1990-12-26,6.05
1990-12-27,6.21
1990-12-28,6.21
1990-12-31,6.05
1991-01-02,6.08
1991-01-03,6.11
1991-01-04,6.11
1991-01-07,5.98
1991-01-08,5.92
1991-01-09,5.76
1991-01-10,5.76
1991-01-11,5.82
1991-01-14,5.79
1991-01-15,5.79
1991-01-16,5.79
1991-01-17,5.89
1991-01-18,5.92
1991-01-21,5.95
1991-01-22,5.98
1991-01-23,5.95
1991-01-24,5.95
1991-01-25,5.92
1991-01-28,5.85
1991-01-29,5.85
1991-01-30,5.85
1991-01-31,5.85
1991-02-01,5.82
1991-02-04,5.85
1991-02-05,5.92
1991-02-06,5.95
1991-02-07,5.98
1991-02-08,6.01
1991-02-11,6.17
1991-02-12,6.27
1991-02-13,6.3
1991-02-14,6.27
1991-02-15,6.27
1991-02-19,6.21
1991-02-20,6.21
1991-02-21,6.27
1991-02-22,6.31
1991-02-25,6.44
1991-02-26,6.38
1991-02-27,6.38
1991-02-28,6.44
1991-03-01,6.48
1991-03-04,6.44
1991-03-05,6.48
1991-03-06,6.48
1991-03-07,6.48
1991-03-08,6.44
1991-03-11,6.44
1991-03-12,6.41
1991-03-13,6.41
1991-03-14,6.51
1991-03-15,6.44
1991-03-18,6.48
1991-03-19,6.41
1991-03-20,6.41
1991-03-21,6.38
1991-03-22,6.41
1991-03-25,6.38
1991-03-26,6.38
1991-03-27,6.41
