Date,Price
1990-01-02,7.25
1990-01-03,7.3
1990-01-04,7.43
1990-01-05,7.4
1990-01-08,7.43
1990-01-09,7.46
1990-01-10,7.43
1990-01-11,7.36
1990-01-12,7.19
1990-01-15,7.13
1990-01-16,7.16
1990-01-17,7.04
1990-01-18,7.04
1990-01-19,6.98
1990-01-22,6.77
1990-01-23,6.71
1990-01-24,6.68
1990-01-25,6.72
1990-01-26,6.71
1990-01-29,6.68
1990-01-30,6.53
1990-01-31,6.5
1990-02-01,6.83
1990-02-02,6.92
1990-02-05,7.04
1990-02-06,7.16
1990-02-07,7.18
1990-02-08,7.18
1990-02-09,7.15
1990-02-12,6.92
1990-02-13,6.84
1990-02-14,6.92
1990-02-15,7.07
1990-02-16,7.07
1990-02-20,7.07
1990-02-21,7.07
1990-02-22,7.13
1990-02-23,7.1
1990-02-26,7.1
1990-02-27,7.1
1990-02-28,7.31
1990-03-01,7.31
1990-03-02,7.43
1990-03-05,7.43
1990-03-06,7.43
1990-03-07,7.37
1990-03-08,7.42
1990-03-09,7.4
1990-03-12,7.42
1990-03-13,7.43
1990-03-14,7.37
1990-03-15,7.43
1990-03-16,7.43
1990-03-19,7.43
1990-03-20,7.4
1990-03-21,7.4
1990-03-22,7.3
1990-03-23,7.34
1990-03-26,7.11
1990-03-27,7.02
1990-03-28,7.02
1990-03-29,7.2
1990-03-30,7.23
1990-04-02,7.29
1990-04-03,7.32
1990-04-04,7.26
1990-04-05,7.26
1990-04-06,7.29
1990-04-09,7.26
1990-04-10,7.32
1990-04-11,7.32
1990-04-12,7.35
1990-04-16,7.32
1990-04-17,7.38
1990-04-18,7.23
1990-04-19,7.26
1990-04-20,7.08
1990-04-23,6.99
1990-04-24,6.84
1990-04-25,6.84
1990-04-26,6.88
1990-04-27,6.87
1990-04-30,6.91
1990-05-01,6.93
1990-05-02,6.87
1990-05-03,6.84
1990-05-04,6.87
1990-05-07,6.87
1990-05-08,6.99
1990-05-09,6.99
1990-05-10,6.96
1990-05-11,7.02
1990-05-14,7.2
1990-05-15,7.2
1990-05-16,7.23
1990-05-17,7.26
1990-05-18,7.2
1990-05-21,7.2
1990-05-22,7.23
1990-05-23,7.23
1990-05-24,7.29
1990-05-25,7.17
1990-05-29,7.17
1990-05-30,7.08
1990-05-31,7.11
1990-06-01,7.17
1990-06-04,7.26
1990-06-05,7.38
1990-06-06,7.54
1990-06-07,7.48
1990-06-08,7.45
1990-06-11,7.51
1990-06-12,7.49
1990-06-13,7.6
1990-06-14,7.57
1990-06-15,7.42
1990-06-18,7.32
1990-06-19,7.2
1990-06-20,7.2
1990-06-21,7.17
1990-06-22,7.11
1990-06-25,7.12
1990-06-26,7.09
1990-06-27,7.06
1990-06-28,7.15
1990-06-29,7.09
1990-07-02,7.12
1990-07-03,7.14
1990-07-05,7.11
1990-07-06,7.18
1990-07-09,7.28
1990-07-10,7.21
1990-07-11,7.26
1990-07-12,7.37
1990-07-13,7.43
1990-07-16,7.49
1990-07-17,7.49
1990-07-18,7.4
1990-07-19,7.38
1990-07-20,7.34
