Date,Price
1990-01-02,4.33
1990-01-03,4.22
1990-01-04,4.39
1990-01-05,4.33
1990-01-08,4.27
1990-01-09,4.27
1990-01-10,4.22
1990-01-11,4.27
1990-01-12,4.1
1990-01-15,4.05
1990-01-16,4.1
1990-01-17,4.1
1990-01-18,4.16
1990-01-19,4.33
1990-01-22,4.27
1990-01-23,4.16
1990-01-24,4.16
1990-01-25,4.16
1990-01-26,4.1
1990-01-29,3.94
1990-01-30,3.82
1990-01-31,3.82
1990-02-01,3.82
1990-02-02,3.88
1990-02-05,4.1
1990-02-06,4.1
1990-02-07,4.22
1990-02-08,4.27
1990-02-09,4.27
1990-02-12,4.33
1990-02-13,4.22
1990-02-14,4.27
1990-02-15,4.33
1990-02-16,4.39
1990-02-20,4.33
1990-02-21,4.27
1990-02-22,4.27
1990-02-23,4.22
1990-02-26,4.22
1990-02-27,3.94
1990-02-28,4.05
1990-03-01,3.99
1990-03-02,4.1
1990-03-05,4.1
1990-03-06,4.1
1990-03-07,4.05
1990-03-08,4.16
1990-03-09,4.05
1990-03-12,4.05
1990-03-13,4.05
1990-03-14,4.05
1990-03-15,3.94
1990-03-16,3.99
1990-03-19,3.99
1990-03-20,3.94
1990-03-21,3.88
1990-03-22,3.88
1990-03-23,3.77
1990-03-26,3.71
1990-03-27,3.77
1990-03-28,3.82
1990-03-29,3.82
1990-03-30,3.82
1990-04-02,3.77
1990-04-03,3.77
1990-04-04,3.82
1990-04-05,3.77
1990-04-06,3.82
1990-04-09,3.77
1990-04-10,3.71
1990-04-11,3.65
1990-04-12,3.65
1990-04-16,3.54
1990-04-17,3.6
1990-04-18,3.6
1990-04-19,3.6
1990-04-20,3.6
1990-04-23,3.49
1990-04-24,3.54
1990-04-25,3.54
1990-04-26,3.6
1990-04-27,3.54
1990-04-30,3.54
1990-05-01,3.54
1990-05-02,3.6
1990-05-03,3.6
1990-05-04,3.6
1990-05-07,3.54
1990-05-08,3.54
1990-05-09,3.54
1990-05-10,3.6
1990-05-11,3.6
1990-05-14,3.6
1990-05-15,3.65
1990-05-16,3.82
1990-05-17,3.88
1990-05-18,3.88
1990-05-21,3.94
1990-05-22,3.99
1990-05-23,3.88
1990-05-24,3.88
1990-05-25,3.82
1990-05-29,3.88
