Date,Price
2007-01-10,46.44
2007-01-11,46.73
2007-01-12,48.44
2007-01-16,48.89
2007-01-17,48.72
2007-01-18,48.78
2007-01-19,48.89
2007-01-22,48.72
2007-01-23,48.72
2007-01-24,48.84
2007-01-25,48.46
2007-01-26,47.87
2007-01-29,47.9
2007-01-30,47.3
2007-01-31,48.15
2007-02-01,48.5
2007-02-02,48.15
2007-02-05,48.44
2007-02-06,47.98
2007-02-07,48.15
2007-02-08,47.58
2007-02-09,47.01
2007-02-12,46.73
2007-02-13,46.33
2007-02-14,47.41
2007-02-15,47.3
2007-02-16,47.47
2007-02-20,47.29
2007-02-21,46.73
2007-02-22,46.16
2007-02-23,46.73
2007-02-26,45.42
2007-02-27,43.08
2007-02-28,44.16
2007-03-01,44.37
2007-03-02,42.85
2007-03-05,41.03
2007-03-06,41.47
2007-03-07,42.06
2007-03-08,41.87
2007-03-09,41.94
2007-03-12,41.58
2007-03-13,41.55
2007-03-14,41.6
2007-03-15,41.92
2007-03-16,42.91
2007-03-19,43.31
2007-03-20,43.65
2007-03-21,43.61
2007-03-22,43.48
2007-03-23,43.54
2007-03-26,43.08
2007-03-27,42.67
2007-03-28,42.57
2007-03-29,42.23
2007-03-30,42.71
2007-04-02,42.23
2007-04-03,42.42
2007-04-04,42.28
2007-04-05,42.17
2007-04-09,42.11
2007-04-10,42.57
2007-04-11,43.36
2007-04-12,44.05
2007-04-13,44.81
2007-04-16,44.96
2007-04-17,44.1
2007-04-18,44.18
2007-04-19,43.91
2007-04-20,43.94
2007-04-23,43.16
2007-04-24,42.51
2007-04-25,42.39
2007-04-26,41.91
2007-04-27,41.62
2007-04-30,41.96
2007-05-01,41.28
2007-05-02,42.11
2007-05-03,43.15
2007-05-04,43.06
2007-05-07,43.31
2007-05-08,42.57
2007-05-09,42.15
2007-05-10,42.0
2007-05-11,42.25
2007-05-14,41.81
2007-05-15,42.08
2007-05-16,42.84
2007-05-17,42.92
2007-05-18,43.2
2007-05-21,43.66
2007-05-22,43.9
2007-05-23,43.78
2007-05-24,43.58
2007-05-25,43.94
2007-05-29,44.2
2007-05-30,44.28
2007-05-31,43.78
2007-06-01,44.08
2007-06-04,43.82
2007-06-05,43.59
2007-06-06,43.47
2007-06-07,42.94
2007-06-08,43.46
2007-06-11,43.59
2007-06-12,42.88
2007-06-13,43.39
2007-06-14,43.53
2007-06-15,44.0
2007-06-18,44.56
2007-06-19,44.59
2007-06-20,44.79
2007-06-21,45.16
2007-06-22,45.02
2007-06-25,44.91
2007-06-26,44.94
2007-06-27,45.25
2007-06-28,45.1
2007-06-29,44.64
2007-07-02,45.3
2007-07-03,45.67
2007-07-05,45.71
2007-07-06,45.9
2007-07-09,45.59
2007-07-10,45.46
2007-07-11,45.36
2007-07-12,45.52
2007-07-13,45.74
2007-07-16,45.61
2007-07-17,46.1
2007-07-18,46.81
2007-07-19,47.47
