Date,Price
1992-03-19,0.23
1992-03-20,0.25
1992-03-23,0.27
1992-03-24,0.25
1992-03-25,0.24
1992-03-26,0.23
1992-03-27,0.24
1992-03-30,0.24
1992-03-31,0.24
1992-04-01,0.24
1992-04-02,0.25
1992-04-03,0.23
1992-04-06,0.23
1992-04-07,0.23
1992-04-08,0.22
1992-04-09,0.22
1992-04-10,0.22
1992-04-13,0.22
1992-04-14,0.22
1992-04-15,0.22
1992-04-16,0.22
1992-04-20,0.21
1992-04-21,0.19
1992-04-22,0.17
1992-04-23,0.18
1992-04-24,0.18
1992-04-27,0.17
1992-04-28,0.18
1992-04-29,0.18
1992-04-30,0.18
1992-05-01,0.19
1992-05-04,0.21
1992-05-05,0.2
1992-05-06,0.2
1992-05-07,0.19
1992-05-08,0.19
1992-05-11,0.2
1992-05-12,0.19
1992-05-13,0.19
1992-05-14,0.18
1992-05-15,0.18
1992-05-18,0.18
1992-05-19,0.17
1992-05-20,0.18
1992-05-21,0.18
1992-05-22,0.18
1992-05-26,0.18
1992-05-27,0.17
1992-05-28,0.17
1992-05-29,0.2
1992-06-01,0.22
1992-06-02,0.22
1992-06-03,0.22
1992-06-04,0.22
1992-06-05,0.21
1992-06-08,0.21
1992-06-09,0.2
1992-06-10,0.21
1992-06-11,0.2
1992-06-12,0.2
1992-06-15,0.21
1992-06-16,0.21
1992-06-17,0.2
1992-06-18,0.2
1992-06-19,0.19
1992-06-22,0.18
1992-06-23,0.19
1992-06-24,0.21
1992-06-25,0.21
1992-06-26,0.21
1992-06-29,0.22
1992-06-30,0.21
1992-07-01,0.23
1992-07-02,0.23
1992-07-06,0.23
1992-07-07,0.21
1992-07-08,0.21
1992-07-09,0.22
1992-07-10,0.23
1992-07-13,0.22
1992-07-14,0.23
1992-07-15,0.22
1992-07-16,0.22
1992-07-17,0.22
1992-07-20,0.21
1992-07-21,0.21
1992-07-22,0.2
1992-07-23,0.19
1992-07-24,0.2
1992-07-27,0.2
1992-07-28,0.22
1992-07-29,0.22
1992-07-30,0.22
1992-07-31,0.22
1992-08-03,0.22
1992-08-04,0.23
1992-08-05,0.23
1992-08-06,0.23
1992-08-07,0.23
1992-08-10,0.23
1992-08-11,0.21
1992-08-12,0.21
1992-08-13,0.21
1992-08-14,0.21
1992-08-17,0.21
1992-08-18,0.21
1992-08-19,0.21
1992-08-20,0.2
1992-08-21,0.2
1992-08-24,0.2
1992-08-25,0.2
1992-08-26,0.22
1992-08-27,0.21
1992-08-28,0.22
1992-08-31,0.22
1992-09-01,0.22
1992-09-02,0.22
1992-09-03,0.21
1992-09-04,0.22
1992-09-08,0.21
1992-09-09,0.22
1992-09-10,0.22
1992-09-11,0.22
1992-09-14,0.23
1992-09-15,0.22
1992-09-16,0.24
1992-09-17,0.25
1992-09-18,0.25
1992-09-21,0.25
1992-09-22,0.25
1992-09-23,0.24
1992-09-24,0.25
1992-09-25,0.24
1992-09-28,0.23
1992-09-29,0.24
1992-09-30,0.24
1992-10-01,0.2
1992-10-02,0.2
1992-10-05,0.19
1992-10-06,0.2
1992-10-07,0.2
1992-10-08,0.22
1992-10-09,0.21
1992-10-12,0.23
1992-10-13,0.23
1992-10-14,0.22
1992-10-15,0.23
1992-10-16,0.23
1992-10-19,0.23
1992-10-20,0.23
1992-10-21,0.22
1992-10-22,0.24
1992-10-23,0.24
1992-10-26,0.22
1992-10-27,0.23
1992-10-28,0.25
1992-10-29,0.26
1992-10-30,0.26
1992-11-02,0.27
1992-11-03,0.27
1992-11-04,0.25
1992-11-05,0.26
1992-11-06,0.27
1992-11-09,0.27
1992-11-10,0.27
1992-11-11,0.28
1992-11-12,0.28
1992-11-13,0.3
1992-11-16,0.31
1992-11-17,0.29
1992-11-18,0.3
1992-11-19,0.29
1992-11-20,0.29
1992-11-23,0.28
1992-11-24,0.28
1992-11-25,0.29
1992-11-27,0.3
1992-11-30,0.31
1992-12-01,0.32
1992-12-02,0.34
1992-12-03,0.35
1992-12-04,0.4
1992-12-07,0.42
1992-12-08,0.4
1992-12-09,0.41
